@relation 'MLC'

@attribute F1_ABS_VARIANCE_ACC_V_FILTER_1 numeric
@attribute F2_ABS_PEAK_TO_PEAK_ACC_V_FILTER_1 numeric
@attribute class {still, motion}

@data
1.7643e-05, 0.0126953, still
9.05991e-06, 0.0112305, still
2.15769e-05, 0.0214844, still
9.05991e-06, 0.0141602, still
2.55704e-05, 0.0219727, still
1.70469e-05, 0.019043, still
1.38879e-05, 0.0166016, still
2.7597e-05, 0.0205078, still
4.51207e-05, 0.0258789, still
1.88947e-05, 0.0185547, still
9.59635e-06, 0.015625, still
4.77433e-05, 0.0283203, still
1.30534e-05, 0.012207, still
2.94447e-05, 0.0283203, still
1.7941e-05, 0.0170898, still
1.2219e-05, 0.0141602, still
1.07884e-05, 0.0185547, still
2.58684e-05, 0.0166016, still
1.06096e-05, 0.0112305, still
5.54323e-06, 0.0112305, still
1.40667e-05, 0.0205078, still
7.80821e-06, 0.0102539, still
2.24113e-05, 0.0214844, still
1.55568e-05, 0.0131836, still
1.06692e-05, 0.0161133, still
2.3067e-05, 0.0166016, still
1.87755e-05, 0.015625, still
5.24521e-06, 0.00927734, still
7.98702e-06, 0.0151367, still
1.54972e-05, 0.0126953, still
2.16961e-05, 0.019043, still
2.77162e-05, 0.0268555, still
3.20077e-05, 0.0317383, still
3.86238e-05, 0.0209961, still
3.43323e-05, 0.0258789, still
1.18017e-05, 0.0141602, still
1.37687e-05, 0.0166016, still
3.38554e-05, 0.0244141, still
8.34465e-06, 0.0136719, still
1.29938e-05, 0.0146484, still
1.29342e-05, 0.0131836, still
1.06692e-05, 0.0112305, still
1.15633e-05, 0.0146484, still
6.79493e-06, 0.0112305, still
9.95398e-06, 0.012207, still
1.4782e-05, 0.0161133, still
1.74046e-05, 0.0180664, still
2.0206e-05, 0.0195313, still
1.03712e-05, 0.0136719, still
1.88351e-05, 0.0175781, still
1.29938e-05, 0.0151367, still
1.75238e-05, 0.0151367, still
8.58307e-06, 0.0136719, still
8.64267e-06, 0.0136719, still
1.15037e-05, 0.0151367, still
1.11461e-05, 0.012207, still
7.27177e-06, 0.012207, still
1.0848e-05, 0.0141602, still
9.89437e-06, 0.0107422, still
1.49608e-05, 0.015625, still
7.33137e-06, 0.00976563, still
1.65701e-05, 0.0141602, still
1.63317e-05, 0.0141602, still
2.34246e-05, 0.0200195, still
1.0252e-05, 0.0141602, still
1.70469e-05, 0.0151367, still
1.43647e-05, 0.015625, still
1.16229e-05, 0.0151367, still
1.28746e-05, 0.0131836, still
7.27177e-06, 0.0102539, still
4.11868e-05, 0.0249023, still
2.89679e-05, 0.0268555, still
1.20997e-05, 0.0131836, still
1.12653e-05, 0.012207, still
9.0003e-06, 0.0117188, still
2.51532e-05, 0.0161133, still
1.26958e-05, 0.0151367, still
1.055e-05, 0.0117188, still
1.62125e-05, 0.0209961, still
2.17557e-05, 0.0151367, still
3.27826e-05, 0.0317383, still
1.12653e-05, 0.0151367, still
9.59635e-06, 0.012207, still
1.37687e-05, 0.0146484, still
1.03712e-05, 0.0141602, still
6.13928e-06, 0.012207, still
8.22544e-06, 0.0107422, still
1.21593e-05, 0.0131836, still
7.21216e-06, 0.012207, still
2.68221e-05, 0.0200195, still
3.8147e-06, 0.00878906, still
1.15037e-05, 0.0126953, still
1.5676e-05, 0.0170898, still
1.62721e-05, 0.0136719, still
1.66893e-05, 0.0141602, still
9.71556e-06, 0.0126953, still
1.44243e-05, 0.0151367, still
1.03712e-05, 0.0136719, still
7.03335e-06, 0.0102539, still
5.126e-06, 0.0107422, still
5.60284e-06, 0.00878906, still
5.06639e-06, 0.00927734, still
5.81741e-05, 0.0302734, still
3.80874e-05, 0.0200195, still
1.2219e-05, 0.0131836, still
5.126e-06, 0.00927734, still
1.01328e-05, 0.0126953, still
3.53456e-05, 0.0268555, still
2.86698e-05, 0.0229492, still
5.37038e-05, 0.0263672, still
2.82526e-05, 0.0209961, still
1.04904e-05, 0.0136719, still
1.29342e-05, 0.0126953, still
2.55108e-05, 0.0209961, still
5.66244e-06, 0.012207, still
1.63317e-05, 0.0141602, still
2.71797e-05, 0.0185547, still
8.04663e-06, 0.0126953, still
5.84126e-06, 0.012207, still
1.66893e-05, 0.0205078, still
8.82149e-06, 0.0107422, still
1.40667e-05, 0.0200195, still
2.25902e-05, 0.0214844, still
8.22544e-06, 0.0136719, still
1.18017e-05, 0.0161133, still
2.80142e-05, 0.0219727, still
3.99351e-05, 0.0253906, still
1.3411e-05, 0.0180664, still
9.77516e-06, 0.012207, still
7.27177e-06, 0.0107422, still
2.11596e-05, 0.0180664, still
8.40425e-06, 0.0117188, still
1.88947e-05, 0.0175781, still
1.62125e-05, 0.0161133, still
2.58684e-05, 0.0180664, still
2.36034e-05, 0.0166016, still
2.28286e-05, 0.0239258, still
9.05991e-06, 0.0107422, still
1.26958e-05, 0.0126953, still
1.0252e-05, 0.0102539, still
6.61612e-06, 0.0112305, still
1.055e-05, 0.012207, still
1.10269e-05, 0.0131836, still
9.35793e-06, 0.0112305, still
3.26037e-05, 0.019043, still
1.10269e-05, 0.0102539, still
1.26958e-05, 0.015625, still
3.77297e-05, 0.0224609, still
1.27554e-05, 0.0141602, still
8.16584e-06, 0.0107422, still
3.0756e-05, 0.0209961, still
7.27177e-06, 0.0117188, still
5.78165e-06, 0.0107422, still
9.53674e-06, 0.0126953, still
6.79493e-06, 0.012207, still
2.22325e-05, 0.0185547, still
5.72205e-06, 0.012207, still
6.3777e-06, 0.012207, still
3.52859e-05, 0.0249023, still
9.71556e-06, 0.0112305, still
1.48416e-05, 0.0166016, still
2.7895e-05, 0.0214844, still
9.11951e-06, 0.0151367, still
8.82149e-06, 0.0146484, still
1.88351e-05, 0.015625, still
8.64267e-06, 0.0112305, still
7.09295e-06, 0.0112305, still
9.95398e-06, 0.0126953, still
1.10269e-05, 0.0107422, still
1.4782e-05, 0.0175781, still
4.46439e-05, 0.0249023, still
1.54972e-05, 0.0170898, still
8.10623e-06, 0.0102539, still
3.69549e-06, 0.00634766, still
1.00732e-05, 0.0146484, still
1.80602e-05, 0.0146484, still
1.00732e-05, 0.0131836, still
1.83582e-05, 0.0151367, still
1.23978e-05, 0.0161133, still
9.53674e-06, 0.0102539, still
1.3113e-05, 0.0117188, still
3.14116e-05, 0.0185547, still
1.53184e-05, 0.0161133, still
5.55515e-05, 0.0263672, still
8.88109e-06, 0.0146484, still
1.45435e-05, 0.0131836, still
1.22786e-05, 0.0131836, still
1.04308e-05, 0.0117188, still
7.51019e-06, 0.0107422, still
1.20997e-05, 0.0141602, still
3.41535e-05, 0.0214844, still
1.43647e-05, 0.0170898, still
1.06096e-05, 0.0151367, still
1.67489e-05, 0.0180664, still
4.73261e-05, 0.0268555, still
1.07288e-05, 0.0146484, still
9.35793e-06, 0.0136719, still
1.87159e-05, 0.0166016, still
1.0848e-05, 0.0151367, still
1.38283e-05, 0.0146484, still
2.7895e-05, 0.0224609, still
9.65595e-06, 0.012207, still
1.18613e-05, 0.0136719, still
1.2517e-05, 0.0170898, still
1.46031e-05, 0.0151367, still
1.93119e-05, 0.0166016, still
1.40071e-05, 0.0141602, still
9.29832e-06, 0.012207, still
1.25766e-05, 0.0126953, still
9.71556e-06, 0.012207, still
1.66297e-05, 0.0195313, still
7.92742e-06, 0.0141602, still
1.09076e-05, 0.0117188, still
2.28882e-05, 0.015625, still
1.04904e-05, 0.0112305, still
2.64645e-05, 0.0195313, still
1.18017e-05, 0.0112305, still
1.29342e-05, 0.0117188, still
1.22786e-05, 0.0214844, still
3.47495e-05, 0.0239258, still
1.39475e-05, 0.0141602, still
1.3411e-05, 0.015625, still
1.18017e-05, 0.0126953, still
3.41535e-05, 0.0195313, still
5.24521e-06, 0.00976563, still
1.19209e-05, 0.0141602, still
1.5676e-05, 0.0170898, still
8.16584e-06, 0.015625, still
8.64267e-06, 0.0117188, still
6.97374e-06, 0.0112305, still
2.8193e-05, 0.0244141, still
8.58307e-06, 0.0117188, still
1.2517e-05, 0.0141602, still
1.62721e-05, 0.0166016, still
1.29342e-05, 0.0219727, still
1.34706e-05, 0.0141602, still
1.17421e-05, 0.0131836, still
1.45435e-05, 0.0146484, still
2.71201e-05, 0.0239258, still
1.00732e-05, 0.0170898, still
1.67489e-05, 0.0175781, still
6.61612e-06, 0.0102539, still
8.46386e-06, 0.0141602, still
1.56164e-05, 0.0151367, still
1.15037e-05, 0.0117188, still
3.26633e-05, 0.0229492, still
5.70416e-05, 0.0244141, still
7.46846e-05, 0.03125, still
1.3113e-05, 0.0141602, still
2.30074e-05, 0.0224609, still
8.10623e-06, 0.0117188, still
1.90735e-05, 0.0195313, still
5.25713e-05, 0.0234375, still
1.2815e-05, 0.0161133, still
1.54376e-05, 0.015625, still
1.54972e-05, 0.0146484, still
1.10269e-05, 0.0151367, still
1.83582e-05, 0.0170898, still
2.10404e-05, 0.0180664, still
