pair_index,t_d0_seconds,t_d1_seconds,latency_us
1,4.787691880,4.789184400,1492.520
2,4.808894360,4.809136240,241.880
3,5.748855920,5.750107360,1251.440
4,5.770056360,5.770299800,243.440
5,5.793616320,5.793838640,222.320
6,6.688884120,6.689206000,321.880
7,6.710088160,6.710740480,652.320
8,7.709038800,7.709389360,350.560
9,7.727889520,7.728356800,467.280
10,7.744382680,7.745156920,774.240
11,8.623215000,8.624142760,927.760
12,8.644420320,8.645373720,953.400
13,9.633991880,9.635541600,1549.720
14,9.655196560,9.656245400,1048.840
15,10.647096080,10.647388600,292.520
16,10.665944400,10.666861720,917.320
17,10.687150840,10.687382160,231.320
18,11.669647120,11.670734880,1087.760
19,11.690847920,11.692685720,1837.800
20,12.661557760,12.663005800,1448.040
21,12.680404920,12.680685320,280.400
22,12.699255560,12.699476600,221.040
23,13.660500280,13.661509760,1009.480
24,13.681704120,13.681945280,241.160
25,14.678258440,14.679169160,910.720
26,14.694750240,14.694989600,239.360
27,14.713599360,14.713827760,228.400
