window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703749,5.854904e-02,9.520828e-01,4
1,1.410100,1.388669e-03,3.131162e-01,4
2,2.116339,8.829184e-04,2.488683e-01,4
3,2.822603,7.221539e-04,2.208055e-01,4
4,3.528861,3.473667e-04,1.563217e-01,4
5,4.235095,7.240481e-04,1.908163e-01,4
6,4.941353,1.036707e-03,2.084764e-01,4
7,5.647623,2.654009e-04,1.277500e-01,4
8,6.354064,2.163041e-04,8.429613e-02,4
9,7.060610,9.398878e-04,1.501010e-01,4
10,7.767089,2.120021e-04,1.078415e-01,4
11,8.473483,2.707824e-04,1.150920e-01,4
12,9.179858,7.950339e-04,2.159051e-01,4
13,9.886243,3.654898e-04,1.271497e-01,4
14,10.592638,8.940129e-05,8.426584e-02,4
15,11.298990,9.709581e-04,1.891543e-01,4
16,12.005333,5.139220e-04,1.331386e-01,4
17,12.711703,3.972195e-05,4.091888e-02,0
18,13.418083,1.231103e-03,2.879879e-01,4
19,14.124398,4.363933e-04,1.298315e-01,4
20,14.830797,9.474395e-04,2.425778e-01,4
21,15.537162,3.131840e-04,1.304150e-01,4
22,16.243506,4.577645e-04,1.442774e-01,4
23,16.949843,1.079847e-03,2.182594e-01,4
24,17.656182,2.109009e-04,1.168543e-01,4
25,18.362439,4.007462e-04,1.323486e-01,4
26,19.068769,1.560641e-03,2.880932e-01,4
27,19.775117,2.619952e-04,1.162623e-01,4
28,20.481452,2.932349e-04,1.270384e-01,4
29,21.187817,1.604254e-03,2.856308e-01,4
30,21.894185,6.246147e-04,1.959894e-01,4
31,22.600559,4.177516e-05,5.086236e-02,4
32,23.306904,1.362102e-03,2.967562e-01,4
33,24.013235,6.256463e-04,2.030883e-01,4
34,24.719559,6.056129e-05,4.751175e-02,0
35,25.425881,1.184746e-03,2.608499e-01,4
36,26.132249,7.097365e-04,1.758629e-01,4
37,26.838596,9.039339e-04,2.518872e-01,4
38,27.544879,6.157433e-04,1.966808e-01,4
39,28.251222,7.170547e-04,1.514528e-01,4
40,28.957498,1.250665e-03,2.866259e-01,4
41,29.663794,1.322514e-04,1.081590e-01,4
42,30.370110,3.949551e-04,1.153492e-01,4
43,31.076428,1.145566e-03,2.108510e-01,4
44,31.782727,1.736571e-04,7.601315e-02,4
45,32.489065,4.508974e-04,1.339345e-01,4
46,33.195389,1.217966e-03,2.280973e-01,4
47,33.901918,3.871004e-04,1.065948e-01,4
48,34.608088,8.547643e-05,6.438462e-02,4
49,35.314722,9.434165e-04,2.268087e-01,4
50,36.020766,4.972162e-04,1.462175e-01,4
51,36.727082,6.141895e-05,5.741627e-02,4
52,37.433431,9.872484e-04,1.735748e-01,4
53,38.139770,5.964500e-04,1.596150e-01,4
54,38.846083,1.148000e-03,2.206049e-01,4
55,39.552436,4.625790e-04,1.618586e-01,4
56,40.258749,5.041261e-04,1.325788e-01,4
57,40.965325,1.127194e-03,2.251829e-01,4
58,41.671873,2.120284e-04,1.314670e-01,4
59,42.378242,6.211660e-04,1.836685e-01,4
60,43.084612,1.782731e-03,2.577023e-01,4
61,43.790934,2.174486e-04,1.180055e-01,4
62,44.497245,2.309297e-04,1.154217e-01,4
63,45.203550,1.799491e-03,2.465279e-01,4
64,45.909862,5.135517e-04,1.591743e-01,4
65,46.616238,4.812321e-05,4.143190e-02,0
66,47.322654,1.087343e-03,2.118164e-01,4
67,48.029007,7.341197e-04,1.684624e-01,4
68,48.735446,6.322939e-05,6.790977e-02,4
69,49.441740,1.728292e-03,2.556821e-01,4
70,50.148059,7.247844e-04,1.516713e-01,4
71,50.854364,1.156467e-03,2.375658e-01,4
72,51.560651,4.319219e-04,1.835730e-01,4
73,52.266891,5.560924e-04,1.739787e-01,4
74,52.973116,1.603588e-03,2.663634e-01,4
75,53.679359,1.466059e-04,7.052428e-02,4
76,54.385617,4.480153e-04,1.443425e-01,4
77,55.091905,1.444970e-03,2.335599e-01,4
78,55.798190,2.683704e-04,1.204306e-01,4
79,56.504485,5.943115e-04,1.612093e-01,4
80,57.210794,1.426976e-03,2.305081e-01,4
81,57.917078,5.329482e-04,1.616890e-01,4
82,58.623369,6.625901e-05,5.924915e-02,4
83,59.329617,9.948391e-04,2.263040e-01,4
84,60.035846,6.185711e-04,1.729614e-01,4
85,60.742135,1.065019e-04,6.714750e-02,4
86,61.448432,8.628387e-04,1.955794e-01,4
87,62.154725,5.396379e-04,1.299340e-01,4
88,62.861002,5.732317e-04,1.515061e-01,4
89,63.567288,2.697084e-04,1.151375e-01,4
90,64.273605,5.658200e-04,1.298401e-01,4
91,64.979916,8.591145e-04,2.464722e-01,4
92,65.686218,1.074949e-04,8.176911e-02,4
93,66.392525,2.970361e-04,1.194172e-01,4
94,67.098841,8.907766e-04,2.349406e-01,4
95,67.805130,2.027518e-04,9.825439e-02,4
96,68.511426,3.889083e-04,1.248320e-01,4
97,69.217735,9.818773e-04,1.882860e-01,4
98,69.923986,4.022622e-04,1.114397e-01,4
99,70.630294,6.647345e-05,6.382841e-02,4
100,71.336606,7.368316e-04,1.897602e-01,4
101,72.042929,8.242893e-04,2.039973e-01,4
102,72.749237,9.551086e-05,7.959042e-02,4
103,73.455767,9.048302e-04,1.902515e-01,4
104,74.162256,4.857940e-04,1.128336e-01,4
105,74.868647,6.052765e-04,1.762283e-01,4
106,75.574998,8.905134e-05,6.261165e-02,4
107,76.281267,5.026527e-04,1.173110e-01,4
108,76.987562,6.876732e-04,2.044900e-01,4
109,77.693822,1.367773e-04,8.724470e-02,4
110,78.400154,5.859311e-04,2.123930e-01,4
111,79.106450,1.076601e-03,2.087577e-01,4
112,79.812753,1.658353e-04,1.023991e-01,4
113,80.518937,4.411184e-04,1.556223e-01,4
114,81.225131,8.548912e-04,1.606601e-01,4
115,81.931370,4.973367e-04,1.657824e-01,4
116,82.637635,9.531643e-05,8.783974e-02,4
117,83.343926,8.634070e-04,1.752059e-01,4
118,84.050182,5.133452e-04,1.592533e-01,4
119,84.756459,1.135610e-04,7.414244e-02,4
120,85.462720,6.099190e-04,1.952592e-01,4
121,86.169000,7.263979e-04,2.073648e-01,4
122,86.875284,8.585818e-04,1.926932e-01,4
123,87.581606,2.989023e-04,1.604379e-01,4
124,88.287922,7.025333e-04,1.949494e-01,4
125,88.994212,9.249710e-04,2.006363e-01,4
126,89.700492,1.792163e-04,8.452278e-02,4
127,90.406742,5.184369e-04,1.772396e-01,4
128,91.112955,1.065916e-03,2.142739e-01,4
129,91.819172,2.018828e-04,1.193452e-01,4
130,92.525419,4.890591e-04,1.635772e-01,4
131,93.231656,9.360339e-04,2.051974e-01,4
132,93.937931,7.803279e-04,2.081100e-01,4
133,94.644181,9.328881e-05,7.191384e-02,4
134,95.350415,9.784303e-04,2.065782e-01,4
135,96.056647,6.509654e-04,1.736798e-01,4
136,96.762820,1.125798e-04,7.982126e-02,4
137,97.468974,9.127249e-04,1.804306e-01,4
138,98.175198,4.974314e-04,1.247112e-01,4
139,98.881416,6.507342e-04,1.278138e-01,4
140,99.587637,1.483847e-04,7.145455e-02,4
141,100.293823,8.089282e-04,1.908266e-01,4
142,101.000205,9.219492e-04,1.868826e-01,4
143,101.706357,1.891802e-04,8.410904e-02,4
144,102.412842,6.241970e-04,1.846138e-01,4
145,103.119315,8.544195e-04,1.640454e-01,4
146,103.825850,1.272638e-04,9.095554e-02,4
147,104.531846,3.702279e-04,1.461138e-01,4
148,105.255813,7.939455e-04,1.796572e-01,4
149,105.944369,5.487177e-04,1.654158e-01,4
150,106.650629,5.593813e-05,5.712692e-02,4
151,107.356872,7.640555e-04,1.715473e-01,4
152,108.063108,5.092151e-04,1.537204e-01,4
153,108.769349,9.173534e-05,5.946112e-02,4
154,109.475600,8.372050e-04,1.759237e-01,4
155,110.181842,6.464191e-04,1.716063e-01,4
156,110.888095,6.598653e-04,1.679433e-01,4
157,111.594371,2.611364e-04,1.090943e-01,4
158,112.300615,4.646546e-04,1.343943e-01,4
159,113.006847,8.434646e-04,1.684301e-01,4
160,113.712986,1.308511e-04,9.080900e-02,4
161,114.419190,2.259001e-04,8.245018e-02,4
162,115.125361,9.703730e-04,2.067207e-01,4
163,115.831515,1.472937e-04,8.032520e-02,4
164,116.537717,2.851782e-04,1.150605e-01,4
165,117.243881,1.003422e-03,1.737734e-01,4
166,117.950040,3.905738e-04,1.243360e-01,4
167,118.656211,4.104362e-05,3.307163e-02,0
168,119.362470,1.947147e-03,2.855523e-01,4
169,120.068579,4.335186e-04,1.265354e-01,4
170,120.774759,6.281691e-05,6.108564e-02,4
171,121.480948,1.863613e-03,2.591528e-01,4
172,122.187140,5.267301e-04,1.596001e-01,4
173,122.893335,9.879208e-04,2.316945e-01,4
174,123.599589,6.808923e-04,2.051590e-01,4
175,124.305898,5.190776e-04,1.335802e-01,4
176,125.012220,1.100958e-03,2.564494e-01,4
177,125.718483,1.994142e-04,1.042533e-01,4
178,126.424761,3.882042e-04,1.692064e-01,4
179,127.131267,1.059471e-03,2.040533e-01,4
180,127.837306,1.882860e-04,1.056682e-01,4
181,128.543550,4.530692e-04,1.605902e-01,4
182,129.249780,1.038740e-03,2.055048e-01,4
183,129.956031,4.386426e-04,1.402564e-01,4
184,130.662271,4.048121e-05,3.986728e-02,0
185,131.368472,1.210096e-03,1.990665e-01,4
186,132.074704,6.505479e-04,1.761140e-01,4
187,132.780923,5.507463e-05,4.064808e-02,0
188,133.487103,2.018458e-03,2.820080e-01,4
