window_idx,is_disagreement,n_samples,mean_gap_ms,max_gap_ms,stdev_gap_ms,n_gaps_above_2x,n_gaps_above_3x,largest_gap_ms
17,1,150,4.709114,5.013000,0.037594,0,0,5.013000
34,1,150,4.708832,5.041000,0.048214,0,0,5.041000
65,1,150,4.709188,4.965000,0.037973,0,0,4.965000
167,1,150,4.707826,4.957000,0.035981,0,0,4.957000
184,1,150,4.708275,5.091000,0.058944,0,0,5.091000
187,1,150,4.708128,5.039000,0.049197,0,0,5.039000
218,1,150,4.707315,5.231000,0.067588,0,0,5.231000
221,1,150,4.707584,5.053000,0.054333,0,0,5.053000
289,1,150,4.709242,5.047000,0.044424,0,0,5.047000
337,1,150,4.708255,5.095000,0.056543,0,0,5.095000
357,1,150,4.708544,5.059000,0.048397,0,0,5.059000
456,1,150,4.708584,4.961000,0.030800,0,0,4.961000
466,1,150,4.708732,4.990000,0.034773,0,0,4.990000
558,1,150,4.707859,5.096000,0.054286,0,0,5.096000
585,1,150,4.706362,5.093000,0.056372,0,0,5.093000
595,1,150,4.709597,5.090000,0.066099,0,0,5.090000
602,1,150,4.707732,4.971000,0.041282,0,0,4.971000
619,1,150,4.709409,5.084000,0.050344,0,0,5.084000
629,1,150,4.708148,5.058000,0.060841,0,0,5.058000
646,1,150,4.709174,5.075000,0.058246,0,0,5.075000
653,1,150,4.707530,5.013000,0.053505,0,0,5.013000
687,1,150,4.708087,5.003000,0.048500,0,0,5.003000
986,1,150,4.707644,5.088000,0.063078,0,0,5.088000
1040,1,150,4.708450,4.981000,0.034189,0,0,4.981000
1054,1,150,4.708772,4.960000,0.032098,0,0,4.960000
1071,1,150,4.708597,5.022000,0.042563,0,0,5.022000
1105,1,150,4.710523,5.015000,0.039282,0,0,5.015000
1190,1,150,4.708866,4.968000,0.032853,0,0,4.968000
1241,1,150,4.709497,5.107000,0.054714,0,0,5.107000
1258,1,150,4.710564,5.077000,0.063925,0,0,5.077000
1309,1,150,4.709054,5.099000,0.065863,0,0,5.099000
1461,1,150,4.708369,5.065000,0.052506,0,0,5.065000
1462,1,150,4.708638,4.984000,0.034939,0,0,4.984000
1513,1,150,4.708396,4.957000,0.035067,0,0,4.957000
1530,1,150,4.708416,5.011000,0.038862,0,0,5.011000
1547,1,150,4.710758,4.971000,0.047637,0,0,4.971000
1564,1,150,4.708463,4.968000,0.042879,0,0,4.968000
1581,1,150,4.708443,4.942000,0.027556,0,0,4.942000
1598,1,150,4.710490,5.047000,0.051199,0,0,5.047000
1666,1,150,4.708000,5.059000,0.061021,0,0,5.059000
0,0,150,4.709658,5.043000,0.061389,0,0,5.043000
42,0,150,4.708792,5.045000,0.042370,0,0,5.045000
84,0,150,4.708201,5.018000,0.045801,0,0,5.018000
126,0,150,4.708537,4.965000,0.030831,0,0,4.965000
168,0,150,4.708409,5.032000,0.040407,0,0,5.032000
210,0,150,4.707926,5.108000,0.072449,0,0,5.108000
252,0,150,4.707872,5.095000,0.051778,0,0,5.095000
294,0,150,4.708040,4.955000,0.038313,0,0,4.955000
336,0,150,4.708463,5.064000,0.051681,0,0,5.064000
378,0,150,4.709745,5.093000,0.053716,0,0,5.093000
420,0,150,4.708309,5.051000,0.043959,0,0,5.051000
462,0,150,4.708899,5.075000,0.057920,0,0,5.075000
504,0,150,4.707953,5.024000,0.046062,0,0,5.024000
546,0,150,4.707617,5.027000,0.040696,0,0,5.027000
588,0,150,4.707899,4.973000,0.043132,0,0,4.973000
630,0,150,4.707758,4.924000,0.025287,0,0,4.924000
672,0,150,4.708107,5.056000,0.061359,0,0,5.056000
714,0,150,4.708114,4.939000,0.028028,0,0,4.939000
756,0,150,4.708497,5.060000,0.054727,0,0,5.060000
798,0,150,4.708389,5.061000,0.059632,0,0,5.061000
840,0,150,4.708772,4.975000,0.046531,0,0,4.975000
882,0,150,4.708752,4.952000,0.030938,0,0,4.952000
924,0,150,4.708268,5.033000,0.057695,0,0,5.033000
966,0,150,4.708054,4.950000,0.038891,0,0,4.950000
1008,0,150,4.710396,5.091000,0.055996,0,0,5.091000
1050,0,150,4.708383,5.096000,0.066148,0,0,5.096000
1092,0,150,4.707148,5.013000,0.043203,0,0,5.013000
1134,0,150,4.709671,5.095000,0.058801,0,0,5.095000
1176,0,150,4.709510,4.954000,0.040532,0,0,4.954000
1218,0,150,4.709738,5.119000,0.060320,0,0,5.119000
1260,0,150,4.710765,26.768000,1.986533,1,1,26.768000
1302,0,150,4.708987,5.034000,0.040602,0,0,5.034000
1344,0,150,4.708617,5.008000,0.051557,0,0,5.008000
1386,0,150,4.708289,5.002000,0.046032,0,0,5.002000
1428,0,150,4.709564,4.987000,0.036941,0,0,4.987000
1470,0,150,4.708221,5.062000,0.057509,0,0,5.062000
1512,0,150,4.708812,5.052000,0.050475,0,0,5.052000
1554,0,150,4.708262,5.008000,0.051221,0,0,5.008000
1596,0,150,4.709114,5.079000,0.050795,0,0,5.079000
1638,0,150,4.707792,5.000000,0.044221,0,0,5.000000
