window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703877,0.000000e+00,0.000000e+00,0
1,1.410365,0.000000e+00,0.000000e+00,0
2,2.116907,0.000000e+00,0.000000e+00,0
3,2.823450,0.000000e+00,0.000000e+00,0
4,3.530021,0.000000e+00,0.000000e+00,0
5,4.236718,0.000000e+00,0.000000e+00,0
6,4.943377,0.000000e+00,0.000000e+00,0
7,5.649952,0.000000e+00,0.000000e+00,0
8,6.357112,0.000000e+00,0.000000e+00,0
9,7.063412,0.000000e+00,0.000000e+00,0
10,7.769961,0.000000e+00,0.000000e+00,0
11,8.476608,0.000000e+00,0.000000e+00,0
12,9.183416,0.000000e+00,0.000000e+00,0
13,9.890244,0.000000e+00,0.000000e+00,0
14,10.597015,0.000000e+00,0.000000e+00,0
15,11.303537,0.000000e+00,0.000000e+00,0
16,12.010058,0.000000e+00,0.000000e+00,0
17,12.716688,0.000000e+00,0.000000e+00,0
18,13.423455,0.000000e+00,0.000000e+00,0
19,14.130103,0.000000e+00,0.000000e+00,0
20,14.836606,0.000000e+00,0.000000e+00,0
21,15.543126,0.000000e+00,0.000000e+00,0
22,16.249521,0.000000e+00,0.000000e+00,0
23,16.955934,0.000000e+00,0.000000e+00,0
24,17.662355,0.000000e+00,0.000000e+00,0
25,18.368772,0.000000e+00,0.000000e+00,0
26,19.075196,0.000000e+00,0.000000e+00,0
27,19.781665,0.000000e+00,0.000000e+00,0
28,20.488329,0.000000e+00,0.000000e+00,0
29,21.194858,0.000000e+00,0.000000e+00,0
30,21.901300,0.000000e+00,0.000000e+00,0
31,22.607705,0.000000e+00,0.000000e+00,0
32,23.314150,0.000000e+00,0.000000e+00,0
33,24.020611,0.000000e+00,0.000000e+00,4
34,24.727119,0.000000e+00,0.000000e+00,4
35,25.433592,0.000000e+00,0.000000e+00,0
36,26.140071,0.000000e+00,0.000000e+00,0
37,26.846522,0.000000e+00,0.000000e+00,0
38,27.552966,0.000000e+00,0.000000e+00,0
39,28.259404,0.000000e+00,0.000000e+00,0
40,28.965891,0.000000e+00,0.000000e+00,0
41,29.672406,0.000000e+00,0.000000e+00,0
42,30.378863,0.000000e+00,0.000000e+00,0
43,31.085463,0.000000e+00,0.000000e+00,0
44,31.792037,0.000000e+00,0.000000e+00,0
45,32.498531,0.000000e+00,0.000000e+00,0
46,33.205055,0.000000e+00,0.000000e+00,0
47,33.911562,0.000000e+00,0.000000e+00,0
48,34.618071,0.000000e+00,0.000000e+00,0
49,35.324806,0.000000e+00,0.000000e+00,0
50,36.031535,0.000000e+00,0.000000e+00,0
51,36.738095,0.000000e+00,0.000000e+00,0
52,37.444624,0.000000e+00,0.000000e+00,0
53,38.151122,0.000000e+00,0.000000e+00,0
54,38.857595,0.000000e+00,0.000000e+00,0
55,39.564133,0.000000e+00,0.000000e+00,0
56,40.270647,0.000000e+00,0.000000e+00,0
57,40.977182,0.000000e+00,0.000000e+00,0
58,41.683766,0.000000e+00,0.000000e+00,0
59,42.390353,0.000000e+00,0.000000e+00,0
60,43.097002,0.000000e+00,0.000000e+00,0
61,43.803561,0.000000e+00,0.000000e+00,0
62,44.510116,0.000000e+00,0.000000e+00,0
63,45.216617,0.000000e+00,0.000000e+00,0
64,45.923132,0.000000e+00,0.000000e+00,0
65,46.629688,0.000000e+00,0.000000e+00,0
66,47.336247,0.000000e+00,0.000000e+00,0
67,48.042771,0.000000e+00,0.000000e+00,0
68,48.749269,0.000000e+00,0.000000e+00,0
69,49.455766,0.000000e+00,0.000000e+00,0
70,50.162267,0.000000e+00,0.000000e+00,0
71,50.868693,0.000000e+00,0.000000e+00,0
72,51.575158,0.000000e+00,0.000000e+00,0
