window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703877,5.908208e-02,9.315608e-01,4
1,1.410365,7.539655e-06,1.105815e-02,0
2,2.116907,7.974562e-07,5.732939e-03,0
3,2.823450,6.424468e-07,4.168697e-03,0
4,3.530021,3.186729e-07,3.343947e-03,0
5,4.236718,5.404099e-07,3.562742e-03,0
6,4.943377,1.113194e-06,6.727318e-03,0
7,5.649952,5.485949e-07,3.737285e-03,0
8,6.357112,4.737096e-07,3.991519e-03,0
9,7.063412,2.472937e-06,1.201527e-02,0
10,7.769961,6.968255e-07,4.659876e-03,0
11,8.476608,4.373897e-07,3.417975e-03,0
12,9.183416,1.035152e-06,7.665434e-03,0
13,9.890244,7.597396e-07,5.474713e-03,0
14,10.597015,1.695545e-06,7.153424e-03,0
15,11.303537,3.902769e-07,3.309753e-03,0
16,12.010058,9.275236e-07,6.114277e-03,0
17,12.716688,4.826686e-07,2.983667e-03,0
18,13.423455,2.327570e-06,8.920191e-03,0
19,14.130103,5.300258e-07,3.409732e-03,0
20,14.836606,5.740052e-07,4.179087e-03,0
21,15.543126,4.736147e-07,3.989274e-03,0
22,16.249521,3.845472e-07,3.262729e-03,0
23,16.955934,4.501248e-07,3.358947e-03,0
24,17.662355,4.962023e-07,3.922083e-03,0
25,18.368772,4.907453e-07,3.052628e-03,0
26,19.075196,4.863865e-07,3.180899e-03,0
27,19.781665,3.487164e-07,3.700416e-03,0
28,20.488329,4.678216e-07,3.605039e-03,0
29,21.194858,3.566088e-07,3.373979e-03,0
30,21.901300,7.744868e-07,5.409874e-03,0
31,22.607705,1.412733e-06,6.067412e-03,0
32,23.314150,8.845497e-06,2.402933e-02,0
33,24.020611,4.190853e-05,6.362649e-02,4
34,24.727119,6.761879e-07,4.136418e-03,0
35,25.433592,1.177761e-06,7.631523e-03,0
36,26.140071,4.976112e-07,3.463082e-03,0
37,26.846522,4.482220e-07,2.995818e-03,0
38,27.552966,3.820104e-07,3.071480e-03,0
39,28.259404,4.283928e-07,4.186887e-03,0
40,28.965891,4.917401e-07,4.068982e-03,0
41,29.672406,6.536476e-07,4.318560e-03,0
42,30.378863,5.308217e-07,3.936861e-03,0
43,31.085463,3.079672e-07,2.743636e-03,0
44,31.792037,4.127296e-07,3.253520e-03,0
45,32.498531,3.859506e-07,3.349480e-03,0
46,33.205055,5.533870e-07,3.827517e-03,0
47,33.911562,4.181957e-07,3.033208e-03,0
48,34.618071,3.810670e-07,3.197322e-03,0
49,35.324806,3.382760e-07,2.611978e-03,0
50,36.031535,4.696164e-07,3.728278e-03,0
51,36.738095,5.529608e-07,4.316328e-03,0
52,37.444624,4.518197e-07,3.326455e-03,0
53,38.151122,3.761216e-07,3.199992e-03,0
54,38.857595,4.039635e-07,2.919038e-03,0
55,39.564133,4.322688e-07,2.955841e-03,0
56,40.270647,4.021350e-07,3.190257e-03,0
57,40.977182,4.592975e-07,2.690278e-03,0
58,41.683766,4.926388e-07,3.767017e-03,0
59,42.390353,5.122504e-07,3.194870e-03,0
60,43.097002,4.239277e-07,3.878957e-03,0
61,43.803561,4.241085e-07,2.944631e-03,0
62,44.510116,4.648448e-07,3.219412e-03,0
63,45.216617,4.645831e-07,3.045644e-03,0
64,45.923132,4.338196e-07,3.397905e-03,0
65,46.629688,4.664162e-07,3.259222e-03,0
66,47.336247,4.660133e-07,3.024331e-03,0
67,48.042771,3.755443e-07,3.270118e-03,0
68,48.749269,4.752915e-07,3.510925e-03,0
69,49.455766,4.574761e-07,3.278361e-03,0
70,50.162267,4.472406e-07,2.549849e-03,0
71,50.868693,5.063090e-07,3.569694e-03,0
72,51.575158,4.325650e-07,3.555692e-03,0
73,52.281621,4.348905e-07,3.645171e-03,0
74,52.988093,4.438520e-07,3.309002e-03,0
75,53.694577,3.730221e-07,3.186315e-03,0
76,54.401146,3.421168e-07,2.726836e-03,0
77,55.107687,4.457300e-07,3.105275e-03,0
78,55.814237,4.961042e-07,3.179309e-03,0
79,56.520762,7.405105e-07,4.297349e-03,0
80,57.227269,9.263912e-07,5.151167e-03,0
81,57.933710,5.831322e-07,4.011029e-03,0
82,58.640171,6.264900e-07,3.650818e-03,0
83,59.346647,4.302381e-07,3.246564e-03,0
84,60.053121,3.774853e-07,2.941759e-03,0
85,60.759567,4.887821e-07,3.238393e-03,0
86,61.466064,5.631441e-07,4.914525e-03,0
87,62.172590,5.950093e-07,3.707375e-03,0
88,62.879091,4.452779e-07,2.749588e-03,0
89,63.585626,3.502716e-07,2.758138e-03,0
90,64.292180,6.704777e-07,4.753079e-03,0
91,64.998736,5.619723e-07,3.931630e-03,0
92,65.705295,3.862778e-07,2.953833e-03,0
93,66.411864,4.300048e-07,3.225510e-03,0
94,67.118395,4.942913e-07,3.148429e-03,0
95,67.824937,4.982767e-07,3.129980e-03,0
96,68.531482,4.586213e-07,2.963878e-03,0
97,69.246613,5.469844e-07,4.316296e-03,0
98,69.944499,3.934460e-07,3.033536e-03,0
99,70.650993,3.331791e-07,3.009888e-03,0
100,71.357444,4.594531e-07,2.970763e-03,0
101,72.063933,4.189386e-07,2.851670e-03,0
102,72.770427,5.093780e-07,3.783407e-03,0
103,73.476980,5.960953e-07,4.551177e-03,0
104,74.183532,4.745861e-07,3.408808e-03,0
105,74.890086,4.878162e-07,3.075246e-03,0
106,75.596888,3.777940e-07,2.613331e-03,0
107,76.303606,3.945826e-07,3.356787e-03,0
108,77.010164,4.736114e-07,2.943439e-03,0
109,77.716863,3.992144e-07,2.783334e-03,0
110,78.423436,3.921606e-07,2.993207e-03,0
111,79.129998,3.908917e-07,3.466584e-03,0
112,79.836554,3.653874e-07,2.816588e-03,0
113,80.543159,4.633879e-07,3.011836e-03,0
114,81.249750,4.674695e-07,3.700763e-03,0
115,81.956314,5.117745e-07,2.876507e-03,0
116,82.662823,5.099142e-07,3.560661e-03,0
117,83.369311,4.862339e-07,3.091259e-03,0
118,84.075846,4.436674e-07,3.100486e-03,0
119,84.782446,5.877035e-07,3.633175e-03,0
120,85.488947,4.450739e-07,3.416263e-03,0
