window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703749,0.000000e+00,0.000000e+00,4
1,1.410100,0.000000e+00,0.000000e+00,4
2,2.116339,0.000000e+00,0.000000e+00,4
3,2.822603,0.000000e+00,0.000000e+00,4
4,3.528861,0.000000e+00,0.000000e+00,4
5,4.235095,0.000000e+00,0.000000e+00,4
6,4.941353,0.000000e+00,0.000000e+00,4
7,5.647623,0.000000e+00,0.000000e+00,4
8,6.354064,0.000000e+00,0.000000e+00,4
9,7.060610,0.000000e+00,0.000000e+00,4
10,7.767089,0.000000e+00,0.000000e+00,4
11,8.473483,0.000000e+00,0.000000e+00,4
12,9.179858,0.000000e+00,0.000000e+00,4
13,9.886243,0.000000e+00,0.000000e+00,4
14,10.592638,0.000000e+00,0.000000e+00,4
15,11.298990,0.000000e+00,0.000000e+00,4
16,12.005333,0.000000e+00,0.000000e+00,4
17,12.711703,0.000000e+00,0.000000e+00,4
18,13.418083,0.000000e+00,0.000000e+00,4
19,14.124398,0.000000e+00,0.000000e+00,4
20,14.830797,0.000000e+00,0.000000e+00,4
21,15.537162,0.000000e+00,0.000000e+00,4
22,16.243506,0.000000e+00,0.000000e+00,4
23,16.949843,0.000000e+00,0.000000e+00,4
24,17.656182,0.000000e+00,0.000000e+00,4
25,18.362439,0.000000e+00,0.000000e+00,4
26,19.068769,0.000000e+00,0.000000e+00,4
27,19.775117,0.000000e+00,0.000000e+00,4
28,20.481452,0.000000e+00,0.000000e+00,4
29,21.187817,0.000000e+00,0.000000e+00,4
30,21.894185,0.000000e+00,0.000000e+00,4
31,22.600559,0.000000e+00,0.000000e+00,4
32,23.306904,0.000000e+00,0.000000e+00,4
33,24.013235,0.000000e+00,0.000000e+00,4
34,24.719559,0.000000e+00,0.000000e+00,4
35,25.425881,0.000000e+00,0.000000e+00,4
36,26.132249,0.000000e+00,0.000000e+00,4
37,26.838596,0.000000e+00,0.000000e+00,4
38,27.544879,0.000000e+00,0.000000e+00,4
39,28.251222,0.000000e+00,0.000000e+00,4
40,28.957498,0.000000e+00,0.000000e+00,4
41,29.663794,0.000000e+00,0.000000e+00,4
42,30.370110,0.000000e+00,0.000000e+00,4
43,31.076428,0.000000e+00,0.000000e+00,4
44,31.782727,0.000000e+00,0.000000e+00,4
45,32.489065,0.000000e+00,0.000000e+00,4
46,33.195389,0.000000e+00,0.000000e+00,4
47,33.901918,0.000000e+00,0.000000e+00,4
48,34.608088,0.000000e+00,0.000000e+00,4
49,35.314722,0.000000e+00,0.000000e+00,4
50,36.020766,0.000000e+00,0.000000e+00,4
51,36.727082,0.000000e+00,0.000000e+00,4
52,37.433431,0.000000e+00,0.000000e+00,4
53,38.139770,0.000000e+00,0.000000e+00,4
54,38.846083,0.000000e+00,0.000000e+00,4
55,39.552436,0.000000e+00,0.000000e+00,4
56,40.258749,0.000000e+00,0.000000e+00,4
57,40.965325,0.000000e+00,0.000000e+00,4
58,41.671873,0.000000e+00,0.000000e+00,4
59,42.378242,0.000000e+00,0.000000e+00,4
60,43.084612,0.000000e+00,0.000000e+00,4
61,43.790934,0.000000e+00,0.000000e+00,4
62,44.497245,0.000000e+00,0.000000e+00,4
63,45.203550,0.000000e+00,0.000000e+00,4
64,45.909862,0.000000e+00,0.000000e+00,4
65,46.616238,0.000000e+00,0.000000e+00,4
66,47.322654,0.000000e+00,0.000000e+00,4
67,48.029007,0.000000e+00,0.000000e+00,4
68,48.735446,0.000000e+00,0.000000e+00,4
69,49.441740,0.000000e+00,0.000000e+00,4
70,50.148059,0.000000e+00,0.000000e+00,4
71,50.854364,0.000000e+00,0.000000e+00,4
72,51.560651,0.000000e+00,0.000000e+00,4
73,52.266891,0.000000e+00,0.000000e+00,4
74,52.973116,0.000000e+00,0.000000e+00,4
75,53.679359,0.000000e+00,0.000000e+00,4
76,54.385617,0.000000e+00,0.000000e+00,4
77,55.091905,0.000000e+00,0.000000e+00,4
78,55.798190,0.000000e+00,0.000000e+00,4
79,56.504485,0.000000e+00,0.000000e+00,4
80,57.210794,0.000000e+00,0.000000e+00,4
81,57.917078,0.000000e+00,0.000000e+00,4
82,58.623369,0.000000e+00,0.000000e+00,4
83,59.329617,0.000000e+00,0.000000e+00,4
84,60.035846,0.000000e+00,0.000000e+00,4
85,60.742135,0.000000e+00,0.000000e+00,4
86,61.448432,0.000000e+00,0.000000e+00,4
87,62.154725,0.000000e+00,0.000000e+00,4
88,62.861002,0.000000e+00,0.000000e+00,4
89,63.567288,0.000000e+00,0.000000e+00,4
90,64.273605,0.000000e+00,0.000000e+00,4
91,64.979916,0.000000e+00,0.000000e+00,4
92,65.686218,0.000000e+00,0.000000e+00,4
93,66.392525,0.000000e+00,0.000000e+00,4
94,67.098841,0.000000e+00,0.000000e+00,4
95,67.805130,0.000000e+00,0.000000e+00,4
96,68.511426,0.000000e+00,0.000000e+00,4
97,69.217735,0.000000e+00,0.000000e+00,4
98,69.923986,0.000000e+00,0.000000e+00,4
99,70.630294,0.000000e+00,0.000000e+00,4
100,71.336606,0.000000e+00,0.000000e+00,4
101,72.042929,0.000000e+00,0.000000e+00,4
102,72.749237,0.000000e+00,0.000000e+00,4
103,73.455767,0.000000e+00,0.000000e+00,4
104,74.162256,0.000000e+00,0.000000e+00,4
105,74.868647,0.000000e+00,0.000000e+00,4
106,75.574998,0.000000e+00,0.000000e+00,4
107,76.281267,0.000000e+00,0.000000e+00,4
108,76.987562,0.000000e+00,0.000000e+00,4
109,77.693822,0.000000e+00,0.000000e+00,4
110,78.400154,0.000000e+00,0.000000e+00,4
111,79.106450,0.000000e+00,0.000000e+00,4
112,79.812753,0.000000e+00,0.000000e+00,4
113,80.518937,0.000000e+00,0.000000e+00,4
114,81.225131,0.000000e+00,0.000000e+00,4
115,81.931370,0.000000e+00,0.000000e+00,4
116,82.637635,0.000000e+00,0.000000e+00,4
117,83.343926,0.000000e+00,0.000000e+00,4
118,84.050182,0.000000e+00,0.000000e+00,4
119,84.756459,0.000000e+00,0.000000e+00,4
120,85.462720,0.000000e+00,0.000000e+00,4
121,86.169000,0.000000e+00,0.000000e+00,4
122,86.875284,0.000000e+00,0.000000e+00,4
123,87.581606,0.000000e+00,0.000000e+00,4
124,88.287922,0.000000e+00,0.000000e+00,4
125,88.994212,0.000000e+00,0.000000e+00,4
126,89.700492,0.000000e+00,0.000000e+00,4
127,90.406742,0.000000e+00,0.000000e+00,4
128,91.112955,0.000000e+00,0.000000e+00,4
129,91.819172,0.000000e+00,0.000000e+00,4
130,92.525419,0.000000e+00,0.000000e+00,4
131,93.231656,0.000000e+00,0.000000e+00,4
132,93.937931,0.000000e+00,0.000000e+00,4
133,94.644181,0.000000e+00,0.000000e+00,4
134,95.350415,0.000000e+00,0.000000e+00,4
135,96.056647,0.000000e+00,0.000000e+00,4
136,96.762820,0.000000e+00,0.000000e+00,4
137,97.468974,0.000000e+00,0.000000e+00,4
138,98.175198,0.000000e+00,0.000000e+00,4
139,98.881416,0.000000e+00,0.000000e+00,4
140,99.587637,0.000000e+00,0.000000e+00,4
141,100.293823,0.000000e+00,0.000000e+00,4
142,101.000205,0.000000e+00,0.000000e+00,4
143,101.706357,0.000000e+00,0.000000e+00,4
144,102.412842,0.000000e+00,0.000000e+00,4
145,103.119315,0.000000e+00,0.000000e+00,4
146,103.825850,0.000000e+00,0.000000e+00,4
147,104.531846,0.000000e+00,0.000000e+00,4
148,105.255813,0.000000e+00,0.000000e+00,4
149,105.944369,0.000000e+00,0.000000e+00,4
150,106.650629,0.000000e+00,0.000000e+00,4
151,107.356872,0.000000e+00,0.000000e+00,4
152,108.063108,0.000000e+00,0.000000e+00,4
153,108.769349,0.000000e+00,0.000000e+00,4
154,109.475600,0.000000e+00,0.000000e+00,4
155,110.181842,0.000000e+00,0.000000e+00,4
156,110.888095,0.000000e+00,0.000000e+00,4
157,111.594371,0.000000e+00,0.000000e+00,4
158,112.300615,0.000000e+00,0.000000e+00,4
159,113.006847,0.000000e+00,0.000000e+00,4
160,113.712986,0.000000e+00,0.000000e+00,4
161,114.419190,0.000000e+00,0.000000e+00,4
162,115.125361,0.000000e+00,0.000000e+00,4
163,115.831515,0.000000e+00,0.000000e+00,4
164,116.537717,0.000000e+00,0.000000e+00,4
165,117.243881,0.000000e+00,0.000000e+00,4
166,117.950040,0.000000e+00,0.000000e+00,4
167,118.656211,0.000000e+00,0.000000e+00,4
168,119.362470,0.000000e+00,0.000000e+00,4
169,120.068579,0.000000e+00,0.000000e+00,4
170,120.774759,0.000000e+00,0.000000e+00,4
171,121.480948,0.000000e+00,0.000000e+00,4
172,122.187140,0.000000e+00,0.000000e+00,4
173,122.893335,0.000000e+00,0.000000e+00,4
174,123.599589,0.000000e+00,0.000000e+00,4
175,124.305898,0.000000e+00,0.000000e+00,4
176,125.012220,0.000000e+00,0.000000e+00,4
177,125.718483,0.000000e+00,0.000000e+00,4
178,126.424761,0.000000e+00,0.000000e+00,4
179,127.131267,0.000000e+00,0.000000e+00,4
180,127.837306,0.000000e+00,0.000000e+00,4
181,128.543550,0.000000e+00,0.000000e+00,4
182,129.249780,0.000000e+00,0.000000e+00,4
183,129.956031,0.000000e+00,0.000000e+00,4
184,130.662271,0.000000e+00,0.000000e+00,4
185,131.368472,0.000000e+00,0.000000e+00,4
186,132.074704,0.000000e+00,0.000000e+00,4
187,132.780923,0.000000e+00,0.000000e+00,4
188,133.487103,0.000000e+00,0.000000e+00,4
189,134.193234,0.000000e+00,0.000000e+00,4
190,134.899486,0.000000e+00,0.000000e+00,4
191,135.605686,0.000000e+00,0.000000e+00,4
192,136.311879,0.000000e+00,0.000000e+00,4
193,137.018136,0.000000e+00,0.000000e+00,4
194,137.724425,0.000000e+00,0.000000e+00,4
195,138.430862,0.000000e+00,0.000000e+00,4
196,139.137219,0.000000e+00,0.000000e+00,4
197,139.843437,0.000000e+00,0.000000e+00,4
198,140.549673,0.000000e+00,0.000000e+00,4
199,141.255844,0.000000e+00,0.000000e+00,4
200,141.961986,0.000000e+00,0.000000e+00,4
201,142.668236,0.000000e+00,0.000000e+00,4
202,143.374436,0.000000e+00,0.000000e+00,4
203,144.080641,0.000000e+00,0.000000e+00,4
204,144.786846,0.000000e+00,0.000000e+00,4
205,145.493030,0.000000e+00,0.000000e+00,4
206,146.199187,0.000000e+00,0.000000e+00,4
207,146.905340,0.000000e+00,0.000000e+00,4
208,147.611465,0.000000e+00,0.000000e+00,4
209,148.317656,0.000000e+00,0.000000e+00,4
210,149.023845,0.000000e+00,0.000000e+00,4
211,149.730219,0.000000e+00,0.000000e+00,4
212,150.436249,0.000000e+00,0.000000e+00,4
213,151.142449,0.000000e+00,0.000000e+00,4
214,151.848594,0.000000e+00,0.000000e+00,4
215,152.554742,0.000000e+00,0.000000e+00,4
216,153.260845,0.000000e+00,0.000000e+00,4
217,153.966948,0.000000e+00,0.000000e+00,4
218,154.673027,0.000000e+00,0.000000e+00,4
219,155.379058,0.000000e+00,0.000000e+00,4
220,156.085181,0.000000e+00,0.000000e+00,4
221,156.791326,0.000000e+00,0.000000e+00,4
222,157.497478,0.000000e+00,0.000000e+00,4
223,158.203620,0.000000e+00,0.000000e+00,4
224,158.909766,0.000000e+00,0.000000e+00,4
225,159.616003,0.000000e+00,0.000000e+00,4
226,160.322311,0.000000e+00,0.000000e+00,4
227,161.028436,0.000000e+00,0.000000e+00,4
228,161.734593,0.000000e+00,0.000000e+00,4
229,162.440732,0.000000e+00,0.000000e+00,4
230,163.146988,0.000000e+00,0.000000e+00,4
231,163.853006,0.000000e+00,0.000000e+00,4
232,164.559084,0.000000e+00,0.000000e+00,4
233,165.265134,0.000000e+00,0.000000e+00,4
234,165.971225,0.000000e+00,0.000000e+00,4
235,166.677403,0.000000e+00,0.000000e+00,4
236,167.383566,0.000000e+00,0.000000e+00,4
237,168.089728,0.000000e+00,0.000000e+00,4
238,168.795943,0.000000e+00,0.000000e+00,4
239,169.502152,0.000000e+00,0.000000e+00,4
240,170.208328,0.000000e+00,0.000000e+00,4
241,170.914597,0.000000e+00,0.000000e+00,4
242,171.620973,0.000000e+00,0.000000e+00,4
243,172.327279,0.000000e+00,0.000000e+00,4
244,173.033439,0.000000e+00,0.000000e+00,4
245,173.739616,0.000000e+00,0.000000e+00,4
246,174.445877,0.000000e+00,0.000000e+00,4
247,175.152089,0.000000e+00,0.000000e+00,4
248,175.858231,0.000000e+00,0.000000e+00,4
249,176.564447,0.000000e+00,0.000000e+00,4
250,177.270653,0.000000e+00,0.000000e+00,4
251,177.976866,0.000000e+00,0.000000e+00,4
252,178.683038,0.000000e+00,0.000000e+00,4
253,179.389241,0.000000e+00,0.000000e+00,4
254,180.095438,0.000000e+00,0.000000e+00,4
255,180.801654,0.000000e+00,0.000000e+00,4
256,181.507894,0.000000e+00,0.000000e+00,4
257,182.214072,0.000000e+00,0.000000e+00,4
258,182.920270,0.000000e+00,0.000000e+00,4
259,183.626480,0.000000e+00,0.000000e+00,4
260,184.332667,0.000000e+00,0.000000e+00,4
261,185.038854,0.000000e+00,0.000000e+00,4
262,185.745053,0.000000e+00,0.000000e+00,4
263,186.451250,0.000000e+00,0.000000e+00,4
264,187.157455,0.000000e+00,0.000000e+00,4
265,187.863649,0.000000e+00,0.000000e+00,4
266,188.569816,0.000000e+00,0.000000e+00,4
267,189.276027,0.000000e+00,0.000000e+00,4
268,189.982168,0.000000e+00,0.000000e+00,4
269,190.688365,0.000000e+00,0.000000e+00,4
270,191.394542,0.000000e+00,0.000000e+00,4
271,192.100731,0.000000e+00,0.000000e+00,4
272,192.806928,0.000000e+00,0.000000e+00,4
273,193.513104,0.000000e+00,0.000000e+00,4
274,194.219283,0.000000e+00,0.000000e+00,4
275,194.925633,0.000000e+00,0.000000e+00,4
276,195.632054,0.000000e+00,0.000000e+00,4
277,196.338309,0.000000e+00,0.000000e+00,4
278,197.044553,0.000000e+00,0.000000e+00,4
279,197.750779,0.000000e+00,0.000000e+00,4
280,198.457013,0.000000e+00,0.000000e+00,4
281,199.163165,0.000000e+00,0.000000e+00,4
282,199.869348,0.000000e+00,0.000000e+00,4
283,200.575554,0.000000e+00,0.000000e+00,4
284,201.281777,0.000000e+00,0.000000e+00,4
285,201.988023,0.000000e+00,0.000000e+00,4
286,202.694252,0.000000e+00,0.000000e+00,4
287,203.400581,0.000000e+00,0.000000e+00,4
288,204.106961,0.000000e+00,0.000000e+00,4
289,204.813347,0.000000e+00,0.000000e+00,4
290,205.519748,0.000000e+00,0.000000e+00,4
291,206.225996,0.000000e+00,0.000000e+00,4
292,206.932197,0.000000e+00,0.000000e+00,4
293,207.638406,0.000000e+00,0.000000e+00,4
294,208.344612,0.000000e+00,0.000000e+00,4
295,209.050809,0.000000e+00,0.000000e+00,4
296,209.757051,0.000000e+00,0.000000e+00,4
297,210.463264,0.000000e+00,0.000000e+00,4
298,211.169478,0.000000e+00,0.000000e+00,4
299,211.875655,0.000000e+00,0.000000e+00,4
300,212.581831,0.000000e+00,0.000000e+00,4
301,213.288033,0.000000e+00,0.000000e+00,4
302,213.994252,0.000000e+00,0.000000e+00,4
303,214.700465,0.000000e+00,0.000000e+00,4
304,215.406707,0.000000e+00,0.000000e+00,4
305,216.113113,0.000000e+00,0.000000e+00,4
306,216.819536,0.000000e+00,0.000000e+00,4
307,217.525990,0.000000e+00,0.000000e+00,4
308,218.232450,0.000000e+00,0.000000e+00,4
309,218.938896,0.000000e+00,0.000000e+00,4
310,219.645308,0.000000e+00,0.000000e+00,4
311,220.351705,0.000000e+00,0.000000e+00,4
312,221.058112,0.000000e+00,0.000000e+00,4
313,221.764575,0.000000e+00,0.000000e+00,4
314,222.470872,0.000000e+00,0.000000e+00,4
315,223.177132,0.000000e+00,0.000000e+00,4
316,223.883383,0.000000e+00,0.000000e+00,4
317,224.589650,0.000000e+00,0.000000e+00,4
318,225.295968,0.000000e+00,0.000000e+00,4
319,226.002222,0.000000e+00,0.000000e+00,4
320,226.708427,0.000000e+00,0.000000e+00,4
321,227.414670,0.000000e+00,0.000000e+00,4
322,228.120916,0.000000e+00,0.000000e+00,4
323,228.827122,0.000000e+00,0.000000e+00,4
324,229.533328,0.000000e+00,0.000000e+00,4
325,230.239575,0.000000e+00,0.000000e+00,4
326,230.945775,0.000000e+00,0.000000e+00,4
327,231.652051,0.000000e+00,0.000000e+00,4
328,232.358467,0.000000e+00,0.000000e+00,4
329,233.064660,0.000000e+00,0.000000e+00,4
330,233.770842,0.000000e+00,0.000000e+00,4
331,234.476984,0.000000e+00,0.000000e+00,4
332,235.183160,0.000000e+00,0.000000e+00,4
333,235.889367,0.000000e+00,0.000000e+00,4
334,236.595622,0.000000e+00,0.000000e+00,4
335,237.301861,0.000000e+00,0.000000e+00,4
336,238.008129,0.000000e+00,0.000000e+00,4
337,238.714365,0.000000e+00,0.000000e+00,4
338,239.420689,0.000000e+00,0.000000e+00,4
339,240.126957,0.000000e+00,0.000000e+00,4
340,240.833217,0.000000e+00,0.000000e+00,4
341,241.539486,0.000000e+00,0.000000e+00,4
342,242.245717,0.000000e+00,0.000000e+00,4
343,242.951984,0.000000e+00,0.000000e+00,4
344,243.658243,0.000000e+00,0.000000e+00,4
345,244.364522,0.000000e+00,0.000000e+00,4
346,245.070798,0.000000e+00,0.000000e+00,4
347,245.777214,0.000000e+00,0.000000e+00,4
348,246.483737,0.000000e+00,0.000000e+00,4
349,247.190116,0.000000e+00,0.000000e+00,4
350,247.896385,0.000000e+00,0.000000e+00,4
351,248.602669,0.000000e+00,0.000000e+00,4
352,249.308947,0.000000e+00,0.000000e+00,4
353,250.015209,0.000000e+00,0.000000e+00,4
354,250.721517,0.000000e+00,0.000000e+00,4
355,251.427817,0.000000e+00,0.000000e+00,4
356,252.134114,0.000000e+00,0.000000e+00,4
357,252.840392,0.000000e+00,0.000000e+00,4
358,253.546679,0.000000e+00,0.000000e+00,4
359,254.252966,0.000000e+00,0.000000e+00,4
360,254.959359,0.000000e+00,0.000000e+00,4
361,255.665826,0.000000e+00,0.000000e+00,4
362,256.372126,0.000000e+00,0.000000e+00,4
363,257.078427,0.000000e+00,0.000000e+00,4
364,257.784718,0.000000e+00,0.000000e+00,4
365,258.490982,0.000000e+00,0.000000e+00,4
366,259.197238,0.000000e+00,0.000000e+00,4
367,259.903555,0.000000e+00,0.000000e+00,4
368,260.609806,0.000000e+00,0.000000e+00,4
369,261.316065,0.000000e+00,0.000000e+00,4
370,262.022380,0.000000e+00,0.000000e+00,4
371,262.728682,0.000000e+00,0.000000e+00,4
372,263.434970,0.000000e+00,0.000000e+00,4
373,264.141233,0.000000e+00,0.000000e+00,4
374,264.847527,0.000000e+00,0.000000e+00,4
375,265.553795,0.000000e+00,0.000000e+00,4
376,266.260251,0.000000e+00,0.000000e+00,4
377,266.966331,0.000000e+00,0.000000e+00,4
378,267.672791,0.000000e+00,0.000000e+00,4
