window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703057,5.898583e-02,9.447774e-01,4
1,1.409375,1.451794e-03,2.408647e-01,4
2,2.115718,1.133824e-03,2.725487e-01,4
3,2.821949,1.497895e-03,2.615825e-01,4
4,3.528232,1.998360e-04,9.231196e-02,4
5,4.234555,1.336098e-03,2.115240e-01,4
6,4.940882,2.575075e-03,4.241630e-01,4
7,5.647104,7.544793e-05,5.017039e-02,4
8,6.353349,1.099166e-03,1.948726e-01,4
9,7.059651,3.167846e-03,4.283039e-01,4
10,7.765902,4.025229e-04,1.380886e-01,4
11,8.472104,7.663609e-04,2.186727e-01,4
12,9.178287,3.259410e-03,4.559004e-01,4
13,9.884408,1.043655e-03,2.418008e-01,4
14,10.590558,2.290080e-04,7.341085e-02,4
15,11.296695,1.280014e-03,2.321253e-01,4
16,12.002867,9.262933e-04,1.704681e-01,4
17,12.709054,2.896551e-04,1.153613e-01,4
18,13.415191,1.440657e-03,3.433379e-01,4
19,14.121313,1.294577e-03,2.413622e-01,4
20,14.827513,1.671434e-03,3.158477e-01,4
21,15.533672,4.172534e-04,2.182557e-01,4
22,16.239797,1.684003e-03,2.500714e-01,4
23,16.945991,1.073370e-03,2.130475e-01,4
24,17.652123,3.619750e-05,2.608928e-02,0
25,18.358294,1.009668e-03,2.364673e-01,4
26,19.064482,1.268644e-03,2.655516e-01,4
27,19.770645,3.775305e-04,1.554905e-01,4
28,20.476832,6.031641e-04,1.939618e-01,4
29,21.183096,1.706484e-03,3.065785e-01,4
30,21.889172,9.438857e-04,2.400630e-01,4
31,22.595350,2.676599e-04,1.113361e-01,4
32,23.301474,1.838449e-03,3.351487e-01,4
33,24.007688,1.140857e-03,2.023266e-01,4
34,24.713888,1.481517e-04,8.256008e-02,4
35,25.420102,3.424713e-03,4.641533e-01,4
36,26.126583,1.392101e-03,2.966576e-01,4
37,26.832988,8.539599e-04,2.569370e-01,4
38,27.539426,6.883725e-04,1.875680e-01,4
39,28.245677,8.584025e-04,2.135323e-01,4
40,28.951884,1.229127e-03,2.196697e-01,4
41,29.658136,3.888560e-05,2.742034e-02,0
42,30.364327,1.368727e-03,2.484090e-01,4
43,31.070508,1.742049e-03,2.919632e-01,4
44,31.776795,2.896855e-04,1.124621e-01,4
45,32.482941,9.707384e-04,2.563264e-01,4
46,33.189142,1.836657e-03,2.942056e-01,4
47,33.895359,7.339406e-04,1.672878e-01,4
48,34.601437,7.250602e-05,5.283615e-02,4
49,35.307661,1.909628e-03,2.652504e-01,4
50,36.013793,1.068592e-03,1.924748e-01,4
51,36.719961,2.156856e-04,8.430859e-02,4
52,37.426157,2.067842e-03,2.770548e-01,4
53,38.132413,1.003269e-03,1.968720e-01,4
54,38.838683,1.413161e-03,3.556410e-01,4
55,39.544899,1.076039e-03,2.260178e-01,4
56,40.250989,1.331940e-03,2.992002e-01,4
57,40.957208,1.580754e-03,3.051436e-01,4
58,41.663286,1.507831e-04,1.037738e-01,4
59,42.369405,9.494293e-04,2.232065e-01,4
60,43.075627,2.352507e-03,3.634681e-01,4
61,43.781754,3.318610e-04,1.236983e-01,4
62,44.487898,5.547852e-04,1.836244e-01,4
63,45.194124,2.138192e-03,2.877240e-01,4
64,45.900335,9.742809e-04,2.051258e-01,4
65,46.606812,1.816749e-04,7.797464e-02,4
66,47.312779,2.249361e-03,3.699699e-01,4
67,48.019078,1.828936e-03,3.294040e-01,4
68,48.725302,1.760602e-04,9.505609e-02,4
69,49.431506,1.943425e-03,2.938385e-01,4
70,50.137715,9.240967e-04,1.972582e-01,4
71,50.844008,7.221731e-04,1.643565e-01,4
72,51.550301,1.406831e-03,2.820963e-01,4
73,52.256708,1.268848e-03,2.106539e-01,4
74,52.962926,1.460491e-03,2.591137e-01,4
75,53.669267,6.378123e-05,3.280597e-02,0
76,54.375637,1.347189e-03,2.298540e-01,4
77,55.081928,1.920972e-03,2.916910e-01,4
78,55.788227,2.299255e-04,1.221501e-01,4
79,56.494497,5.058747e-04,1.330751e-01,4
80,57.200704,2.238051e-03,2.702902e-01,4
81,57.907029,1.405204e-03,3.257309e-01,4
82,58.613225,1.223505e-04,9.593348e-02,4
83,59.319405,1.762267e-03,2.192909e-01,4
84,60.025668,1.107263e-03,2.131848e-01,4
85,60.731944,1.507496e-04,8.158205e-02,4
86,61.438380,3.057275e-03,4.287212e-01,4
87,62.144882,1.418617e-03,2.771373e-01,4
88,62.851209,6.233114e-04,1.518636e-01,4
89,63.557495,1.288504e-03,2.489836e-01,4
90,64.263735,1.656953e-03,2.170891e-01,4
91,64.970004,1.443420e-03,2.428514e-01,4
92,65.676314,9.381987e-05,4.338970e-02,0
93,66.382591,1.304909e-03,2.094986e-01,4
94,67.088922,3.255235e-03,3.875290e-01,4
95,67.795252,4.933072e-04,1.549287e-01,4
96,68.501534,6.503731e-04,1.526181e-01,4
97,69.207795,1.733275e-03,2.306736e-01,4
98,69.914032,1.245271e-03,2.696153e-01,4
99,70.620238,3.674403e-04,1.207641e-01,4
100,71.326414,1.687759e-03,2.562020e-01,4
101,72.032646,1.236380e-03,1.562499e-01,4
102,72.739101,1.224012e-04,6.279581e-02,4
103,73.445371,2.724486e-03,4.220280e-01,4
104,74.151580,1.383144e-03,2.527828e-01,4
105,74.857785,2.827059e-04,8.090778e-02,4
106,75.564058,2.505462e-03,3.921768e-01,4
107,76.270265,1.432625e-03,2.244402e-01,4
108,76.976467,2.880340e-03,4.068013e-01,4
109,77.682551,1.733949e-04,6.011640e-02,4
110,78.388825,1.464807e-03,2.651039e-01,4
111,79.095438,1.544771e-03,2.792836e-01,4
112,79.801266,3.754595e-04,1.633713e-01,4
113,80.507561,8.412267e-04,1.967823e-01,4
114,81.213790,2.217427e-03,3.324903e-01,4
115,81.919978,9.131673e-04,2.390821e-01,4
116,82.626147,4.430914e-04,1.800593e-01,4
117,83.332379,3.335841e-03,4.239530e-01,4
118,84.038536,1.034277e-03,2.152784e-01,4
119,84.744700,1.054603e-04,7.700346e-02,4
120,85.450874,2.126709e-03,2.657412e-01,4
121,86.157052,8.212853e-04,1.786106e-01,4
122,86.863190,4.854150e-04,1.518815e-01,4
123,87.569339,1.294344e-03,2.501827e-01,4
124,88.275501,1.201291e-03,2.862691e-01,4
125,88.981653,1.920848e-03,3.324973e-01,4
126,89.687897,7.202451e-05,3.813423e-02,0
127,90.394092,1.216671e-03,1.974272e-01,4
128,91.100280,2.003882e-03,2.715605e-01,4
129,91.806566,2.467671e-04,1.180958e-01,4
130,92.512781,1.101598e-03,2.692645e-01,4
131,93.218943,3.156606e-03,4.360634e-01,4
132,93.925277,4.288775e-04,1.481080e-01,4
133,94.631377,4.706577e-04,1.344624e-01,4
134,95.337573,1.733768e-03,2.141737e-01,4
135,96.043843,1.191320e-03,2.322696e-01,4
136,96.750011,2.115334e-04,7.535754e-02,4
137,97.456279,2.439269e-03,3.449793e-01,4
138,98.162384,1.328964e-03,2.538796e-01,4
139,98.868570,2.758383e-04,1.257929e-01,4
140,99.574812,3.222103e-03,3.804331e-01,4
141,100.280922,1.416831e-03,3.444724e-01,4
142,100.987064,2.105147e-03,2.859290e-01,4
143,101.693267,1.728795e-04,6.235611e-02,4
144,102.399512,1.492023e-03,3.516991e-01,4
145,103.105852,3.900082e-03,4.514280e-01,4
146,103.812152,2.054974e-04,8.337139e-02,4
147,104.518339,1.016171e-03,2.555257e-01,4
148,105.224600,2.503976e-03,3.068765e-01,4
149,105.930769,7.614778e-04,2.014515e-01,4
150,106.636999,2.967791e-04,1.171947e-01,4
151,107.343221,3.364946e-03,4.345931e-01,4
152,108.049392,1.171327e-03,2.313882e-01,4
153,108.755597,2.682642e-04,8.613293e-02,4
154,109.461844,3.076106e-03,4.000713e-01,4
155,110.168006,1.167750e-03,2.782332e-01,4
156,110.874146,2.618260e-04,1.103966e-01,4
157,111.580312,2.446301e-03,3.052549e-01,4
158,112.286495,1.020474e-03,2.196748e-01,4
159,112.993011,1.524609e-03,2.481214e-01,4
160,113.698876,3.586055e-04,1.330416e-01,4
161,114.405122,1.310174e-03,2.498171e-01,4
162,115.111301,2.349341e-03,3.084925e-01,4
163,115.817511,2.275223e-04,1.118133e-01,4
164,116.523759,7.528015e-04,1.727298e-01,4
165,117.229853,3.491780e-03,4.625740e-01,4
166,117.936095,1.529327e-03,3.771133e-01,4
167,118.642261,3.520319e-04,1.815199e-01,4
168,119.348392,2.799171e-03,3.552278e-01,4
169,120.054634,1.126638e-03,2.284981e-01,4
170,120.760862,1.868785e-04,5.554517e-02,4
171,121.466992,3.689458e-03,4.121116e-01,4
172,122.173217,1.304434e-03,2.379800e-01,4
173,122.879387,2.191215e-04,1.101319e-01,4
174,123.585579,3.059461e-03,4.066933e-01,4
175,124.291750,1.374179e-03,2.228751e-01,4
176,124.997983,2.348063e-03,3.183188e-01,4
177,125.704238,2.799845e-04,9.814793e-02,4
178,126.410321,8.805876e-04,1.731312e-01,4
179,127.116463,3.466289e-03,4.301687e-01,4
180,127.822697,2.805285e-04,1.098448e-01,4
181,128.528831,9.212018e-04,1.821322e-01,4
182,129.234985,2.764923e-03,3.671612e-01,4
183,129.941238,1.237673e-03,3.069261e-01,4
184,130.647326,1.091563e-04,7.403080e-02,4
185,131.353580,2.908120e-03,3.722300e-01,4
186,132.059717,7.272057e-04,1.860669e-01,4
187,132.766112,1.348446e-04,6.312101e-02,4
188,133.472424,2.032431e-03,3.063655e-01,4
189,134.178522,1.296017e-03,2.725908e-01,4
190,134.884664,5.160545e-04,1.637896e-01,4
191,135.590840,1.591699e-03,2.566787e-01,4
192,136.296996,9.482587e-04,2.032146e-01,4
193,137.003249,1.827513e-03,2.502193e-01,4
194,137.709476,1.503705e-04,5.041097e-02,4
195,138.415915,1.831397e-03,2.981997e-01,4
196,139.122061,2.915394e-03,4.106591e-01,4
197,139.828259,2.425667e-04,9.937760e-02,4
198,140.534482,9.655625e-04,2.312603e-01,4
199,141.240723,3.570650e-03,4.744096e-01,4
200,141.946892,7.149267e-04,2.160723e-01,4
201,142.653197,5.075582e-04,1.964340e-01,4
202,143.359551,2.267527e-03,2.466821e-01,4
