window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703509,5.910894e-02,9.308904e-01,4
1,1.409901,8.507314e-06,1.169102e-02,0
2,2.116313,8.191862e-07,5.867315e-03,0
3,2.822860,3.613597e-07,2.503044e-03,0
4,3.529411,5.183948e-07,3.455163e-03,0
5,4.235872,5.758558e-07,3.459527e-03,0
6,4.942377,5.130343e-07,3.433079e-03,0
7,5.648881,3.458927e-07,2.697145e-03,0
8,6.355439,5.786507e-07,4.083547e-03,0
9,7.061701,4.577587e-07,3.354277e-03,0
10,7.768024,4.524300e-07,3.310812e-03,0
11,8.474457,4.189291e-07,3.112946e-03,0
12,9.180601,6.582690e-07,4.543592e-03,0
13,9.886875,3.796541e-07,3.098733e-03,0
14,10.593100,1.249432e-06,8.270023e-03,0
15,11.299290,3.382100e-06,1.573860e-02,0
16,12.005558,4.687505e-07,3.626419e-03,0
17,12.711690,3.990535e-07,2.872970e-03,0
18,13.417867,1.626383e-06,1.047342e-02,0
19,14.124116,8.370754e-07,6.252095e-03,0
20,14.830339,4.757184e-07,4.755046e-03,0
21,15.536689,5.149204e-07,3.290239e-03,0
22,16.242876,5.641936e-07,4.337353e-03,0
23,16.949148,5.797991e-07,3.306522e-03,0
24,17.655410,4.701748e-07,3.795168e-03,0
25,18.361656,4.124937e-07,2.908086e-03,0
26,19.067993,5.498978e-07,3.948663e-03,0
27,19.774287,4.576807e-07,2.953405e-03,0
28,20.480520,3.623008e-07,2.986904e-03,0
29,21.186863,4.416686e-07,2.758262e-03,0
30,21.893065,4.717017e-07,3.489300e-03,0
31,22.599356,3.757658e-07,2.723984e-03,0
32,23.305674,4.137346e-07,3.717263e-03,0
33,24.011903,3.948849e-07,3.218327e-03,0
34,24.718149,5.369617e-07,2.892548e-03,0
35,25.424430,3.633724e-07,2.961953e-03,0
36,26.130910,4.172847e-07,2.764959e-03,0
37,26.837322,4.132758e-07,2.970132e-03,0
38,27.543585,3.807198e-07,3.043657e-03,0
39,28.249797,3.691987e-07,3.204043e-03,0
40,28.956112,6.020324e-07,4.330482e-03,0
41,29.662244,4.645544e-07,4.052661e-03,0
42,30.368412,4.972851e-07,4.022321e-03,0
43,31.074573,4.061586e-07,3.632039e-03,0
44,31.780722,4.761413e-07,3.876088e-03,0
45,32.486953,2.867781e-07,2.689006e-03,0
46,33.193124,3.920303e-07,3.286732e-03,0
47,33.899345,5.406699e-07,4.645393e-03,0
48,34.605580,5.331074e-07,4.530398e-03,0
49,35.311756,5.503821e-07,3.489456e-03,0
50,36.017902,4.170647e-07,3.754721e-03,0
51,36.724117,3.659161e-07,2.930136e-03,0
52,37.430314,2.362591e-04,1.656299e-01,4
53,38.136513,1.240428e-04,1.076086e-01,4
54,38.842915,1.391380e-06,6.459356e-03,0
55,39.549216,4.578958e-07,3.804964e-03,0
56,40.255429,3.938580e-07,2.736379e-03,0
57,40.961621,3.503495e-07,2.816347e-03,0
58,41.667887,3.920274e-07,2.960900e-03,0
59,42.374113,3.033590e-06,1.144551e-02,0
