window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703057,0.000000e+00,0.000000e+00,4
1,1.409375,0.000000e+00,0.000000e+00,4
2,2.115718,0.000000e+00,0.000000e+00,4
3,2.821949,0.000000e+00,0.000000e+00,4
4,3.528232,0.000000e+00,0.000000e+00,4
5,4.234555,0.000000e+00,0.000000e+00,4
6,4.940882,0.000000e+00,0.000000e+00,4
7,5.647104,0.000000e+00,0.000000e+00,4
8,6.353349,0.000000e+00,0.000000e+00,4
9,7.059651,0.000000e+00,0.000000e+00,4
10,7.765902,0.000000e+00,0.000000e+00,4
11,8.472104,0.000000e+00,0.000000e+00,4
12,9.178287,0.000000e+00,0.000000e+00,4
13,9.884408,0.000000e+00,0.000000e+00,4
14,10.590558,0.000000e+00,0.000000e+00,4
15,11.296695,0.000000e+00,0.000000e+00,4
16,12.002867,0.000000e+00,0.000000e+00,4
17,12.709054,0.000000e+00,0.000000e+00,4
18,13.415191,0.000000e+00,0.000000e+00,4
19,14.121313,0.000000e+00,0.000000e+00,4
20,14.827513,0.000000e+00,0.000000e+00,4
21,15.533672,0.000000e+00,0.000000e+00,4
22,16.239797,0.000000e+00,0.000000e+00,4
23,16.945991,0.000000e+00,0.000000e+00,4
24,17.652123,0.000000e+00,0.000000e+00,4
25,18.358294,0.000000e+00,0.000000e+00,4
26,19.064482,0.000000e+00,0.000000e+00,4
27,19.770645,0.000000e+00,0.000000e+00,4
28,20.476832,0.000000e+00,0.000000e+00,4
29,21.183096,0.000000e+00,0.000000e+00,4
30,21.889172,0.000000e+00,0.000000e+00,4
31,22.595350,0.000000e+00,0.000000e+00,4
32,23.301474,0.000000e+00,0.000000e+00,4
33,24.007688,0.000000e+00,0.000000e+00,4
34,24.713888,0.000000e+00,0.000000e+00,4
35,25.420102,0.000000e+00,0.000000e+00,4
36,26.126583,0.000000e+00,0.000000e+00,4
37,26.832988,0.000000e+00,0.000000e+00,4
38,27.539426,0.000000e+00,0.000000e+00,4
39,28.245677,0.000000e+00,0.000000e+00,4
40,28.951884,0.000000e+00,0.000000e+00,4
