window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703509,0.000000e+00,0.000000e+00,0
1,1.409901,0.000000e+00,0.000000e+00,0
2,2.116313,0.000000e+00,0.000000e+00,0
3,2.822860,0.000000e+00,0.000000e+00,0
4,3.529411,0.000000e+00,0.000000e+00,0
5,4.235872,0.000000e+00,0.000000e+00,0
6,4.942377,0.000000e+00,0.000000e+00,0
7,5.648881,0.000000e+00,0.000000e+00,0
8,6.355439,0.000000e+00,0.000000e+00,0
9,7.061701,0.000000e+00,0.000000e+00,0
10,7.768024,0.000000e+00,0.000000e+00,0
11,8.474457,0.000000e+00,0.000000e+00,0
12,9.180601,0.000000e+00,0.000000e+00,0
13,9.886875,0.000000e+00,0.000000e+00,0
14,10.593100,0.000000e+00,0.000000e+00,0
15,11.299290,0.000000e+00,0.000000e+00,0
16,12.005558,0.000000e+00,0.000000e+00,0
17,12.711690,0.000000e+00,0.000000e+00,0
18,13.417867,0.000000e+00,0.000000e+00,0
19,14.124116,0.000000e+00,0.000000e+00,0
20,14.830339,0.000000e+00,0.000000e+00,0
21,15.536689,0.000000e+00,0.000000e+00,0
22,16.242876,0.000000e+00,0.000000e+00,0
23,16.949148,0.000000e+00,0.000000e+00,0
24,17.655410,0.000000e+00,0.000000e+00,0
25,18.361656,0.000000e+00,0.000000e+00,0
26,19.067993,0.000000e+00,0.000000e+00,0
27,19.774287,0.000000e+00,0.000000e+00,0
28,20.480520,0.000000e+00,0.000000e+00,0
29,21.186863,0.000000e+00,0.000000e+00,0
30,21.893065,0.000000e+00,0.000000e+00,0
31,22.599356,0.000000e+00,0.000000e+00,0
32,23.305674,0.000000e+00,0.000000e+00,0
33,24.011903,0.000000e+00,0.000000e+00,0
34,24.718149,0.000000e+00,0.000000e+00,0
35,25.424430,0.000000e+00,0.000000e+00,0
36,26.130910,0.000000e+00,0.000000e+00,0
37,26.837322,0.000000e+00,0.000000e+00,0
38,27.543585,0.000000e+00,0.000000e+00,0
39,28.249797,0.000000e+00,0.000000e+00,0
40,28.956112,0.000000e+00,0.000000e+00,0
41,29.662244,0.000000e+00,0.000000e+00,0
42,30.368412,0.000000e+00,0.000000e+00,0
43,31.074573,0.000000e+00,0.000000e+00,0
44,31.780722,0.000000e+00,0.000000e+00,0
45,32.486953,0.000000e+00,0.000000e+00,0
46,33.193124,0.000000e+00,0.000000e+00,0
47,33.899345,0.000000e+00,0.000000e+00,0
48,34.605580,0.000000e+00,0.000000e+00,0
49,35.311756,0.000000e+00,0.000000e+00,0
50,36.017902,0.000000e+00,0.000000e+00,0
51,36.724117,0.000000e+00,0.000000e+00,0
52,37.430314,0.000000e+00,0.000000e+00,0
53,38.136513,0.000000e+00,0.000000e+00,4
54,38.842915,0.000000e+00,0.000000e+00,0
55,39.549216,0.000000e+00,0.000000e+00,0
56,40.255429,0.000000e+00,0.000000e+00,0
57,40.961621,0.000000e+00,0.000000e+00,0
58,41.667887,0.000000e+00,0.000000e+00,0
59,42.374113,0.000000e+00,0.000000e+00,0
60,43.080370,0.000000e+00,0.000000e+00,0
61,43.786688,0.000000e+00,0.000000e+00,0
62,44.492926,0.000000e+00,0.000000e+00,0
63,45.199162,0.000000e+00,0.000000e+00,0
64,45.905483,0.000000e+00,0.000000e+00,0
65,46.611685,0.000000e+00,0.000000e+00,0
66,47.318103,0.000000e+00,0.000000e+00,0
67,48.024584,0.000000e+00,0.000000e+00,0
68,48.730803,0.000000e+00,0.000000e+00,0
69,49.437115,0.000000e+00,0.000000e+00,0
70,50.143393,0.000000e+00,0.000000e+00,0
71,50.849674,0.000000e+00,0.000000e+00,0
72,51.555968,0.000000e+00,0.000000e+00,0
73,52.262189,0.000000e+00,0.000000e+00,0
74,52.968517,0.000000e+00,0.000000e+00,0
75,53.674731,0.000000e+00,0.000000e+00,0
76,54.380994,0.000000e+00,0.000000e+00,0
77,55.087255,0.000000e+00,0.000000e+00,4
78,55.793436,0.000000e+00,0.000000e+00,0
79,56.499696,0.000000e+00,0.000000e+00,0
80,57.205945,0.000000e+00,0.000000e+00,0
81,57.912255,0.000000e+00,0.000000e+00,0
82,58.618641,0.000000e+00,0.000000e+00,0
83,59.324931,0.000000e+00,0.000000e+00,0
84,60.031204,0.000000e+00,0.000000e+00,0
85,60.737440,0.000000e+00,0.000000e+00,0
86,61.443649,0.000000e+00,0.000000e+00,0
87,62.149889,0.000000e+00,0.000000e+00,0
