window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.232204,4.712767e-02,7.165781e-01,4
1,0.467622,2.205138e-03,1.599182e-01,4
2,0.703057,1.746597e-04,6.552186e-02,4
3,0.938468,3.433536e-03,2.408647e-01,4
4,1.173993,4.389716e-05,2.614812e-02,0
5,1.409375,2.942415e-06,5.885174e-03,0
6,1.644823,4.091821e-04,1.010350e-01,4
7,1.880293,2.523636e-03,2.725487e-01,4
8,2.115718,3.146369e-04,7.160780e-02,4
9,2.351122,2.709053e-04,7.515575e-02,4
10,2.586543,4.494475e-06,7.726574e-03,0
11,2.821949,3.622990e-03,2.615825e-01,4
12,3.057347,5.169802e-04,9.231196e-02,4
13,3.292850,1.124161e-05,1.198928e-02,0
14,3.528232,7.197879e-07,3.366373e-03,0
15,3.763704,2.138129e-03,2.024793e-01,4
16,3.999228,1.340616e-03,1.244723e-01,4
17,4.234555,3.277613e-04,7.351340e-02,4
18,4.470452,4.988411e-05,3.757704e-02,4
19,4.705433,2.806534e-04,7.757883e-02,4
20,4.940882,7.079341e-03,4.241630e-01,4
21,5.176309,8.550016e-05,4.442797e-02,4
22,5.411719,2.747731e-06,7.208495e-03,0
23,5.647104,2.445610e-06,8.682025e-03,0
24,5.882521,2.042877e-03,1.742736e-01,4
25,6.118296,6.046750e-04,1.066874e-01,4
26,6.353349,8.209568e-05,3.432614e-02,4
27,6.588783,3.012439e-05,2.449083e-02,0
28,6.824220,7.693025e-03,4.283039e-01,4
29,7.059651,3.920788e-04,8.156891e-02,4
30,7.295054,1.382529e-05,1.257892e-02,0
31,7.530427,1.259816e-06,4.357918e-03,0
32,7.765902,9.667205e-04,1.380886e-01,4
33,8.001293,2.081696e-03,2.186727e-01,4
34,8.236694,1.194969e-04,4.116974e-02,4
35,8.472104,8.445980e-05,3.172056e-02,4
36,8.707510,5.541962e-04,1.216158e-01,4
37,8.942931,8.202229e-03,4.559004e-01,4
38,9.178287,9.280587e-05,3.781926e-02,4
39,9.413665,5.093269e-06,7.841752e-03,0
40,9.649009,3.470515e-04,9.655393e-02,4
41,9.884408,2.592343e-03,2.418008e-01,4
42,10.119753,3.550784e-04,7.249650e-02,4
43,10.355157,1.275833e-04,5.774311e-02,4
44,10.590558,1.532049e-04,5.902280e-02,4
45,10.825977,1.812468e-03,2.122352e-01,4
46,11.061343,1.785305e-03,1.681032e-01,4
47,11.296695,1.417454e-05,1.240003e-02,0
48,11.532094,1.186582e-06,4.465084e-03,0
49,11.767519,1.102535e-03,1.442653e-01,4
50,12.002867,1.604518e-03,1.704681e-01,4
51,12.238238,2.903565e-04,7.164490e-02,4
52,12.473680,6.138551e-05,3.196821e-02,4
53,12.709054,4.613891e-04,1.083512e-01,4
54,12.944433,4.185834e-03,3.433379e-01,4
55,13.179773,1.720149e-05,1.749761e-02,0
56,13.415191,1.835453e-06,5.009536e-03,0
57,13.650542,4.655449e-06,1.172917e-02,0
58,13.885928,2.995897e-03,2.413622e-01,4
59,14.121313,2.012331e-04,6.165607e-02,4
60,14.356670,6.638940e-05,3.338216e-02,4
61,14.592119,4.851822e-04,7.480194e-02,4
62,14.827513,4.267761e-03,3.158477e-01,4
63,15.062894,1.116316e-03,2.182557e-01,4
64,15.298218,7.313848e-06,1.089999e-02,0
65,15.533672,7.710144e-07,3.456007e-03,0
66,15.769015,1.247263e-03,1.521077e-01,4
67,16.004402,3.361365e-03,2.500714e-01,4
68,16.239797,2.285959e-04,6.817741e-02,4
69,16.475217,2.957063e-04,7.355507e-02,4
70,16.710624,5.581921e-04,8.932188e-02,4
71,16.945991,2.338856e-03,2.130475e-01,4
72,17.181370,2.742636e-05,1.946687e-02,0
73,17.416736,1.821298e-06,4.690263e-03,0
74,17.652123,5.044131e-07,2.907851e-03,0
75,17.887513,2.381039e-03,2.364673e-01,4
76,18.122897,2.619039e-04,8.466959e-02,4
77,18.358294,3.725747e-06,7.315690e-03,0
78,18.593691,7.134371e-07,3.358067e-03,0
79,18.829107,2.499953e-03,2.241701e-01,4
80,19.064482,6.685333e-04,1.222470e-01,4
81,19.299887,7.446477e-06,8.924757e-03,0
82,19.535275,6.193445e-07,3.329666e-03,0
83,19.770645,9.918864e-04,1.554905e-01,4
84,20.006034,1.758398e-03,1.939618e-01,4
85,20.241493,2.012181e-05,2.050578e-02,0
86,20.476832,1.563420e-06,4.970121e-03,0
87,20.712232,1.505677e-04,5.975177e-02,4
88,20.947616,4.554643e-03,3.065785e-01,4
89,21.183096,4.326989e-05,2.967657e-02,4
90,21.418361,1.949429e-06,4.733550e-03,0
91,21.653773,4.334712e-05,4.060424e-02,4
92,21.889172,2.618814e-03,2.400630e-01,4
93,22.124600,4.872421e-04,1.113361e-01,4
94,22.359977,5.403397e-05,2.709285e-02,0
95,22.595350,1.954563e-04,6.212363e-02,4
96,22.830701,2.917267e-03,2.913049e-01,4
97,23.066185,2.340898e-03,2.783352e-01,4
98,23.301474,9.961146e-06,1.146927e-02,0
99,23.536893,1.228251e-06,4.242501e-03,0
100,23.772288,8.299237e-04,1.467132e-01,4
101,24.007688,2.531548e-03,2.023266e-01,4
102,24.243092,7.742346e-05,4.173677e-02,4
103,24.478489,4.060454e-06,7.148479e-03,0
104,24.713888,2.784577e-04,8.165979e-02,4
105,24.949304,8.708937e-03,4.641533e-01,4
106,25.184713,9.737225e-05,3.364577e-02,4
107,25.420102,5.350402e-06,8.251067e-03,0
108,25.655520,6.410043e-05,4.262194e-02,4
109,25.891062,3.042860e-03,2.782376e-01,4
110,26.126583,2.174680e-04,7.098450e-02,4
111,26.362024,6.110234e-06,8.068775e-03,0
112,26.597497,4.536080e-07,2.423840e-03,0
113,26.832988,2.284181e-03,2.569370e-01,4
114,27.068471,2.028301e-03,1.875680e-01,4
115,27.303983,1.428155e-05,1.232750e-02,0
116,27.539426,8.578980e-07,3.526068e-03,0
117,27.774867,5.853989e-04,1.373587e-01,4
118,28.010251,1.871197e-03,2.135323e-01,4
119,28.245677,6.196865e-05,3.225914e-02,4
120,28.481081,7.948151e-05,3.813536e-02,4
121,28.716543,2.305817e-04,8.934557e-02,4
122,28.951884,3.228545e-03,2.196697e-01,4
123,29.187313,3.062240e-05,2.100229e-02,0
124,29.422720,1.686581e-06,4.011170e-03,0
125,29.658136,1.037706e-06,4.828058e-03,0
126,29.893578,2.997254e-03,2.484090e-01,4
127,30.128929,1.803600e-04,6.332763e-02,4
128,30.364327,2.362423e-04,5.028689e-02,4
129,30.599718,1.623898e-04,4.033974e-02,4
130,30.835118,2.666523e-03,2.396047e-01,4
131,31.070508,2.221308e-03,2.532689e-01,4
132,31.305905,1.120965e-05,1.197989e-02,0
133,31.541343,1.262472e-06,3.974834e-03,0
134,31.776795,6.820547e-04,1.124621e-01,4
135,32.012197,2.850310e-03,2.563264e-01,4
136,32.247563,1.816978e-05,1.691134e-02,0
137,32.482941,1.165241e-06,4.041899e-03,0
138,32.718314,2.560221e-04,7.350750e-02,4
139,32.953735,4.639355e-03,2.942056e-01,4
140,33.189142,4.325364e-05,2.574572e-02,0
141,33.424568,3.589932e-06,7.118032e-03,0
142,33.659961,4.920403e-07,2.677251e-03,0
143,33.895359,1.896326e-03,1.672878e-01,4
144,34.130677,1.282070e-04,5.283615e-02,4
145,34.366048,6.736475e-06,1.122097e-02,0
146,34.601437,9.551018e-07,4.629878e-03,0
147,34.836818,1.206638e-03,1.239016e-01,4
148,35.072209,4.027740e-03,2.652504e-01,4
149,35.307661,2.014318e-05,1.697672e-02,0
150,35.542981,1.792986e-06,5.397595e-03,0
151,35.778400,1.044235e-03,1.143819e-01,4
152,36.013793,2.079219e-03,1.924748e-01,4
153,36.249211,1.714406e-04,6.371573e-02,4
154,36.484574,1.125996e-04,4.077163e-02,4
155,36.719961,2.942118e-04,7.327320e-02,4
156,36.955346,4.884254e-03,2.770548e-01,4
157,37.190792,9.743818e-05,3.837775e-02,4
158,37.426157,6.263987e-06,9.283995e-03,0
159,37.661539,7.441974e-07,3.865263e-03,0
160,37.896958,2.064039e-03,1.968720e-01,4
161,38.132413,4.307236e-04,1.033729e-01,4
162,38.367892,1.081465e-05,1.444788e-02,0
163,38.603317,8.777603e-07,3.724668e-03,0
164,38.838683,3.826019e-03,3.556410e-01,4
165,39.074204,3.177794e-03,2.260178e-01,4
166,39.309502,1.757653e-05,1.501024e-02,0
167,39.544899,1.515172e-06,5.157758e-03,0
168,39.780323,7.356826e-04,1.330771e-01,4
169,40.015652,3.067005e-03,2.992002e-01,4
170,40.250989,2.072751e-05,1.649292e-02,0
171,40.486383,1.956738e-06,5.700242e-03,0
172,40.721756,1.609009e-04,6.300633e-02,4
173,40.957208,4.247163e-03,3.051436e-01,4
174,41.192547,9.642945e-05,4.247832e-02,4
175,41.427929,3.548199e-06,5.969676e-03,0
176,41.663286,1.129431e-04,5.548818e-02,4
177,41.898630,2.126682e-03,2.108981e-01,4
178,42.134023,1.781302e-04,6.764761e-02,4
179,42.369405,8.163862e-06,1.386557e-02,0
180,42.604798,8.491594e-07,3.374505e-03,0
181,42.840226,1.647466e-03,1.738756e-01,4
182,43.075627,5.089640e-03,3.634681e-01,4
183,43.310962,2.207201e-05,1.594070e-02,0
184,43.546330,1.530514e-06,4.113981e-03,0
185,43.781754,7.782844e-04,1.236983e-01,4
186,44.017096,1.247557e-03,1.836244e-01,4
187,44.252496,2.021275e-04,5.645252e-02,4
188,44.487898,8.810735e-05,3.697229e-02,4
189,44.723307,1.889490e-04,4.492911e-02,4
190,44.958719,4.777411e-03,2.773501e-01,4
191,45.194124,1.365889e-04,5.317451e-02,4
192,45.429510,5.778539e-06,9.154099e-03,0
193,45.664931,4.722228e-06,1.133039e-02,0
194,45.900335,2.439003e-03,2.051258e-01,4
195,46.135756,3.428952e-04,7.797464e-02,4
196,46.371148,8.835085e-05,4.187934e-02,4
197,46.606812,2.029462e-05,2.135749e-02,0
198,46.841945,9.853236e-04,1.474003e-01,4
199,47.077370,5.606982e-03,3.456929e-01,4
200,47.312779,1.378922e-05,1.245707e-02,0
201,47.548193,1.059536e-06,4.667710e-03,0
202,47.783618,1.882575e-03,2.385442e-01,4
203,48.019078,3.545221e-03,3.158109e-01,4
204,48.254432,1.673678e-05,1.603040e-02,0
205,48.489874,1.358716e-06,4.403886e-03,0
206,48.725302,3.669136e-04,9.505609e-02,4
207,48.960678,4.650586e-03,2.938385e-01,4
208,49.196096,1.260453e-04,4.458258e-02,4
209,49.431506,4.169162e-06,6.639813e-03,0
210,49.666908,5.402665e-07,3.582506e-03,0
211,49.902304,2.127178e-03,1.972582e-01,4
212,50.137715,2.070973e-04,7.365365e-02,4
213,50.373175,6.762657e-06,9.438796e-03,0
214,50.608602,5.833404e-07,2.844936e-03,0
215,50.844008,1.729992e-03,1.643565e-01,4
216,51.079431,4.148941e-03,2.820963e-01,4
217,51.314849,2.325893e-05,1.513424e-02,0
218,51.550301,1.963572e-06,4.903552e-03,0
219,51.785746,8.814569e-04,1.359785e-01,4
220,52.021187,2.544341e-03,2.106539e-01,4
221,52.256708,3.918629e-05,2.666401e-02,0
222,52.492121,2.608443e-05,1.870258e-02,0
223,52.727498,2.717748e-04,8.534583e-02,4
224,52.962926,3.964005e-03,2.591137e-01,4
225,53.198348,4.882568e-05,2.413888e-02,0
226,53.433781,3.137817e-06,6.490803e-03,0
227,53.669267,4.722496e-07,2.749862e-03,0
228,53.904672,2.656945e-03,2.298540e-01,4
229,54.140123,2.796797e-04,7.986574e-02,4
230,54.375637,3.054000e-04,7.148103e-02,4
231,54.611001,2.846245e-06,7.043651e-03,0
232,54.846455,7.178076e-04,1.332851e-01,4
233,55.081928,4.787629e-03,2.916910e-01,4
234,55.317368,1.588675e-05,1.410902e-02,0
235,55.552816,1.112946e-06,4.417285e-03,0
236,55.788227,5.444294e-04,1.221501e-01,4
237,56.023750,1.362341e-03,1.330751e-01,4
238,56.259098,1.851024e-05,1.461971e-02,0
239,56.494497,1.618059e-06,4.652824e-03,0
240,56.729890,2.981005e-04,8.316450e-02,4
241,56.965293,4.810587e-03,2.651363e-01,4
242,57.200704,1.201508e-04,4.508379e-02,4
243,57.436119,6.793434e-06,8.342124e-03,0
244,57.671533,8.983322e-07,3.725111e-03,0
245,57.907029,3.868192e-03,3.257309e-01,4
246,58.142419,2.857759e-04,9.593348e-02,4
247,58.377751,6.470571e-06,8.785801e-03,0
248,58.613225,6.929782e-07,2.596746e-03,0
249,58.848594,2.008716e-03,2.044736e-01,4
250,59.084013,2.790633e-03,1.912568e-01,4
251,59.319405,2.460845e-05,1.750523e-02,0
252,59.554806,1.455319e-06,4.599866e-03,0
253,59.790229,5.571324e-04,1.163685e-01,4
254,60.025668,2.637186e-03,2.131848e-01,4
255,60.261039,2.480156e-05,1.783158e-02,0
256,60.496456,2.798147e-06,6.531019e-03,0
257,60.731944,2.763168e-04,8.158205e-02,4
258,60.967407,7.409384e-03,4.287212e-01,4
259,61.202892,1.419204e-04,4.944304e-02,4
260,61.438380,6.304012e-06,8.856220e-03,0
261,61.673914,6.763610e-07,3.266582e-03,0
262,61.909390,2.852416e-03,2.316810e-01,4
263,62.144882,2.998993e-04,8.947811e-02,4
264,62.380339,7.789644e-06,1.020059e-02,0
265,62.615816,7.778532e-07,3.632793e-03,0
266,62.851209,1.466300e-03,1.518636e-01,4
267,63.086623,3.747778e-03,2.489836e-01,4
268,63.322097,3.289415e-05,1.917688e-02,0
269,63.557495,2.343025e-06,5.281439e-03,0
270,63.792919,1.697355e-03,2.157758e-01,4
271,64.028311,2.909162e-03,2.008857e-01,4
272,64.263735,4.882048e-05,2.877619e-02,4
273,64.499158,4.166894e-06,7.589236e-03,0
274,64.734588,1.808855e-04,6.886724e-02,4
275,64.970004,3.771488e-03,2.428514e-01,4
276,65.205437,7.996702e-05,3.519421e-02,4
277,65.440878,3.525170e-06,7.445363e-03,0
278,65.676314,8.743829e-07,3.743226e-03,0
279,65.911717,2.618208e-03,2.094986e-01,4
280,66.147179,3.270093e-04,7.162127e-02,4
281,66.382591,4.970186e-05,2.741593e-02,0
282,66.618014,7.255050e-05,2.874113e-02,4
283,66.853461,2.067879e-03,2.510339e-01,4
284,67.088922,7.439684e-03,3.875290e-01,4
285,67.324330,4.520304e-05,2.126585e-02,0
286,67.559810,2.166846e-06,5.586574e-03,0
287,67.795252,1.185147e-03,1.549287e-01,4
288,68.030673,1.775083e-03,1.526181e-01,4
289,68.266379,2.067586e-05,1.698974e-02,0
290,68.501534,2.204670e-06,6.278562e-03,0
291,68.736903,3.336015e-04,9.075040e-02,4
292,68.972434,2.871365e-03,1.993673e-01,4
293,69.207795,1.459002e-04,4.859062e-02,4
294,69.443252,8.918692e-06,1.118871e-02,0
295,69.678648,1.130110e-06,4.275563e-03,0
296,69.914032,3.379218e-03,2.696153e-01,4
297,70.149446,1.053869e-03,1.207641e-01,4
298,70.384843,1.139744e-05,1.145100e-02,0
299,70.620238,1.030197e-06,4.024145e-03,0
300,70.855678,1.183241e-03,1.766607e-01,4
301,71.091074,3.633560e-03,2.562020e-01,4
302,71.326414,1.779391e-05,1.390220e-02,0
303,71.561806,1.857525e-06,4.998417e-03,0
304,71.797223,8.306364e-04,1.244115e-01,4
305,72.032646,2.710447e-03,1.562499e-01,4
306,72.268122,4.704034e-05,2.546142e-02,0
307,72.503607,3.945540e-06,7.623546e-03,0
308,72.739101,1.171915e-04,5.632183e-02,4
309,72.974570,7.401468e-03,4.220280e-01,4
310,73.209942,5.559399e-05,2.430950e-02,0
311,73.445371,3.114297e-06,6.270071e-03,0
312,73.680766,4.623351e-07,2.890041e-03,0
313,73.916176,2.867348e-03,2.367900e-01,4
314,74.151580,5.060828e-04,9.215996e-02,4
315,74.386958,1.116290e-05,1.106881e-02,0
316,74.622383,1.146713e-06,4.012409e-03,0
317,74.857785,6.499768e-04,8.090778e-02,4
318,75.093241,7.403569e-03,3.921768e-01,4
319,75.328615,1.847544e-05,1.434907e-02,0
320,75.564058,1.279337e-06,3.703656e-03,0
321,75.799477,8.587559e-04,1.380590e-01,4
322,76.034887,3.099300e-03,2.244402e-01,4
323,76.270265,3.848428e-05,2.569640e-02,0
324,76.505712,2.015026e-06,5.980722e-03,0
325,76.741062,1.245189e-04,5.467866e-02,4
326,76.976467,7.808531e-03,4.068013e-01,4
327,77.211826,1.297811e-04,4.595480e-02,4
328,77.447228,7.483011e-06,9.993260e-03,0
329,77.682551,1.052236e-06,4.590788e-03,0
330,77.917959,2.987833e-03,2.651039e-01,4
331,78.153399,1.196144e-03,1.813496e-01,4
332,78.388825,1.654622e-05,1.788935e-02,0
333,78.624236,6.460221e-07,2.922144e-03,0
334,78.859658,2.929074e-03,2.626138e-01,4
335,79.095438,1.201102e-03,1.352823e-01,4
336,79.330421,1.707787e-05,1.469549e-02,0
337,79.565826,1.220179e-06,4.197383e-03,0
338,79.801266,1.009572e-03,1.633713e-01,4
339,80.036694,2.075037e-03,1.967823e-01,4
340,80.272134,9.279769e-05,4.355546e-02,4
341,80.507561,4.254522e-06,8.329879e-03,0
342,80.742917,1.304004e-04,4.737084e-02,4
343,80.978357,5.851050e-03,3.324903e-01,4
344,81.213790,5.028776e-05,2.692932e-02,0
345,81.449164,2.936225e-06,5.487511e-03,0
346,81.684583,6.120483e-07,3.686754e-03,0
347,81.919978,2.402186e-03,2.390821e-01,4
348,82.155390,1.244802e-03,1.800593e-01,4
349,82.390775,8.379620e-06,9.769071e-03,0
350,82.626147,8.315547e-07,3.895943e-03,0
351,82.861560,8.026846e-04,1.121438e-01,4
352,83.096981,8.829453e-03,4.239530e-01,4
353,83.332379,3.426626e-05,2.008780e-02,0
354,83.567769,1.830250e-06,5.209290e-03,0
355,83.803145,5.694121e-04,1.309330e-01,4
356,84.038536,2.487375e-03,2.152784e-01,4
357,84.273950,1.663349e-05,1.717395e-02,0
358,84.509339,1.136462e-06,5.210239e-03,0
359,84.744700,1.850387e-04,5.793403e-02,4
360,84.980554,4.199143e-03,2.442223e-01,4
361,85.215494,1.319511e-04,4.265583e-02,4
362,85.450874,8.544867e-06,1.018803e-02,0
363,85.686247,9.790783e-07,4.299335e-03,0
364,85.921658,1.529070e-03,1.786106e-01,4
365,86.157052,6.347207e-04,1.170369e-01,4
366,86.392440,1.007371e-05,1.186894e-02,0
367,86.627875,8.216210e-07,3.402889e-03,0
368,86.863190,1.159125e-03,1.518815e-01,4
369,87.098563,3.711508e-03,2.501827e-01,4
370,87.333921,3.266119e-05,1.894487e-02,0
371,87.569339,1.873367e-06,5.012638e-03,0
372,87.804820,1.188402e-03,1.716468e-01,4
373,88.040155,2.142445e-03,2.317589e-01,4
374,88.275501,6.380022e-05,2.978103e-02,4
375,88.510877,9.688333e-05,4.388579e-02,4
376,88.746244,1.584395e-04,4.713334e-02,4
377,88.981653,5.379786e-03,3.324973e-01,4
378,89.217073,5.562625e-05,2.963064e-02,4
379,89.452480,2.177702e-06,4.611201e-03,0
380,89.687897,5.946656e-07,2.934132e-03,0
381,89.923346,2.644469e-03,1.874255e-01,4
382,90.158737,4.119650e-04,1.024555e-01,4
383,90.394092,8.648397e-05,3.818014e-02,4
384,90.629490,9.629852e-05,3.956782e-02,4
385,90.864893,1.410561e-03,1.563025e-01,4
386,91.100280,4.417100e-03,2.715605e-01,4
387,91.335714,3.135950e-05,1.948565e-02,0
388,91.571400,1.971411e-06,4.317313e-03,0
389,91.806566,5.441057e-04,1.180958e-01,4
390,92.042008,2.836372e-03,2.692645e-01,4
391,92.277346,2.361039e-04,7.329894e-02,4
392,92.512781,7.778701e-05,3.479258e-02,4
393,92.748174,2.395521e-04,5.262575e-02,4
394,92.983581,8.298690e-03,4.360634e-01,4
395,93.218943,8.891182e-05,4.016488e-02,4
396,93.454402,4.966812e-06,7.423321e-03,0
397,93.689812,8.655476e-07,2.778524e-03,0
398,93.925277,1.164758e-03,1.481080e-01,4
399,94.160642,1.079403e-03,1.344624e-01,4
400,94.396004,1.714167e-04,4.811308e-02,4
401,94.631377,1.605428e-04,4.517251e-02,4
402,94.866722,1.164038e-03,1.617032e-01,4
403,95.102136,3.603474e-03,2.141737e-01,4
404,95.337573,3.148792e-05,1.964108e-02,0
405,95.572978,2.115454e-06,4.805041e-03,0
406,95.808396,1.275527e-03,1.979256e-01,4
407,96.043843,2.185193e-03,2.117114e-01,4
408,96.279243,1.411268e-04,5.079361e-02,4
409,96.514624,2.317355e-04,6.032443e-02,4
410,96.750011,1.791811e-04,6.402137e-02,4
411,96.985424,6.277269e-03,3.449793e-01,4
412,97.220889,8.014448e-05,3.268232e-02,4
413,97.456279,4.794588e-06,7.359182e-03,0
414,97.691669,7.230502e-07,3.572360e-03,0
415,97.927016,2.905460e-03,2.455017e-01,4
416,98.162384,5.509916e-04,1.222693e-01,4
417,98.397775,4.150595e-05,2.360138e-02,0
418,98.633161,1.206708e-04,4.535893e-02,4
419,98.868570,6.387205e-04,1.257929e-01,4
420,99.104017,9.150343e-03,3.804331e-01,4
421,99.339404,5.064446e-05,2.376956e-02,0
422,99.574812,2.932699e-06,5.726103e-03,0
423,99.810124,3.982633e-04,8.782807e-02,4
424,100.045555,3.629904e-03,3.444724e-01,4
425,100.280922,1.125629e-04,5.058263e-02,4
426,100.516290,1.110875e-04,4.018029e-02,4
427,100.751690,2.418783e-04,5.066023e-02,4
428,100.987064,5.548148e-03,2.859290e-01,4
429,101.222475,1.481898e-04,4.949057e-02,4
430,101.457900,6.649960e-06,8.301379e-03,0
431,101.693267,8.528824e-07,3.810251e-03,0
432,101.928689,2.989180e-03,2.733335e-01,4
433,102.164097,7.106689e-04,1.461965e-01,4
434,102.399512,5.673033e-05,3.870035e-02,4
435,102.634988,3.434822e-04,6.140258e-02,4
436,102.870419,7.321071e-04,1.209706e-01,4
437,103.105852,1.060162e-02,4.514280e-01,4
438,103.341303,4.530827e-05,2.174668e-02,0
