window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.232531,4.594140e-02,7.209655e-01,4
1,0.468068,2.245151e-03,1.595053e-01,4
2,0.703509,1.105883e-04,3.547048e-02,4
3,0.938979,9.714212e-06,1.047566e-02,0
4,1.174688,1.277130e-06,5.370982e-03,0
5,1.409901,9.057440e-07,4.052280e-03,0
6,1.645354,4.688979e-07,2.370501e-03,0
7,1.880826,1.222150e-06,5.867315e-03,0
8,2.116313,7.619590e-07,3.350387e-03,0
9,2.351838,4.048314e-07,2.232602e-03,0
10,2.587362,4.837727e-07,2.503044e-03,0
11,2.822860,1.934817e-07,1.781985e-03,0
12,3.058382,3.115015e-07,2.191532e-03,0
13,3.293912,5.563430e-07,3.024558e-03,0
14,3.529411,6.416010e-07,3.455163e-03,0
15,3.764899,4.899132e-07,3.253844e-03,0
16,4.000386,4.206075e-07,2.729902e-03,0
17,4.235872,7.348190e-07,3.081826e-03,0
18,4.471426,4.319975e-07,2.862852e-03,0
19,4.706940,4.782655e-07,3.009321e-03,0
20,4.942377,6.071267e-07,3.360383e-03,0
21,5.177898,3.537921e-07,2.390402e-03,0
22,5.413392,3.982701e-07,2.507404e-03,0
23,5.648881,2.800055e-07,1.979460e-03,0
24,5.884400,4.053420e-07,2.558792e-03,0
25,6.119936,7.476056e-07,3.396621e-03,0
26,6.355439,5.639989e-07,3.899894e-03,0
27,6.590866,5.041439e-07,2.549146e-03,0
28,6.826307,3.197929e-07,2.216739e-03,0
29,7.061701,4.520349e-07,2.675707e-03,0
30,7.297105,5.806876e-07,3.310812e-03,0
31,7.532511,3.804275e-07,2.193271e-03,0
32,7.768024,3.654661e-07,2.437316e-03,0
33,8.003531,4.593956e-07,3.112946e-03,0
34,8.239011,3.774779e-07,2.584689e-03,0
35,8.474457,4.056929e-07,2.500192e-03,0
36,8.709774,6.419173e-07,3.040379e-03,0
37,8.945209,5.287760e-07,3.106550e-03,0
38,9.180601,7.724883e-07,4.543592e-03,0
39,9.416035,5.162325e-07,3.049851e-03,0
40,9.651431,2.896255e-07,2.283275e-03,0
41,9.886875,3.100818e-07,2.484276e-03,0
42,10.122272,5.501697e-07,3.049357e-03,0
43,10.357687,2.150180e-06,8.270023e-03,0
44,10.593100,9.444601e-07,4.072528e-03,0
45,10.828497,4.079586e-07,2.333251e-03,0
46,11.063843,5.142119e-06,1.212645e-02,0
47,11.299290,4.164560e-06,8.324004e-03,0
48,11.534671,5.113563e-07,2.998519e-03,0
49,11.770126,4.709408e-07,2.580320e-03,0
50,12.005558,2.903887e-07,2.400536e-03,0
51,12.240904,4.743398e-07,2.801945e-03,0
52,12.476297,3.763893e-07,2.688257e-03,0
53,12.711690,3.234298e-07,2.089388e-03,0
54,12.947072,3.489928e-07,2.201530e-03,0
55,13.182514,2.430771e-07,1.895718e-03,0
56,13.417867,4.261332e-06,1.047342e-02,0
57,13.653297,1.552253e-06,6.252095e-03,0
58,13.888685,5.904846e-07,3.157567e-03,0
59,14.124116,3.524871e-07,2.140316e-03,0
60,14.359672,4.626437e-07,2.492889e-03,0
61,14.594950,2.418290e-07,1.733217e-03,0
62,14.830339,7.133688e-07,4.755046e-03,0
63,15.065769,4.292608e-07,2.953834e-03,0
64,15.301192,6.571458e-07,3.054218e-03,0
65,15.536689,3.508049e-07,2.558221e-03,0
66,15.772274,4.301224e-07,2.573881e-03,0
67,16.007506,8.465830e-07,4.337353e-03,0
68,16.242876,3.846023e-07,2.413049e-03,0
69,16.478309,7.158728e-07,3.161370e-03,0
70,16.713747,5.487167e-07,3.014583e-03,0
71,16.949148,4.747061e-07,3.038078e-03,0
72,17.184568,2.413229e-07,2.136244e-03,0
73,17.420062,4.940385e-07,2.945211e-03,0
74,17.655410,6.597149e-07,3.795168e-03,0
75,17.890790,4.689686e-07,2.526763e-03,0
76,18.126180,3.590725e-07,2.726960e-03,0
77,18.361656,4.092781e-07,2.339583e-03,0
78,18.597139,4.826834e-07,3.545107e-03,0
79,18.832575,6.036280e-07,3.558930e-03,0
80,19.067993,3.524805e-07,2.497259e-03,0
81,19.303422,4.152602e-07,2.311371e-03,0
82,19.538826,5.105831e-07,2.953405e-03,0
83,19.774287,3.930680e-07,2.137591e-03,0
84,20.009721,2.814447e-07,2.286473e-03,0
85,20.245368,3.021785e-07,2.758801e-03,0
86,20.480520,4.752258e-07,2.435700e-03,0
87,20.715951,2.949386e-07,2.280076e-03,0
88,20.951361,5.309213e-07,2.758262e-03,0
89,21.186863,4.936809e-07,2.258951e-03,0
90,21.422242,4.866849e-07,2.968302e-03,0
91,21.657702,5.597964e-07,3.489300e-03,0
92,21.893065,3.670983e-07,2.327566e-03,0
93,22.128488,3.782414e-07,2.312947e-03,0
94,22.363909,2.704737e-07,2.448620e-03,0
95,22.599356,4.538369e-07,2.654117e-03,0
96,22.834752,6.905427e-07,3.717263e-03,0
97,23.070267,2.413709e-07,2.041366e-03,0
98,23.305674,2.949961e-07,2.126668e-03,0
99,23.541065,4.447869e-07,2.615043e-03,0
100,23.776508,4.584057e-07,3.218327e-03,0
101,24.011903,2.735010e-07,2.021380e-03,0
102,24.247714,6.730939e-07,2.892548e-03,0
103,24.482725,3.550000e-07,2.400510e-03,0
104,24.718149,5.472054e-07,2.451429e-03,0
105,24.953604,2.744452e-07,2.210575e-03,0
106,25.189034,4.190825e-07,2.623069e-03,0
107,25.424430,3.827901e-07,2.630516e-03,0
108,25.659894,3.278212e-07,2.671216e-03,0
109,25.895387,5.620635e-07,2.560979e-03,0
110,26.130910,3.486515e-07,2.208180e-03,0
111,26.366404,5.945905e-07,2.970132e-03,0
112,26.601900,2.637962e-07,1.775082e-03,0
113,26.837322,3.806897e-07,2.535420e-03,0
114,27.072753,6.585353e-07,3.043657e-03,0
115,27.308266,2.412120e-07,1.835306e-03,0
116,27.543585,2.313445e-07,1.877920e-03,0
117,27.779025,2.428414e-07,2.101453e-03,0
118,28.014443,5.046812e-07,3.204043e-03,0
119,28.249797,3.228223e-07,2.697434e-03,0
120,28.485238,3.430436e-07,2.507958e-03,0
121,28.720685,5.056264e-07,2.734883e-03,0
122,28.956112,9.174605e-07,4.330482e-03,0
123,29.191418,2.983674e-07,2.050217e-03,0
124,29.426827,3.757343e-07,2.715089e-03,0
125,29.662244,6.159813e-07,3.750006e-03,0
126,29.897631,4.856903e-07,2.752386e-03,0
127,30.133020,3.421399e-07,2.301710e-03,0
128,30.368412,6.603199e-07,4.022321e-03,0
129,30.603858,6.409301e-07,3.194964e-03,0
130,30.839219,2.937734e-07,2.190025e-03,0
131,31.074573,2.824067e-07,2.624413e-03,0
132,31.310312,6.395350e-07,3.876088e-03,0
133,31.545332,3.332573e-07,2.184382e-03,0
134,31.780722,4.251276e-07,2.229775e-03,0
135,32.016144,2.643116e-07,1.767528e-03,0
136,32.251517,3.539851e-07,2.689006e-03,0
137,32.486953,1.911692e-07,1.824365e-03,0
138,32.722361,3.399630e-07,2.492041e-03,0
139,32.957744,3.120713e-07,2.687036e-03,0
140,33.193124,5.206713e-07,3.249709e-03,0
141,33.428534,7.535039e-07,4.645393e-03,0
142,33.663938,4.327438e-07,2.760298e-03,0
143,33.899345,4.302682e-07,2.701170e-03,0
144,34.134799,6.374325e-07,4.209447e-03,0
145,34.370231,3.971471e-07,3.086120e-03,0
146,34.605580,5.615942e-07,2.908234e-03,0
147,34.841009,7.369040e-07,3.389846e-03,0
148,35.076349,3.216436e-07,2.190368e-03,0
149,35.311756,5.752726e-07,3.092991e-03,0
150,35.547108,3.938588e-07,2.596357e-03,0
151,35.782515,5.975269e-07,3.754721e-03,0
152,36.017902,2.318836e-07,2.340173e-03,0
153,36.253329,3.252162e-07,2.500063e-03,0
154,36.488745,3.570689e-07,2.453542e-03,0
155,36.724117,3.946863e-07,2.808528e-03,0
156,36.959490,5.010847e-07,2.742766e-03,0
157,37.194891,8.282003e-06,1.566005e-02,0
158,37.430314,6.993763e-04,1.656299e-01,4
159,37.665708,3.650901e-04,1.076086e-01,4
160,37.901177,2.431839e-06,8.333279e-03,0
161,38.136513,2.088764e-06,7.513448e-03,0
162,38.372029,2.802248e-06,6.459356e-03,0
163,38.607519,5.470492e-07,3.004910e-03,0
164,38.842915,8.240985e-07,4.809251e-03,0
165,39.078323,2.315193e-07,2.186824e-03,0
166,39.313756,5.816992e-07,2.921214e-03,0
167,39.549216,5.457904e-07,3.657661e-03,0
168,39.784639,3.611222e-07,2.129367e-03,0
169,40.019997,3.734364e-07,2.317651e-03,0
170,40.255429,3.953220e-07,2.408236e-03,0
171,40.490803,3.042242e-07,2.097590e-03,0
172,40.726200,2.945957e-07,2.069384e-03,0
173,40.961621,4.431151e-07,2.816347e-03,0
174,41.197042,3.733165e-07,2.960900e-03,0
175,41.432442,3.751082e-07,2.596033e-03,0
176,41.667887,4.190582e-07,2.493342e-03,0
177,41.903336,3.997605e-07,2.879421e-03,0
178,42.138742,6.926397e-06,1.144551e-02,0
179,42.374113,1.733521e-06,5.883572e-03,0
180,42.609543,3.562865e-07,2.100380e-03,0
181,42.844968,7.288830e-07,3.552900e-03,0
182,43.080370,2.287716e-07,1.777905e-03,0
183,43.315895,4.225448e-07,2.436705e-03,0
184,43.551316,9.701884e-07,5.194056e-03,0
185,43.786688,3.901584e-07,2.576383e-03,0
186,44.022096,6.549079e-07,3.540531e-03,0
187,44.257501,4.383253e-07,2.878859e-03,0
188,44.492926,4.008994e-07,2.422952e-03,0
189,44.728341,4.251900e-07,2.692396e-03,0
190,44.963775,6.318677e-07,3.372172e-03,0
191,45.199162,3.328108e-07,2.666781e-03,0
192,45.434632,4.012818e-07,2.399747e-03,0
193,45.670086,5.045251e-07,2.737443e-03,0
194,45.905483,3.829921e-07,2.216997e-03,0
195,46.140869,4.201212e-07,2.813564e-03,0
196,46.376289,4.583851e-07,2.226565e-03,0
197,46.611685,5.875805e-07,2.757083e-03,0
198,46.847087,4.080387e-07,2.381162e-03,0
199,47.083013,5.755840e-07,3.016676e-03,0
200,47.318103,6.243071e-07,3.715546e-03,0
201,47.553582,3.192333e-07,2.193180e-03,0
202,47.789150,3.079845e-07,2.147201e-03,0
203,48.024584,6.690658e-07,3.104001e-03,0
204,48.260008,3.041841e-07,2.053408e-03,0
205,48.495393,4.552649e-07,2.253450e-03,0
206,48.730803,6.090658e-07,3.392533e-03,0
207,48.966247,2.931958e-07,1.990372e-03,0
208,49.201722,6.087619e-07,3.643731e-03,0
209,49.437115,5.687626e-07,3.236857e-03,0
210,49.672560,5.871128e-07,3.000828e-03,0
211,49.907999,3.801224e-07,2.443975e-03,0
212,50.143393,3.945284e-07,2.671414e-03,0
213,50.378818,3.904080e-07,2.888770e-03,0
214,50.614274,4.142527e-07,2.456319e-03,0
215,50.849674,8.356873e-07,3.405380e-03,0
216,51.085130,6.123012e-07,3.259070e-03,0
217,51.320561,4.969138e-07,3.318758e-03,0
218,51.555968,3.487182e-06,9.306916e-03,0
219,51.791446,2.165072e-06,6.990054e-03,0
220,52.026902,9.835389e-07,5.200167e-03,0
221,52.262189,6.667833e-07,3.234100e-03,0
222,52.497628,2.780077e-07,2.094592e-03,0
223,52.733041,2.746145e-07,2.628332e-03,0
224,52.968517,4.027094e-07,2.614764e-03,0
225,53.203888,3.122531e-07,1.959838e-03,0
226,53.439333,5.404580e-07,2.508470e-03,0
227,53.674731,3.614665e-07,2.560409e-03,0
228,53.910127,2.593711e-07,2.143375e-03,0
229,54.145539,1.705880e-06,7.942898e-03,0
230,54.380994,8.844950e-06,1.556432e-02,0
231,54.616374,2.554485e-07,2.103185e-03,0
232,54.851812,2.414836e-07,1.537724e-03,0
233,55.087255,3.469510e-07,2.514556e-03,0
234,55.322625,5.767490e-07,3.218861e-03,0
235,55.558040,6.882282e-07,3.291917e-03,0
236,55.793436,7.842627e-07,3.762434e-03,0
237,56.028878,3.449158e-07,2.525698e-03,0
238,56.264282,6.233105e-07,3.999797e-03,0
239,56.499696,4.741025e-07,3.748329e-03,0
240,56.735185,7.837539e-07,3.410492e-03,0
241,56.970563,4.260799e-07,3.016930e-03,0
242,57.205945,8.511429e-07,5.148053e-03,0
243,57.441398,4.809423e-07,2.513229e-03,0
244,57.676811,4.724311e-07,3.488439e-03,0
245,57.912255,4.821638e-07,3.318357e-03,0
246,58.147744,2.618755e-07,1.985413e-03,0
247,58.383143,3.028152e-07,1.912773e-03,0
248,58.618641,4.051284e-07,2.508588e-03,0
249,58.854029,2.840117e-07,2.033847e-03,0
250,59.089506,3.059509e-07,2.214274e-03,0
251,59.324931,2.624094e-07,2.120639e-03,0
252,59.560379,2.757720e-07,2.553518e-03,0
253,59.795778,5.835744e-07,3.067546e-03,0
254,60.031204,3.955577e-07,2.331394e-03,0
255,60.266621,5.681895e-07,3.172121e-03,0
256,60.502109,7.854435e-07,3.605869e-03,0
257,60.737440,1.789250e-07,1.672328e-03,0
258,60.972850,5.816595e-07,3.208317e-03,0
259,61.208302,5.466584e-07,2.854290e-03,0
260,61.443649,3.165040e-07,2.326246e-03,0
261,61.679048,3.482879e-07,2.507065e-03,0
262,61.914434,4.936994e-07,2.874473e-03,0
263,62.149889,4.581299e-07,2.441705e-03,0
