window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.232204,0.000000e+00,0.000000e+00,4
1,0.467622,0.000000e+00,0.000000e+00,4
2,0.703057,0.000000e+00,0.000000e+00,4
3,0.938468,0.000000e+00,0.000000e+00,4
4,1.173993,0.000000e+00,0.000000e+00,4
5,1.409375,0.000000e+00,0.000000e+00,4
6,1.644823,0.000000e+00,0.000000e+00,4
7,1.880293,0.000000e+00,0.000000e+00,4
8,2.115718,0.000000e+00,0.000000e+00,4
9,2.351122,0.000000e+00,0.000000e+00,4
10,2.586543,0.000000e+00,0.000000e+00,4
11,2.821949,0.000000e+00,0.000000e+00,4
12,3.057347,0.000000e+00,0.000000e+00,4
13,3.292850,0.000000e+00,0.000000e+00,4
14,3.528232,0.000000e+00,0.000000e+00,4
15,3.763704,0.000000e+00,0.000000e+00,4
16,3.999228,0.000000e+00,0.000000e+00,4
17,4.234555,0.000000e+00,0.000000e+00,4
18,4.470452,0.000000e+00,0.000000e+00,4
19,4.705433,0.000000e+00,0.000000e+00,4
20,4.940882,0.000000e+00,0.000000e+00,4
21,5.176309,0.000000e+00,0.000000e+00,4
22,5.411719,0.000000e+00,0.000000e+00,4
23,5.647104,0.000000e+00,0.000000e+00,4
24,5.882521,0.000000e+00,0.000000e+00,4
25,6.118296,0.000000e+00,0.000000e+00,4
26,6.353349,0.000000e+00,0.000000e+00,4
27,6.588783,0.000000e+00,0.000000e+00,4
28,6.824220,0.000000e+00,0.000000e+00,4
29,7.059651,0.000000e+00,0.000000e+00,4
30,7.295054,0.000000e+00,0.000000e+00,4
31,7.530427,0.000000e+00,0.000000e+00,4
32,7.765902,0.000000e+00,0.000000e+00,4
33,8.001293,0.000000e+00,0.000000e+00,4
34,8.236694,0.000000e+00,0.000000e+00,4
35,8.472104,0.000000e+00,0.000000e+00,4
36,8.707510,0.000000e+00,0.000000e+00,4
37,8.942931,0.000000e+00,0.000000e+00,4
38,9.178287,0.000000e+00,0.000000e+00,4
39,9.413665,0.000000e+00,0.000000e+00,4
40,9.649009,0.000000e+00,0.000000e+00,4
41,9.884408,0.000000e+00,0.000000e+00,4
42,10.119753,0.000000e+00,0.000000e+00,4
43,10.355157,0.000000e+00,0.000000e+00,4
44,10.590558,0.000000e+00,0.000000e+00,4
45,10.825977,0.000000e+00,0.000000e+00,4
46,11.061343,0.000000e+00,0.000000e+00,4
47,11.296695,0.000000e+00,0.000000e+00,4
48,11.532094,0.000000e+00,0.000000e+00,4
49,11.767519,0.000000e+00,0.000000e+00,4
50,12.002867,0.000000e+00,0.000000e+00,4
51,12.238238,0.000000e+00,0.000000e+00,4
52,12.473680,0.000000e+00,0.000000e+00,4
53,12.709054,0.000000e+00,0.000000e+00,4
54,12.944433,0.000000e+00,0.000000e+00,4
55,13.179773,0.000000e+00,0.000000e+00,4
56,13.415191,0.000000e+00,0.000000e+00,4
57,13.650542,0.000000e+00,0.000000e+00,4
58,13.885928,0.000000e+00,0.000000e+00,4
59,14.121313,0.000000e+00,0.000000e+00,4
60,14.356670,0.000000e+00,0.000000e+00,4
61,14.592119,0.000000e+00,0.000000e+00,4
62,14.827513,0.000000e+00,0.000000e+00,4
63,15.062894,0.000000e+00,0.000000e+00,4
64,15.298218,0.000000e+00,0.000000e+00,4
65,15.533672,0.000000e+00,0.000000e+00,4
66,15.769015,0.000000e+00,0.000000e+00,4
67,16.004402,0.000000e+00,0.000000e+00,4
68,16.239797,0.000000e+00,0.000000e+00,4
69,16.475217,0.000000e+00,0.000000e+00,4
70,16.710624,0.000000e+00,0.000000e+00,4
71,16.945991,0.000000e+00,0.000000e+00,4
72,17.181370,0.000000e+00,0.000000e+00,4
73,17.416736,0.000000e+00,0.000000e+00,4
74,17.652123,0.000000e+00,0.000000e+00,4
75,17.887513,0.000000e+00,0.000000e+00,4
76,18.122897,0.000000e+00,0.000000e+00,4
77,18.358294,0.000000e+00,0.000000e+00,4
78,18.593691,0.000000e+00,0.000000e+00,4
79,18.829107,0.000000e+00,0.000000e+00,4
80,19.064482,0.000000e+00,0.000000e+00,4
81,19.299887,0.000000e+00,0.000000e+00,4
82,19.535275,0.000000e+00,0.000000e+00,4
83,19.770645,0.000000e+00,0.000000e+00,4
84,20.006034,0.000000e+00,0.000000e+00,4
85,20.241493,0.000000e+00,0.000000e+00,4
86,20.476832,0.000000e+00,0.000000e+00,4
87,20.712232,0.000000e+00,0.000000e+00,4
88,20.947616,0.000000e+00,0.000000e+00,4
89,21.183096,0.000000e+00,0.000000e+00,4
90,21.418361,0.000000e+00,0.000000e+00,4
91,21.653773,0.000000e+00,0.000000e+00,4
92,21.889172,0.000000e+00,0.000000e+00,4
93,22.124600,0.000000e+00,0.000000e+00,4
94,22.359977,0.000000e+00,0.000000e+00,4
95,22.595350,0.000000e+00,0.000000e+00,4
96,22.830701,0.000000e+00,0.000000e+00,4
97,23.066185,0.000000e+00,0.000000e+00,4
98,23.301474,0.000000e+00,0.000000e+00,4
99,23.536893,0.000000e+00,0.000000e+00,4
100,23.772288,0.000000e+00,0.000000e+00,4
101,24.007688,0.000000e+00,0.000000e+00,4
102,24.243092,0.000000e+00,0.000000e+00,4
103,24.478489,0.000000e+00,0.000000e+00,4
104,24.713888,0.000000e+00,0.000000e+00,4
105,24.949304,0.000000e+00,0.000000e+00,4
106,25.184713,0.000000e+00,0.000000e+00,4
107,25.420102,0.000000e+00,0.000000e+00,4
108,25.655520,0.000000e+00,0.000000e+00,4
109,25.891062,0.000000e+00,0.000000e+00,4
110,26.126583,0.000000e+00,0.000000e+00,4
111,26.362024,0.000000e+00,0.000000e+00,4
112,26.597497,0.000000e+00,0.000000e+00,4
113,26.832988,0.000000e+00,0.000000e+00,4
114,27.068471,0.000000e+00,0.000000e+00,4
115,27.303983,0.000000e+00,0.000000e+00,4
116,27.539426,0.000000e+00,0.000000e+00,4
117,27.774867,0.000000e+00,0.000000e+00,4
118,28.010251,0.000000e+00,0.000000e+00,4
119,28.245677,0.000000e+00,0.000000e+00,4
120,28.481081,0.000000e+00,0.000000e+00,4
121,28.716543,0.000000e+00,0.000000e+00,4
122,28.951884,0.000000e+00,0.000000e+00,4
123,29.187313,0.000000e+00,0.000000e+00,4
124,29.422720,0.000000e+00,0.000000e+00,4
125,29.658136,0.000000e+00,0.000000e+00,4
126,29.893578,0.000000e+00,0.000000e+00,4
127,30.128929,0.000000e+00,0.000000e+00,4
128,30.364327,0.000000e+00,0.000000e+00,4
129,30.599718,0.000000e+00,0.000000e+00,4
130,30.835118,0.000000e+00,0.000000e+00,4
131,31.070508,0.000000e+00,0.000000e+00,4
132,31.305905,0.000000e+00,0.000000e+00,4
133,31.541343,0.000000e+00,0.000000e+00,4
134,31.776795,0.000000e+00,0.000000e+00,4
135,32.012197,0.000000e+00,0.000000e+00,4
136,32.247563,0.000000e+00,0.000000e+00,4
137,32.482941,0.000000e+00,0.000000e+00,4
138,32.718314,0.000000e+00,0.000000e+00,4
139,32.953735,0.000000e+00,0.000000e+00,4
140,33.189142,0.000000e+00,0.000000e+00,4
141,33.424568,0.000000e+00,0.000000e+00,4
142,33.659961,0.000000e+00,0.000000e+00,4
143,33.895359,0.000000e+00,0.000000e+00,4
144,34.130677,0.000000e+00,0.000000e+00,4
145,34.366048,0.000000e+00,0.000000e+00,4
146,34.601437,0.000000e+00,0.000000e+00,4
147,34.836818,0.000000e+00,0.000000e+00,4
148,35.072209,0.000000e+00,0.000000e+00,4
149,35.307661,0.000000e+00,0.000000e+00,4
150,35.542981,0.000000e+00,0.000000e+00,4
151,35.778400,0.000000e+00,0.000000e+00,4
152,36.013793,0.000000e+00,0.000000e+00,4
153,36.249211,0.000000e+00,0.000000e+00,4
154,36.484574,0.000000e+00,0.000000e+00,4
155,36.719961,0.000000e+00,0.000000e+00,4
156,36.955346,0.000000e+00,0.000000e+00,4
157,37.190792,0.000000e+00,0.000000e+00,4
158,37.426157,0.000000e+00,0.000000e+00,4
159,37.661539,0.000000e+00,0.000000e+00,4
160,37.896958,0.000000e+00,0.000000e+00,4
161,38.132413,0.000000e+00,0.000000e+00,4
162,38.367892,0.000000e+00,0.000000e+00,4
163,38.603317,0.000000e+00,0.000000e+00,4
164,38.838683,0.000000e+00,0.000000e+00,4
165,39.074204,0.000000e+00,0.000000e+00,4
166,39.309502,0.000000e+00,0.000000e+00,4
167,39.544899,0.000000e+00,0.000000e+00,4
168,39.780323,0.000000e+00,0.000000e+00,4
169,40.015652,0.000000e+00,0.000000e+00,4
170,40.250989,0.000000e+00,0.000000e+00,4
171,40.486383,0.000000e+00,0.000000e+00,4
172,40.721756,0.000000e+00,0.000000e+00,4
173,40.957208,0.000000e+00,0.000000e+00,4
174,41.192547,0.000000e+00,0.000000e+00,4
175,41.427929,0.000000e+00,0.000000e+00,4
176,41.663286,0.000000e+00,0.000000e+00,4
177,41.898630,0.000000e+00,0.000000e+00,4
178,42.134023,0.000000e+00,0.000000e+00,4
179,42.369405,0.000000e+00,0.000000e+00,4
180,42.604798,0.000000e+00,0.000000e+00,4
181,42.840226,0.000000e+00,0.000000e+00,4
182,43.075627,0.000000e+00,0.000000e+00,4
183,43.310962,0.000000e+00,0.000000e+00,4
184,43.546330,0.000000e+00,0.000000e+00,4
185,43.781754,0.000000e+00,0.000000e+00,4
186,44.017096,0.000000e+00,0.000000e+00,4
187,44.252496,0.000000e+00,0.000000e+00,4
188,44.487898,0.000000e+00,0.000000e+00,4
189,44.723307,0.000000e+00,0.000000e+00,4
190,44.958719,0.000000e+00,0.000000e+00,4
191,45.194124,0.000000e+00,0.000000e+00,4
192,45.429510,0.000000e+00,0.000000e+00,4
193,45.664931,0.000000e+00,0.000000e+00,4
194,45.900335,0.000000e+00,0.000000e+00,4
195,46.135756,0.000000e+00,0.000000e+00,4
196,46.371148,0.000000e+00,0.000000e+00,4
197,46.606812,0.000000e+00,0.000000e+00,4
198,46.841945,0.000000e+00,0.000000e+00,4
199,47.077370,0.000000e+00,0.000000e+00,4
200,47.312779,0.000000e+00,0.000000e+00,4
201,47.548193,0.000000e+00,0.000000e+00,4
202,47.783618,0.000000e+00,0.000000e+00,4
203,48.019078,0.000000e+00,0.000000e+00,4
204,48.254432,0.000000e+00,0.000000e+00,4
205,48.489874,0.000000e+00,0.000000e+00,4
206,48.725302,0.000000e+00,0.000000e+00,4
207,48.960678,0.000000e+00,0.000000e+00,4
208,49.196096,0.000000e+00,0.000000e+00,4
209,49.431506,0.000000e+00,0.000000e+00,4
210,49.666908,0.000000e+00,0.000000e+00,4
211,49.902304,0.000000e+00,0.000000e+00,4
212,50.137715,0.000000e+00,0.000000e+00,4
213,50.373175,0.000000e+00,0.000000e+00,4
214,50.608602,0.000000e+00,0.000000e+00,4
215,50.844008,0.000000e+00,0.000000e+00,4
216,51.079431,0.000000e+00,0.000000e+00,4
217,51.314849,0.000000e+00,0.000000e+00,4
218,51.550301,0.000000e+00,0.000000e+00,4
219,51.785746,0.000000e+00,0.000000e+00,4
220,52.021187,0.000000e+00,0.000000e+00,4
221,52.256708,0.000000e+00,0.000000e+00,4
222,52.492121,0.000000e+00,0.000000e+00,4
223,52.727498,0.000000e+00,0.000000e+00,4
224,52.962926,0.000000e+00,0.000000e+00,4
225,53.198348,0.000000e+00,0.000000e+00,4
226,53.433781,0.000000e+00,0.000000e+00,4
227,53.669267,0.000000e+00,0.000000e+00,4
228,53.904672,0.000000e+00,0.000000e+00,4
229,54.140123,0.000000e+00,0.000000e+00,4
230,54.375637,0.000000e+00,0.000000e+00,4
231,54.611001,0.000000e+00,0.000000e+00,4
232,54.846455,0.000000e+00,0.000000e+00,4
233,55.081928,0.000000e+00,0.000000e+00,4
234,55.317368,0.000000e+00,0.000000e+00,4
235,55.552816,0.000000e+00,0.000000e+00,4
236,55.788227,0.000000e+00,0.000000e+00,4
237,56.023750,0.000000e+00,0.000000e+00,4
238,56.259098,0.000000e+00,0.000000e+00,4
239,56.494497,0.000000e+00,0.000000e+00,4
240,56.729890,0.000000e+00,0.000000e+00,4
241,56.965293,0.000000e+00,0.000000e+00,4
242,57.200704,0.000000e+00,0.000000e+00,4
243,57.436119,0.000000e+00,0.000000e+00,4
244,57.671533,0.000000e+00,0.000000e+00,4
245,57.907029,0.000000e+00,0.000000e+00,4
246,58.142419,0.000000e+00,0.000000e+00,4
247,58.377751,0.000000e+00,0.000000e+00,4
248,58.613225,0.000000e+00,0.000000e+00,4
249,58.848594,0.000000e+00,0.000000e+00,4
250,59.084013,0.000000e+00,0.000000e+00,4
251,59.319405,0.000000e+00,0.000000e+00,4
252,59.554806,0.000000e+00,0.000000e+00,4
253,59.790229,0.000000e+00,0.000000e+00,4
254,60.025668,0.000000e+00,0.000000e+00,4
255,60.261039,0.000000e+00,0.000000e+00,4
256,60.496456,0.000000e+00,0.000000e+00,4
257,60.731944,0.000000e+00,0.000000e+00,4
258,60.967407,0.000000e+00,0.000000e+00,4
259,61.202892,0.000000e+00,0.000000e+00,4
260,61.438380,0.000000e+00,0.000000e+00,4
261,61.673914,0.000000e+00,0.000000e+00,4
262,61.909390,0.000000e+00,0.000000e+00,4
263,62.144882,0.000000e+00,0.000000e+00,4
264,62.380339,0.000000e+00,0.000000e+00,4
265,62.615816,0.000000e+00,0.000000e+00,4
266,62.851209,0.000000e+00,0.000000e+00,4
267,63.086623,0.000000e+00,0.000000e+00,4
268,63.322097,0.000000e+00,0.000000e+00,4
269,63.557495,0.000000e+00,0.000000e+00,4
270,63.792919,0.000000e+00,0.000000e+00,4
271,64.028311,0.000000e+00,0.000000e+00,4
272,64.263735,0.000000e+00,0.000000e+00,4
273,64.499158,0.000000e+00,0.000000e+00,4
274,64.734588,0.000000e+00,0.000000e+00,4
275,64.970004,0.000000e+00,0.000000e+00,4
276,65.205437,0.000000e+00,0.000000e+00,4
277,65.440878,0.000000e+00,0.000000e+00,4
278,65.676314,0.000000e+00,0.000000e+00,4
279,65.911717,0.000000e+00,0.000000e+00,4
