window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.232531,0.000000e+00,0.000000e+00,0
1,0.468068,0.000000e+00,0.000000e+00,0
2,0.703509,0.000000e+00,0.000000e+00,0
3,0.938979,0.000000e+00,0.000000e+00,0
4,1.174688,0.000000e+00,0.000000e+00,0
5,1.409901,0.000000e+00,0.000000e+00,0
6,1.645354,0.000000e+00,0.000000e+00,0
7,1.880826,0.000000e+00,0.000000e+00,0
8,2.116313,0.000000e+00,0.000000e+00,0
9,2.351838,0.000000e+00,0.000000e+00,0
10,2.587362,0.000000e+00,0.000000e+00,0
11,2.822860,0.000000e+00,0.000000e+00,0
12,3.058382,0.000000e+00,0.000000e+00,0
13,3.293912,0.000000e+00,0.000000e+00,0
14,3.529411,0.000000e+00,0.000000e+00,0
15,3.764899,0.000000e+00,0.000000e+00,0
16,4.000386,0.000000e+00,0.000000e+00,0
17,4.235872,0.000000e+00,0.000000e+00,0
18,4.471426,0.000000e+00,0.000000e+00,0
19,4.706940,0.000000e+00,0.000000e+00,0
20,4.942377,0.000000e+00,0.000000e+00,0
21,5.177898,0.000000e+00,0.000000e+00,0
22,5.413392,0.000000e+00,0.000000e+00,0
23,5.648881,0.000000e+00,0.000000e+00,0
24,5.884400,0.000000e+00,0.000000e+00,0
25,6.119936,0.000000e+00,0.000000e+00,0
26,6.355439,0.000000e+00,0.000000e+00,0
27,6.590866,0.000000e+00,0.000000e+00,0
28,6.826307,0.000000e+00,0.000000e+00,0
29,7.061701,0.000000e+00,0.000000e+00,0
30,7.297105,0.000000e+00,0.000000e+00,0
31,7.532511,0.000000e+00,0.000000e+00,0
32,7.768024,0.000000e+00,0.000000e+00,0
33,8.003531,0.000000e+00,0.000000e+00,0
34,8.239011,0.000000e+00,0.000000e+00,0
35,8.474457,0.000000e+00,0.000000e+00,0
36,8.709774,0.000000e+00,0.000000e+00,0
37,8.945209,0.000000e+00,0.000000e+00,0
38,9.180601,0.000000e+00,0.000000e+00,0
39,9.416035,0.000000e+00,0.000000e+00,0
40,9.651431,0.000000e+00,0.000000e+00,0
41,9.886875,0.000000e+00,0.000000e+00,0
42,10.122272,0.000000e+00,0.000000e+00,0
43,10.357687,0.000000e+00,0.000000e+00,0
44,10.593100,0.000000e+00,0.000000e+00,0
45,10.828497,0.000000e+00,0.000000e+00,0
46,11.063843,0.000000e+00,0.000000e+00,0
47,11.299290,0.000000e+00,0.000000e+00,0
48,11.534671,0.000000e+00,0.000000e+00,0
49,11.770126,0.000000e+00,0.000000e+00,0
50,12.005558,0.000000e+00,0.000000e+00,0
51,12.240904,0.000000e+00,0.000000e+00,0
52,12.476297,0.000000e+00,0.000000e+00,0
53,12.711690,0.000000e+00,0.000000e+00,0
54,12.947072,0.000000e+00,0.000000e+00,0
55,13.182514,0.000000e+00,0.000000e+00,0
56,13.417867,0.000000e+00,0.000000e+00,0
