window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703157,6.213942e-02,1.033922e+00,4
1,1.409011,2.960902e-03,3.530949e-01,4
2,2.114765,1.116871e-03,1.907713e-01,4
3,2.820549,7.390152e-04,1.420209e-01,4
4,3.526317,3.531298e-03,5.235718e-01,4
5,4.232082,1.557300e-03,2.559819e-01,4
6,4.937819,2.457838e-03,4.492902e-01,4
7,5.643623,3.517626e-05,2.434887e-02,0
8,6.349374,4.999816e-07,3.331386e-03,0
9,7.055161,5.061898e-07,3.282734e-03,0
10,7.760954,4.739242e-07,3.134697e-03,0
11,8.466770,5.413038e-07,3.676392e-03,0
12,9.172562,4.642229e-07,3.144944e-03,0
13,9.878354,1.430264e-03,3.345545e-01,4
14,10.584160,8.413640e-05,6.649396e-02,4
15,11.289986,2.923211e-03,3.287396e-01,4
16,11.995767,1.627272e-03,2.367285e-01,4
17,12.701499,8.228474e-05,4.398718e-02,0
18,13.407266,3.426593e-03,4.240026e-01,4
19,14.113011,1.008618e-03,1.822666e-01,4
20,14.818764,4.809362e-04,1.634774e-01,4
21,15.524629,1.052881e-03,2.744620e-01,4
22,16.230400,3.333823e-07,3.004264e-03,0
23,16.936191,5.794658e-07,3.643917e-03,0
24,17.641987,4.058730e-07,3.182925e-03,0
25,18.347787,5.522818e-07,4.535067e-03,0
26,19.053611,4.397284e-07,3.206935e-03,0
27,19.759378,8.748299e-04,2.781615e-01,4
28,20.465183,4.857357e-04,1.701722e-01,4
29,21.170998,5.896807e-03,6.214532e-01,4
30,21.876821,6.142853e-04,1.686587e-01,4
31,22.582620,1.268478e-03,1.823351e-01,4
32,23.288439,4.218490e-03,3.343784e-01,4
33,23.994209,1.064530e-03,2.652460e-01,4
34,24.699924,8.093117e-05,3.650938e-02,0
35,25.405641,1.537820e-03,3.145828e-01,4
36,26.111348,5.090989e-07,3.320675e-03,0
37,26.817040,4.706162e-07,3.216993e-03,0
38,27.522751,6.161925e-07,3.513953e-03,0
39,28.228465,3.814729e-07,2.746213e-03,0
40,28.934208,4.612327e-07,3.715632e-03,0
41,29.639900,3.228965e-07,3.265527e-03,0
42,30.345573,2.851916e-03,4.580467e-01,4
43,31.051271,7.946755e-03,7.351269e-01,4
44,31.757003,5.868226e-04,1.556168e-01,4
45,32.462750,1.336150e-03,2.236465e-01,4
46,33.168497,3.554493e-03,4.166126e-01,4
47,33.874308,5.369936e-04,1.635487e-01,4
48,34.580086,7.352094e-04,2.014020e-01,4
49,35.285860,1.962999e-03,3.027571e-01,4
50,35.991629,1.897475e-06,7.096480e-03,0
51,36.697400,4.311330e-07,3.625281e-03,0
52,37.403414,4.165751e-07,2.834983e-03,0
53,38.109389,4.513289e-07,3.249483e-03,0
54,38.815204,5.257373e-07,3.822556e-03,0
55,39.520996,3.484221e-07,2.280351e-03,0
56,40.226802,2.822333e-03,4.319959e-01,4
57,40.932601,1.753086e-03,3.097525e-01,4
58,41.638399,2.333709e-03,3.535413e-01,4
59,42.344228,1.205523e-03,1.891014e-01,4
60,43.050041,3.984792e-03,4.060547e-01,4
61,43.756114,3.453642e-04,1.348464e-01,4
62,44.461650,9.812835e-04,2.027262e-01,4
63,45.167541,2.003262e-03,2.816813e-01,4
64,45.873524,9.641060e-06,1.406245e-02,0
65,46.579520,3.692459e-07,3.198650e-03,0
66,47.285487,3.185525e-07,2.697388e-03,0
67,47.991389,4.405079e-07,3.384400e-03,0
