window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703268,5.947249e-02,9.347295e-01,4
1,1.409200,5.644025e-05,8.147441e-02,4
2,2.114953,1.062559e-05,2.381055e-02,0
3,2.820772,1.194725e-05,2.744150e-02,0
4,3.526599,6.521652e-07,4.002992e-03,0
5,4.232402,2.127823e-06,1.061962e-02,0
6,4.938171,8.853817e-07,7.731158e-03,0
7,5.643941,3.827286e-06,1.338976e-02,0
8,6.349733,9.979590e-07,5.160275e-03,0
9,7.055505,3.826450e-07,2.792678e-03,0
10,7.761224,5.422491e-07,4.300961e-03,0
11,8.466965,3.786842e-07,3.324755e-03,0
12,9.172732,2.937659e-07,2.503911e-03,0
13,9.878607,4.134146e-07,3.124454e-03,0
14,10.584571,1.728063e-06,1.178853e-02,0
15,11.290356,5.020405e-07,4.088921e-03,0
16,11.996138,3.811770e-07,2.911096e-03,0
17,12.701953,4.379179e-07,3.420286e-03,0
18,13.407761,4.737190e-07,3.050645e-03,0
19,14.113485,2.784523e-07,2.154230e-03,0
20,14.819233,3.540553e-07,2.771395e-03,0
21,15.524947,5.549099e-07,3.650456e-03,0
22,16.230631,2.458871e-07,2.384093e-03,0
23,16.936373,4.291348e-07,3.018388e-03,0
24,17.642095,5.273574e-07,3.973362e-03,0
25,18.347837,4.635298e-07,3.293296e-03,0
26,19.053519,4.252840e-07,3.076602e-03,0
27,19.759178,4.359040e-07,2.852206e-03,0
28,20.464865,3.709243e-07,3.415517e-03,0
29,21.170541,3.908509e-07,2.614616e-03,0
30,21.876258,4.670617e-07,3.061467e-03,0
31,22.581981,4.111507e-07,3.706610e-03,0
32,23.287820,3.061103e-07,2.582967e-03,0
33,23.993718,2.673631e-07,2.450104e-03,0
34,24.699597,4.758968e-07,3.226345e-03,0
35,25.405372,3.719444e-07,3.318976e-03,0
36,26.111058,3.687311e-07,2.685878e-03,0
37,26.816704,4.192698e-07,3.262302e-03,0
38,27.522355,3.607388e-07,2.634272e-03,0
39,28.228027,3.770719e-07,2.953637e-03,0
40,28.933706,4.823798e-07,3.156942e-03,0
41,29.639431,3.600855e-07,3.671870e-03,0
42,30.345173,8.368729e-07,7.545073e-03,0
43,31.050894,3.598905e-07,2.836114e-03,0
44,31.756632,3.847792e-07,2.937780e-03,0
45,32.462380,6.814788e-07,5.408893e-03,0
46,33.168087,9.537995e-07,6.207570e-03,0
47,33.873792,9.344594e-07,5.892197e-03,0
48,34.579541,7.468768e-07,3.525293e-03,0
49,35.285293,3.138398e-07,2.351114e-03,0
50,35.991016,3.990187e-07,3.467775e-03,0
51,36.696748,5.521308e-07,4.188945e-03,0
52,37.402405,5.241399e-07,4.393722e-03,0
53,38.108079,4.084303e-07,2.838315e-03,0
54,38.813745,4.453093e-07,2.395099e-03,0
55,39.519492,4.717971e-07,4.228907e-03,0
56,40.225181,4.218943e-07,2.960920e-03,0
57,40.930897,7.012273e-07,4.642340e-03,0
58,41.636556,5.571599e-07,3.509145e-03,0
59,42.342239,5.115988e-07,3.110684e-03,0
60,43.047951,5.264609e-07,3.114966e-03,0
61,43.753692,4.746884e-07,3.009113e-03,0
62,44.459388,4.110782e-07,3.173542e-03,0
63,45.165487,3.516379e-07,2.596144e-03,0
64,45.870786,3.846338e-07,3.060362e-03,0
65,46.576470,3.962913e-07,3.691625e-03,0
66,47.282137,6.001428e-07,3.198447e-03,0
67,47.987811,3.574453e-07,3.020628e-03,0
68,48.693434,4.977599e-07,3.691248e-03,0
69,49.399081,4.571836e-07,3.618799e-03,0
70,50.104779,3.326659e-07,3.014564e-03,0
71,50.810489,3.572478e-07,2.944322e-03,0
72,51.516170,3.677775e-07,3.077570e-03,0
73,52.221871,6.781238e-07,3.739009e-03,0
74,52.927608,3.964911e-07,2.816764e-03,0
75,53.633296,3.329245e-07,2.939275e-03,0
76,54.338999,4.039712e-07,2.721839e-03,0
77,55.044709,3.145110e-07,3.446961e-03,0
78,55.750380,4.359808e-07,3.106270e-03,0
79,56.456067,4.213715e-07,2.818779e-03,0
80,57.161711,4.785106e-07,3.112554e-03,0
81,57.867333,3.021946e-07,3.203534e-03,0
