window_idx,t_window_end_s,var_norm,p2p_norm,class
0,0.703157,0.000000e+00,0.000000e+00,4
1,1.409011,0.000000e+00,0.000000e+00,4
2,2.114765,0.000000e+00,0.000000e+00,4
3,2.820549,0.000000e+00,0.000000e+00,4
4,3.526317,0.000000e+00,0.000000e+00,4
5,4.232082,0.000000e+00,0.000000e+00,4
6,4.937819,0.000000e+00,0.000000e+00,4
7,5.643623,0.000000e+00,0.000000e+00,4
8,6.349374,0.000000e+00,0.000000e+00,4
9,7.055161,0.000000e+00,0.000000e+00,0
10,7.760954,0.000000e+00,0.000000e+00,0
11,8.466770,0.000000e+00,0.000000e+00,0
12,9.172562,0.000000e+00,0.000000e+00,0
13,9.878354,0.000000e+00,0.000000e+00,0
14,10.584160,0.000000e+00,0.000000e+00,4
15,11.289986,0.000000e+00,0.000000e+00,4
16,11.995767,0.000000e+00,0.000000e+00,4
17,12.701499,0.000000e+00,0.000000e+00,4
18,13.407266,0.000000e+00,0.000000e+00,4
19,14.113011,0.000000e+00,0.000000e+00,4
20,14.818764,0.000000e+00,0.000000e+00,4
21,15.524629,0.000000e+00,0.000000e+00,4
22,16.230400,0.000000e+00,0.000000e+00,0
23,16.936191,0.000000e+00,0.000000e+00,0
24,17.641987,0.000000e+00,0.000000e+00,0
25,18.347787,0.000000e+00,0.000000e+00,0
26,19.053611,0.000000e+00,0.000000e+00,0
27,19.759378,0.000000e+00,0.000000e+00,0
28,20.465183,0.000000e+00,0.000000e+00,4
29,21.170998,0.000000e+00,0.000000e+00,4
30,21.876821,0.000000e+00,0.000000e+00,4
31,22.582620,0.000000e+00,0.000000e+00,4
32,23.288439,0.000000e+00,0.000000e+00,4
33,23.994209,0.000000e+00,0.000000e+00,4
34,24.699924,0.000000e+00,0.000000e+00,4
35,25.405641,0.000000e+00,0.000000e+00,4
36,26.111348,0.000000e+00,0.000000e+00,4
37,26.817040,0.000000e+00,0.000000e+00,0
38,27.522751,0.000000e+00,0.000000e+00,0
39,28.228465,0.000000e+00,0.000000e+00,0
40,28.934208,0.000000e+00,0.000000e+00,0
41,29.639900,0.000000e+00,0.000000e+00,0
42,30.345573,0.000000e+00,0.000000e+00,4
43,31.051271,0.000000e+00,0.000000e+00,4
44,31.757003,0.000000e+00,0.000000e+00,4
45,32.462750,0.000000e+00,0.000000e+00,4
46,33.168497,0.000000e+00,0.000000e+00,4
47,33.874308,0.000000e+00,0.000000e+00,4
48,34.580086,0.000000e+00,0.000000e+00,4
49,35.285860,0.000000e+00,0.000000e+00,4
50,35.991629,0.000000e+00,0.000000e+00,4
51,36.697400,0.000000e+00,0.000000e+00,0
52,37.403414,0.000000e+00,0.000000e+00,0
53,38.109389,0.000000e+00,0.000000e+00,0
54,38.815204,0.000000e+00,0.000000e+00,0
55,39.520996,0.000000e+00,0.000000e+00,0
56,40.226802,0.000000e+00,0.000000e+00,4
57,40.932601,0.000000e+00,0.000000e+00,4
58,41.638399,0.000000e+00,0.000000e+00,4
59,42.344228,0.000000e+00,0.000000e+00,4
60,43.050041,0.000000e+00,0.000000e+00,4
61,43.756114,0.000000e+00,0.000000e+00,4
62,44.461650,0.000000e+00,0.000000e+00,4
63,45.167541,0.000000e+00,0.000000e+00,4
64,45.873524,0.000000e+00,0.000000e+00,4
65,46.579520,0.000000e+00,0.000000e+00,0
66,47.285487,0.000000e+00,0.000000e+00,0
67,47.991389,0.000000e+00,0.000000e+00,0
68,48.697171,0.000000e+00,0.000000e+00,0
69,49.402945,0.000000e+00,0.000000e+00,0
70,50.108710,0.000000e+00,0.000000e+00,0
71,50.814471,0.000000e+00,0.000000e+00,4
72,51.520291,0.000000e+00,0.000000e+00,4
73,52.226108,0.000000e+00,0.000000e+00,4
74,52.931916,0.000000e+00,0.000000e+00,4
75,53.637748,0.000000e+00,0.000000e+00,4
76,54.343522,0.000000e+00,0.000000e+00,4
