# servo_sweep log
# mode=continuous duration=1200 min_ticks=102 max_ticks=511 center_ticks=307
# period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779338058569398,START,307
1779338058770189,TO_MAX,511
1779338059770933,TO_MIN,102
1779338060771639,TO_MAX,511
1779338061772330,TO_MIN,102
1779338062773028,TO_MAX,511
1779338063773733,TO_MIN,102
1779338064774440,TO_MAX,511
1779338065775135,TO_MIN,102
1779338066775834,TO_MAX,511
1779338067776532,TO_MIN,102
1779338068777228,TO_MAX,511
1779338069777925,TO_MIN,102
1779338070778630,TO_MAX,511
1779338071779329,TO_MIN,102
1779338072780021,TO_MAX,511
1779338073780706,TO_MIN,102
1779338074781404,TO_MAX,511
1779338075782101,TO_MIN,102
1779338076782801,TO_MAX,511
1779338077783505,TO_MIN,102
1779338078784198,TO_MAX,511
1779338079784888,TO_MIN,102
1779338080785586,TO_MAX,511
1779338081786277,TO_MIN,102
1779338082786982,TO_MAX,511
1779338083787679,TO_MIN,102
1779338084788376,TO_MAX,511
1779338085789074,TO_MIN,102
1779338086789770,TO_MAX,511
1779338087790459,TO_MIN,102
1779338088791153,TO_MAX,511
1779338089791846,TO_MIN,102
1779338090792546,TO_MAX,511
1779338091793244,TO_MIN,102
1779338092793945,TO_MAX,511
1779338093794647,TO_MIN,102
1779338094795353,TO_MAX,511
1779338095796054,TO_MIN,102
1779338096796751,TO_MAX,511
1779338097797446,TO_MIN,102
1779338098798146,TO_MAX,511
1779338099798853,TO_MIN,102
1779338100799558,TO_MAX,511
1779338101800259,TO_MIN,102
1779338102800960,TO_MAX,511
1779338103801657,TO_MIN,102
1779338104802356,TO_MAX,511
1779338105803059,TO_MIN,102
1779338106803763,TO_MAX,511
1779338107804469,TO_MIN,102
1779338108805169,TO_MAX,511
1779338109805867,TO_MIN,102
1779338110806565,TO_MAX,511
1779338111807263,TO_MIN,102
1779338112807967,TO_MAX,511
1779338113808664,TO_MIN,102
1779338114809361,TO_MAX,511
1779338115810053,TO_MIN,102
1779338116810739,TO_MAX,511
1779338117811428,TO_MIN,102
1779338118812123,TO_MAX,511
1779338119812826,TO_MIN,102
1779338120813538,TO_MAX,511
1779338121814245,TO_MIN,102
