# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
1347230.438873, 0
1347230.459403, 0
1347230.480000, 0
1347230.500593, 0
1347230.521082, 0
1347230.541551, 0
1347230.562042, 0
1347230.582511, 0
1347230.602984, 0
1347230.623483, 0
1347230.643947, 0
1347230.664414, 0
1347230.684873, 0
1347230.705329, 0
1347230.725790, 0
1347230.746249, 0
1347230.766706, 0
1347230.787165, 0
1347230.807630, 0
1347230.828091, 0
1347230.848551, 0
1347230.869009, 0
1347230.889473, 0
1347230.909936, 0
1347230.930398, 0
1347230.950870, 0
1347230.971385, 0
1347230.991851, 0
1347231.012322, 0
1347231.032787, 0
1347231.053250, 0
1347231.073732, 0
1347231.094272, 0
1347231.114848, 0
1347231.135443, 0
1347231.155986, 0
1347231.176552, 0
1347231.197091, 0
1347231.217706, 0
1347231.238297, 0
1347231.258816, 0
1347231.279345, 0
1347231.299850, 0
1347231.320355, 0
1347231.340876, 0
1347231.361372, 0
1347231.381840, 0
1347231.402298, 0
1347231.422759, 0
1347231.443216, 0
1347231.463686, 4
1347231.484221, 4
1347231.504727, 4
1347231.525193, 4
1347231.545656, 4
1347231.566113, 4
1347231.586573, 4
1347231.607072, 4
1347231.627582, 4
1347231.648142, 4
1347231.668785, 4
1347231.689300, 4
1347231.709795, 4
1347231.730331, 4
1347231.838344, 4
1347231.858858, 4
1347231.879331, 4
1347231.899796, 4
1347231.920270, 4
1347231.940733, 4
1347231.961194, 4
1347231.981865, 4
1347232.002327, 4
1347232.022794, 4
1347232.043257, 4
1347232.063719, 4
1347232.084190, 4
1347232.104651, 4
1347232.125112, 4
1347232.145573, 4
1347232.166033, 4
1347232.186493, 4
1347232.206953, 4
1347232.227413, 4
1347232.247873, 4
1347232.268334, 4
1347232.288794, 4
1347232.309254, 4
1347232.329715, 4
1347232.350175, 4
1347232.370635, 4
1347232.391096, 4
1347232.411559, 4
1347232.432006, 4
1347232.452470, 4
1347232.472930, 4
1347232.493390, 4
1347232.514073, 4
1347232.534533, 4
1347232.554992, 4
1347232.575451, 4
1347232.595912, 4
1347232.616374, 4
1347232.636833, 4
1347232.657298, 4
1347232.677793, 4
1347232.698291, 4
1347232.718760, 4
1347232.739223, 4
1347232.759690, 4
1347232.780204, 4
1347232.800687, 4
1347232.821154, 4
1347232.841616, 4
1347232.862080, 4
1347232.882540, 4
1347232.903001, 4
1347232.923462, 4
1347232.943928, 4
1347232.964389, 4
1347232.985013, 4
1347233.005474, 4
1347233.025936, 4
1347233.046402, 4
1347233.066866, 4
1347233.087327, 4
1347233.107787, 4
1347233.128249, 4
1347233.148713, 4
1347233.169174, 4
1347233.189634, 4
1347233.210095, 4
1347233.230561, 4
1347233.251023, 4
1347233.271484, 4
1347233.291945, 4
1347233.312406, 4
1347233.332868, 4
1347233.353331, 4
1347233.373792, 4
1347233.394253, 4
1347233.414719, 4
1347233.435226, 4
1347233.455897, 4
1347233.476371, 4
1347233.496836, 4
1347233.517297, 4
1347233.537758, 4
1347233.558224, 4
1347233.578686, 4
1347233.599147, 4
1347233.619607, 4
1347233.640076, 4
1347233.660543, 4
1347233.691426, 4
1347233.711926, 4
1347233.732397, 4
1347233.752867, 4
1347233.773349, 4
1347233.793814, 4
1347233.814279, 4
1347233.834742, 4
1347233.855206, 4
1347233.875672, 4
1347233.896134, 4
1347233.916597, 4
1347233.937059, 4
1347233.957520, 4
1347233.977986, 4
1347233.998446, 4
1347234.018907, 4
1347234.039372, 4
1347234.059832, 4
1347234.080298, 4
1347234.100892, 4
1347234.121359, 4
1347234.141851, 4
1347234.162319, 4
1347234.182786, 4
1347234.203248, 4
1347234.223711, 4
1347234.244180, 4
1347234.264641, 4
1347234.285107, 4
1347234.305567, 4
1347234.326029, 4
1347234.346490, 4
1347234.366951, 4
1347234.387418, 4
1347234.407880, 4
1347234.428349, 4
1347234.448813, 4
1347234.469276, 4
1347234.489739, 4
1347234.510201, 4
1347234.530662, 4
1347234.551123, 4
1347234.571717, 4
1347234.592190, 4
1347234.612651, 4
1347234.633113, 4
1347234.653575, 4
1347234.674036, 4
1347234.694505, 4
1347234.715017, 4
1347234.735522, 4
1347234.755994, 4
1347234.776465, 4
1347234.796930, 4
1347234.817392, 4
1347234.837853, 4
1347234.858315, 4
1347234.878777, 4
1347234.899239, 4
1347234.919705, 4
1347234.940168, 4
1347234.960629, 4
1347234.981348, 4
1347235.001809, 4
1347235.022273, 4
1347235.042736, 4
1347235.063197, 4
1347235.083659, 4
1347235.104122, 4
1347235.124605, 4
1347235.145068, 4
1347235.165530, 4
1347235.185991, 4
1347235.206452, 4
1347235.226917, 4
1347235.247378, 4
1347235.267840, 4
1347235.288301, 4
1347235.308761, 4
1347235.329227, 4
1347235.349689, 4
1347235.370150, 4
1347235.390613, 4
1347235.411075, 4
1347235.431539, 4
1347235.452201, 4
1347235.472662, 4
1347235.493122, 4
1347235.513582, 4
1347235.534045, 4
1347235.554505, 4
1347235.574971, 4
1347235.595434, 4
1347235.615894, 4
1347235.636362, 4
1347235.656823, 4
1347235.677283, 4
1347235.697743, 4
1347235.718210, 4
1347235.738704, 4
1347235.759175, 4
1347235.779669, 4
1347235.800141, 4
1347235.820604, 4
1347235.841069, 4
1347235.861812, 4
1347235.882273, 4
1347235.902734, 4
1347235.923195, 4
1347235.943657, 4
1347235.964118, 4
1347235.984579, 4
1347236.005040, 4
1347236.025501, 4
1347236.045965, 4
1347236.066427, 4
1347236.086888, 4
1347236.107348, 4
1347236.127811, 4
1347236.148277, 4
1347236.168737, 4
1347236.189197, 4
1347236.209658, 4
1347236.230118, 4
1347236.250578, 4
1347236.271043, 4
1347236.291504, 4
1347236.311965, 4
1347236.332644, 4
1347236.353104, 4
1347236.373567, 4
1347236.394028, 4
1347236.414493, 4
1347236.434954, 4
1347236.455414, 4
1347236.475878, 4
1347236.496347, 4
1347236.516810, 4
1347236.537269, 4
1347236.557729, 4
1347236.578192, 4
1347236.598654, 4
1347236.619115, 4
1347236.639575, 4
1347236.660006, 4
1347236.680479, 4
1347236.700939, 4
1347236.721400, 4
1347236.741866, 4
1347236.762367, 4
1347236.782842, 4
1347236.803480, 4
1347236.823944, 4
1347236.844407, 4
1347236.864868, 4
1347236.885331, 4
1347236.905792, 4
1347236.926254, 4
1347236.946715, 4
1347236.967178, 4
1347236.987643, 4
1347237.008111, 4
1347237.028597, 4
1347237.049064, 4
1347237.069527, 4
1347237.090001, 4
1347237.110465, 4
1347237.130927, 4
1347237.151392, 4
1347237.171853, 4
1347237.192318, 4
1347237.212782, 4
1347237.233242, 4
1347237.253703, 4
1347237.274325, 4
1347237.294786, 4
1347237.315251, 4
1347237.335714, 4
1347237.356184, 4
1347237.376646, 4
1347237.397107, 4
1347237.417570, 4
1347237.438031, 4
1347237.458492, 4
1347237.478952, 4
1347237.499412, 4
1347237.519876, 4
1347237.540344, 4
1347237.560805, 4
1347237.581265, 4
1347237.601726, 4
1347237.622194, 4
1347237.642655, 4
1347237.663115, 4
1347237.683576, 4
1347237.704006, 4
1347237.724470, 4
1347237.745196, 4
1347237.765667, 4
1347237.786158, 4
1347237.806627, 4
1347237.827093, 4
1347237.847557, 4
1347237.868007, 4
1347237.888468, 4
1347237.908929, 4
1347237.929393, 4
1347237.949857, 4
1347237.970317, 4
1347237.990778, 4
1347238.011238, 4
1347238.031702, 4
1347238.052164, 4
1347238.072626, 4
1347238.093090, 4
1347238.113551, 4
1347238.134015, 4
1347238.154477, 4
1347238.174942, 4
1347238.195403, 4
1347238.215864, 4
1347238.236330, 4
1347238.256791, 4
1347238.277426, 4
1347238.297886, 4
1347238.318346, 4
1347238.338808, 4
1347238.359269, 4
1347238.379732, 4
1347238.400197, 4
1347238.420658, 4
1347238.441122, 4
1347238.461584, 4
1347238.482043, 4
1347238.502503, 4
1347238.522964, 4
1347238.543424, 4
1347238.563887, 4
1347238.584356, 4
1347238.604816, 4
1347238.625277, 4
1347238.645737, 4
1347238.666508, 4
1347238.687216, 4
1347238.707675, 4
1347238.728136, 4
1347238.748597, 4
1347238.769063, 4
1347238.789525, 4
1347238.810020, 4
1347238.830515, 4
1347238.850983, 4
1347238.871449, 4
1347238.891911, 4
1347238.912374, 4
1347238.932836, 4
1347238.953296, 4
1347238.973762, 4
1347238.994222, 4
1347239.014684, 4
1347239.035148, 4
1347239.055611, 4
1347239.076080, 4
1347239.096551, 4
1347239.117012, 4
1347239.137472, 4
1347239.157934, 4
1347239.178397, 4
1347239.198860, 4
1347239.219511, 4
1347239.239980, 4
1347239.260442, 4
1347239.280906, 4
1347239.301368, 4
1347239.321828, 4
1347239.342290, 4
1347239.362751, 4
1347239.383215, 4
1347239.403676, 4
