# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
1346011.157991, 0
1346011.178619, 0
1346011.199302, 0
1346011.219864, 0
1346011.240402, 0
1346011.260948, 0
1346011.281426, 0
1346011.301885, 0
1346011.322346, 0
1346011.342823, 0
1346011.363285, 0
1346011.383762, 0
1346011.404221, 0
1346011.424680, 0
1346011.445141, 0
1346011.465598, 0
1346011.486056, 0
1346011.506516, 0
1346011.526981, 0
1346011.547497, 0
1346011.567980, 0
1346011.588441, 0
1346011.608905, 0
1346011.629391, 0
1346011.649893, 0
1346011.670406, 0
1346011.690954, 0
1346011.711505, 0
1346011.732022, 0
1346011.752551, 0
1346011.773123, 0
1346011.885391, 0
1346011.905866, 0
1346011.926333, 0
1346011.946822, 0
1346011.967308, 0
1346011.987774, 0
1346012.008244, 0
1346012.028998, 0
1346012.049470, 0
1346012.069965, 0
1346012.090452, 0
1346012.110936, 0
1346012.131409, 0
1346012.151902, 0
1346012.172391, 0
1346012.192856, 0
1346012.213322, 0
1346012.233783, 0
1346012.254244, 0
1346012.274706, 0
1346012.295171, 0
1346012.315660, 0
1346012.336127, 0
1346012.356592, 0
1346012.377057, 0
1346012.397522, 0
1346012.417983, 0
1346012.438450, 0
1346012.458912, 0
1346012.479372, 0
1346012.500004, 0
1346012.520464, 0
1346012.540923, 0
1346012.561382, 0
1346012.581841, 0
1346012.602304, 0
1346012.622765, 0
1346012.643224, 0
1346012.663684, 0
1346012.684144, 0
1346012.704603, 0
1346012.725063, 0
1346012.745522, 0
1346012.765983, 0
1346012.786441, 0
1346012.806901, 0
1346012.827363, 0
1346012.847823, 0
1346012.868285, 0
1346012.888745, 0
1346012.909206, 0
1346012.929669, 0
1346012.950130, 0
1346012.970599, 0
1346012.991058, 0
1346013.011520, 0
1346013.032239, 0
1346013.052699, 0
1346013.073164, 0
1346013.093651, 0
1346013.114118, 0
1346013.134584, 0
1346013.155045, 0
1346013.175507, 0
1346013.195970, 0
1346013.216431, 0
1346013.236891, 0
1346013.257352, 0
1346013.277814, 0
1346013.298273, 0
1346013.318734, 0
1346013.339194, 0
1346013.359653, 0
1346013.380115, 0
1346013.400574, 0
1346013.421034, 0
1346013.441509, 0
1346013.461972, 0
1346013.482433, 0
1346013.502894, 0
1346013.523354, 0
1346013.543813, 0
1346013.564478, 0
1346013.584937, 0
1346013.605397, 0
1346013.625855, 0
1346013.646314, 0
1346013.666773, 0
1346013.687231, 0
1346013.707690, 0
1346013.728150, 0
1346013.748609, 0
1346013.769069, 0
1346013.789536, 0
1346013.809997, 0
1346013.830458, 0
1346013.850918, 0
1346013.871378, 0
1346013.891837, 0
1346013.912298, 0
1346013.932761, 0
1346013.953220, 0
1346013.973689, 0
1346013.994151, 0
1346014.014615, 0
1346014.035108, 0
1346014.055577, 0
1346014.076004, 0
1346014.096744, 0
1346014.117233, 0
1346014.137702, 0
