# servo_sweep log
# mode=continuous duration=1200 min_ticks=102 max_ticks=511 center_ticks=307
# period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779599529914066,START,307
1779599530114828,TO_MAX,511
1779599531115560,TO_MIN,102
1779599532116278,TO_MAX,511
1779599533116977,TO_MIN,102
1779599534117675,TO_MAX,511
1779599535118376,TO_MIN,102
1779599536119083,TO_MAX,511
1779599537119790,TO_MIN,102
1779599538120497,TO_MAX,511
1779599539121197,TO_MIN,102
1779599540121897,TO_MAX,511
1779599541122595,TO_MIN,102
1779599542123294,TO_MAX,511
1779599543123999,TO_MIN,102
1779599544124695,TO_MAX,511
1779599545125393,TO_MIN,102
1779599546126101,TO_MAX,511
1779599547126800,TO_MIN,102
1779599548127510,TO_MAX,511
1779599549128214,TO_MIN,102
1779599550128924,TO_MAX,511
1779599551129629,TO_MIN,102
1779599552130328,TO_MAX,511
1779599553131027,TO_MIN,102
1779599554131733,TO_MAX,511
1779599555132424,TO_MIN,102
1779599556133117,TO_MAX,511
1779599557133819,TO_MIN,102
1779599558134528,TO_MAX,511
1779599559135218,TO_MIN,102
1779599560135912,TO_MAX,511
1779599561136613,TO_MIN,102
1779599562137316,TO_MAX,511
1779599563138023,TO_MIN,102
1779599564138730,TO_MAX,511
1779599565139424,TO_MIN,102
1779599566140135,TO_MAX,511
1779599567140834,TO_MIN,102
1779599568141541,TO_MAX,511
1779599569142241,TO_MIN,102
1779599570142933,TO_MAX,511
1779599571143622,TO_MIN,102
1779599572144321,TO_MAX,511
1779599573145014,TO_MIN,102
1779599574145707,TO_MAX,511
1779599575146405,TO_MIN,102
1779599576147102,TO_MAX,511
1779599577147794,TO_MIN,102
1779599578148503,TO_MAX,511
1779599579149198,TO_MIN,102
1779599580149896,TO_MAX,511
1779599581150594,TO_MIN,102
1779599582151287,TO_MAX,511
1779599583151989,TO_MIN,102
1779599584152709,TO_MAX,511
1779599585153414,TO_MIN,102
1779599586154118,TO_MAX,511
1779599587154824,TO_MIN,102
1779599588155529,TO_MAX,511
1779599589156229,TO_MIN,102
1779599590156935,TO_MAX,511
1779599591157630,TO_MIN,102
1779599592158323,TO_MAX,511
1779599593159018,TO_MIN,102
1779599594159716,TO_MAX,511
1779599595160412,TO_MIN,102
1779599596161116,TO_MAX,511
1779599597161810,TO_MIN,102
1779599598162505,TO_MAX,511
1779599599163199,TO_MIN,102
1779599600163905,TO_MAX,511
1779599601164614,TO_MIN,102
1779599602165321,TO_MAX,511
1779599603166022,TO_MIN,102
1779599604166718,TO_MAX,511
1779599605167409,TO_MIN,102
1779599606168112,TO_MAX,511
1779599607168813,TO_MIN,102
1779599608169526,TO_MAX,511
1779599609170226,TO_MIN,102
1779599610170928,TO_MAX,511
1779599611171633,TO_MIN,102
1779599612172335,TO_MAX,511
1779599613173042,TO_MIN,102
1779599614173756,TO_MAX,511
1779599615174463,TO_MIN,102
1779599616175167,TO_MAX,511
1779599617175870,TO_MIN,102
1779599618176580,TO_MAX,511
1779599619177285,TO_MIN,102
1779599620177995,TO_MAX,511
1779599621178701,TO_MIN,102
1779599622179408,TO_MAX,511
1779599623180108,TO_MIN,102
1779599624180816,TO_MAX,511
1779599625181516,TO_MIN,102
1779599626182215,TO_MAX,511
1779599627182915,TO_MIN,102
1779599628183624,TO_MAX,511
1779599629184329,TO_MIN,102
1779599630185034,TO_MAX,511
1779599631185723,TO_MIN,102
1779599632186432,TO_MAX,511
1779599633187130,TO_MIN,102
1779599634187840,TO_MAX,511
1779599635188547,TO_MIN,102
1779599636189256,TO_MAX,511
1779599637189962,TO_MIN,102
1779599638190668,TO_MAX,511
1779599639191363,TO_MIN,102
1779599640192070,TO_MAX,511
1779599641192784,TO_MIN,102
1779599642193489,TO_MAX,511
1779599643194193,TO_MIN,102
1779599644194906,TO_MAX,511
1779599645195611,TO_MIN,102
1779599646196314,TO_MAX,511
1779599647197018,TO_MIN,102
1779599648197726,TO_MAX,511
1779599649198442,TO_MIN,102
1779599650199156,TO_MAX,511
1779599651199851,TO_MIN,102
1779599652200547,TO_MAX,511
1779599653201254,TO_MIN,102
1779599654201968,TO_MAX,511
1779599655202671,TO_MIN,102
1779599656203384,TO_MAX,511
1779599657204087,TO_MIN,102
1779599658204796,TO_MAX,511
1779599659205507,TO_MIN,102
1779599660206218,TO_MAX,511
1779599661206919,TO_MIN,102
1779599662207633,TO_MAX,511
1779599663208338,TO_MIN,102
1779599664209046,TO_MAX,511
1779599665209753,TO_MIN,102
1779599666210485,TO_MAX,511
1779599667211174,TO_MIN,102
1779599668211887,TO_MAX,511
1779599669212594,TO_MIN,102
1779599670213289,TO_MAX,511
1779599671213992,TO_MIN,102
1779599672214697,TO_MAX,511
1779599673215408,TO_MIN,102
1779599674216121,TO_MAX,511
1779599675216819,TO_MIN,102
1779599676217525,TO_MAX,511
1779599677218233,TO_MIN,102
1779599678218938,TO_MAX,511
1779599679219638,TO_MIN,102
1779599680220344,TO_MAX,511
1779599681221054,TO_MIN,102
1779599682221759,TO_MAX,511
1779599683222463,TO_MIN,102
1779599684223181,TO_MAX,511
1779599685223879,TO_MIN,102
1779599686224576,TO_MAX,511
1779599687225286,TO_MIN,102
1779599688225990,TO_MAX,511
1779599689226695,TO_MIN,102
1779599690227397,TO_MAX,511
1779599691228087,TO_MIN,102
1779599692228788,TO_MAX,511
1779599693229479,TO_MIN,102
1779599694230169,TO_MAX,511
1779599695230863,TO_MIN,102
1779599696231555,TO_MAX,511
1779599697232248,TO_MIN,102
1779599698232959,TO_MAX,511
1779599699233663,TO_MIN,102
1779599700234361,TO_MAX,511
1779599701235076,TO_MIN,102
1779599702235788,TO_MAX,511
1779599703236503,TO_MIN,102
1779599704237223,TO_MAX,511
1779599705237934,TO_MIN,102
1779599706238638,TO_MAX,511
1779599707239335,TO_MIN,102
1779599708240041,TO_MAX,511
1779599709240743,TO_MIN,102
1779599710241523,TO_MAX,511
1779599711242229,TO_MIN,102
1779599712242956,TO_MAX,511
1779599713243668,TO_MIN,102
1779599714244366,TO_MAX,511
1779599715245076,TO_MIN,102
1779599716245784,TO_MAX,511
1779599717246489,TO_MIN,102
1779599718247198,TO_MAX,511
1779599719247899,TO_MIN,102
1779599720248596,TO_MAX,511
1779599721249298,TO_MIN,102
1779599722250005,TO_MAX,511
1779599723250701,TO_MIN,102
1779599724251396,TO_MAX,511
1779599725252087,TO_MIN,102
1779599726252783,TO_MAX,511
1779599727253480,TO_MIN,102
1779599728254182,TO_MAX,511
1779599729254889,TO_MIN,102
1779599730255584,TO_MAX,511
1779599731256290,TO_MIN,102
1779599732256992,TO_MAX,511
1779599733257691,TO_MIN,102
1779599734258394,TO_MAX,511
1779599735259084,TO_MIN,102
1779599736259777,TO_MAX,511
1779599737260471,TO_MIN,102
1779599738261167,TO_MAX,511
1779599739261871,TO_MIN,102
1779599740262579,TO_MAX,511
1779599741263290,TO_MIN,102
