# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
1386536.405197, 0
1386536.425879, 0
1386536.446423, 0
1386536.466953, 0
1386536.487513, 0
1386536.508016, 0
1386536.538975, 0
1386536.559491, 0
1386536.579962, 0
1386536.600435, 0
1386536.620904, 0
1386536.641371, 0
1386536.661836, 0
1386536.682304, 0
1386536.702772, 0
1386536.723244, 0
1386536.743768, 0
1386536.764308, 0
1386536.784792, 0
1386536.805265, 0
1386536.825733, 0
1386536.846201, 0
1386536.866726, 0
1386536.887279, 0
1386536.907834, 0
1386536.928426, 0
1386536.948924, 0
1386536.969443, 0
1386536.989991, 0
1386537.094396, 0
1386537.114863, 0
1386537.135324, 0
1386537.155779, 0
1386537.176237, 0
1386537.196690, 0
1386537.217143, 0
1386537.237602, 0
1386537.258056, 0
1386537.278509, 0
1386537.299130, 0
1386537.319587, 0
1386537.340064, 0
1386537.360521, 0
1386537.380977, 0
1386537.401441, 0
1386537.421896, 0
1386537.442349, 0
1386537.462802, 0
1386537.483256, 0
1386537.503709, 0
1386537.524163, 0
1386537.544624, 0
1386537.565087, 0
1386537.585547, 0
1386537.606007, 0
1386537.626468, 0
1386537.646927, 0
1386537.667387, 0
1386537.687845, 0
1386537.708306, 0
1386537.728767, 0
1386537.749229, 0
1386537.769690, 0
1386537.790149, 0
1386537.810612, 0
1386537.831303, 0
1386537.851763, 0
1386537.872229, 0
1386537.892719, 0
1386537.913189, 0
1386537.933657, 0
1386537.954128, 0
1386537.974614, 0
1386537.995080, 0
1386538.015544, 0
1386538.036005, 0
1386538.056469, 0
1386538.076928, 0
1386538.097388, 0
1386538.117851, 0
1386538.138315, 0
1386538.158776, 0
1386538.179245, 0
1386538.199708, 0
1386538.220176, 0
1386538.240639, 0
1386538.261099, 0
1386538.281562, 0
1386538.302168, 0
1386538.322627, 0
1386538.343086, 0
1386538.363546, 0
1386538.384006, 0
1386538.404468, 0
1386538.424930, 0
1386538.445392, 0
1386538.465853, 0
1386538.486312, 0
1386538.506772, 0
1386538.527233, 0
1386538.547692, 0
1386538.568153, 0
1386538.588613, 0
1386538.609074, 0
1386538.629535, 0
1386538.649996, 0
1386538.670457, 0
1386538.690916, 0
1386538.711377, 0
1386538.731836, 0
1386538.752299, 0
1386538.773036, 0
1386538.793495, 0
1386538.813955, 0
1386538.834415, 0
1386538.854874, 0
1386538.875334, 0
1386538.895796, 0
1386538.916310, 0
1386538.936784, 0
1386538.957247, 0
1386538.977711, 0
1386538.998171, 0
1386539.018636, 0
1386539.039121, 0
1386539.059598, 0
1386539.080068, 0
1386539.100529, 0
1386539.121004, 0
1386539.141464, 0
1386539.161923, 0
1386539.182386, 0
1386539.202845, 0
1386539.223305, 0
1386539.243920, 0
1386539.264382, 0
1386539.284843, 0
1386539.305304, 0
1386539.325767, 0
1386539.346227, 0
1386539.366687, 0
1386539.387147, 0
1386539.407607, 0
1386539.428081, 0
1386539.448542, 0
1386539.469005, 0
1386539.489467, 0
1386539.509926, 0
1386539.530387, 0
1386539.550846, 0
1386539.571305, 0
1386539.591774, 0
1386539.612237, 0
1386539.632696, 0
1386539.653164, 0
1386539.673627, 0
1386539.694087, 0
1386539.714774, 0
1386539.735232, 0
1386539.755692, 0
1386539.776152, 0
1386539.796610, 0
1386539.817070, 0
1386539.837531, 0
1386539.857990, 0
1386539.878451, 0
1386539.898910, 0
1386539.919375, 0
1386539.939863, 0
1386539.960370, 0
1386539.980861, 0
1386540.001362, 0
1386540.021835, 0
1386540.042304, 0
1386540.062769, 0
1386540.083230, 0
1386540.103691, 0
1386540.124438, 0
1386540.144900, 0
1386540.165360, 0
1386540.185819, 0
1386540.206281, 0
1386540.226740, 0
1386540.247200, 0
1386540.267659, 0
1386540.288119, 0
1386540.308582, 0
1386540.329045, 0
1386540.349506, 0
1386540.369968, 0
1386540.390432, 0
1386540.410893, 0
1386540.431354, 0
1386540.451822, 0
1386540.472285, 0
1386540.492747, 0
1386540.513207, 0
1386540.533667, 0
1386540.554129, 0
1386540.574588, 0
1386540.595344, 0
1386540.615803, 0
1386540.636270, 0
1386540.656731, 0
1386540.677190, 0
1386540.697650, 0
1386540.718109, 0
1386540.738569, 0
1386540.759028, 0
1386540.779487, 0
1386540.799946, 0
1386540.820406, 0
1386540.840867, 0
1386540.861326, 0
1386540.881786, 0
1386540.902246, 0
1386540.922705, 0
1386540.943171, 0
1386540.963660, 0
1386540.984145, 0
1386541.004617, 0
1386541.025088, 0
1386541.045554, 0
1386541.066276, 0
1386541.086754, 0
1386541.107217, 0
1386541.127678, 0
1386541.148144, 0
1386541.168638, 0
1386541.189109, 0
1386541.209573, 0
1386541.230034, 0
1386541.250495, 0
1386541.270957, 0
1386541.291418, 0
1386541.311885, 0
1386541.332402, 0
1386541.352882, 0
1386541.373364, 0
1386541.393832, 0
1386541.414305, 0
1386541.434819, 0
1386541.455310, 0
1386541.475992, 0
1386541.496490, 0
1386541.516957, 0
1386541.563162, 0
1386541.583626, 0
1386541.604087, 0
1386541.624547, 0
1386541.645008, 0
1386541.665477, 0
1386541.685969, 0
1386541.706715, 0
1386541.727177, 0
1386541.747639, 0
1386541.768101, 0
1386541.788562, 0
1386541.809022, 0
1386541.829486, 0
1386541.849945, 0
1386541.870405, 0
1386541.890865, 0
1386541.911334, 0
1386541.931817, 0
1386541.952289, 0
1386541.972771, 0
1386541.993266, 0
1386542.013735, 0
1386542.034203, 0
1386542.054667, 0
1386542.075131, 0
1386542.095597, 0
1386542.116399, 0
1386542.136867, 0
1386542.157334, 0
1386542.177808, 0
1386542.198275, 0
1386542.218740, 0
1386542.239202, 0
1386542.259661, 0
1386542.280123, 0
1386542.300585, 0
1386542.321044, 0
1386542.341507, 0
1386542.361973, 0
1386542.382434, 0
