# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
1390429.260806, 0
1390429.281348, 0
1390429.301914, 0
1390429.322465, 0
1390429.342993, 0
1390429.363555, 0
1390429.384099, 0
1390429.404592, 0
1390429.425090, 0
1390429.445562, 0
1390429.466023, 0
1390429.486494, 0
1390429.506952, 0
1390429.527415, 0
1390429.547883, 0
1390429.568381, 0
1390429.588849, 0
1390429.609353, 0
1390429.629837, 0
1390429.650299, 0
1390429.670755, 0
1390429.691212, 0
1390429.711684, 0
1390429.732221, 0
1390429.752803, 0
1390429.773408, 0
1390429.793955, 0
1390429.814485, 0
1390429.835059, 0
1390429.855623, 0
1390429.876167, 0
1390429.896677, 0
1390429.917161, 0
1390429.937628, 0
1390429.958104, 0
1390429.978564, 0
1390429.999022, 0
1390430.019478, 0
1390430.039946, 0
1390430.060418, 0
1390430.080881, 0
1390430.101407, 0
1390430.121901, 0
1390430.142374, 0
1390430.162836, 0
1390430.183297, 0
1390430.203752, 0
1390430.224211, 0
1390430.244663, 4
1390430.265122, 4
1390430.285578, 4
1390430.306040, 4
1390430.326494, 4
1390430.346948, 4
1390430.367406, 4
1390430.387861, 4
1390430.408320, 4
1390430.428773, 4
1390430.449230, 4
1390430.469684, 4
1390430.490140, 4
1390430.510596, 4
1390430.531053, 4
1390430.551531, 4
1390430.571994, 4
1390430.592456, 4
1390430.612908, 4
1390430.633359, 4
1390430.653812, 4
1390430.674271, 4
1390430.694732, 4
1390430.715195, 4
1390430.735655, 4
1390430.756117, 4
1390430.776581, 4
1390430.797042, 4
1390430.817501, 4
1390430.837961, 4
1390430.858421, 4
1390430.878884, 4
1390430.899342, 4
1390430.919803, 4
1390430.940268, 4
1390430.960728, 4
1390430.981191, 4
1390431.001652, 4
1390431.022110, 4
1390431.042568, 4
1390431.063029, 4
1390431.083493, 4
1390431.103952, 4
1390431.124419, 4
1390431.144928, 4
1390431.165403, 4
1390431.185874, 4
1390431.206342, 4
1390431.226806, 4
1390431.247268, 4
1390431.267728, 4
1390431.288200, 4
1390431.308662, 4
1390431.329120, 4
1390431.349579, 4
1390431.370040, 4
1390431.390505, 4
1390431.410966, 4
1390431.431429, 4
1390431.451889, 4
1390431.472359, 4
1390431.492820, 4
1390431.513283, 4
1390431.533747, 4
1390431.554207, 4
1390431.574669, 4
1390431.595135, 4
1390431.615595, 4
1390431.636053, 4
1390431.656512, 4
1390431.676971, 4
1390431.697437, 4
1390431.717896, 4
1390431.738358, 4
1390431.758818, 4
1390431.779279, 4
1390431.799742, 4
1390431.820206, 4
1390431.840665, 4
1390431.861125, 4
