# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
1389215.628934, 0
1389215.649536, 0
1389215.670087, 0
1389215.690605, 0
1389215.711109, 0
1389215.731621, 0
1389215.752129, 0
1389215.772635, 0
1389215.793142, 0
1389215.813617, 0
1389215.834085, 0
1389215.854552, 0
1389215.875016, 0
1389215.895485, 0
1389215.915952, 0
1389215.936419, 0
1389215.956888, 0
1389215.977420, 0
1389215.997915, 0
1389216.018406, 0
1389216.038901, 0
1389216.059374, 0
1389216.079880, 0
1389216.100372, 0
1389216.120887, 0
1389216.141466, 0
1389216.162016, 0
1389216.182532, 0
1389216.203046, 0
1389216.223589, 0
1389216.327794, 0
1389216.348274, 0
1389216.368732, 0
1389216.389187, 0
1389216.409648, 0
1389216.430134, 0
1389216.450600, 0
1389216.471264, 0
1389216.491727, 0
1389216.512189, 0
1389216.532644, 0
1389216.553102, 0
1389216.573558, 0
1389216.594012, 0
1389216.614468, 0
1389216.634921, 0
1389216.655382, 0
1389216.675869, 0
1389216.696338, 0
1389216.716807, 0
1389216.737272, 0
1389216.757733, 0
1389216.778200, 0
1389216.798663, 0
1389216.819128, 0
1389216.839593, 0
1389216.860007, 0
1389216.880476, 0
1389216.900939, 0
1389216.921405, 0
1389216.942025, 0
1389216.962514, 0
1389216.982984, 0
1389217.003454, 0
1389217.023944, 0
1389217.044415, 0
1389217.064881, 0
1389217.085348, 0
1389217.105810, 0
1389217.126271, 0
1389217.146731, 0
1389217.167193, 0
1389217.187663, 0
1389217.208169, 0
1389217.228647, 0
1389217.249112, 0
1389217.269572, 0
1389217.290318, 0
1389217.310778, 0
1389217.331238, 0
1389217.351700, 0
1389217.372163, 0
1389217.392626, 0
1389217.413087, 0
1389217.433552, 0
1389217.454043, 0
1389217.474507, 0
1389217.494977, 0
1389217.515472, 0
1389217.535939, 0
1389217.556401, 0
1389217.576864, 0
1389217.597330, 0
1389217.617791, 0
1389217.638253, 0
1389217.658713, 0
1389217.679181, 0
1389217.699919, 0
1389217.720391, 0
1389217.740857, 0
1389217.761318, 0
1389217.781780, 0
1389217.802246, 0
1389217.822709, 0
1389217.843172, 0
1389217.863634, 0
1389217.884097, 0
1389217.904560, 0
1389217.925027, 0
1389217.945516, 0
1389217.965987, 0
1389217.986455, 0
1389218.006921, 0
1389218.027401, 0
1389218.047869, 0
1389218.068334, 0
1389218.088796, 0
1389218.109426, 0
1389218.129890, 0
1389218.150351, 0
1389218.170817, 0
1389218.191306, 0
1389218.211774, 0
1389218.232241, 0
1389218.252704, 0
1389218.273165, 0
1389218.293625, 0
1389218.314087, 0
1389218.334556, 0
1389218.355016, 0
1389218.375477, 0
1389218.395942, 0
1389218.416407, 0
1389218.436894, 0
1389218.457362, 0
1389218.477825, 0
1389218.498286, 0
1389218.518991, 0
1389218.539454, 0
1389218.559915, 0
1389218.580378, 0
1389218.600839, 0
1389218.621300, 0
1389218.641763, 0
1389218.662229, 0
1389218.682715, 0
1389218.703187, 0
1389218.723694, 0
1389218.744173, 0
1389218.764638, 0
1389218.785101, 0
1389218.805573, 0
1389218.826034, 0
1389218.846498, 0
1389218.866964, 0
1389218.887427, 0
1389218.907893, 0
1389218.928623, 0
1389218.949108, 0
1389218.969574, 0
1389218.990037, 0
1389219.010502, 0
1389219.030965, 0
1389219.051433, 0
1389219.071895, 0
1389219.092366, 0
1389219.112827, 0
1389219.133288, 0
1389219.153757, 0
1389219.174253, 0
1389219.194720, 0
1389219.215190, 0
1389219.235656, 0
1389219.256121, 0
1389219.276586, 0
1389219.297047, 0
1389219.317508, 0
1389219.337973, 0
1389219.358435, 0
1389219.378897, 0
1389219.399515, 0
1389219.420008, 0
1389219.440473, 0
1389219.460934, 0
1389219.481397, 0
1389219.501865, 0
1389219.522353, 0
1389219.542818, 0
1389219.563280, 0
1389219.583743, 0
1389219.604206, 0
1389219.624669, 0
1389219.645135, 0
1389219.665621, 0
1389219.686095, 0
1389219.706565, 0
1389219.727063, 0
1389219.747570, 0
1389219.768008, 0
1389219.788475, 0
1389219.809226, 0
1389219.829689, 0
1389219.850151, 0
1389219.870613, 0
1389219.891079, 0
1389219.911584, 0
1389219.932071, 0
1389219.952537, 0
1389219.973001, 0
1389219.993464, 0
1389220.013925, 0
1389220.034388, 0
1389220.054853, 0
1389220.075341, 0
1389220.095813, 0
1389220.116327, 0
1389220.136798, 0
1389220.157265, 0
1389220.177722, 0
1389220.198177, 0
1389220.218633, 0
1389220.239087, 0
1389220.259540, 0
1389220.280157, 0
1389220.300634, 0
1389220.321090, 0
1389220.341543, 0
1389220.361997, 0
1389220.382451, 0
1389220.402909, 0
1389220.423367, 0
1389220.443869, 0
1389220.464333, 0
1389220.508246, 0
1389220.528703, 0
1389220.549156, 0
1389220.569610, 0
1389220.590065, 0
1389220.610522, 0
1389220.630980, 0
1389220.651433, 0
1389220.671888, 0
1389220.692371, 0
1389220.712835, 0
1389220.733295, 0
1389220.753759, 0
1389220.774262, 0
1389220.794728, 0
1389220.815195, 0
1389220.835842, 0
1389220.856308, 0
1389220.876773, 0
1389220.897239, 0
1389220.917706, 0
1389220.938166, 0
1389220.958627, 0
1389220.979089, 0
1389220.999548, 0
1389221.020004, 0
1389221.040464, 0
1389221.060931, 0
1389221.081392, 0
1389221.101853, 0
1389221.122314, 0
1389221.142777, 0
1389221.163239, 0
1389221.183703, 0
1389221.204165, 0
1389221.224627, 0
1389221.245091, 0
1389221.265551, 0
1389221.286011, 0
1389221.306758, 0
1389221.327218, 0
1389221.347677, 0
1389221.368138, 0
1389221.388598, 0
1389221.409060, 0
1389221.429520, 0
1389221.449979, 0
1389221.470442, 0
1389221.490901, 0
1389221.511361, 0
1389221.531821, 0
1389221.552281, 0
1389221.572741, 0
1389221.593204, 0
1389221.613664, 0
1389221.634123, 0
1389221.654585, 0
1389221.675044, 0
1389221.695504, 0
1389221.715967, 0
1389221.736427, 0
1389221.756887, 0
1389221.777354, 0
1389221.797857, 0
1389221.818324, 0
1389221.838927, 0
1389221.859390, 0
1389221.879851, 0
1389221.900315, 0
1389221.920775, 0
1389221.941236, 0
1389221.961699, 0
1389221.982161, 0
1389222.002622, 0
1389222.023082, 0
1389222.043543, 0
1389222.064004, 0
1389222.084464, 0
1389222.104930, 0
1389222.125392, 0
1389222.145856, 0
1389222.166320, 0
1389222.186787, 0
1389222.207248, 0
1389222.227708, 0
1389222.248179, 0
1389222.268640, 0
1389222.289101, 0
1389222.309861, 0
1389222.330325, 0
1389222.350792, 0
1389222.371252, 0
1389222.391713, 0
1389222.412180, 0
1389222.432641, 0
1389222.453102, 0
1389222.473565, 0
1389222.494025, 0
1389222.514485, 0
1389222.534946, 0
1389222.555405, 0
1389222.575865, 0
1389222.596327, 0
1389222.616787, 0
1389222.637247, 0
1389222.657718, 0
1389222.678179, 0
1389222.698641, 0
1389222.719104, 0
1389222.739566, 0
1389222.760008, 0
1389222.780702, 0
1389222.801169, 0
1389222.821685, 0
1389222.842160, 0
1389222.862624, 0
1389222.883086, 0
1389222.903546, 0
1389222.924006, 0
1389222.944471, 0
1389222.964932, 0
1389222.985392, 0
1389223.005855, 0
1389223.026316, 0
1389223.046777, 0
1389223.067241, 0
1389223.087701, 0
1389223.108163, 0
1389223.128628, 0
1389223.149089, 0
1389223.169553, 0
1389223.190290, 0
1389223.210754, 0
1389223.231215, 0
1389223.251675, 0
1389223.272136, 0
1389223.292597, 0
1389223.313060, 0
1389223.333519, 0
