# servo_sweep log
# mode=continuous duration=1200 min_ticks=102 max_ticks=511 center_ticks=307
# period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779605065938398,START,307
1779605066139165,TO_MAX,511
1779605067139896,TO_MIN,102
1779605068140612,TO_MAX,511
1779605069141331,TO_MIN,102
1779605070142027,TO_MAX,511
1779605071142725,TO_MIN,102
1779605072143426,TO_MAX,511
1779605073144124,TO_MIN,102
1779605074144820,TO_MAX,511
1779605075145513,TO_MIN,102
1779605076146210,TO_MAX,511
1779605077146912,TO_MIN,102
1779605078147617,TO_MAX,511
1779605079148313,TO_MIN,102
1779605080149010,TO_MAX,511
1779605081149700,TO_MIN,102
1779605082150398,TO_MAX,511
1779605083151088,TO_MIN,102
1779605084151789,TO_MAX,511
1779605085152483,TO_MIN,102
1779605086153179,TO_MAX,511
1779605087153870,TO_MIN,102
1779605088154558,TO_MAX,511
1779605089155247,TO_MIN,102
1779605090155939,TO_MAX,511
1779605091156635,TO_MIN,102
1779605092157327,TO_MAX,511
1779605093158019,TO_MIN,102
1779605094158710,TO_MAX,511
1779605095159403,TO_MIN,102
1779605096160106,TO_MAX,511
1779605097160802,TO_MIN,102
1779605098161500,TO_MAX,511
1779605099162210,TO_MIN,102
1779605100162911,TO_MAX,511
1779605101163610,TO_MIN,102
1779605102164321,TO_MAX,511
1779605103165023,TO_MIN,102
1779605104165728,TO_MAX,511
1779605105166424,TO_MIN,102
1779605106167121,TO_MAX,511
1779605107167821,TO_MIN,102
1779605108168517,TO_MAX,511
1779605109169208,TO_MIN,102
1779605110169900,TO_MAX,511
1779605111170595,TO_MIN,102
1779605112171295,TO_MAX,511
1779605113171987,TO_MIN,102
1779605114172682,TO_MAX,511
1779605115173366,TO_MIN,102
1779605116174061,TO_MAX,511
1779605117174755,TO_MIN,102
1779605118175451,TO_MAX,511
1779605119176146,TO_MIN,102
1779605120176840,TO_MAX,511
1779605121177531,TO_MIN,102
1779605122178218,TO_MAX,511
1779605123178905,TO_MIN,102
1779605124179596,TO_MAX,511
1779605125180287,TO_MIN,102
1779605126180985,TO_MAX,511
1779605127181672,TO_MIN,102
1779605128182361,TO_MAX,511
1779605129183050,TO_MIN,102
1779605130183739,TO_MAX,511
1779605131184423,TO_MIN,102
1779605132185119,TO_MAX,511
1779605133185828,TO_MIN,102
1779605134186520,TO_MAX,511
1779605135187210,TO_MIN,102
1779605136187901,TO_MAX,511
1779605137188593,TO_MIN,102
1779605138189296,TO_MAX,511
1779605139189984,TO_MIN,102
1779605140190675,TO_MAX,511
1779605141191366,TO_MIN,102
1779605142192063,TO_MAX,511
1779605143192759,TO_MIN,102
1779605144193449,TO_MAX,511
1779605145194136,TO_MIN,102
1779605146194823,TO_MAX,511
1779605147195510,TO_MIN,102
1779605148196199,TO_MAX,511
1779605149196892,TO_MIN,102
1779605150197586,TO_MAX,511
1779605151198272,TO_MIN,102
1779605152198962,TO_MAX,511
1779605153199656,TO_MIN,102
1779605154200340,TO_MAX,511
1779605155201031,TO_MIN,102
1779605156201738,TO_MAX,511
1779605157202434,TO_MIN,102
1779605158203123,TO_MAX,511
1779605159203817,TO_MIN,102
1779605160204511,TO_MAX,511
1779605161205203,TO_MIN,102
1779605162205897,TO_MAX,511
1779605163206597,TO_MIN,102
1779605164207306,TO_MAX,511
1779605165208006,TO_MIN,102
1779605166208706,TO_MAX,511
1779605167209401,TO_MIN,102
1779605168210108,TO_MAX,511
1779605169210807,TO_MIN,102
1779605170211516,TO_MAX,511
1779605171212217,TO_MIN,102
1779605172212925,TO_MAX,511
1779605173213622,TO_MIN,102
1779605174214327,TO_MAX,511
1779605175215024,TO_MIN,102
1779605176215723,TO_MAX,511
1779605177216416,TO_MIN,102
1779605178217107,TO_MAX,511
1779605179217800,TO_MIN,102
1779605180218497,TO_MAX,511
1779605181219189,TO_MIN,102
1779605182219880,TO_MAX,511
1779605183220573,TO_MIN,102
1779605184221275,TO_MAX,511
