# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
6488.039398, 4
6488.059985, 4
6488.080845, 4
6488.101466, 4
6488.122071, 4
6488.142687, 4
6488.163365, 4
6488.183988, 4
6488.204603, 4
6488.225193, 4
6488.245812, 0
6488.266397, 0
6488.286965, 0
6488.307505, 0
6488.328197, 0
6488.348785, 0
6488.369382, 0
6488.389969, 0
6488.410543, 0
6488.431126, 0
6488.451658, 0
6488.472295, 0
6488.492886, 0
6488.513566, 0
6488.534171, 0
6488.554754, 0
6488.575389, 0
6488.595966, 0
6488.616540, 0
6488.637508, 0
6488.658110, 0
6488.678686, 0
6488.699279, 0
6488.719843, 0
6488.740501, 0
6488.761041, 0
6488.781572, 0
6488.802106, 0
6488.822630, 0
6488.843143, 0
6488.863718, 0
6488.884265, 0
6488.904783, 0
6488.925292, 0
6488.945848, 0
6488.966498, 4
6488.987083, 4
6489.007682, 4
6489.028601, 4
6489.049193, 4
6489.069836, 4
6489.090505, 4
6489.111099, 4
6489.131731, 4
6489.237083, 4
6489.257635, 4
6489.278160, 4
6489.298727, 4
6489.319255, 4
6489.339859, 4
6489.360483, 4
6489.381004, 4
6489.401608, 4
6489.422226, 4
6489.442747, 4
6489.463356, 4
6489.484175, 4
6489.504793, 4
6489.525389, 4
6489.546066, 4
6489.566604, 4
6489.587146, 4
6489.607641, 4
6489.628237, 4
6489.648972, 4
6489.669545, 4
6489.690097, 4
6489.710647, 4
6489.731268, 4
6489.751925, 4
6489.772519, 4
6489.793120, 4
6489.813674, 4
6489.834276, 4
6489.854849, 4
6489.875371, 4
6489.896041, 4
6489.916636, 4
6489.937232, 4
6489.957844, 4
6489.978530, 4
6489.999132, 4
6490.019668, 4
6490.040296, 4
6490.060900, 4
6490.081449, 4
6490.101944, 4
6490.122527, 4
6490.143249, 4
6490.163836, 4
6490.184445, 4
6490.205074, 4
6490.225633, 4
6490.246317, 4
6490.266809, 4
6490.287420, 4
6490.308094, 4
6490.328713, 4
6490.349281, 4
6490.369792, 4
6490.390359, 4
6490.410929, 4
6490.431442, 4
6490.452029, 4
6490.472864, 4
6490.493425, 4
6490.513991, 4
6490.534535, 4
6490.555115, 4
6490.575665, 4
6490.596182, 4
6490.616808, 4
6490.637753, 4
6490.658368, 4
6490.678971, 4
6490.699485, 4
6490.720012, 4
6490.740584, 4
6490.761124, 4
6490.781690, 4
6490.802606, 4
6490.823150, 4
6490.843725, 4
6490.864212, 4
6490.884748, 4
6490.905317, 4
6490.925919, 4
6490.946482, 4
6490.967310, 4
6490.987863, 4
6491.008447, 4
6491.028956, 4
6491.049566, 4
6491.070132, 4
6491.090679, 4
6491.111309, 4
6491.132164, 4
6491.152809, 4
6491.173376, 4
6491.194015, 4
6491.214604, 4
6491.235288, 4
6491.255868, 4
6491.276501, 4
6491.297027, 4
6491.317585, 4
6491.338178, 4
6491.358701, 4
6491.379310, 4
6491.399903, 4
6491.420542, 4
6491.441118, 4
6491.461892, 4
6491.482470, 4
6491.503071, 4
6491.523571, 4
6491.544161, 4
6491.564814, 4
6491.585335, 4
6491.605888, 4
6491.626566, 4
6491.647136, 4
6491.667743, 4
6491.688358, 4
6491.708943, 4
6491.729563, 4
6491.750175, 4
6491.770720, 4
6491.791275, 4
6491.811909, 4
6491.832574, 4
6491.853192, 4
6491.873784, 4
6491.894338, 4
6491.914856, 4
6491.935457, 4
6491.956059, 4
6491.976653, 4
6491.997223, 4
6492.017739, 4
6492.038309, 4
6492.058928, 4
6492.079514, 4
6492.100110, 4
6492.120917, 4
6492.141477, 4
6492.162108, 4
6492.182663, 4
6492.203248, 4
6492.223820, 4
6492.244447, 4
6492.265044, 4
6492.285766, 4
6492.306371, 4
6492.326932, 4
6492.347456, 4
6492.368053, 4
6492.388636, 4
6492.409157, 4
6492.429749, 4
6492.450545, 4
6492.471107, 4
6492.491682, 4
6492.512301, 4
6492.532918, 4
6492.553476, 4
6492.573989, 4
6492.594539, 4
6492.615283, 4
6492.635871, 4
6492.656470, 4
6492.676978, 4
6492.697595, 4
6492.718229, 4
6492.738778, 4
6492.759375, 4
6492.780101, 4
6492.800703, 4
6492.821267, 4
6492.841879, 4
6492.862471, 4
6492.883113, 4
6492.903672, 4
6492.924242, 4
6492.944977, 4
6492.965674, 4
6492.986268, 4
6493.006786, 4
6493.027388, 4
6493.047984, 4
6493.068621, 4
6493.089228, 4
6493.109735, 4
6493.130405, 4
6493.151011, 4
6493.171527, 4
