# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
44487.526913, 0
44487.547444, 0
44487.567956, 0
44487.588481, 0
44487.609014, 0
44487.629535, 0
44487.650043, 0
44487.670523, 0
44487.690997, 0
44487.711462, 0
44487.731926, 0
44487.752406, 0
44487.772873, 0
44487.793331, 0
44487.813790, 0
44487.834257, 0
44487.854750, 0
44487.875234, 0
44487.895699, 0
44487.916164, 0
44487.936669, 0
44487.957439, 0
44487.978066, 0
44487.998632, 0
44488.019159, 0
44488.039669, 0
44488.062835, 0
44488.083362, 0
44488.103875, 0
44488.124414, 0
44488.144932, 0
44488.165417, 0
44488.185901, 0
44488.206404, 0
44488.226889, 0
44488.247367, 0
44488.267904, 0
44488.288423, 0
44488.308898, 0
44488.329368, 0
44488.349845, 0
44488.370366, 0
44488.390954, 0
44488.411541, 0
44488.432194, 0
44488.452700, 0
44488.473244, 0
44488.580493, 0
44488.600989, 0
44488.621467, 0
44488.641936, 0
44488.662675, 0
44488.683139, 0
44488.703606, 0
44488.724079, 0
44488.744547, 0
44488.765015, 0
44488.785483, 0
44488.805952, 0
44488.826420, 0
44488.846901, 0
44488.867371, 0
44488.887841, 4
44488.908324, 4
44488.928810, 4
44488.949340, 4
44488.969843, 4
44488.990316, 4
44489.010979, 4
44489.031446, 4
44489.051912, 4
44489.072381, 4
44489.092864, 4
44489.113330, 4
44489.133796, 4
44489.154260, 4
44489.174728, 4
44489.195192, 4
44489.215659, 4
44489.236124, 4
44489.256594, 4
44489.277083, 4
44489.297562, 4
44489.318030, 4
44489.338508, 4
44489.359236, 4
44489.379704, 4
44489.400207, 4
44489.420677, 4
44489.441142, 4
44489.461612, 4
44489.482076, 4
44489.502542, 4
44489.523009, 4
44489.543471, 4
44489.563938, 4
44489.584438, 4
44489.604908, 4
44489.625377, 4
44489.645844, 4
44489.666311, 4
44489.686775, 4
44489.707500, 4
44489.728007, 4
44489.748520, 4
44489.769028, 4
44489.789517, 4
44489.810000, 4
44489.830509, 4
44489.851012, 4
44489.871518, 4
44489.892010, 4
44489.912518, 4
44489.933019, 4
44489.953511, 4
44489.974019, 4
44489.994551, 4
44490.015025, 4
44490.035496, 4
44490.055962, 4
44490.076432, 4
44490.096898, 4
44490.117365, 4
44490.137830, 4
44490.158298, 4
44490.178763, 4
44490.199233, 4
44490.219730, 4
44490.240208, 4
44490.260678, 4
44490.281144, 4
44490.301609, 4
44490.322073, 4
44490.342682, 4
44490.363146, 4
44490.383610, 4
44490.404079, 4
44490.424546, 4
44490.445010, 4
44490.465479, 4
44490.485947, 4
44490.506412, 4
44490.526884, 4
44490.547376, 4
44490.567884, 4
44490.588375, 4
44490.608846, 4
44490.629317, 4
44490.649781, 4
44490.670246, 4
44490.690855, 4
44490.711319, 4
44490.731781, 4
44490.752247, 4
44490.772713, 4
44490.793177, 4
44490.813639, 4
44490.834103, 4
44490.854564, 4
44490.875032, 4
44490.895496, 4
44490.915964, 4
44490.936429, 4
44490.956891, 4
44490.977369, 4
44490.997886, 4
44491.018385, 4
44491.039067, 4
44491.059536, 4
44491.080004, 4
44491.100478, 4
44491.120980, 4
44491.141480, 4
44491.161978, 4
44491.182473, 4
44491.202962, 4
44491.223446, 4
44491.243951, 4
44491.264456, 4
44491.284956, 4
44491.305447, 4
44491.326104, 4
44491.346601, 4
44491.367100, 4
44491.387604, 4
44491.408117, 4
44491.428623, 4
44491.449113, 4
44491.469624, 4
44491.490120, 4
44491.510605, 4
44491.531098, 4
44491.551593, 4
44491.572102, 4
44491.592606, 4
44491.613110, 4
44491.633616, 4
44491.654121, 4
44491.674618, 4
44491.695128, 4
44491.715632, 4
44491.736126, 4
44491.756641, 4
44491.777146, 4
44491.797650, 4
44491.818148, 4
44491.838957, 4
44491.859462, 4
44491.879970, 4
44491.900474, 4
44491.920982, 4
44491.941482, 4
44491.961973, 4
44491.982472, 4
44492.002985, 4
44492.023488, 4
44492.043978, 4
44492.064475, 4
44492.084975, 4
44492.105468, 4
44492.125979, 4
44492.146464, 4
44492.166951, 4
44492.187456, 4
44492.207956, 4
44492.228441, 4
44492.248930, 4
44492.269447, 4
44492.289941, 4
44492.310453, 4
44492.330958, 4
44492.351457, 4
44492.371958, 4
44492.392450, 4
44492.412955, 4
44492.433457, 4
44492.453956, 4
44492.474463, 4
44492.494971, 4
44492.515470, 4
44492.535974, 4
44492.556465, 4
44492.576979, 4
44492.597485, 4
44492.617993, 4
44492.638497, 4
44492.659006, 4
44492.679557, 4
44492.700071, 4
44492.720578, 4
44492.741087, 4
44492.761595, 4
44492.782122, 4
44492.802600, 4
44492.823072, 4
44492.843539, 4
44492.864005, 4
44492.884473, 4
44492.904939, 4
44492.925405, 4
44492.945874, 4
44492.966336, 4
44492.986965, 4
44493.007430, 4
44493.027908, 4
44493.048416, 4
44493.068903, 4
44493.089394, 4
44493.109881, 4
44493.130367, 4
44493.150855, 4
44493.171355, 4
44493.191859, 4
44493.212358, 4
44493.232863, 4
44493.253373, 4
44493.274031, 4
44493.294531, 4
44493.315035, 4
44493.335545, 4
44493.356028, 4
44493.376515, 4
44493.397065, 4
44493.417569, 4
44493.438065, 4
44493.458563, 4
44493.479060, 4
44493.499842, 4
44493.520337, 4
44493.540840, 4
44493.561335, 4
44493.581837, 4
44493.602339, 4
44493.622845, 4
44493.643354, 4
44493.663840, 4
44493.684342, 4
44493.704853, 4
44493.725359, 4
44493.745857, 4
44493.766367, 4
44493.786877, 4
44493.807377, 4
44493.827875, 4
44493.848383, 4
44493.868875, 4
44493.889374, 4
44493.909880, 4
44493.930380, 4
44493.950878, 4
44493.971381, 4
44493.991895, 4
44494.012398, 4
44494.032901, 4
44494.053424, 4
44494.073936, 4
44494.094423, 4
44494.114924, 4
44494.135418, 4
44494.155919, 4
44494.176417, 4
44494.196917, 4
44494.217411, 4
44494.237914, 4
44494.258392, 4
44494.278874, 4
44494.299347, 4
44494.319813, 4
44494.340289, 4
44494.360870, 4
44494.381341, 4
44494.401844, 4
44494.422311, 4
44494.442784, 4
44494.463255, 4
44494.483759, 4
44494.504258, 4
44494.524746, 4
44494.545236, 4
44494.565712, 4
44494.586218, 4
44494.606724, 4
44494.627247, 4
44494.647899, 4
44494.668379, 4
44494.688847, 4
44494.709318, 4
44494.729809, 4
44494.750281, 4
44494.770753, 4
44494.791221, 4
44494.811685, 4
44494.832158, 4
44494.852623, 4
