# servo_sweep log
# mode=burst duration=1200 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779820168494750,START,307
1779820168695499,MOTION_PHASE_START,0
1779820168695523,TO_MAX,511
1779820169696226,TO_MIN,102
1779820170696931,TO_MAX,511
1779820171697632,TO_MIN,102
1779820172698331,TO_MAX,511
1779820173699031,STILL_PHASE_START,307
1779820178699730,MOTION_PHASE_START,0
1779820178699755,TO_MAX,511
1779820179700443,TO_MIN,102
1779820180701142,TO_MAX,511
1779820181701832,TO_MIN,102
1779820182702521,TO_MAX,511
1779820183703217,STILL_PHASE_START,307
1779820188703914,MOTION_PHASE_START,0
1779820188703935,TO_MAX,511
1779820189704619,TO_MIN,102
1779820190705314,TO_MAX,511
1779820191706009,TO_MIN,102
1779820192706663,TO_MAX,511
1779820193707354,STILL_PHASE_START,307
1779820198708049,MOTION_PHASE_START,0
1779820198708075,TO_MAX,511
1779820199708758,TO_MIN,102
1779820200709449,TO_MAX,511
1779820201710143,TO_MIN,102
1779820202710839,TO_MAX,511
1779820203711540,STILL_PHASE_START,307
1779820208712232,MOTION_PHASE_START,0
1779820208712255,TO_MAX,511
1779820209712933,TO_MIN,102
1779820210713626,TO_MAX,511
1779820211714334,TO_MIN,102
1779820212715030,TO_MAX,511
1779820213715726,STILL_PHASE_START,307
1779820218716426,MOTION_PHASE_START,0
1779820218716454,TO_MAX,511
1779820219717144,TO_MIN,102
1779820220717830,TO_MAX,511
1779820221718531,TO_MIN,102
1779820222719231,TO_MAX,511
1779820223719929,STILL_PHASE_START,307
1779820228720627,MOTION_PHASE_START,0
1779820228720654,TO_MAX,511
1779820229721344,TO_MIN,102
1779820230722036,TO_MAX,511
1779820231722732,TO_MIN,102
1779820232723426,TO_MAX,511
1779820233724122,STILL_PHASE_START,307
1779820238724823,MOTION_PHASE_START,0
1779820238724847,TO_MAX,511
1779820239725527,TO_MIN,102
1779820240726217,TO_MAX,511
1779820241726910,TO_MIN,102
1779820242727609,TO_MAX,511
1779820243728310,STILL_PHASE_START,307
1779820248729002,MOTION_PHASE_START,0
1779820248729028,TO_MAX,511
1779820249729707,TO_MIN,102
1779820250730402,TO_MAX,511
1779820251731098,TO_MIN,102
1779820252731796,TO_MAX,511
1779820253732489,STILL_PHASE_START,307
1779820258733184,MOTION_PHASE_START,0
1779820258733212,TO_MAX,511
1779820259733921,TO_MIN,102
1779820260734618,TO_MAX,511
1779820261735315,TO_MIN,102
1779820262736029,TO_MAX,511
1779820263736725,STILL_PHASE_START,307
1779820268737429,MOTION_PHASE_START,0
1779820268737456,TO_MAX,511
1779820269738137,TO_MIN,102
1779820270738841,TO_MAX,511
1779820271739538,TO_MIN,102
1779820272740232,TO_MAX,511
1779820273740926,STILL_PHASE_START,307
1779820278741620,MOTION_PHASE_START,0
1779820278741642,TO_MAX,511
1779820279742336,TO_MIN,102
1779820280743032,TO_MAX,511
1779820281743731,TO_MIN,102
1779820282744430,TO_MAX,511
1779820283745123,STILL_PHASE_START,307
1779820288745815,MOTION_PHASE_START,0
1779820288745852,TO_MAX,511
1779820289746536,TO_MIN,102
1779820290747230,TO_MAX,511
1779820291747922,TO_MIN,102
1779820292748614,TO_MAX,511
1779820293749310,STILL_PHASE_START,307
1779820298750008,MOTION_PHASE_START,0
1779820298750033,TO_MAX,511
1779820299750717,TO_MIN,102
1779820300751408,TO_MAX,511
1779820301752104,TO_MIN,102
1779820302752801,TO_MAX,511
1779820303753496,STILL_PHASE_START,307
1779820308754188,MOTION_PHASE_START,0
1779820308754211,TO_MAX,511
1779820309754900,TO_MIN,102
1779820310755593,TO_MAX,511
1779820311756293,TO_MIN,102
1779820312756988,TO_MAX,511
1779820313757683,STILL_PHASE_START,307
1779820318758380,MOTION_PHASE_START,0
1779820318758405,TO_MAX,511
1779820319759097,TO_MIN,102
1779820320759792,TO_MAX,511
1779820321760490,TO_MIN,102
1779820322761174,TO_MAX,511
1779820323761827,STILL_PHASE_START,307
1779820328762523,MOTION_PHASE_START,0
1779820328762546,TO_MAX,511
1779820329763230,TO_MIN,102
1779820330763928,TO_MAX,511
1779820331764636,TO_MIN,102
1779820332765331,TO_MAX,511
1779820333766026,STILL_PHASE_START,307
1779820338766726,MOTION_PHASE_START,0
1779820338766752,TO_MAX,511
1779820339767439,TO_MIN,102
1779820340768149,TO_MAX,511
1779820341768840,TO_MIN,102
1779820342769533,TO_MAX,511
1779820343770227,STILL_PHASE_START,307
1779820348770923,MOTION_PHASE_START,0
1779820348770948,TO_MAX,511
1779820349771638,TO_MIN,102
1779820350772333,TO_MAX,511
1779820351773029,TO_MIN,102
1779820352773719,TO_MAX,511
1779820353774413,STILL_PHASE_START,307
1779820358775110,MOTION_PHASE_START,0
1779820358775131,TO_MAX,511
1779820359775812,TO_MIN,102
1779820360776510,TO_MAX,511
1779820361777204,TO_MIN,102
1779820362777909,TO_MAX,511
1779820363778617,STILL_PHASE_START,307
1779820368779319,MOTION_PHASE_START,0
1779820368779343,TO_MAX,511
1779820369780020,TO_MIN,102
1779820370780700,TO_MAX,511
1779820371781389,TO_MIN,102
1779820372782080,TO_MAX,511
1779820373782771,STILL_PHASE_START,307
1779820378783464,MOTION_PHASE_START,0
1779820378783489,TO_MAX,511
1779820379784173,TO_MIN,102
1779820380784866,TO_MAX,511
1779820381785561,TO_MIN,102
1779820382786253,TO_MAX,511
1779820383786942,STILL_PHASE_START,307
1779820388787637,MOTION_PHASE_START,0
1779820388787662,TO_MAX,511
1779820389788340,TO_MIN,102
1779820390789031,TO_MAX,511
1779820391789740,TO_MIN,102
1779820392790439,TO_MAX,511
1779820393791134,STILL_PHASE_START,307
1779820398791832,MOTION_PHASE_START,0
1779820398791857,TO_MAX,511
1779820399792542,TO_MIN,102
1779820400793240,TO_MAX,511
1779820401793929,TO_MIN,102
1779820402794626,TO_MAX,511
1779820403795318,STILL_PHASE_START,307
1779820408796013,MOTION_PHASE_START,0
1779820408796038,TO_MAX,511
1779820409796721,TO_MIN,102
1779820410797416,TO_MAX,511
1779820411798108,TO_MIN,102
1779820412798803,TO_MAX,511
1779820413799497,STILL_PHASE_START,307
1779820418800197,MOTION_PHASE_START,0
1779820418800224,TO_MAX,511
1779820419800914,TO_MIN,102
1779820420801610,TO_MAX,511
1779820421802303,TO_MIN,102
1779820422802996,TO_MAX,511
1779820423803691,STILL_PHASE_START,307
1779820428804382,MOTION_PHASE_START,0
1779820428804407,TO_MAX,511
1779820429805085,TO_MIN,102
1779820430805775,TO_MAX,511
1779820431806465,TO_MIN,102
1779820432807160,TO_MAX,511
1779820433807850,STILL_PHASE_START,307
1779820438808545,MOTION_PHASE_START,0
1779820438808577,TO_MAX,511
1779820439809256,TO_MIN,102
1779820440809947,TO_MAX,511
1779820441810637,TO_MIN,102
1779820442811332,TO_MAX,511
1779820443812030,STILL_PHASE_START,307
1779820448812723,MOTION_PHASE_START,0
1779820448812747,TO_MAX,511
1779820449813424,TO_MIN,102
1779820450814118,TO_MAX,511
1779820451814813,TO_MIN,102
1779820452815507,TO_MAX,511
1779820453816193,STILL_PHASE_START,307
1779820458816889,MOTION_PHASE_START,0
1779820458816917,TO_MAX,511
1779820459817598,TO_MIN,102
1779820460818288,TO_MAX,511
1779820461818980,TO_MIN,102
1779820462819674,TO_MAX,511
1779820463820364,STILL_PHASE_START,307
1779820468821053,MOTION_PHASE_START,0
1779820468821165,TO_MAX,511
1779820469821833,TO_MIN,102
1779820470822528,TO_MAX,511
1779820471823224,TO_MIN,102
1779820472823918,TO_MAX,511
1779820473824609,STILL_PHASE_START,307
1779820478825301,MOTION_PHASE_START,0
1779820478825328,TO_MAX,511
1779820479826007,TO_MIN,102
1779820480826699,TO_MAX,511
1779820481827395,TO_MIN,102
1779820482828092,TO_MAX,511
1779820483828790,STILL_PHASE_START,307
1779820488829482,MOTION_PHASE_START,0
1779820488829505,TO_MAX,511
1779820489830180,TO_MIN,102
1779820490830871,TO_MAX,511
1779820491831559,TO_MIN,102
1779820492832246,TO_MAX,511
1779820493832933,STILL_PHASE_START,307
1779820498833625,MOTION_PHASE_START,0
1779820498833652,TO_MAX,511
1779820499834335,TO_MIN,102
1779820500835027,TO_MAX,511
1779820501835718,TO_MIN,102
1779820502836411,TO_MAX,511
1779820503837103,STILL_PHASE_START,307
1779820508837799,MOTION_PHASE_START,0
1779820508837840,TO_MAX,511
1779820509838523,TO_MIN,102
1779820510839213,TO_MAX,511
1779820511839908,TO_MIN,102
1779820512840600,TO_MAX,511
1779820513841295,STILL_PHASE_START,307
1779820518841986,MOTION_PHASE_START,0
1779820518842011,TO_MAX,511
1779820519842690,TO_MIN,102
1779820520843382,TO_MAX,511
1779820521844074,TO_MIN,102
1779820522844763,TO_MAX,511
1779820523845454,STILL_PHASE_START,307
1779820528846145,MOTION_PHASE_START,0
1779820528846172,TO_MAX,511
1779820529846875,TO_MIN,102
1779820530847573,TO_MAX,511
1779820531848268,TO_MIN,102
1779820532848956,TO_MAX,511
1779820533849647,STILL_PHASE_START,307
1779820538850389,MOTION_PHASE_START,0
1779820538850414,TO_MAX,511
1779820539851092,TO_MIN,102
1779820540851787,TO_MAX,511
1779820541852474,TO_MIN,102
1779820542853164,TO_MAX,511
1779820543853827,STILL_PHASE_START,307
1779820548854523,MOTION_PHASE_START,0
1779820548854546,TO_MAX,511
1779820549855224,TO_MIN,102
1779820550855919,TO_MAX,511
1779820551856612,TO_MIN,102
1779820552857302,TO_MAX,511
1779820553857994,STILL_PHASE_START,307
1779820558858683,MOTION_PHASE_START,0
1779820558858706,TO_MAX,511
1779820559859391,TO_MIN,102
1779820560860098,TO_MAX,511
1779820561860798,TO_MIN,102
1779820562861511,TO_MAX,511
1779820563862204,STILL_PHASE_START,307
1779820568862898,MOTION_PHASE_START,0
1779820568862919,TO_MAX,511
1779820569863599,TO_MIN,102
1779820570864296,TO_MAX,511
1779820571865000,TO_MIN,102
1779820572865696,TO_MAX,511
1779820573866393,STILL_PHASE_START,307
1779820578867088,MOTION_PHASE_START,0
1779820578867112,TO_MAX,511
1779820579867794,TO_MIN,102
1779820580868490,TO_MAX,511
1779820581869187,TO_MIN,102
1779820582869896,TO_MAX,511
1779820583870592,STILL_PHASE_START,307
1779820588871290,MOTION_PHASE_START,0
1779820588871314,TO_MAX,511
1779820589871999,TO_MIN,102
1779820590872700,TO_MAX,511
1779820591873401,TO_MIN,102
1779820592874092,TO_MAX,511
1779820593874786,STILL_PHASE_START,307
1779820598875478,MOTION_PHASE_START,0
1779820598875504,TO_MAX,511
1779820599876190,TO_MIN,102
1779820600876884,TO_MAX,511
1779820601877578,TO_MIN,102
1779820602878274,TO_MAX,511
1779820603878973,STILL_PHASE_START,307
1779820608879667,MOTION_PHASE_START,0
1779820608879692,TO_MAX,511
1779820609880376,TO_MIN,102
1779820610881067,TO_MAX,511
1779820611881761,TO_MIN,102
1779820612882459,TO_MAX,511
1779820613883156,STILL_PHASE_START,307
1779820618883849,MOTION_PHASE_START,0
1779820618883871,TO_MAX,511
1779820619884559,TO_MIN,102
1779820620885259,TO_MAX,511
1779820621885954,TO_MIN,102
1779820622886657,TO_MAX,511
1779820623887355,STILL_PHASE_START,307
1779820628888062,MOTION_PHASE_START,0
1779820628888095,TO_MAX,511
1779820629888789,TO_MIN,102
1779820630889501,TO_MAX,511
1779820631890214,TO_MIN,102
1779820632890914,TO_MAX,511
1779820633891618,STILL_PHASE_START,307
1779820638892319,MOTION_PHASE_START,0
1779820638892343,TO_MAX,511
1779820639893031,TO_MIN,102
1779820640893747,TO_MAX,511
1779820641894459,TO_MIN,102
1779820642895166,TO_MAX,511
1779820643895879,STILL_PHASE_START,307
1779820648896590,MOTION_PHASE_START,0
1779820648896624,TO_MAX,511
1779820649897321,TO_MIN,102
1779820650898029,TO_MAX,511
1779820651898741,TO_MIN,102
1779820652899449,TO_MAX,511
1779820653900165,STILL_PHASE_START,307
1779820658900878,MOTION_PHASE_START,0
1779820658900909,TO_MAX,511
1779820659901604,TO_MIN,102
1779820660902309,TO_MAX,511
1779820661903022,TO_MIN,102
1779820662903730,TO_MAX,511
1779820663904440,STILL_PHASE_START,307
1779820668905155,MOTION_PHASE_START,0
1779820668905179,TO_MAX,511
1779820669905869,TO_MIN,102
1779820670906576,TO_MAX,511
1779820671907274,TO_MIN,102
1779820672907970,TO_MAX,511
1779820673908672,STILL_PHASE_START,307
1779820678909374,MOTION_PHASE_START,0
1779820678909400,TO_MAX,511
1779820679910093,TO_MIN,102
1779820680910828,TO_MAX,511
1779820681911536,TO_MIN,102
1779820682912240,TO_MAX,511
1779820683912945,STILL_PHASE_START,307
1779820688913650,MOTION_PHASE_START,0
1779820688913676,TO_MAX,511
1779820689914370,TO_MIN,102
1779820690915069,TO_MAX,511
1779820691915794,TO_MIN,102
1779820692916493,TO_MAX,511
1779820693917192,STILL_PHASE_START,307
1779820698917910,MOTION_PHASE_START,0
1779820698917936,TO_MAX,511
1779820699918627,TO_MIN,102
1779820700919324,TO_MAX,511
1779820701920027,TO_MIN,102
1779820702920733,TO_MAX,511
1779820703921436,STILL_PHASE_START,307
1779820708922133,MOTION_PHASE_START,0
1779820708922160,TO_MAX,511
1779820709922853,TO_MIN,102
1779820710923559,TO_MAX,511
1779820711924265,TO_MIN,102
1779820712924972,TO_MAX,511
1779820713925689,STILL_PHASE_START,307
1779820718926406,MOTION_PHASE_START,0
1779820718926458,TO_MAX,511
1779820719927156,TO_MIN,102
1779820720927858,TO_MAX,511
1779820721928555,TO_MIN,102
1779820722929252,TO_MAX,511
1779820723929951,STILL_PHASE_START,307
1779820728930652,MOTION_PHASE_START,0
1779820728930672,TO_MAX,511
1779820729931357,TO_MIN,102
1779820730932059,TO_MAX,511
1779820731932756,TO_MIN,102
1779820732933459,TO_MAX,511
1779820733934156,STILL_PHASE_START,307
1779820738934861,MOTION_PHASE_START,0
1779820738934878,TO_MAX,511
1779820739935560,TO_MIN,102
1779820740936269,TO_MAX,511
1779820741936968,TO_MIN,102
1779820742937670,TO_MAX,511
1779820743938369,STILL_PHASE_START,307
1779820748939076,MOTION_PHASE_START,0
1779820748939094,TO_MAX,511
1779820749939777,TO_MIN,102
1779820750940476,TO_MAX,511
1779820751941181,TO_MIN,102
1779820752941828,TO_MAX,511
1779820753942524,STILL_PHASE_START,307
1779820758943223,MOTION_PHASE_START,0
1779820758943243,TO_MAX,511
1779820759943929,TO_MIN,102
1779820760944618,TO_MAX,511
1779820761945313,TO_MIN,102
1779820762946006,TO_MAX,511
1779820763946700,STILL_PHASE_START,307
1779820768947395,MOTION_PHASE_START,0
1779820768947412,TO_MAX,511
1779820769948098,TO_MIN,102
1779820770948789,TO_MAX,511
1779820771949491,TO_MIN,102
1779820772950183,TO_MAX,511
1779820773950874,STILL_PHASE_START,307
1779820778951569,MOTION_PHASE_START,0
1779820778951588,TO_MAX,511
1779820779952274,TO_MIN,102
1779820780952968,TO_MAX,511
1779820781953661,TO_MIN,102
1779820782954353,TO_MAX,511
1779820783955047,STILL_PHASE_START,307
1779820788955743,MOTION_PHASE_START,0
1779820788955766,TO_MAX,511
1779820789956451,TO_MIN,102
1779820790957151,TO_MAX,511
1779820791957837,TO_MIN,102
1779820792958538,TO_MAX,511
1779820793959240,STILL_PHASE_START,307
1779820798959941,MOTION_PHASE_START,0
1779820798959957,TO_MAX,511
1779820799960637,TO_MIN,102
1779820800961330,TO_MAX,511
1779820801962028,TO_MIN,102
1779820802962729,TO_MAX,511
1779820803963425,STILL_PHASE_START,307
1779820808964127,MOTION_PHASE_START,0
1779820808964144,TO_MAX,511
1779820809964825,TO_MIN,102
1779820810965527,TO_MAX,511
1779820811966229,TO_MIN,102
1779820812966926,TO_MAX,511
1779820813967617,STILL_PHASE_START,307
1779820818968312,MOTION_PHASE_START,0
1779820818968330,TO_MAX,511
1779820819969016,TO_MIN,102
1779820820969709,TO_MAX,511
1779820821970404,TO_MIN,102
1779820822971102,TO_MAX,511
1779820823971802,STILL_PHASE_START,307
1779820828972497,MOTION_PHASE_START,0
1779820828972514,TO_MAX,511
1779820829973196,TO_MIN,102
1779820830973900,TO_MAX,511
1779820831974605,TO_MIN,102
1779820832975303,TO_MAX,511
1779820833976009,STILL_PHASE_START,307
1779820838976711,MOTION_PHASE_START,0
1779820838976733,TO_MAX,511
1779820839977422,TO_MIN,102
1779820840978116,TO_MAX,511
1779820841978809,TO_MIN,102
1779820842979509,TO_MAX,511
1779820843980211,STILL_PHASE_START,307
1779820848980920,MOTION_PHASE_START,0
1779820848980938,TO_MAX,511
1779820849981626,TO_MIN,102
1779820850982321,TO_MAX,511
1779820851983016,TO_MIN,102
1779820852983716,TO_MAX,511
1779820853984418,STILL_PHASE_START,307
1779820858985121,MOTION_PHASE_START,0
1779820858985142,TO_MAX,511
1779820859985828,TO_MIN,102
1779820860986531,TO_MAX,511
1779820861987228,TO_MIN,102
1779820862987920,TO_MAX,511
1779820863988611,STILL_PHASE_START,307
1779820868989317,MOTION_PHASE_START,0
1779820868989342,TO_MAX,511
1779820869990031,TO_MIN,102
1779820870990738,TO_MAX,511
1779820871991450,TO_MIN,102
1779820872992145,TO_MAX,511
1779820873992844,STILL_PHASE_START,307
1779820878993541,MOTION_PHASE_START,0
1779820878993563,TO_MAX,511
1779820879994248,TO_MIN,102
1779820880994943,TO_MAX,511
1779820881995638,TO_MIN,102
1779820882996340,TO_MAX,511
1779820883997040,STILL_PHASE_START,307
1779820888997745,MOTION_PHASE_START,0
1779820888997761,TO_MAX,511
1779820889998446,TO_MIN,102
1779820890999140,TO_MAX,511
1779820891999833,TO_MIN,102
1779820893000526,TO_MAX,511
1779820894001221,STILL_PHASE_START,307
1779820899001919,MOTION_PHASE_START,0
1779820899001945,TO_MAX,511
1779820900002637,TO_MIN,102
1779820901003335,TO_MAX,511
1779820902004025,TO_MIN,102
1779820903004717,TO_MAX,511
1779820904005411,STILL_PHASE_START,307
1779820909006101,MOTION_PHASE_START,0
1779820909006142,TO_MAX,511
1779820910006825,TO_MIN,102
1779820911007522,TO_MAX,511
1779820912008215,TO_MIN,102
1779820913008909,TO_MAX,511
1779820914009606,STILL_PHASE_START,307
1779820919010313,MOTION_PHASE_START,0
1779820919010331,TO_MAX,511
1779820920011017,TO_MIN,102
1779820921011720,TO_MAX,511
1779820922012419,TO_MIN,102
1779820923013112,TO_MAX,511
1779820924013808,STILL_PHASE_START,307
1779820929014508,MOTION_PHASE_START,0
1779820929014525,TO_MAX,511
1779820930015212,TO_MIN,102
1779820931015914,TO_MAX,511
1779820932016610,TO_MIN,102
1779820933017307,TO_MAX,511
1779820934018000,STILL_PHASE_START,307
1779820939018694,MOTION_PHASE_START,0
1779820939018712,TO_MAX,511
1779820940019402,TO_MIN,102
1779820941020105,TO_MAX,511
1779820942020798,TO_MIN,102
1779820943021497,TO_MAX,511
1779820944022202,STILL_PHASE_START,307
1779820949022899,MOTION_PHASE_START,0
1779820949022917,TO_MAX,511
1779820950023599,TO_MIN,102
1779820951024295,TO_MAX,511
1779820952024987,TO_MIN,102
1779820953025680,TO_MAX,511
1779820954026375,STILL_PHASE_START,307
1779820959027065,MOTION_PHASE_START,0
1779820959027081,TO_MAX,511
1779820960027764,TO_MIN,102
1779820961028457,TO_MAX,511
1779820962029156,TO_MIN,102
1779820963029830,TO_MAX,511
1779820964030526,STILL_PHASE_START,307
1779820969031225,MOTION_PHASE_START,0
1779820969031241,TO_MAX,511
1779820970031921,TO_MIN,102
1779820971032619,TO_MAX,511
1779820972033321,TO_MIN,102
1779820973034012,TO_MAX,511
1779820974034701,STILL_PHASE_START,307
1779820979035396,MOTION_PHASE_START,0
1779820979035414,TO_MAX,511
1779820980036093,TO_MIN,102
1779820981036791,TO_MAX,511
1779820982037485,TO_MIN,102
1779820983038179,TO_MAX,511
1779820984038869,STILL_PHASE_START,307
1779820989039565,MOTION_PHASE_START,0
1779820989039588,TO_MAX,511
1779820990040267,TO_MIN,102
1779820991040964,TO_MAX,511
1779820992041662,TO_MIN,102
1779820993042362,TO_MAX,511
1779820994043055,STILL_PHASE_START,307
1779820999043755,MOTION_PHASE_START,0
1779820999043775,TO_MAX,511
1779821000044452,TO_MIN,102
1779821001045145,TO_MAX,511
1779821002045829,TO_MIN,102
1779821003046524,TO_MAX,511
1779821004047219,STILL_PHASE_START,307
1779821009047912,MOTION_PHASE_START,0
1779821009047933,TO_MAX,511
1779821010048612,TO_MIN,102
1779821011049301,TO_MAX,511
1779821012049989,TO_MIN,102
1779821013050681,TO_MAX,511
1779821014051374,STILL_PHASE_START,307
1779821019052064,MOTION_PHASE_START,0
1779821019052085,TO_MAX,511
1779821020052765,TO_MIN,102
1779821021053450,TO_MAX,511
1779821022054140,TO_MIN,102
1779821023054830,TO_MAX,511
1779821024055528,STILL_PHASE_START,307
1779821029056220,MOTION_PHASE_START,0
1779821029056238,TO_MAX,511
1779821030056916,TO_MIN,102
1779821031057606,TO_MAX,511
1779821032058300,TO_MIN,102
1779821033058996,TO_MAX,511
1779821034059690,STILL_PHASE_START,307
1779821039060381,MOTION_PHASE_START,0
1779821039060402,TO_MAX,511
1779821040061087,TO_MIN,102
1779821041061782,TO_MAX,511
1779821042062470,TO_MIN,102
1779821043063162,TO_MAX,511
1779821044063861,STILL_PHASE_START,307
1779821049064550,MOTION_PHASE_START,0
1779821049064573,TO_MAX,511
1779821050065254,TO_MIN,102
1779821051065952,TO_MAX,511
1779821052066647,TO_MIN,102
1779821053067351,TO_MAX,511
1779821054068053,STILL_PHASE_START,307
1779821059068754,MOTION_PHASE_START,0
1779821059068773,TO_MAX,511
1779821060069456,TO_MIN,102
1779821061070150,TO_MAX,511
1779821062070845,TO_MIN,102
1779821063071550,TO_MAX,511
1779821064072246,STILL_PHASE_START,307
1779821069072947,MOTION_PHASE_START,0
1779821069072968,TO_MAX,511
1779821070073658,TO_MIN,102
1779821071074359,TO_MAX,511
1779821072075054,TO_MIN,102
1779821073075752,TO_MAX,511
1779821074076445,STILL_PHASE_START,307
1779821079077149,MOTION_PHASE_START,0
1779821079077169,TO_MAX,511
1779821080077826,TO_MIN,102
1779821081078520,TO_MAX,511
1779821082079221,TO_MIN,102
1779821083079919,TO_MAX,511
1779821084080617,STILL_PHASE_START,307
1779821089081326,MOTION_PHASE_START,0
1779821089081350,TO_MAX,511
1779821090082034,TO_MIN,102
1779821091082733,TO_MAX,511
1779821092083429,TO_MIN,102
1779821093084124,TO_MAX,511
1779821094084818,STILL_PHASE_START,307
1779821099085545,MOTION_PHASE_START,0
1779821099085565,TO_MAX,511
1779821100086253,TO_MIN,102
1779821101086956,TO_MAX,511
1779821102087658,TO_MIN,102
1779821103088353,TO_MAX,511
1779821104089054,STILL_PHASE_START,307
1779821109089751,MOTION_PHASE_START,0
1779821109089775,TO_MAX,511
1779821110090465,TO_MIN,102
1779821111091162,TO_MAX,511
1779821112091871,TO_MIN,102
1779821113092571,TO_MAX,511
1779821114093268,STILL_PHASE_START,307
1779821119093962,MOTION_PHASE_START,0
1779821119093981,TO_MAX,511
1779821120094666,TO_MIN,102
1779821121095360,TO_MAX,511
1779821122096060,TO_MIN,102
1779821123096752,TO_MAX,511
1779821124097449,STILL_PHASE_START,307
1779821129098150,MOTION_PHASE_START,0
1779821129098168,TO_MAX,511
1779821130098855,TO_MIN,102
1779821131099549,TO_MAX,511
1779821132100248,TO_MIN,102
1779821133100941,TO_MAX,511
1779821134101637,STILL_PHASE_START,307
1779821139102337,MOTION_PHASE_START,0
1779821139102355,TO_MAX,511
1779821140103043,TO_MIN,102
1779821141103738,TO_MAX,511
1779821142104433,TO_MIN,102
1779821143105128,TO_MAX,511
1779821144105833,STILL_PHASE_START,307
1779821149106536,MOTION_PHASE_START,0
1779821149106554,TO_MAX,511
1779821150107241,TO_MIN,102
1779821151107939,TO_MAX,511
1779821152108641,TO_MIN,102
1779821153109334,TO_MAX,511
1779821154110027,STILL_PHASE_START,307
1779821159110717,MOTION_PHASE_START,0
1779821159110736,TO_MAX,511
1779821160111419,TO_MIN,102
1779821161112122,TO_MAX,511
1779821162112815,TO_MIN,102
1779821163113509,TO_MAX,511
1779821164114207,STILL_PHASE_START,307
1779821169114902,MOTION_PHASE_START,0
1779821169114922,TO_MAX,511
1779821170115607,TO_MIN,102
1779821171116306,TO_MAX,511
1779821172117014,TO_MIN,102
1779821173117710,TO_MAX,511
1779821174118410,STILL_PHASE_START,307
1779821179119118,MOTION_PHASE_START,0
1779821179119139,TO_MAX,511
1779821180119828,TO_MIN,102
1779821181120529,TO_MAX,511
1779821182121232,TO_MIN,102
1779821183121939,TO_MAX,511
1779821184122633,STILL_PHASE_START,307
1779821189123332,MOTION_PHASE_START,0
1779821189123352,TO_MAX,511
1779821190124033,TO_MIN,102
1779821191124723,TO_MAX,511
1779821192125417,TO_MIN,102
1779821193126114,TO_MAX,511
