# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
43275.106549, 4
43275.127112, 4
43275.147602, 4
43275.168148, 4
43275.188690, 4
43275.209206, 4
43275.229711, 4
43275.250191, 4
43275.270674, 4
43275.291158, 4
43275.311661, 4
43275.332138, 4
43275.352637, 4
43275.373107, 4
43275.393588, 4
43275.414101, 4
43275.434597, 4
43275.455084, 4
43275.475556, 4
43275.496072, 4
43275.516603, 4
43275.537222, 4
43275.557804, 4
43275.578363, 4
43275.598882, 4
43275.619389, 4
43275.639894, 4
43275.660447, 4
43275.775005, 4
43275.795474, 4
43275.815941, 4
43275.836426, 4
43275.856894, 4
43275.877355, 4
43275.897817, 4
43275.918374, 4
43275.938864, 4
43275.959357, 4
43275.979870, 4
43276.000344, 4
43276.020814, 4
43276.041279, 0
43276.061753, 0
43276.082248, 0
43276.102717, 0
43276.123182, 0
43276.143650, 0
43276.164117, 0
43276.184583, 0
43276.205048, 0
43276.225514, 0
43276.245979, 0
43276.266688, 0
43276.287153, 0
43276.307623, 0
43276.328122, 0
43276.348593, 0
43276.369061, 0
43276.389527, 0
43276.409995, 0
43276.430459, 0
43276.450924, 0
43276.471389, 0
43276.491852, 0
43276.512287, 0
43276.532795, 0
43276.553318, 0
43276.573810, 0
43276.594316, 0
43276.615027, 0
43276.635507, 0
43276.655977, 0
43276.676446, 0
43276.696914, 0
43276.717379, 0
43276.737847, 0
43276.758313, 0
43276.778783, 0
43276.799253, 0
43276.819761, 0
43276.840267, 0
43276.860759, 0
43276.881258, 0
43276.901765, 0
43276.922252, 0
43276.942727, 0
43276.963312, 0
43276.983790, 0
43277.004260, 0
43277.024724, 0
43277.045194, 0
43277.065689, 0
43277.086161, 0
43277.106627, 0
43277.127091, 0
43277.147554, 0
43277.168018, 0
43277.188485, 0
43277.208948, 0
43277.229410, 0
43277.249876, 0
43277.270339, 0
43277.290808, 0
43277.311467, 0
43277.331936, 0
43277.352404, 0
43277.372868, 0
43277.393340, 0
43277.413805, 0
43277.434274, 0
43277.454739, 4
43277.475207, 4
43277.495675, 4
43277.516142, 4
43277.536609, 4
43277.557108, 4
43277.577582, 4
43277.598053, 4
43277.618520, 4
43277.638986, 4
43277.659637, 4
43277.680103, 4
43277.700569, 4
43277.721036, 4
43277.741504, 4
43277.761970, 4
43277.782441, 4
43277.802940, 4
43277.823409, 4
43277.843875, 4
43277.864351, 4
43277.884822, 4
43277.905288, 4
43277.925754, 4
43277.946234, 4
43277.966732, 4
43277.987204, 4
43278.007812, 4
43278.028287, 4
43278.048785, 4
43278.069255, 4
43278.089724, 4
43278.110189, 4
43278.130654, 4
43278.151119, 4
43278.171585, 4
43278.192007, 4
43278.212474, 4
43278.232942, 4
43278.253407, 4
43278.273875, 4
43278.294365, 4
43278.314836, 4
43278.335302, 4
43278.356007, 4
43278.376473, 4
43278.396941, 4
43278.417407, 4
43278.437874, 4
43278.458342, 4
43278.478806, 4
43278.499275, 4
43278.519745, 4
43278.540236, 4
43278.560712, 4
43278.581218, 4
43278.601693, 4
43278.622161, 4
43278.642630, 4
43278.663096, 4
43278.683563, 4
43278.704230, 4
43278.724695, 4
43278.745163, 4
43278.765632, 4
43278.786140, 4
43278.806613, 4
43278.827083, 4
43278.847551, 4
43278.868005, 4
43278.888475, 4
43278.908943, 4
43278.929412, 4
43278.949884, 4
43278.970389, 4
43278.990861, 4
43279.011333, 4
43279.031833, 4
43279.052424, 4
43279.072894, 4
43279.093362, 4
43279.113830, 4
43279.134295, 4
43279.154760, 4
43279.175227, 4
43279.195696, 4
43279.216164, 4
43279.236631, 4
43279.257101, 4
43279.277606, 4
43279.298079, 4
43279.318546, 4
43279.339014, 4
43279.359480, 4
43279.379944, 4
43279.400633, 4
43279.421100, 4
43279.441567, 4
43279.462036, 4
43279.482503, 4
43279.502973, 4
43279.523466, 4
43279.543935, 4
43279.564404, 0
43279.584876, 0
43279.605372, 0
43279.625848, 0
43279.671001, 0
43279.691477, 0
43279.711946, 0
43279.732417, 0
43279.752887, 0
43279.773389, 0
43279.793862, 0
43279.814336, 0
43279.834805, 0
43279.855273, 0
43279.875882, 0
43279.896362, 0
43279.916830, 0
43279.937303, 0
43279.957795, 0
43279.978292, 0
43279.998766, 0
43280.019263, 0
43280.039734, 0
43280.060203, 0
43280.080670, 0
43280.101148, 0
43280.121617, 0
43280.142085, 0
43280.162554, 0
43280.183024, 0
43280.203491, 0
43280.224066, 0
43280.244534, 0
43280.265028, 0
43280.285499, 0
43280.305967, 0
43280.326434, 0
43280.346901, 0
43280.367366, 0
43280.387852, 0
43280.408323, 0
43280.428792, 0
43280.449261, 0
43280.469729, 0
43280.490208, 0
43280.510678, 0
43280.531146, 0
43280.551616, 0
43280.572252, 0
43280.592752, 0
43280.613258, 0
43280.633759, 0
43280.654251, 0
43280.674748, 0
43280.695247, 0
43280.715750, 0
43280.736269, 0
43280.756764, 0
43280.777271, 0
43280.797774, 0
43280.818275, 0
43280.838770, 0
43280.859291, 0
43280.879798, 0
43280.900295, 0
43280.920804, 0
43280.941299, 0
43280.961794, 0
43280.982286, 0
43281.002759, 0
43281.023241, 0
43281.043704, 0
43281.064175, 0
43281.084643, 0
43281.105110, 0
43281.125578, 0
43281.146309, 0
43281.166816, 0
43281.187318, 0
43281.207828, 0
43281.228321, 0
43281.248821, 0
43281.269316, 0
43281.289814, 0
43281.310322, 0
43281.330824, 0
43281.351326, 0
43281.371837, 0
43281.392348, 0
43281.412850, 0
43281.433343, 0
43281.453839, 0
43281.474353, 0
43281.494852, 0
43281.515360, 0
43281.535860, 0
43281.556348, 0
43281.576870, 0
43281.597359, 0
43281.617833, 0
43281.638308, 0
43281.658809, 0
43281.679281, 0
43281.699761, 0
43281.720330, 0
