# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779737036053261,START,307
1779737036254005,MOTION_PHASE_START,0
1779737036254057,TO_MAX,511
1779737037254790,TO_MIN,102
1779737038255552,TO_MAX,511
1779737039256297,TO_MIN,102
1779737040257032,TO_MAX,511
1779737041257771,STILL_PHASE_START,307
1779737046258516,MOTION_PHASE_START,0
1779737046258571,TO_MAX,511
1779737047259328,TO_MIN,102
1779737048260098,TO_MAX,511
1779737049260857,TO_MIN,102
1779737050261598,TO_MAX,511
1779737051262361,STILL_PHASE_START,307
1779737056263123,MOTION_PHASE_START,0
1779737056263205,TO_MAX,511
1779737057263936,TO_MIN,102
1779737058264701,TO_MAX,511
1779737059265462,TO_MIN,102
1779737060266225,TO_MAX,511
1779737061266994,STILL_PHASE_START,307
1779737066267751,END,307
