05-25-2026 12:23:49 RAM 875/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@729,5%@729,7%@729,7%@729,18%@729,9%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@47.062C soc0@46.625C gpu@47.937C tj@48.937C soc1@48.937C VDD_IN 5023mW/5023mW VDD_CPU_GPU_CV 877mW/877mW VDD_SOC 1435mW/1435mW
05-25-2026 12:23:50 RAM 875/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1306,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@46.843C soc0@46.687C gpu@47.968C tj@48.75C soc1@48.75C VDD_IN 4680mW/4852mW VDD_CPU_GPU_CV 600mW/739mW VDD_SOC 1440mW/1438mW
05-25-2026 12:23:50 RAM 875/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,1%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.875C soc0@46.75C gpu@48.156C tj@48.781C soc1@48.781C VDD_IN 4567mW/4757mW VDD_CPU_GPU_CV 520mW/666mW VDD_SOC 1442mW/1439mW
05-25-2026 12:23:51 RAM 876/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [8%@1497,12%@1497,18%@1497,23%@1497,7%@729,5%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.875C soc2@47C soc0@46.75C gpu@48C tj@48.906C soc1@48.906C VDD_IN 5023mW/4823mW VDD_CPU_GPU_CV 837mW/709mW VDD_SOC 1437mW/1439mW
05-25-2026 12:23:51 RAM 890/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [58%@1728,47%@1728,43%@1728,44%@1728,38%@1728,36%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.812C soc2@47.281C soc0@46.718C gpu@47.968C tj@49.812C soc1@48.968C VDD_IN 6279mW/5114mW VDD_CPU_GPU_CV 1984mW/964mW VDD_SOC 1470mW/1445mW
05-25-2026 12:23:52 RAM 890/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,98%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.968C soc2@47.468C soc0@46.75C gpu@48.656C tj@49.968C soc1@48.968C VDD_IN 7737mW/5552mW VDD_CPU_GPU_CV 3520mW/1390mW VDD_SOC 1428mW/1442mW
05-25-2026 12:23:52 RAM 891/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.968C soc2@47.593C soc0@46.843C gpu@48.312C tj@49.968C soc1@48.968C VDD_IN 8213mW/5932mW VDD_CPU_GPU_CV 3994mW/1762mW VDD_SOC 1428mW/1440mW
05-25-2026 12:23:53 RAM 893/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.062C soc2@47.687C soc0@46.937C gpu@48.75C tj@50.062C soc1@49.062C VDD_IN 8398mW/6240mW VDD_CPU_GPU_CV 4113mW/2056mW VDD_SOC 1468mW/1444mW
05-25-2026 12:23:53 RAM 893/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.156C soc2@47.718C soc0@46.968C gpu@48.5C tj@50.156C soc1@49.125C VDD_IN 8358mW/6475mW VDD_CPU_GPU_CV 4152mW/2289mW VDD_SOC 1426mW/1442mW
05-25-2026 12:23:54 RAM 893/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.312C soc2@47.875C soc0@47.093C gpu@48.812C tj@50.312C soc1@49.187C VDD_IN 8358mW/6664mW VDD_CPU_GPU_CV 4192mW/2479mW VDD_SOC 1426mW/1440mW
05-25-2026 12:23:55 RAM 893/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.281C soc2@47.906C soc0@47.031C gpu@48.625C tj@50.281C soc1@49.218C VDD_IN 8358mW/6818mW VDD_CPU_GPU_CV 4192mW/2635mW VDD_SOC 1426mW/1439mW
