# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779737232392872,START,307
1779737232593643,MOTION_PHASE_START,0
1779737232593682,TO_MAX,511
1779737233594413,TO_MIN,102
1779737234595193,TO_MAX,511
1779737235595943,TO_MIN,102
1779737236596677,TO_MAX,511
1779737237597420,STILL_PHASE_START,307
1779737242598175,MOTION_PHASE_START,0
1779737242598221,TO_MAX,511
1779737243598925,TO_MIN,102
1779737244599664,TO_MAX,511
1779737245600396,TO_MIN,102
1779737246601133,TO_MAX,511
1779737247601864,STILL_PHASE_START,307
1779737252602603,MOTION_PHASE_START,0
1779737252602670,TO_MAX,511
1779737253603389,TO_MIN,102
1779737254604126,TO_MAX,511
1779737255604867,TO_MIN,102
1779737256605613,TO_MAX,511
1779737257606348,STILL_PHASE_START,307
1779737262610510,END,307
