05-25-2026 12:27:02 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1311,9%@729,1%@729,1%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.593C soc2@47.062C soc0@46.875C gpu@48.031C tj@48.968C soc1@48.968C VDD_IN 4992mW/4992mW VDD_CPU_GPU_CV 837mW/837mW VDD_SOC 1437mW/1437mW
05-25-2026 12:27:03 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1191,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47.031C soc0@46.968C gpu@48.25C tj@49.031C soc1@49.031C VDD_IN 4647mW/4820mW VDD_CPU_GPU_CV 600mW/719mW VDD_SOC 1442mW/1440mW
05-25-2026 12:27:03 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.062C soc0@46.812C gpu@48.031C tj@49.031C soc1@49.031C VDD_IN 4527mW/4722mW VDD_CPU_GPU_CV 520mW/652mW VDD_SOC 1442mW/1440mW
05-25-2026 12:27:04 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1360,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@46.937C soc0@46.781C gpu@48C tj@48.906C soc1@48.906C VDD_IN 4487mW/4663mW VDD_CPU_GPU_CV 480mW/609mW VDD_SOC 1442mW/1441mW
05-25-2026 12:27:04 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1334,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@46.968C soc0@46.843C gpu@48.312C tj@48.937C soc1@48.937C VDD_IN 4487mW/4628mW VDD_CPU_GPU_CV 480mW/583mW VDD_SOC 1442mW/1441mW
05-25-2026 12:27:05 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@47.062C soc0@46.906C gpu@48.093C tj@49C soc1@49C VDD_IN 4487mW/4605mW VDD_CPU_GPU_CV 480mW/566mW VDD_SOC 1442mW/1441mW
05-25-2026 12:27:05 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@47.062C soc0@46.687C gpu@47.968C tj@49C soc1@49.093C VDD_IN 4487mW/4588mW VDD_CPU_GPU_CV 480mW/554mW VDD_SOC 1442mW/1441mW
05-25-2026 12:27:06 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1290,1%@729,1%@729,3%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47C soc0@46.812C gpu@47.812C tj@48.937C soc1@48.937C VDD_IN 4527mW/4580mW VDD_CPU_GPU_CV 480mW/545mW VDD_SOC 1442mW/1441mW
05-25-2026 12:27:07 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,3%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@46.937C soc0@46.875C gpu@47.812C tj@48.875C soc1@48.875C VDD_IN 4527mW/4574mW VDD_CPU_GPU_CV 480mW/537mW VDD_SOC 1442mW/1441mW
05-25-2026 12:27:07 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1497,5%@1497,5%@1497,3%@1497,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47C soc0@46.812C gpu@48.156C tj@48.906C soc1@48.906C VDD_IN 4680mW/4585mW VDD_CPU_GPU_CV 560mW/540mW VDD_SOC 1440mW/1441mW
05-25-2026 12:27:08 RAM 873/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [30%@883,25%@883,22%@883,14%@883,50%@1574,50%@1574] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49C soc2@47.062C soc0@46.75C gpu@48.062C tj@49.125C soc1@49.125C VDD_IN 5285mW/4648mW VDD_CPU_GPU_CV 992mW/581mW VDD_SOC 1470mW/1444mW
