# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779756963096006,START,307
1779756963296824,MOTION_PHASE_START,0
1779756963296868,TO_MAX,511
1779756964297592,TO_MIN,102
1779756965298305,TO_MAX,511
1779756966299033,TO_MIN,102
1779756967299750,TO_MAX,511
1779756968300510,STILL_PHASE_START,307
1779756973301252,MOTION_PHASE_START,0
1779756973301303,TO_MAX,511
1779756974302005,TO_MIN,102
1779756975302829,TO_MAX,511
1779756976303560,TO_MIN,102
1779756977304269,TO_MAX,511
1779756978305045,STILL_PHASE_START,307
1779756983305790,MOTION_PHASE_START,0
1779756983305847,TO_MAX,511
1779756984306621,TO_MIN,102
1779756985307372,TO_MAX,511
1779756986308158,TO_MIN,102
1779756987308905,TO_MAX,511
1779756988309625,STILL_PHASE_START,307
1779756993310373,END,307
