05-25-2026 17:55:54 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,7%@729,2%@729,1%@729,25%@729,7%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.625C soc2@46.156C soc0@46C gpu@47.281C tj@48.218C soc1@48.218C VDD_IN 5111mW/5111mW VDD_CPU_GPU_CV 917mW/917mW VDD_SOC 1437mW/1437mW
05-25-2026 17:55:54 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.093C soc0@45.875C gpu@47.187C tj@48.218C soc1@48.218C VDD_IN 4727mW/4919mW VDD_CPU_GPU_CV 600mW/759mW VDD_SOC 1442mW/1440mW
05-25-2026 17:55:55 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.093C soc0@45.937C gpu@47.468C tj@48.062C soc1@48.062C VDD_IN 4567mW/4802mW VDD_CPU_GPU_CV 520mW/679mW VDD_SOC 1442mW/1440mW
05-25-2026 17:55:55 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.468C soc2@46.093C soc0@45.937C gpu@47.312C tj@48.062C soc1@48.062C VDD_IN 4494mW/4725mW VDD_CPU_GPU_CV 480mW/629mW VDD_SOC 1444mW/1441mW
05-25-2026 17:55:56 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1726,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.468C soc2@46.093C soc0@46C gpu@47.062C tj@48.187C soc1@48.187C VDD_IN 4494mW/4679mW VDD_CPU_GPU_CV 480mW/599mW VDD_SOC 1444mW/1442mW
05-25-2026 17:55:56 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1303,2%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.062C soc0@45.843C gpu@47.125C tj@48.093C soc1@48.093C VDD_IN 4527mW/4653mW VDD_CPU_GPU_CV 480mW/580mW VDD_SOC 1444mW/1442mW
05-25-2026 17:55:57 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.156C soc0@45.875C gpu@47.281C tj@48.125C soc1@48.125C VDD_IN 4534mW/4636mW VDD_CPU_GPU_CV 480mW/565mW VDD_SOC 1444mW/1442mW
05-25-2026 17:55:57 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1352,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.375C soc2@46.156C soc0@45.968C gpu@47.125C tj@48.125C soc1@48.125C VDD_IN 4494mW/4619mW VDD_CPU_GPU_CV 480mW/555mW VDD_SOC 1444mW/1443mW
05-25-2026 17:55:58 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,1%@729,0%@729,3%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@46.125C soc0@46C gpu@47.062C tj@48.218C soc1@48.218C VDD_IN 4527mW/4608mW VDD_CPU_GPU_CV 480mW/546mW VDD_SOC 1442mW/1443mW
05-25-2026 17:55:58 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1344,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.406C soc2@46.062C soc0@45.843C gpu@47.343C tj@48C soc1@48C VDD_IN 4527mW/4600mW VDD_CPU_GPU_CV 480mW/540mW VDD_SOC 1442mW/1443mW
05-25-2026 17:55:59 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.406C soc2@46.093C soc0@45.875C gpu@47.156C tj@48.093C soc1@48.093C VDD_IN 4527mW/4594mW VDD_CPU_GPU_CV 480mW/534mW VDD_SOC 1442mW/1442mW
