# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779757178557448,START,307
1779757178758208,MOTION_PHASE_START,0
1779757178758254,TO_MAX,511
1779757179759043,TO_MIN,102
1779757180759784,TO_MAX,511
1779757181760541,TO_MIN,102
1779757182761336,TO_MAX,511
1779757183762122,STILL_PHASE_START,307
1779757188762883,MOTION_PHASE_START,0
1779757188762939,TO_MAX,511
1779757189763689,TO_MIN,102
1779757190764491,TO_MAX,511
1779757191765230,TO_MIN,102
1779757192765978,TO_MAX,511
1779757193766728,STILL_PHASE_START,307
1779757198767463,MOTION_PHASE_START,0
1779757198767498,TO_MAX,511
1779757199768231,TO_MIN,102
1779757200768951,TO_MAX,511
1779757201769720,TO_MIN,102
1779757202770425,TO_MAX,511
1779757203771197,STILL_PHASE_START,307
1779757208771968,END,307
