# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779757541343625,START,307
1779757541544430,MOTION_PHASE_START,0
1779757541544484,TO_MAX,511
1779757542545228,TO_MIN,102
1779757543546343,TO_MAX,511
1779757544547577,TO_MIN,102
1779757545548594,TO_MAX,511
1779757546549621,STILL_PHASE_START,307
1779757551550479,MOTION_PHASE_START,0
1779757551550546,TO_MAX,511
1779757552551556,TO_MIN,102
1779757553552596,TO_MAX,511
1779757554553622,TO_MIN,102
1779757555554419,TO_MAX,511
1779757556555428,STILL_PHASE_START,307
1779757561556477,MOTION_PHASE_START,0
1779757561556535,TO_MAX,511
1779757562557726,TO_MIN,102
1779757563558954,TO_MAX,511
1779757564560193,TO_MIN,102
1779757565561421,TO_MAX,511
1779757566562648,STILL_PHASE_START,307
1779757571563444,END,307
