05-25-2026 18:07:08 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [8%@1307,4%@729,18%@729,11%@729,7%@729,6%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.812C soc0@46.531C gpu@47.75C tj@48.687C soc1@48.687C VDD_IN 5063mW/5063mW VDD_CPU_GPU_CV 877mW/877mW VDD_SOC 1435mW/1435mW
05-25-2026 18:07:08 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1355,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@46.593C soc0@46.437C gpu@47.562C tj@48.562C soc1@48.562C VDD_IN 4647mW/4855mW VDD_CPU_GPU_CV 600mW/739mW VDD_SOC 1442mW/1439mW
05-25-2026 18:07:09 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1365,1%@729,3%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.562C soc0@46.562C gpu@47.812C tj@48.625C soc1@48.625C VDD_IN 4527mW/4746mW VDD_CPU_GPU_CV 520mW/666mW VDD_SOC 1442mW/1440mW
05-25-2026 18:07:09 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@1728,15%@1728,23%@1728,12%@1728,8%@729,6%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.562C soc2@46.75C soc0@46.562C gpu@47.718C tj@48.75C soc1@48.656C VDD_IN 5143mW/4845mW VDD_CPU_GPU_CV 956mW/738mW VDD_SOC 1475mW/1449mW
05-25-2026 18:07:10 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@1180,17%@1728,12%@1728,24%@1728,9%@729,12%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@46.843C soc0@46.562C gpu@47.75C tj@48.687C soc1@48.687C VDD_IN 5285mW/4933mW VDD_CPU_GPU_CV 1033mW/797mW VDD_SOC 1470mW/1453mW
05-25-2026 18:07:10 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@729,0%@1060,0%@1728,15%@1728,17%@729,12%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@46.718C soc0@46.5C gpu@47.968C tj@48.531C soc1@48.531C VDD_IN 5039mW/4951mW VDD_CPU_GPU_CV 872mW/810mW VDD_SOC 1428mW/1449mW
05-25-2026 18:07:11 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1036,15%@1036,17%@1036,21%@1036,22%@729,18%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@46.718C soc0@46.531C gpu@47.812C tj@48.625C soc1@48.625C VDD_IN 5317mW/5003mW VDD_CPU_GPU_CV 1069mW/847mW VDD_SOC 1468mW/1451mW
05-25-2026 18:07:11 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [11%@729,0%@729,0%@729,0%@729,34%@729,29%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.812C soc0@46.437C gpu@47.937C tj@48.75C soc1@48.75C VDD_IN 5039mW/5008mW VDD_CPU_GPU_CV 911mW/855mW VDD_SOC 1428mW/1449mW
05-25-2026 18:07:12 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [21%@1497,11%@1497,12%@1497,9%@1497,30%@1190,30%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.656C soc2@46.875C soc0@46.593C gpu@48C tj@48.656C soc1@48.593C VDD_IN 5277mW/5037mW VDD_CPU_GPU_CV 1069mW/879mW VDD_SOC 1468mW/1451mW
05-25-2026 18:07:12 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [27%@1728,36%@1457,36%@729,37%@729,26%@883,32%@883] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@46.906C soc0@46.5C gpu@47.687C tj@48.781C soc1@48.781C VDD_IN 5823mW/5116mW VDD_CPU_GPU_CV 1505mW/941mW VDD_SOC 1465mW/1452mW
05-25-2026 18:07:13 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [37%@1728,18%@1728,31%@1728,27%@1728,29%@806,38%@806] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.937C soc2@46.906C soc0@46.531C gpu@48C tj@48.937C soc1@48.562C VDD_IN 5942mW/5191mW VDD_CPU_GPU_CV 1621mW/1003mW VDD_SOC 1465mW/1453mW
05-25-2026 18:07:13 RAM 888/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@1309,20%@729,23%@729,28%@729,38%@729,40%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@46.843C soc0@46.687C gpu@48.156C tj@48.718C soc1@48.718C VDD_IN 5762mW/5239mW VDD_CPU_GPU_CV 1428mW/1038mW VDD_SOC 1470mW/1455mW
05-25-2026 18:07:14 RAM 886/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@729,20%@729,17%@729,20%@729,33%@1420,29%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@46.906C soc0@46.5C gpu@47.968C tj@48.843C soc1@48.843C VDD_IN 5594mW/5266mW VDD_CPU_GPU_CV 1269mW/1056mW VDD_SOC 1470mW/1456mW
