Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.015525760,0,0,1
0.016906360,0,0,0
0.033943460,0,0,1
0.035323680,0,0,0
0.052361540,0,0,1
0.053742180,0,0,0
0.070779960,0,0,1
0.072160580,0,0,0
0.089197180,0,0,1
0.090577720,0,0,0
0.107614300,0,0,1
0.108994540,0,0,0
0.126031700,0,0,1
0.127412260,0,0,0
0.144449000,0,0,1
0.145829560,0,0,0
0.162866520,0,0,1
0.164246700,0,0,0
0.181282340,0,0,1
0.182662960,0,0,0
0.199697940,0,0,1
0.201078460,0,0,0
0.218115120,0,0,1
0.219495360,0,0,0
0.236530480,0,0,1
0.237911040,0,0,0
0.254947700,0,0,1
0.256328200,0,0,0
0.273363420,0,0,1
0.274743980,0,0,0
0.291778940,0,0,1
0.293159480,0,0,0
0.310196840,0,0,1
0.311577420,0,0,0
0.328612540,0,0,1
0.329993120,0,0,0
0.347028480,0,0,1
0.348408980,0,0,0
0.365444500,0,0,1
0.366825140,0,0,0
0.383862420,0,0,1
0.385243000,0,0,0
0.402279600,0,0,1
0.403660140,0,0,0
0.420697180,0,0,1
0.422077760,0,0,0
0.439114820,0,0,1
0.440495460,0,0,0
0.457531900,0,0,1
0.458912560,0,0,0
0.475948580,0,0,1
0.477329100,0,0,0
0.494367500,0,0,1
0.495747740,0,0,0
0.512784280,0,0,1
0.514164620,0,0,0
0.531200380,0,0,1
0.532581040,0,0,0
0.549617540,0,0,1
0.550997760,0,0,0
0.568033000,0,0,1
0.569413600,0,0,0
0.586451160,0,0,1
0.587831700,0,0,0
0.604865700,0,0,1
0.606246260,0,0,0
0.623284140,0,0,1
0.624664400,0,0,0
0.641700820,0,0,1
0.643081380,0,0,0
0.660117380,0,0,1
0.661497700,0,0,0
0.678533360,0,0,1
0.679913980,0,0,0
0.696952080,0,0,1
0.698332500,0,0,0
0.715369520,0,0,1
0.716749800,0,0,0
0.733785120,0,0,1
0.735165520,0,0,0
0.752202500,0,0,1
0.753583080,0,0,0
0.770620800,0,0,1
0.772001060,0,0,0
0.789038100,0,0,1
0.790418540,0,0,0
0.807453580,0,0,1
0.808833820,0,0,0
0.825870620,0,0,1
0.827251300,0,0,0
0.844289020,0,0,1
0.845669440,0,0,0
0.862706800,0,0,1
0.864087300,0,0,0
0.881125040,0,0,1
0.882505660,0,0,0
0.899541940,0,0,1
0.900922220,0,0,0
0.917957160,0,0,1
0.919337400,0,0,0
0.936372220,0,0,1
0.937752820,0,0,0
0.954787420,0,0,1
0.956167980,0,0,0
0.973203560,0,0,1
0.974584180,0,0,0
0.991621580,0,0,1
0.993002200,0,0,0
1.010037840,0,0,1
1.011418080,0,0,0
1.016884340,0,1,0
1.026957660,0,0,0
1.028454820,0,0,1
1.029835060,0,0,0
1.046870200,0,0,1
1.048250800,0,0,0
1.065287260,0,0,1
1.066667840,0,0,0
1.083704740,0,0,1
1.085085040,0,0,0
1.102121080,0,0,1
1.103501600,0,0,0
1.120538000,0,0,1
1.121918460,0,0,0
1.138952800,0,0,1
1.140333400,0,0,0
1.157368720,0,0,1
1.158749260,0,0,0
1.175785320,0,0,1
1.177165920,0,0,0
1.194202240,0,0,1
1.195582560,0,0,0
1.212620600,0,0,1
1.214000960,0,0,0
1.231038660,0,0,1
1.232419200,0,0,0
1.249455920,0,0,1
1.250836400,0,0,0
1.267873080,0,0,1
1.269253600,0,0,0
1.286290240,0,0,1
1.287670780,0,0,0
1.304708440,0,0,1
1.306088960,0,0,0
1.323123460,0,0,1
1.324503680,0,0,0
1.341539560,0,0,1
1.342920040,0,0,0
1.359957380,0,0,1
1.361338020,0,0,0
1.378375640,0,0,1
1.379755920,0,0,0
1.396793460,0,0,1
1.398173920,0,0,0
1.415210740,0,0,1
1.416591340,0,0,0
1.433629460,0,0,1
1.435010040,0,0,0
1.452047340,0,0,1
1.453427580,0,0,0
1.470464180,0,0,1
1.471844520,0,0,0
1.488878720,0,0,1
1.490259320,0,0,0
1.507295860,0,0,1
1.508676260,0,0,0
1.525714300,0,0,1
1.527094900,0,0,0
1.544131860,0,0,1
1.545512420,0,0,0
1.562548740,0,0,1
1.563929340,0,0,0
1.580965240,0,0,1
1.582345480,0,0,0
1.599382160,0,0,1
1.600762760,0,0,0
1.617800100,0,0,1
1.619180800,0,0,0
1.636218040,0,0,1
1.637598320,0,0,0
1.654634520,0,0,1
1.656014900,0,0,0
1.673050280,0,0,1
1.674430520,0,0,0
1.691466780,0,0,1
1.692847340,0,0,0
1.709882800,0,0,1
1.711263440,0,0,0
1.728300760,0,0,1
1.729681020,0,0,0
1.746716980,0,0,1
1.748097640,0,0,0
1.765134180,0,0,1
1.766514700,0,0,0
1.783552320,0,0,1
1.784933000,0,0,0
1.801969740,0,0,1
1.803350020,0,0,0
1.820387640,0,0,1
1.821768120,0,0,0
1.838803940,0,0,1
1.840184200,0,0,0
1.857219060,0,0,1
1.858599280,0,0,0
1.875635800,0,0,1
1.877016060,0,0,0
1.894052720,0,0,1
1.895432980,0,0,0
1.912468820,0,0,1
1.913849440,0,0,0
1.930886640,0,0,1
1.932267240,0,0,0
1.949303760,0,0,1
1.950684440,0,0,0
1.967721520,0,0,1
1.969102100,0,0,0
1.986136560,0,0,1
1.987517200,0,0,0
2.004553760,0,0,1
2.005934440,0,0,0
2.022970540,0,0,1
2.024350860,0,0,0
2.041386080,0,0,1
2.042766480,0,0,0
2.059802380,0,0,1
2.061182600,0,0,0
2.078220080,0,0,1
2.079600740,0,0,0
2.096637840,0,0,1
2.098018460,0,0,0
2.115056660,0,0,1
2.116437320,0,0,0
2.133474460,0,0,1
2.134854940,0,0,0
2.151890840,0,0,1
2.153271100,0,0,0
2.167804820,1,0,0
2.167878460,0,0,0
2.170306400,0,0,1
2.171686740,0,0,0
2.172516360,1,0,0
2.172589940,0,0,0
2.177227500,1,0,0
2.177301080,0,0,0
2.181937320,1,0,0
2.182010920,0,0,0
2.186646780,1,0,0
2.186720340,0,0,0
2.188723540,0,0,1
2.190104180,0,0,0
2.191357140,1,0,0
2.191430720,0,0,0
2.196067860,1,0,0
2.196141500,0,0,0
2.200779560,1,0,0
2.200853160,0,0,0
2.205489500,1,0,0
2.205563040,0,0,0
2.207140180,0,0,1
2.208520780,0,0,0
2.210199220,1,0,0
2.210272800,0,0,0
2.214909500,1,0,0
2.214983080,0,0,0
2.219620120,1,0,0
2.219693700,0,0,0
2.224330520,1,0,0
2.224404080,0,0,0
2.225557000,0,0,1
2.226937640,0,0,0
2.229040740,1,0,0
2.229114300,0,0,0
2.233751100,1,0,0
2.233824700,0,0,0
2.238461020,1,0,0
2.238534600,0,0,0
2.243171300,1,0,0
2.243244880,0,0,0
2.243974680,0,0,1
2.245355300,0,0,0
2.247881300,1,0,0
2.247954900,0,0,0
2.252591620,1,0,0
2.252665200,0,0,0
2.257301760,1,0,0
2.257375320,0,0,0
2.262011880,1,0,0
2.262085480,0,0,0
2.262392060,0,0,1
2.263772720,0,0,0
2.266721700,1,0,0
2.266795300,0,0,0
2.271431720,1,0,0
2.271505260,0,0,0
2.276140420,1,0,0
2.276213980,0,0,0
2.280811380,0,0,1
2.280850140,1,0,1
2.280923720,0,0,1
2.282192040,0,0,0
2.285559160,1,0,0
2.285632740,0,0,0
2.290268040,1,0,0
2.290341600,0,0,0
2.294978180,1,0,0
2.295051800,0,0,0
2.299228640,0,0,1
2.299687580,1,0,1
2.299761200,0,0,1
2.300608900,0,0,0
2.304397020,1,0,0
2.304470580,0,0,0
2.309106740,1,0,0
2.309180320,0,0,0
2.313815940,1,0,0
2.313889520,0,0,0
2.317644440,0,0,1
2.318525520,1,0,1
2.318599080,0,0,1
2.319024800,0,0,0
2.323235180,1,0,0
2.323308760,0,0,0
2.327945260,1,0,0
2.328018860,0,0,0
2.332655100,1,0,0
2.332728700,0,0,0
2.336062240,0,0,1
2.337364920,1,0,1
2.337438500,0,0,1
2.337442460,0,0,0
2.342073560,1,0,0
2.342147140,0,0,0
2.346781960,1,0,0
