Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.005185480,0,0,1
0.006566220,0,0,0
0.023607360,0,0,1
0.024988060,0,0,0
0.042029360,0,0,1
0.043410360,0,0,0
0.060452240,0,0,1
0.061833260,0,0,0
0.078874760,0,0,1
0.080255800,0,0,0
0.097298640,0,0,1
0.098679660,0,0,0
0.115720440,0,0,1
0.117101380,0,0,0
0.134141620,0,0,1
0.135522400,0,0,0
0.152564660,0,0,1
0.153945720,0,0,0
0.170986160,0,0,1
0.172366860,0,0,0
0.189410000,0,0,1
0.190790880,0,0,0
0.207831460,0,0,1
0.209212480,0,0,0
0.226253660,0,0,1
0.227634660,0,0,0
0.244676800,0,0,1
0.246057840,0,0,0
0.263098000,0,0,1
0.264478640,0,0,0
0.281519420,0,0,1
0.282900060,0,0,0
0.299941900,0,0,1
0.301322740,0,0,0
0.318363580,0,0,1
0.319744600,0,0,0
0.336787500,0,0,1
0.338168500,0,0,0
0.355209500,0,0,1
0.356590540,0,0,0
0.373631960,0,0,1
0.375012960,0,0,0
0.392055220,0,0,1
0.393436140,0,0,0
0.410476480,0,0,1
0.411857100,0,0,0
0.428899880,0,0,1
0.430280920,0,0,0
0.447322180,0,0,1
0.448703160,0,0,0
0.465744860,0,0,1
0.467125880,0,0,0
0.484168080,0,0,1
0.485549080,0,0,0
0.502588600,0,0,1
0.503969640,0,0,0
0.521011180,0,0,1
0.522391980,0,0,0
0.539432620,0,0,1
0.540813480,0,0,0
0.557853180,0,0,1
0.559234040,0,0,0
0.576276000,0,0,1
0.577656860,0,0,0
0.594698640,0,0,1
0.596079320,0,0,0
0.613121340,0,0,1
0.614502460,0,0,0
0.631545260,0,0,1
0.632926280,0,0,0
0.649968820,0,0,1
0.651349840,0,0,0
0.668392180,0,0,1
0.669773260,0,0,0
0.686814760,0,0,1
0.688195440,0,0,0
0.705236380,0,0,1
0.706617260,0,0,0
0.723659240,0,0,1
0.725040300,0,0,0
0.742083880,0,0,1
0.743464840,0,0,0
0.760507600,0,0,1
0.761888320,0,0,0
0.778929180,0,0,1
0.780309980,0,0,0
0.797351340,0,0,1
0.798732160,0,0,0
0.800844540,0,1,0
0.810921500,0,0,0
0.815773260,0,0,1
0.817154240,0,0,0
0.834194640,0,0,1
0.835575260,0,0,0
0.852616900,0,0,1
0.853997640,0,0,0
0.871038880,0,0,1
0.872419860,0,0,0
0.889461820,0,0,1
0.890842500,0,0,0
0.907885040,0,0,1
0.909266080,0,0,0
0.926307200,0,0,1
0.927687840,0,0,0
0.944729460,0,0,1
0.946110460,0,0,0
0.963152080,0,0,1
0.964533060,0,0,0
0.981575540,0,0,1
0.982956320,0,0,0
0.999998260,0,0,1
1.001379300,0,0,0
1.018421280,0,0,1
1.019801900,0,0,0
1.036844580,0,0,1
1.038225340,0,0,0
1.055265700,0,0,1
1.056646460,0,0,0
1.073686420,0,0,1
1.075067260,0,0,0
1.092107420,0,0,1
1.093488060,0,0,0
1.110527920,0,0,1
1.111908600,0,0,0
1.128949320,0,0,1
1.130329920,0,0,0
1.147370800,0,0,1
1.148751740,0,0,0
1.165792420,0,0,1
1.167173420,0,0,0
1.184214180,0,0,1
1.185595180,0,0,0
1.202636120,0,0,1
1.204017120,0,0,0
1.221057280,0,0,1
1.222437940,0,0,0
1.239478560,0,0,1
1.240859140,0,0,0
1.257901320,0,0,1
1.259282280,0,0,0
1.276323680,0,0,1
1.277704660,0,0,0
1.294746580,0,0,1
1.296127160,0,0,0
1.313167120,0,0,1
1.314548060,0,0,0
1.331590080,0,0,1
1.332971100,0,0,0
1.350013180,0,0,1
1.351394140,0,0,0
1.368434420,0,0,1
1.369815200,0,0,0
1.386856580,0,0,1
1.388237180,0,0,0
1.405278500,0,0,1
1.406659380,0,0,0
1.423700240,0,0,1
1.425080840,0,0,0
1.442120560,0,0,1
1.443501500,0,0,0
1.460543440,0,0,1
1.461924380,0,0,0
1.478965800,0,0,1
1.480346700,0,0,0
1.497386920,0,0,1
1.498767980,0,0,0
1.515808220,0,0,1
1.517189160,0,0,0
1.534229060,0,0,1
1.535610000,0,0,0
1.552651620,0,0,1
1.554032420,0,0,0
1.571073720,0,0,1
1.572454540,0,0,0
1.589495900,0,0,1
1.590876800,0,0,0
1.607919040,0,0,1
1.609300000,0,0,0
1.626341840,0,0,1
1.627722720,0,0,0
1.644763980,0,0,1
1.646145000,0,0,0
1.663186880,0,0,1
1.664567960,0,0,0
1.681609240,0,0,1
1.682990260,0,0,0
1.700031320,0,0,1
1.701412300,0,0,0
1.720074580,0,0,1
1.721455340,0,0,0
1.738494940,0,0,1
1.739875780,0,0,0
1.756915500,0,0,1
1.758296320,0,0,0
