# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779763530607474,START,307
1779763530808272,MOTION_PHASE_START,0
1779763530808322,TO_MAX,511
1779763531809276,TO_MIN,102
1779763532810250,TO_MAX,511
1779763533811067,TO_MIN,102
1779763534811935,TO_MAX,511
1779763535812681,STILL_PHASE_START,307
1779763540813454,MOTION_PHASE_START,0
1779763540813529,TO_MAX,511
1779763541814277,TO_MIN,102
1779763542815051,TO_MAX,511
1779763543815813,TO_MIN,102
1779763544816597,TO_MAX,511
1779763545817378,STILL_PHASE_START,307
1779763550818154,MOTION_PHASE_START,0
1779763550818224,TO_MAX,511
1779763551818924,TO_MIN,102
1779763552819689,TO_MAX,511
1779763553820460,TO_MIN,102
1779763554821208,TO_MAX,511
1779763555821924,STILL_PHASE_START,307
1779763560822916,END,307
