# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779765061563153,START,307
1779765061763953,MOTION_PHASE_START,0
1779765061763990,TO_MAX,511
1779765062764934,TO_MIN,102
1779765063766146,TO_MAX,511
1779765064767132,TO_MIN,102
1779765065767968,TO_MAX,511
1779765066768775,STILL_PHASE_START,307
1779765071769800,MOTION_PHASE_START,0
1779765071769866,TO_MAX,511
1779765072770646,TO_MIN,102
1779765073771712,TO_MAX,511
1779765074772937,TO_MIN,102
1779765075774154,TO_MAX,511
1779765076775166,STILL_PHASE_START,307
1779765081776002,MOTION_PHASE_START,0
1779765081776067,TO_MAX,511
1779765082776824,TO_MIN,102
1779765083777627,TO_MAX,511
1779765084778424,TO_MIN,102
1779765085779198,TO_MAX,511
1779765086779985,STILL_PHASE_START,307
1779765091780768,END,307
