# servo_sweep log
# mode=burst duration=30 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779768000638792,START,307
1779768000839559,MOTION_PHASE_START,0
1779768000839606,TO_MAX,511
1779768001840373,TO_MIN,102
1779768002841336,TO_MAX,511
1779768003842348,TO_MIN,102
1779768004843171,TO_MAX,511
1779768005844161,STILL_PHASE_START,307
1779768010844888,MOTION_PHASE_START,0
1779768010844927,TO_MAX,511
1779768011845623,TO_MIN,102
1779768012846398,TO_MAX,511
1779768013847156,TO_MIN,102
1779768014847935,TO_MAX,511
1779768015848651,STILL_PHASE_START,307
1779768020849373,MOTION_PHASE_START,0
1779768020849425,TO_MAX,511
1779768021850622,TO_MIN,102
1779768022851400,TO_MAX,511
1779768023852146,TO_MIN,102
1779768024852856,TO_MAX,511
1779768025853566,STILL_PHASE_START,307
1779768030854305,END,307
