05-25-2026 21:04:01 RAM 893/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [9%@1311,5%@729,1%@729,1%@729,7%@729,5%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.406C soc2@46.187C soc0@45.843C gpu@47.343C tj@48.093C soc1@48.093C VDD_IN 4992mW/4992mW VDD_CPU_GPU_CV 798mW/798mW VDD_SOC 1437mW/1437mW
05-25-2026 21:04:01 RAM 894/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.406C soc2@46.187C soc0@45.875C gpu@47.062C tj@48.093C soc1@48.093C VDD_IN 4647mW/4820mW VDD_CPU_GPU_CV 560mW/679mW VDD_SOC 1442mW/1440mW
05-25-2026 21:04:02 RAM 894/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1150,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.156C soc0@45.812C gpu@47C tj@48.125C soc1@48.125C VDD_IN 4527mW/4722mW VDD_CPU_GPU_CV 520mW/626mW VDD_SOC 1442mW/1440mW
05-25-2026 21:04:02 RAM 895/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@729,11%@729,7%@729,3%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@46.062C soc0@45.875C gpu@47.031C tj@48.062C soc1@48.062C VDD_IN 4640mW/4702mW VDD_CPU_GPU_CV 560mW/610mW VDD_SOC 1440mW/1440mW
05-25-2026 21:04:03 RAM 897/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [37%@729,22%@729,28%@729,30%@729,39%@1344,46%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.218C soc0@46C gpu@47.031C tj@48.062C soc1@48.062C VDD_IN 5365mW/4834mW VDD_CPU_GPU_CV 1111mW/710mW VDD_SOC 1470mW/1446mW
05-25-2026 21:04:03 RAM 901/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [34%@1728,26%@1728,17%@1728,24%@1728,33%@729,49%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@46.218C soc0@45.843C gpu@47.156C tj@48.312C soc1@47.937C VDD_IN 5753mW/4987mW VDD_CPU_GPU_CV 1426mW/829mW VDD_SOC 1507mW/1456mW
05-25-2026 21:04:04 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1184,16%@729,15%@729,2%@729,11%@729,12%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.156C soc0@46C gpu@47.343C tj@48.156C soc1@48.156C VDD_IN 5325mW/5036mW VDD_CPU_GPU_CV 1111mW/869mW VDD_SOC 1470mW/1458mW
05-25-2026 21:04:04 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1367,0%@729,0%@729,1%@729,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.125C soc0@46.031C gpu@47.187C tj@48.125C soc1@48.125C VDD_IN 4896mW/5018mW VDD_CPU_GPU_CV 794mW/860mW VDD_SOC 1433mW/1455mW
05-25-2026 21:04:05 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@729,0%@1173,0%@1728,0%@1728,0%@1728,1%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.156C soc0@45.875C gpu@47.218C tj@48.062C soc1@48.062C VDD_IN 4809mW/4995mW VDD_CPU_GPU_CV 753mW/848mW VDD_SOC 1430mW/1452mW
05-25-2026 21:04:05 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@1728,3%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.093C soc0@46.093C gpu@47C tj@48.187C soc1@48.187C VDD_IN 4737mW/4969mW VDD_CPU_GPU_CV 675mW/831mW VDD_SOC 1433mW/1450mW
05-25-2026 21:04:06 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1263,0%@729,0%@729,0%@729,0%@1727,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.625C soc2@46.093C soc0@45.843C gpu@47.25C tj@48C soc1@48C VDD_IN 4769mW/4951mW VDD_CPU_GPU_CV 675mW/817mW VDD_SOC 1433mW/1449mW
