Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.010115680,0,0,1
0.011495700,0,0,0
0.028530320,0,0,1
0.029910600,0,0,0
0.046942340,0,0,1
0.048322500,0,0,0
0.065355340,0,0,1
0.066735780,0,0,0
0.083770520,0,0,1
0.085150740,0,0,0
0.102186220,0,0,1
0.103566300,0,0,0
0.120599860,0,0,1
0.121980080,0,0,0
0.139015280,0,0,1
0.140395680,0,0,0
0.157428520,0,0,1
0.158808600,0,0,0
0.175841840,0,0,1
0.177222200,0,0,0
0.194255920,0,0,1
0.195636180,0,0,0
0.212667160,0,0,1
0.214047300,0,0,0
0.231080300,0,0,1
0.232460320,0,0,0
0.249493720,0,0,1
0.250873660,0,0,0
0.267907200,0,0,1
0.269287360,0,0,0
0.286319540,0,0,1
0.287699640,0,0,0
0.304731880,0,0,1
0.306112200,0,0,0
0.323145560,0,0,1
0.324525500,0,0,0
0.341557880,0,0,1
0.342938200,0,0,0
0.359971480,0,0,1
0.361351560,0,0,0
0.378384240,0,0,1
0.379764220,0,0,0
0.396797260,0,0,1
0.398177600,0,0,0
0.415210560,0,0,1
0.416590860,0,0,0
0.433622700,0,0,1
0.435002860,0,0,0
0.452035700,0,0,1
0.453416020,0,0,0
0.470447980,0,0,1
0.471828200,0,0,0
0.488862100,0,0,1
0.490242420,0,0,0
0.507274840,0,0,1
0.508655120,0,0,0
0.525689460,0,0,1
0.527069540,0,0,0
0.544104140,0,0,1
0.545484560,0,0,0
0.562520000,0,0,1
0.563900080,0,0,0
0.580932840,0,0,1
0.582313200,0,0,0
0.599346900,0,0,1
0.600726920,0,0,0
0.617760180,0,0,1
0.619140140,0,0,0
0.636175500,0,0,1
0.637555580,0,0,0
0.654588160,0,0,1
0.655968480,0,0,0
0.673003220,0,0,1
0.674383260,0,0,0
0.691416520,0,0,1
0.692796840,0,0,0
0.709830420,0,0,1
0.711210840,0,0,0
0.728243620,0,0,1
0.729623980,0,0,0
0.746656560,0,0,1
0.748037000,0,0,0
0.765072220,0,0,1
0.766452600,0,0,0
0.783486100,0,0,1
0.784866160,0,0,0
0.801900480,0,0,1
0.803280860,0,0,0
0.820313240,0,0,1
0.821693600,0,0,0
0.838728820,0,0,1
0.840108900,0,0,0
0.857143100,0,0,1
0.858523140,0,0,0
0.875556160,0,0,1
0.876936180,0,0,0
0.893969600,0,0,1
0.895349900,0,0,0
0.912384000,0,0,1
0.913764440,0,0,0
0.930799220,0,0,1
0.932179600,0,0,0
0.949213620,0,0,1
0.950593900,0,0,0
0.967627440,0,0,1
0.969007820,0,0,0
0.986040380,0,0,1
0.987420360,0,0,0
1.004454020,0,0,1
1.005834040,0,0,0
1.022865540,0,0,1
1.024245840,0,0,0
1.041280080,0,0,1
1.042660480,0,0,0
1.059694100,0,0,1
1.061074480,0,0,0
1.067601720,0,1,0
1.077684220,0,0,0
1.078105560,0,0,1
1.079485540,0,0,0
1.096518760,0,0,1
1.097898840,0,0,0
1.114931820,0,0,1
1.116312100,0,0,0
1.133343840,0,0,1
1.134724140,0,0,0
1.151758480,0,0,1
1.153138860,0,0,0
1.170172720,0,0,1
1.171552740,0,0,0
1.188584500,0,0,1
1.189964820,0,0,0
1.206998540,0,0,1
1.208378600,0,0,0
1.225412020,0,0,1
1.226792420,0,0,0
1.243825100,0,0,1
1.245205480,0,0,0
1.262240160,0,0,1
1.263620360,0,0,0
1.280652500,0,0,1
1.282032560,0,0,0
1.299066360,0,0,1
1.300446460,0,0,0
1.317480920,0,0,1
1.318860920,0,0,0
1.335892120,0,0,1
1.337272420,0,0,0
1.354306320,0,0,1
1.355686740,0,0,0
1.372720760,0,0,1
1.374100760,0,0,0
1.391134620,0,0,1
1.392515020,0,0,0
1.409549780,0,0,1
1.410929840,0,0,0
1.427964420,0,0,1
1.429344780,0,0,0
1.446378540,0,0,1
1.447758940,0,0,0
1.464793600,0,0,1
1.466173660,0,0,0
1.483207740,0,0,1
1.484588200,0,0,0
1.501623620,0,0,1
1.503003660,0,0,0
1.520036580,0,0,1
1.521416860,0,0,0
1.538449800,0,0,1
1.539830180,0,0,0
1.556863560,0,0,1
1.558243540,0,0,0
1.575277560,0,0,1
1.576657880,0,0,0
1.593691160,0,0,1
1.595071540,0,0,0
1.612103340,0,0,1
1.613483340,0,0,0
1.630516220,0,0,1
1.631896540,0,0,0
1.648929920,0,0,1
1.650309900,0,0,0
