Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.012311160,0,0,1
0.013692160,0,0,0
0.030738000,0,0,1
0.032119480,0,0,0
0.049165040,0,0,1
0.050546340,0,0,0
0.067591360,0,0,1
0.068972580,0,0,0
0.086018720,0,0,1
0.087399940,0,0,0
0.104445660,0,0,1
0.105826700,0,0,0
0.122872240,0,0,1
0.124253580,0,0,0
0.141298880,0,0,1
0.142680280,0,0,0
0.159726840,0,0,1
0.161108080,0,0,0
0.178152700,0,0,1
0.179533980,0,0,0
0.196578460,0,0,1
0.197959560,0,0,0
0.215005040,0,0,1
0.216386400,0,0,0
0.233431320,0,0,1
0.234812660,0,0,0
0.251856460,0,0,1
0.253237680,0,0,0
0.270282720,0,0,1
0.271664140,0,0,0
0.288709500,0,0,1
0.290090640,0,0,0
0.307137460,0,0,1
0.308518740,0,0,0
0.325562840,0,0,1
0.326943840,0,0,0
0.343987900,0,0,1
0.345369260,0,0,0
0.362414200,0,0,1
0.363795600,0,0,0
0.380840400,0,0,1
0.382221540,0,0,0
0.399267520,0,0,1
0.400648860,0,0,0
0.417694800,0,0,1
0.419075800,0,0,0
0.436121000,0,0,1
0.437502280,0,0,0
0.454547600,0,0,1
0.455928960,0,0,0
0.472974180,0,0,1
0.474355160,0,0,0
0.491400100,0,0,1
0.492781120,0,0,0
0.509827540,0,0,1
0.511208600,0,0,0
0.528253460,0,0,1
0.529634480,0,0,0
0.546679160,0,0,1
0.548060240,0,0,0
0.565106280,0,0,1
0.566487680,0,0,0
0.583534380,0,0,1
0.584915380,0,0,0
0.601961540,0,0,1
0.603342900,0,0,0
0.620388560,0,0,1
0.621769920,0,0,0
0.638814720,0,0,1
0.640195760,0,0,0
0.657240960,0,0,1
0.658621940,0,0,0
0.675667860,0,0,1
0.677048880,0,0,0
0.694093140,0,0,1
0.695474400,0,0,0
0.712520860,0,0,1
0.713901920,0,0,0
0.730946160,0,0,1
0.732327540,0,0,0
0.749373320,0,0,1
0.750754680,0,0,0
0.767800620,0,0,1
0.769181980,0,0,0
0.786227340,0,0,1
0.787608640,0,0,0
0.789850760,0,1,0
0.799938100,0,0,0
0.804654940,0,0,1
0.806036280,0,0,0
0.823083580,0,0,1
0.824464920,0,0,0
0.841511280,0,0,1
0.842892560,0,0,0
0.859938640,0,0,1
0.861319620,0,0,0
0.878364620,0,0,1
0.879745980,0,0,0
0.896793140,0,0,1
0.898174540,0,0,0
0.915220480,0,0,1
0.916601900,0,0,0
0.933647760,0,0,1
0.935028720,0,0,0
0.952074200,0,0,1
0.953455200,0,0,0
0.970500220,0,0,1
0.971881340,0,0,0
0.988926300,0,0,1
0.990307360,0,0,0
1.007353620,0,0,1
1.008735040,0,0,0
1.025780700,0,0,1
1.027162080,0,0,0
1.044207960,0,0,1
1.045589320,0,0,0
1.062636420,0,0,1
1.064017340,0,0,0
1.081063260,0,0,1
1.082444620,0,0,0
1.099490480,0,0,1
1.100871900,0,0,0
1.117918500,0,0,1
1.119299500,0,0,0
1.136343160,0,0,1
1.137724400,0,0,0
1.154769300,0,0,1
1.156150660,0,0,0
1.173197120,0,0,1
1.174578200,0,0,0
1.191625760,0,0,1
1.193007100,0,0,0
1.210053360,0,0,1
1.211434460,0,0,0
1.228478920,0,0,1
1.229860240,0,0,0
1.246906520,0,0,1
1.248287920,0,0,0
1.265334380,0,0,1
1.266715740,0,0,0
1.283761620,0,0,1
1.285142720,0,0,0
1.302187360,0,0,1
1.303568400,0,0,0
1.320614840,0,0,1
1.321996180,0,0,0
1.339041740,0,0,1
1.340422700,0,0,0
1.357467220,0,0,1
1.358848600,0,0,0
1.375896160,0,0,1
1.377277160,0,0,0
1.394323720,0,0,1
1.395705140,0,0,0
1.412750820,0,0,1
1.414131860,0,0,0
1.431176160,0,0,1
1.432557560,0,0,0
1.449603760,0,0,1
1.450984640,0,0,0
1.468030820,0,0,1
1.469412180,0,0,0
1.486457800,0,0,1
1.487838800,0,0,0
1.504884860,0,0,1
