Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.010356400,0,0,1
0.011737660,0,0,0
0.028787380,0,0,1
0.030168900,0,0,0
0.047215640,0,0,1
0.048596860,0,0,0
0.065646760,0,0,1
0.067028400,0,0,0
0.084077560,0,0,1
0.085459100,0,0,0
0.102507940,0,0,1
0.103889460,0,0,0
0.120938620,0,0,1
0.122320160,0,0,0
0.139368360,0,0,1
0.140749980,0,0,0
0.157797540,0,0,1
0.159179180,0,0,0
0.176227300,0,0,1
0.177608500,0,0,0
0.194658200,0,0,1
0.196039800,0,0,0
0.213086980,0,0,1
0.214468260,0,0,0
0.231515200,0,0,1
0.232896440,0,0,0
0.249944880,0,0,1
0.251326300,0,0,0
0.268376340,0,0,1
0.269757760,0,0,0
0.286807400,0,0,1
0.288188880,0,0,0
0.305238260,0,0,1
0.306619820,0,0,0
0.323667520,0,0,1
0.325048720,0,0,0
0.342096420,0,0,1
0.343477620,0,0,0
0.360527060,0,0,1
0.361908560,0,0,0
0.378958640,0,0,1
0.380340300,0,0,0
0.397390860,0,0,1
0.398772520,0,0,0
0.415821680,0,0,1
0.417202920,0,0,0
0.434250640,0,0,1
0.435631960,0,0,0
0.452680360,0,0,1
0.454061920,0,0,0
0.471109860,0,0,1
0.472491080,0,0,0
0.489539120,0,0,1
0.490920680,0,0,0
0.507969380,0,0,1
0.509350980,0,0,0
0.526400000,0,0,1
0.527781620,0,0,0
0.544831700,0,0,1
0.546213160,0,0,0
0.563262380,0,0,1
0.564643900,0,0,0
0.581692060,0,0,1
0.583073560,0,0,0
0.600122720,0,0,1
0.601504320,0,0,0
0.618554220,0,0,1
0.619935520,0,0,0
0.636984100,0,0,1
0.638365460,0,0,0
0.655414780,0,0,1
0.656796500,0,0,0
0.673846320,0,0,1
0.675227620,0,0,0
0.692277400,0,0,1
0.693658940,0,0,0
0.710706540,0,0,1
0.712087820,0,0,0
0.729137120,0,0,1
0.730518800,0,0,0
0.747569600,0,0,1
0.748951100,0,0,0
0.766001180,0,0,1
0.767382840,0,0,0
0.784431560,0,0,1
0.785813240,0,0,0
0.802861880,0,0,1
0.804243260,0,0,0
0.821292660,0,0,1
0.822674340,0,0,0
0.839725400,0,0,1
0.841107120,0,0,0
0.858156320,0,0,1
0.859538000,0,0,0
0.876587820,0,0,1
0.877969140,0,0,0
0.895017780,0,0,1
0.896399500,0,0,0
0.913450580,0,0,1
0.914832360,0,0,0
0.931882620,0,0,1
0.933263960,0,0,0
0.950313540,0,0,1
0.951695220,0,0,0
0.968745980,0,0,1
0.970127620,0,0,0
0.987178240,0,0,1
0.988559500,0,0,0
1.005607160,0,0,1
1.006988820,0,0,0
1.024039380,0,0,1
1.025421040,0,0,0
1.042470720,0,0,1
1.043852080,0,0,0
1.060900380,0,0,1
1.062281840,0,0,0
1.067851900,0,1,0
1.077928400,0,0,0
1.079330240,0,0,1
1.080711900,0,0,0
1.097761240,0,0,1
1.099142920,0,0,0
1.116192760,0,0,1
1.117574200,0,0,0
1.134622400,0,0,1
1.136004040,0,0,0
1.153053700,0,0,1
1.154435000,0,0,0
1.171484540,0,0,1
1.172866200,0,0,0
1.189916360,0,0,1
1.191298000,0,0,0
1.208345440,0,0,1
1.209726940,0,0,0
1.226776600,0,0,1
1.228158200,0,0,0
1.245206880,0,0,1
1.246588260,0,0,0
1.263636940,0,0,1
1.265018620,0,0,0
1.282069060,0,0,1
1.283450460,0,0,0
1.300499300,0,0,1
1.301880660,0,0,0
1.318930660,0,0,1
1.320312180,0,0,0
1.337360880,0,0,1
1.338742500,0,0,0
1.355793080,0,0,1
1.357174640,0,0,0
1.374224080,0,0,1
1.375605720,0,0,0
1.392655740,0,0,1
1.394037080,0,0,0
1.411085760,0,0,1
1.412467020,0,0,0
1.429514620,0,0,1
1.430896180,0,0,0
1.447945940,0,0,1
1.449327220,0,0,0
1.466376220,0,0,1
1.467757680,0,0,0
1.484806940,0,0,1
1.486188640,0,0,0
1.503237900,0,0,1
1.504619580,0,0,0
1.521669100,0,0,1
1.523050900,0,0,0
1.540100980,0,0,1
1.541482620,0,0,0
1.558532220,0,0,1
1.559914060,0,0,0
1.576964660,0,0,1
1.578346340,0,0,0
1.595395440,0,0,1
1.596777140,0,0,0
1.613826740,0,0,1
1.615208340,0,0,0
1.632258640,0,0,1
1.633640300,0,0,0
1.650689680,0,0,1
1.652070980,0,0,0
1.669121640,0,0,1
1.670503160,0,0,0
1.687554280,0,0,1
1.688935580,0,0,0
1.705984780,0,0,1
1.707366460,0,0,0
1.724416380,0,0,1
1.725798060,0,0,0
1.742847240,0,0,1
1.744228900,0,0,0
1.761278800,0,0,1
1.762660240,0,0,0
1.779710460,0,0,1
1.781091840,0,0,0
1.798143100,0,0,1
1.799524700,0,0,0
1.816573620,0,0,1
1.817955300,0,0,0
1.835005040,0,0,1
1.836386720,0,0,0
1.853437360,0,0,1
1.854819000,0,0,0
1.871869940,0,0,1
1.873251680,0,0,0
1.890303000,0,0,1
1.891684360,0,0,0
1.908733560,0,0,1
1.910114920,0,0,0
1.927164840,0,0,1
1.928546480,0,0,0
1.945597660,0,0,1
1.946979340,0,0,0
1.964027400,0,0,1
1.965408780,0,0,0
1.982458480,0,0,1
1.983840160,0,0,0
2.000889740,0,0,1
2.002271440,0,0,0
2.019321000,0,0,1
2.020702360,0,0,0
2.037752840,0,0,1
2.039134520,0,0,0
2.056184060,0,0,1
2.057565680,0,0,0
2.074614720,0,0,1
2.075996300,0,0,0
2.093047120,0,0,1
2.094428440,0,0,0
2.111478940,0,0,1
2.112860600,0,0,0
2.129911340,0,0,1
2.131292780,0,0,0
2.148341500,0,0,1
2.149723160,0,0,0
2.166773340,0,0,1
2.168155000,0,0,0
2.185203680,0,0,1
2.186585380,0,0,0
2.203635860,0,0,1
2.205017540,0,0,0
2.222066420,0,0,1
2.223447760,0,0,0
2.240497300,0,0,1
2.241878620,0,0,0
2.258928840,0,0,1
2.260310580,0,0,0
2.277360080,0,0,1
2.278741760,0,0,0
2.295792180,0,0,1
2.297173880,0,0,0
2.314223340,0,0,1
2.315605040,0,0,0
2.321601720,0,0,1
2.322983000,0,0,0
2.340030380,0,0,1
2.341411580,0,0,0
2.358459240,0,0,1
2.359840920,0,0,0
2.376888780,0,0,1
2.378270360,0,0,0
2.395320560,0,0,1
2.396702080,0,0,0
2.413750680,0,0,1
2.415132260,0,0,0
2.432181200,0,0,1
2.433562420,0,0,0
2.450611180,0,0,1
2.451992660,0,0,0
2.469039700,0,0,1
2.470420980,0,0,0
2.487468500,0,0,1
2.488849960,0,0,0
2.505898340,0,0,1
2.507279540,0,0,0
2.524329040,0,0,1
2.526628520,0,0,0
2.542758020,0,0,1
2.545057340,0,0,0
2.561185840,0,0,1
2.563484700,0,0,0
2.579613080,0,0,1
2.581912540,0,0,0
2.598041240,0,0,1
2.600340400,0,0,0
2.616470140,0,0,1
2.618768920,0,0,0
2.634898400,0,0,1
2.637197720,0,0,0
2.653327920,0,0,1
2.655626840,0,0,0
2.671755980,0,0,1
2.674055240,0,0,0
2.690184620,0,0,1
2.692484200,0,0,0
2.708614620,0,0,1
2.710914140,0,0,0
2.727043580,0,0,1
2.729342760,0,0,0
2.745473300,0,0,1
2.747772220,0,0,0
2.763903120,0,0,1
2.766202340,0,0,0
2.782333380,0,0,1
2.784633000,0,0,0
2.800763680,0,0,1
2.803063260,0,0,0
2.819193320,0,0,1
2.821492840,0,0,0
2.837624060,0,0,1
2.839922940,0,0,0
2.850183500,1,0,0
2.851050980,1,1,0
2.851054460,1,0,0
2.856052880,1,0,1
2.858352020,1,0,0
2.859196400,0,0,0
2.874480860,0,0,1
2.876780000,0,0,0
2.892911060,0,0,1
2.895210460,0,0,0
2.911341520,0,0,1
2.913640860,0,0,0
2.929771480,0,0,1
2.932070620,0,0,0
2.948201300,0,0,1
2.950500900,0,0,0
2.966632340,0,0,1
2.968931920,0,0,0
2.985063380,0,0,1
2.987362580,0,0,0
3.003493220,0,0,1
3.005792200,0,0,0
3.021923840,0,0,1
3.024222740,0,0,0
3.040352860,0,0,1
3.042652280,0,0,0
3.058782440,0,0,1
3.061082020,0,0,0
3.077213000,0,0,1
3.079512560,0,0,0
3.095644740,0,0,1
3.097943700,0,0,0
3.114073720,0,0,1
3.116372720,0,0,0
3.132502820,0,0,1
3.134802400,0,0,0
3.150932100,0,0,1
3.153231560,0,0,0
3.169361420,0,0,1
3.171661000,0,0,0
