05-25-2026 21:14:04 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1331,3%@729,6%@729,13%@729,9%@729,28%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.656C soc0@46.5C gpu@47.625C tj@48.718C soc1@48.718C VDD_IN 5063mW/5063mW VDD_CPU_GPU_CV 877mW/877mW VDD_SOC 1435mW/1435mW
05-25-2026 21:14:04 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1311,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.687C soc0@46.375C gpu@47.875C tj@48.718C soc1@48.718C VDD_IN 4680mW/4872mW VDD_CPU_GPU_CV 600mW/739mW VDD_SOC 1440mW/1438mW
05-25-2026 21:14:05 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1347,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.531C soc0@46.343C gpu@47.531C tj@48.5C soc1@48.5C VDD_IN 4567mW/4770mW VDD_CPU_GPU_CV 520mW/666mW VDD_SOC 1442mW/1439mW
05-25-2026 21:14:05 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1341,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.625C soc0@46.5C gpu@47.593C tj@48.593C soc1@48.593C VDD_IN 4527mW/4709mW VDD_CPU_GPU_CV 480mW/619mW VDD_SOC 1442mW/1440mW
05-25-2026 21:14:06 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1362,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.625C soc0@46.562C gpu@47.875C tj@48.562C soc1@48.562C VDD_IN 4487mW/4665mW VDD_CPU_GPU_CV 480mW/591mW VDD_SOC 1442mW/1440mW
05-25-2026 21:14:06 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,0%@729,3%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.937C soc2@46.5C soc0@46.343C gpu@47.5C tj@48.5C soc1@48.5C VDD_IN 4487mW/4635mW VDD_CPU_GPU_CV 480mW/573mW VDD_SOC 1442mW/1441mW
05-25-2026 21:14:07 RAM 900/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [5%@1728,1%@1728,1%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.593C soc0@46.437C gpu@47.812C tj@48.531C soc1@48.531C VDD_IN 4527mW/4620mW VDD_CPU_GPU_CV 480mW/560mW VDD_SOC 1442mW/1441mW
05-25-2026 21:14:07 RAM 898/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@1190,12%@1190,24%@1190,13%@1190,26%@960,49%@960] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.656C soc0@46.5C gpu@47.656C tj@48.531C soc1@48.531C VDD_IN 5254mW/4699mW VDD_CPU_GPU_CV 1033mW/619mW VDD_SOC 1472mW/1445mW
05-25-2026 21:14:08 RAM 899/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1381,14%@960,27%@960,19%@960,26%@1728,19%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.593C soc2@46.718C soc0@46.593C gpu@47.656C tj@48.718C soc1@48.718C VDD_IN 5444mW/4782mW VDD_CPU_GPU_CV 1190mW/682mW VDD_SOC 1470mW/1447mW
05-25-2026 21:14:08 RAM 903/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1728,20%@1728,30%@1728,18%@1728,48%@1728,24%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.75C soc2@46.718C soc0@46.5C gpu@47.968C tj@48.812C soc1@48.812C VDD_IN 5713mW/4875mW VDD_CPU_GPU_CV 1388mW/753mW VDD_SOC 1470mW/1450mW
05-25-2026 21:14:09 RAM 901/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [7%@1728,4%@1728,7%@1728,5%@1728,19%@729,18%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.593C soc0@46.406C gpu@47.625C tj@48.593C soc1@48.593C VDD_IN 5111mW/4896mW VDD_CPU_GPU_CV 917mW/768mW VDD_SOC 1437mW/1449mW
05-25-2026 21:14:09 RAM 901/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.656C soc0@46.5C gpu@47.656C tj@48.593C soc1@48.593C VDD_IN 4680mW/4878mW VDD_CPU_GPU_CV 600mW/754mW VDD_SOC 1440mW/1448mW
05-25-2026 21:14:10 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1015,0%@729,3%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.625C soc0@46.375C gpu@47.562C tj@48.75C soc1@48.75C VDD_IN 4567mW/4854mW VDD_CPU_GPU_CV 520mW/736mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:10 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,1%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@46.531C soc0@46.375C gpu@47.812C tj@48.562C soc1@48.562C VDD_IN 4567mW/4834mW VDD_CPU_GPU_CV 480mW/718mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:11 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1310,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.937C soc2@46.656C soc0@46.468C gpu@47.593C tj@48.531C soc1@48.531C VDD_IN 4487mW/4811mW VDD_CPU_GPU_CV 480mW/702mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:12 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1432,1%@1113,0%@1113,3%@1113,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.593C soc0@46.593C gpu@47.531C tj@48.593C soc1@48.593C VDD_IN 4527mW/4793mW VDD_CPU_GPU_CV 520mW/690mW VDD_SOC 1442mW/1446mW
