# servo_sweep log
# mode=burst duration=1800 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779773420410406,START,307
1779773420611144,MOTION_PHASE_START,0
1779773420611170,TO_MAX,511
1779773421611880,TO_MIN,102
1779773422612587,TO_MAX,511
1779773423613291,TO_MIN,102
1779773424614000,TO_MAX,511
1779773425614981,STILL_PHASE_START,307
1779773430615703,MOTION_PHASE_START,0
1779773430615740,TO_MAX,511
1779773431616434,TO_MIN,102
1779773432617149,TO_MAX,511
1779773433617864,TO_MIN,102
1779773434618592,TO_MAX,511
1779773435619309,STILL_PHASE_START,307
1779773440620016,MOTION_PHASE_START,0
1779773440620053,TO_MAX,511
1779773441620750,TO_MIN,102
1779773442621468,TO_MAX,511
1779773443622181,TO_MIN,102
1779773444622888,TO_MAX,511
1779773445623591,STILL_PHASE_START,307
1779773450624294,MOTION_PHASE_START,0
1779773450624333,TO_MAX,511
1779773451625022,TO_MIN,102
1779773452647920,TO_MAX,511
1779773453648616,TO_MIN,102
1779773454649328,TO_MAX,511
1779773455650038,STILL_PHASE_START,307
1779773460650748,MOTION_PHASE_START,0
1779773460650793,TO_MAX,511
1779773461651478,TO_MIN,102
1779773462652189,TO_MAX,511
1779773463652909,TO_MIN,102
1779773464653609,TO_MAX,511
1779773465654317,STILL_PHASE_START,307
1779773470655024,MOTION_PHASE_START,0
1779773470655072,TO_MAX,511
1779773471655758,TO_MIN,102
1779773472656452,TO_MAX,511
1779773473657160,TO_MIN,102
1779773474657870,TO_MAX,511
1779773475658575,STILL_PHASE_START,307
1779773480659284,MOTION_PHASE_START,0
1779773480659323,TO_MAX,511
1779773481660004,TO_MIN,102
1779773482660706,TO_MAX,511
1779773483661410,TO_MIN,102
1779773484662121,TO_MAX,511
1779773485662831,STILL_PHASE_START,307
1779773490663555,MOTION_PHASE_START,0
1779773490663596,TO_MAX,511
1779773491664285,TO_MIN,102
1779773492664990,TO_MAX,511
1779773493665694,TO_MIN,102
1779773494666396,TO_MAX,511
1779773495667106,STILL_PHASE_START,307
1779773500667820,MOTION_PHASE_START,0
1779773500667861,TO_MAX,511
1779773501668549,TO_MIN,102
1779773502669252,TO_MAX,511
1779773503669967,TO_MIN,102
1779773504670669,TO_MAX,511
1779773505671384,STILL_PHASE_START,307
1779773510672090,MOTION_PHASE_START,0
1779773510672127,TO_MAX,511
1779773511672808,TO_MIN,102
1779773512673507,TO_MAX,511
1779773513674216,TO_MIN,102
1779773514674920,TO_MAX,511
1779773515675625,STILL_PHASE_START,307
1779773520676344,MOTION_PHASE_START,0
1779773520676394,TO_MAX,511
1779773521677090,TO_MIN,102
1779773522677800,TO_MAX,511
1779773523678515,TO_MIN,102
1779773524679184,TO_MAX,511
1779773525679888,STILL_PHASE_START,307
1779773530680620,MOTION_PHASE_START,0
1779773530680668,TO_MAX,511
1779773531681359,TO_MIN,102
1779773532682066,TO_MAX,511
1779773533682765,TO_MIN,102
1779773534683476,TO_MAX,511
1779773535684183,STILL_PHASE_START,307
1779773540684902,MOTION_PHASE_START,0
1779773540684943,TO_MAX,511
1779773541685632,TO_MIN,102
1779773542686349,TO_MAX,511
1779773543687050,TO_MIN,102
1779773544687772,TO_MAX,511
1779773545688474,STILL_PHASE_START,307
1779773550689181,MOTION_PHASE_START,0
1779773550689219,TO_MAX,511
1779773551689908,TO_MIN,102
1779773552690633,TO_MAX,511
1779773553691359,TO_MIN,102
1779773554692075,TO_MAX,511
1779773555692804,STILL_PHASE_START,307
1779773560693525,MOTION_PHASE_START,0
1779773560693557,TO_MAX,511
1779773561694246,TO_MIN,102
1779773562694984,TO_MAX,511
1779773563695688,TO_MIN,102
1779773564696395,TO_MAX,511
1779773565697100,STILL_PHASE_START,307
1779773570697824,MOTION_PHASE_START,0
1779773570697853,TO_MAX,511
1779773571698543,TO_MIN,102
1779773572699286,TO_MAX,511
1779773573700012,TO_MIN,102
1779773574700738,TO_MAX,511
1779773575701480,STILL_PHASE_START,307
1779773580702208,MOTION_PHASE_START,0
1779773580702267,TO_MAX,511
1779773581702963,TO_MIN,102
1779773582703669,TO_MAX,511
1779773583704376,TO_MIN,102
1779773584705078,TO_MAX,511
1779773585705777,STILL_PHASE_START,307
1779773590706485,MOTION_PHASE_START,0
1779773590706532,TO_MAX,511
1779773591707182,TO_MIN,102
1779773592707910,TO_MAX,511
1779773593708616,TO_MIN,102
1779773594709317,TO_MAX,511
1779773595710014,STILL_PHASE_START,307
1779773600710727,MOTION_PHASE_START,0
1779773600710762,TO_MAX,511
1779773601711443,TO_MIN,102
1779773602712147,TO_MAX,511
1779773603712850,TO_MIN,102
1779773604713541,TO_MAX,511
1779773605714244,STILL_PHASE_START,307
1779773610714953,MOTION_PHASE_START,0
1779773610714994,TO_MAX,511
1779773611715677,TO_MIN,102
1779773612716383,TO_MAX,511
1779773613717086,TO_MIN,102
1779773614717789,TO_MAX,511
1779773615718490,STILL_PHASE_START,307
1779773620719185,MOTION_PHASE_START,0
1779773620719226,TO_MAX,511
1779773621720031,TO_MIN,102
1779773622720732,TO_MAX,511
1779773623721460,TO_MIN,102
1779773624722167,TO_MAX,511
1779773625722862,STILL_PHASE_START,307
1779773630723567,MOTION_PHASE_START,0
1779773630723607,TO_MAX,511
1779773631724286,TO_MIN,102
1779773632724982,TO_MAX,511
1779773633725684,TO_MIN,102
1779773634726389,TO_MAX,511
1779773635727100,STILL_PHASE_START,307
1779773640727802,MOTION_PHASE_START,0
1779773640727835,TO_MAX,511
1779773641728522,TO_MIN,102
1779773642729224,TO_MAX,511
1779773643729913,TO_MIN,102
1779773644730609,TO_MAX,511
1779773645731313,STILL_PHASE_START,307
1779773650732018,MOTION_PHASE_START,0
1779773650732056,TO_MAX,511
1779773651732742,TO_MIN,102
1779773652733450,TO_MAX,511
1779773653734160,TO_MIN,102
1779773654734862,TO_MAX,511
1779773655735563,STILL_PHASE_START,307
1779773660736273,MOTION_PHASE_START,0
1779773660736318,TO_MAX,511
1779773661737002,TO_MIN,102
1779773662737712,TO_MAX,511
1779773663738423,TO_MIN,102
1779773664739133,TO_MAX,511
1779773665739841,STILL_PHASE_START,307
1779773670740552,MOTION_PHASE_START,0
1779773670740587,TO_MAX,511
1779773671741274,TO_MIN,102
1779773672741978,TO_MAX,511
1779773673742671,TO_MIN,102
1779773674743368,TO_MAX,511
1779773675744070,STILL_PHASE_START,307
1779773680744773,MOTION_PHASE_START,0
1779773680744813,TO_MAX,511
1779773681745508,TO_MIN,102
1779773682746224,TO_MAX,511
1779773683746938,TO_MIN,102
1779773684747644,TO_MAX,511
1779773685748349,STILL_PHASE_START,307
1779773690749048,MOTION_PHASE_START,0
1779773690749080,TO_MAX,511
1779773691749770,TO_MIN,102
1779773692750479,TO_MAX,511
1779773693751182,TO_MIN,102
1779773694751877,TO_MAX,511
1779773695752581,STILL_PHASE_START,307
1779773700753277,MOTION_PHASE_START,0
1779773700753315,TO_MAX,511
1779773701754010,TO_MIN,102
1779773702754718,TO_MAX,511
1779773703755432,TO_MIN,102
1779773704756139,TO_MAX,511
1779773705756854,STILL_PHASE_START,307
1779773710757566,MOTION_PHASE_START,0
1779773710757730,TO_MAX,511
1779773711758421,TO_MIN,102
1779773712759120,TO_MAX,511
1779773713759826,TO_MIN,102
1779773714760532,TO_MAX,511
1779773715761232,STILL_PHASE_START,307
1779773720761938,MOTION_PHASE_START,0
1779773720761972,TO_MAX,511
1779773721762660,TO_MIN,102
1779773722763371,TO_MAX,511
1779773723764086,TO_MIN,102
1779773724764800,TO_MAX,511
1779773725765506,STILL_PHASE_START,307
1779773730766214,MOTION_PHASE_START,0
1779773730766249,TO_MAX,511
1779773731766941,TO_MIN,102
1779773732767640,TO_MAX,511
1779773733768354,TO_MIN,102
1779773734769067,TO_MAX,511
1779773735769772,STILL_PHASE_START,307
1779773740770495,MOTION_PHASE_START,0
1779773740770534,TO_MAX,511
1779773741771227,TO_MIN,102
1779773742771941,TO_MAX,511
1779773743772651,TO_MIN,102
1779773744773361,TO_MAX,511
1779773745774103,STILL_PHASE_START,307
1779773750774803,MOTION_PHASE_START,0
1779773750774842,TO_MAX,511
1779773751775537,TO_MIN,102
1779773752776242,TO_MAX,511
1779773753776951,TO_MIN,102
1779773754777661,TO_MAX,511
1779773755778365,STILL_PHASE_START,307
1779773760779064,MOTION_PHASE_START,0
1779773760779105,TO_MAX,511
1779773761779789,TO_MIN,102
1779773762780510,TO_MAX,511
1779773763781224,TO_MIN,102
1779773764781939,TO_MAX,511
1779773765782647,STILL_PHASE_START,307
1779773770783359,MOTION_PHASE_START,0
1779773770783406,TO_MAX,511
1779773771784099,TO_MIN,102
1779773772784863,TO_MAX,511
1779773773785567,TO_MIN,102
1779773774786275,TO_MAX,511
1779773775786980,STILL_PHASE_START,307
1779773780787687,MOTION_PHASE_START,0
1779773780787726,TO_MAX,511
1779773781788443,TO_MIN,102
1779773782789145,TO_MAX,511
1779773783789850,TO_MIN,102
1779773784790555,TO_MAX,511
1779773785791266,STILL_PHASE_START,307
1779773790791974,MOTION_PHASE_START,0
1779773790792022,TO_MAX,511
1779773791792711,TO_MIN,102
1779773792793425,TO_MAX,511
1779773793794137,TO_MIN,102
1779773794794838,TO_MAX,511
1779773795795544,STILL_PHASE_START,307
1779773800796262,MOTION_PHASE_START,0
1779773800796297,TO_MAX,511
1779773801796989,TO_MIN,102
1779773802797693,TO_MAX,511
1779773803798400,TO_MIN,102
1779773804799104,TO_MAX,511
1779773805799806,STILL_PHASE_START,307
1779773810800513,MOTION_PHASE_START,0
1779773810800546,TO_MAX,511
1779773811801241,TO_MIN,102
1779773812801943,TO_MAX,511
1779773813802655,TO_MIN,102
1779773814803369,TO_MAX,511
1779773815804080,STILL_PHASE_START,307
1779773820804789,MOTION_PHASE_START,0
1779773820804826,TO_MAX,511
1779773821805526,TO_MIN,102
1779773822806236,TO_MAX,511
1779773823806937,TO_MIN,102
1779773824807640,TO_MAX,511
1779773825808343,STILL_PHASE_START,307
1779773830809064,MOTION_PHASE_START,0
1779773830809108,TO_MAX,511
1779773831809806,TO_MIN,102
1779773832810513,TO_MAX,511
1779773833811229,TO_MIN,102
1779773834811940,TO_MAX,511
1779773835812654,STILL_PHASE_START,307
1779773840813362,MOTION_PHASE_START,0
1779773840813391,TO_MAX,511
1779773841814076,TO_MIN,102
1779773842814774,TO_MAX,511
1779773843815478,TO_MIN,102
1779773844816173,TO_MAX,511
1779773845816881,STILL_PHASE_START,307
1779773850817595,MOTION_PHASE_START,0
1779773850817637,TO_MAX,511
1779773851818323,TO_MIN,102
1779773852819032,TO_MAX,511
1779773853819735,TO_MIN,102
1779773854820435,TO_MAX,511
1779773855821146,STILL_PHASE_START,307
1779773860821858,MOTION_PHASE_START,0
1779773860821889,TO_MAX,511
1779773861822577,TO_MIN,102
1779773862823289,TO_MAX,511
1779773863823994,TO_MIN,102
1779773864824692,TO_MAX,511
1779773865825399,STILL_PHASE_START,307
1779773870826104,MOTION_PHASE_START,0
1779773870826140,TO_MAX,511
1779773871826833,TO_MIN,102
1779773872827551,TO_MAX,511
1779773873828266,TO_MIN,102
1779773874828972,TO_MAX,511
1779773875829674,STILL_PHASE_START,307
1779773880830380,MOTION_PHASE_START,0
1779773880830420,TO_MAX,511
1779773881831107,TO_MIN,102
1779773882831817,TO_MAX,511
1779773883832523,TO_MIN,102
1779773884833224,TO_MAX,511
1779773885833928,STILL_PHASE_START,307
1779773890834640,MOTION_PHASE_START,0
1779773890834673,TO_MAX,511
1779773891835365,TO_MIN,102
1779773892836068,TO_MAX,511
1779773893836766,TO_MIN,102
1779773894837475,TO_MAX,511
1779773895838175,STILL_PHASE_START,307
1779773900838876,MOTION_PHASE_START,0
1779773900838906,TO_MAX,511
1779773901839594,TO_MIN,102
1779773902840322,TO_MAX,511
1779773903841026,TO_MIN,102
1779773904841726,TO_MAX,511
1779773905842430,STILL_PHASE_START,307
1779773910843147,MOTION_PHASE_START,0
1779773910843186,TO_MAX,511
1779773911843889,TO_MIN,102
1779773912844597,TO_MAX,511
1779773913845307,TO_MIN,102
1779773914846016,TO_MAX,511
1779773915846716,STILL_PHASE_START,307
1779773920847426,MOTION_PHASE_START,0
1779773920847457,TO_MAX,511
1779773921848143,TO_MIN,102
1779773922848850,TO_MAX,511
1779773923849550,TO_MIN,102
1779773924850251,TO_MAX,511
1779773925850958,STILL_PHASE_START,307
1779773930851664,MOTION_PHASE_START,0
1779773930851696,TO_MAX,511
1779773931852392,TO_MIN,102
1779773932853096,TO_MAX,511
1779773933853812,TO_MIN,102
1779773934854521,TO_MAX,511
1779773935855184,STILL_PHASE_START,307
1779773940855894,MOTION_PHASE_START,0
1779773940855921,TO_MAX,511
1779773941856614,TO_MIN,102
1779773942857319,TO_MAX,511
1779773943858027,TO_MIN,102
1779773944858729,TO_MAX,511
1779773945859424,STILL_PHASE_START,307
1779773950860130,MOTION_PHASE_START,0
1779773950860160,TO_MAX,511
1779773951860862,TO_MIN,102
1779773952861571,TO_MAX,511
1779773953862269,TO_MIN,102
1779773954862967,TO_MAX,511
1779773955863661,STILL_PHASE_START,307
1779773960864369,MOTION_PHASE_START,0
1779773960864399,TO_MAX,511
1779773961865093,TO_MIN,102
1779773962865808,TO_MAX,511
1779773963866525,TO_MIN,102
1779773964867232,TO_MAX,511
1779773965867942,STILL_PHASE_START,307
1779773970868658,MOTION_PHASE_START,0
1779773970868711,TO_MAX,511
1779773971869404,TO_MIN,102
1779773972870125,TO_MAX,511
1779773973870828,TO_MIN,102
1779773974871548,TO_MAX,511
1779773975872254,STILL_PHASE_START,307
1779773980872963,MOTION_PHASE_START,0
1779773980872990,TO_MAX,511
1779773981873680,TO_MIN,102
1779773982874381,TO_MAX,511
1779773983875088,TO_MIN,102
1779773984875800,TO_MAX,511
1779773985876507,STILL_PHASE_START,307
1779773990877219,MOTION_PHASE_START,0
1779773990877246,TO_MAX,511
1779773991877933,TO_MIN,102
1779773992878638,TO_MAX,511
1779773993879339,TO_MIN,102
1779773994880053,TO_MAX,511
1779773995880760,STILL_PHASE_START,307
1779774000881475,MOTION_PHASE_START,0
1779774000881506,TO_MAX,511
1779774001882200,TO_MIN,102
1779774002882914,TO_MAX,511
1779774003883641,TO_MIN,102
1779774004884348,TO_MAX,511
1779774005885047,STILL_PHASE_START,307
1779774010885752,MOTION_PHASE_START,0
1779774010885780,TO_MAX,511
1779774011886470,TO_MIN,102
1779774012887188,TO_MAX,511
1779774013887902,TO_MIN,102
1779774014888612,TO_MAX,511
1779774015889318,STILL_PHASE_START,307
1779774020890024,MOTION_PHASE_START,0
1779774020890055,TO_MAX,511
1779774021890749,TO_MIN,102
1779774022891450,TO_MAX,511
1779774023892154,TO_MIN,102
1779774024892865,TO_MAX,511
1779774025893566,STILL_PHASE_START,307
1779774030894295,MOTION_PHASE_START,0
1779774030894326,TO_MAX,511
1779774031895020,TO_MIN,102
1779774032895734,TO_MAX,511
1779774033896443,TO_MIN,102
1779774034897153,TO_MAX,511
1779774035897863,STILL_PHASE_START,307
1779774040898581,MOTION_PHASE_START,0
1779774040898609,TO_MAX,511
1779774041899292,TO_MIN,102
1779774042900018,TO_MAX,511
1779774043900727,TO_MIN,102
1779774044901436,TO_MAX,511
1779774045902147,STILL_PHASE_START,307
1779774050902865,MOTION_PHASE_START,0
1779774050902899,TO_MAX,511
1779774051903590,TO_MIN,102
1779774052904303,TO_MAX,511
1779774053905023,TO_MIN,102
1779774054905729,TO_MAX,511
1779774055906441,STILL_PHASE_START,307
1779774060907155,MOTION_PHASE_START,0
1779774060907209,TO_MAX,511
1779774061907898,TO_MIN,102
1779774062908603,TO_MAX,511
1779774063909307,TO_MIN,102
1779774064910010,TO_MAX,511
1779774065910713,STILL_PHASE_START,307
1779774070911431,MOTION_PHASE_START,0
1779774070911465,TO_MAX,511
1779774071912164,TO_MIN,102
1779774072912865,TO_MAX,511
1779774073913560,TO_MIN,102
1779774074914266,TO_MAX,511
1779774075914980,STILL_PHASE_START,307
1779774080915678,MOTION_PHASE_START,0
1779774080915701,TO_MAX,511
1779774081916409,TO_MIN,102
1779774082917116,TO_MAX,511
1779774083917828,TO_MIN,102
1779774084918534,TO_MAX,511
1779774085919234,STILL_PHASE_START,307
1779774090919950,MOTION_PHASE_START,0
1779774090919976,TO_MAX,511
1779774091920669,TO_MIN,102
1779774092921383,TO_MAX,511
1779774093922079,TO_MIN,102
1779774094922782,TO_MAX,511
1779774095923487,STILL_PHASE_START,307
1779774100924207,MOTION_PHASE_START,0
1779774100924234,TO_MAX,511
1779774101924920,TO_MIN,102
1779774102925633,TO_MAX,511
1779774103926348,TO_MIN,102
1779774104927070,TO_MAX,511
1779774105927792,STILL_PHASE_START,307
1779774110928501,MOTION_PHASE_START,0
1779774110928531,TO_MAX,511
1779774111929222,TO_MIN,102
1779774112929928,TO_MAX,511
1779774113930646,TO_MIN,102
1779774114931353,TO_MAX,511
1779774115932058,STILL_PHASE_START,307
1779774120932764,MOTION_PHASE_START,0
1779774120932794,TO_MAX,511
1779774121933483,TO_MIN,102
1779774122934180,TO_MAX,511
1779774123934892,TO_MIN,102
1779774124935604,TO_MAX,511
1779774125936319,STILL_PHASE_START,307
1779774130937067,MOTION_PHASE_START,0
1779774130937104,TO_MAX,511
1779774131937803,TO_MIN,102
1779774132938538,TO_MAX,511
1779774133939278,TO_MIN,102
1779774134940009,TO_MAX,511
1779774135940726,STILL_PHASE_START,307
1779774140941437,MOTION_PHASE_START,0
1779774140941470,TO_MAX,511
1779774141942158,TO_MIN,102
1779774142942861,TO_MAX,511
1779774143943557,TO_MIN,102
1779774144944262,TO_MAX,511
1779774145944961,STILL_PHASE_START,307
1779774150945664,MOTION_PHASE_START,0
1779774150945694,TO_MAX,511
1779774151946372,TO_MIN,102
1779774152947082,TO_MAX,511
1779774153947788,TO_MIN,102
1779774154948504,TO_MAX,511
1779774155949213,STILL_PHASE_START,307
1779774160949924,MOTION_PHASE_START,0
1779774160950014,TO_MAX,511
1779774161950714,TO_MIN,102
1779774162951424,TO_MAX,511
1779774163952130,TO_MIN,102
1779774164952836,TO_MAX,511
1779774165953536,STILL_PHASE_START,307
1779774170954283,MOTION_PHASE_START,0
1779774170954339,TO_MAX,511
1779774171955021,TO_MIN,102
1779774172955732,TO_MAX,511
1779774173956440,TO_MIN,102
