trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,1.75299002,2.08804636,2.0885203,473.940000000006,True,
1,motion_to_still,6.77162416,8.44525232,8.44664566,1393.3399999999097,True,
2,still_to_motion,11.77198986,11.97750998,11.97887456,1364.5799999988385,True,
3,motion_to_still,16.77234612,,18.33678846,,False,multiple_d1_in_window
4,still_to_motion,21.7727409,21.86717438,21.86851126,1336.879999996654,True,
5,motion_to_still,26.77311036,28.93051176,28.93180596,1294.1999999966924,True,
6,still_to_motion,31.7734705,32.4623547,32.46358026,1225.5600000017353,True,
7,motion_to_still,36.79223634,38.11299824,38.11433052,1332.2799999997414,True,
8,still_to_motion,41.79280694,42.3514818,42.35275048,1268.67999999547,True,
9,motion_to_still,46.81181942,48.70937968,48.71064552,1265.840000002072,True,
10,still_to_motion,51.81231402,52.24132338,52.24257132,1247.9400000060537,True,
11,motion_to_still,56.81282248,,58.60005022,,False,multiple_d1_in_window
12,still_to_motion,61.81328366,62.13068876,62.13199806,1309.3000000026223,True,
13,motion_to_still,66.8138281,68.4874175,68.48867348,1255.9799999962706,True,
14,still_to_motion,71.81433698,72.01914744,72.0203386,1191.1600000047429,True,
15,motion_to_still,76.8149043,78.3760122,78.37723974,1227.5399999879255,True,
16,still_to_motion,81.81530406,81.90754408,81.90877634,1232.2600000089778,True,
17,motion_to_still,86.81550496,88.26423676,88.26548556,1248.7999999990507,True,
18,still_to_motion,91.81560182,92.50192222,92.50315498,1232.7600000077155,True,
19,motion_to_still,96.83435434,98.15235234,98.15361034,1258.0000000070868,True,
20,still_to_motion,101.83487432,102.39048002,102.39176948,1289.4599999953016,True,
21,motion_to_still,106.83533212,108.04110324,108.04236672,1263.4800000057567,True,
22,still_to_motion,111.83575544,112.27930782,112.28056394,1256.1199999936434,True,
23,motion_to_still,116.83612168,118.63586328,118.63709654,1233.260000006453,True,
24,still_to_motion,121.8364156,122.16709286,122.16830928,1216.420000005769,True,
25,motion_to_still,126.83666602,128.52380116,128.52500294,1201.7800000023726,True,
26,still_to_motion,131.83677692,132.05626744,132.05756648,1299.0399999921465,True,
27,motion_to_still,136.83683246,138.41372984,138.4150239,1294.0599999922142,True,
28,still_to_motion,141.83687254,141.94542782,141.9466547,1226.880000018582,True,
29,motion_to_still,146.85534322,148.30221536,148.30352242,1307.0600000162358,True,
30,still_to_motion,151.85537178,152.54019074,152.54143012,1239.3799999870225,True,
