trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.64390774,2.73578574,2.73615488,369.14000000010105,True,
1,motion_to_still,7.65862766,9.09391334,9.09425912,345.77999999996223,True,
2,still_to_motion,12.65492578,13.33359638,13.33394322,346.84000000062554,True,
3,motion_to_still,17.66985906,18.985074,18.9854137,339.6999999978334,True,
4,still_to_motion,22.6664858,23.22448296,23.2248135,330.54000000021233,True,
5,motion_to_still,27.68163016,28.87653866,28.87689746,358.7999999972169,True,
6,still_to_motion,32.67836598,33.11573984,33.11608592,346.07999999991534,True,
7,motion_to_still,37.67515056,38.767588,38.76794816,360.1599999996097,True,
8,still_to_motion,42.69045098,43.00711714,43.00746462,347.480000002065,True,
9,motion_to_still,47.68758774,48.65980242,48.66015222,349.80000000217615,True,
10,still_to_motion,52.66643648,,52.8990177,,False,multiple_d1_in_window
11,motion_to_still,57.66390514,,58.55071752,,False,multiple_d1_in_window
12,still_to_motion,62.66181532,,,,False,no_d1_in_window
13,motion_to_still,67.67839668,69.14752112,69.14786732,346.2000000098442,True,
14,still_to_motion,72.67663144,73.38619512,73.3865347,339.5800000021154,True,
15,motion_to_still,77.67486354,79.03785248,79.0381885,336.02000000598764,True,
16,still_to_motion,82.67347022,83.27655348,83.2768942,340.71999999696345,True,
17,motion_to_still,87.6719661,88.92803618,88.928373,336.8199999869148,True,
18,still_to_motion,92.67049418,93.16640814,93.16673984,331.7000000038206,True,
19,motion_to_still,97.66893174,98.81743266,98.8177808,348.13999999983025,True,
20,still_to_motion,102.66731834,103.05630688,103.05664894,342.06000000835957,True,
21,motion_to_still,107.66588628,108.70774562,108.70811716,371.5400000032787,True,
22,still_to_motion,112.66466588,,112.94632586,,False,multiple_d1_in_window
23,motion_to_still,117.6820535,118.59665006,118.59699372,343.6599999986356,True,
24,still_to_motion,122.68093616,122.8346212,122.83498002,358.8200000024244,True,
25,motion_to_still,127.6985363,129.19169386,129.19203564,341.78000001361397,True,
26,still_to_motion,132.69812784,132.72356604,132.72390626,340.21999999822583,True,
27,motion_to_still,137.69789654,139.08146538,139.08181664,351.2600000021848,True,
28,still_to_motion,142.69780444,143.31981522,143.32019104,375.81999998792526,True,
29,motion_to_still,147.69775006,148.97123994,148.97161054,370.599999996557,True,
30,still_to_motion,152.7162678,153.20968648,153.21003278,346.3000000181182,True,
31,motion_to_still,157.7161796,158.86070134,158.86103898,337.6399999979185,True,
32,still_to_motion,162.71614038,163.09992886,163.10027616,347.29999998717176,True,
