Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.009500780,0,0,1
0.010884260,0,0,0
0.027961260,0,0,1
0.029345080,0,0,0
0.046420760,0,0,1
0.047804200,0,0,0
0.064881660,0,0,1
0.066265520,0,0,0
0.083342860,0,0,1
0.084726740,0,0,0
0.101802000,0,0,1
0.103185860,0,0,0
0.120261860,0,0,1
0.121645680,0,0,0
0.138723040,0,0,1
0.140106740,0,0,0
0.157184420,0,0,1
0.158567960,0,0,0
0.175645480,0,0,1
0.177029160,0,0,0
0.194106600,0,0,1
0.195490100,0,0,0
0.212565460,0,0,1
0.213948840,0,0,0
0.231024940,0,0,1
0.232408760,0,0,0
0.249485000,0,0,1
0.250868820,0,0,0
0.267946640,0,0,1
0.269330220,0,0,0
0.286405780,0,0,1
0.287789600,0,0,0
0.304864420,0,0,1
0.306247840,0,0,0
0.323322180,0,0,1
0.324705740,0,0,0
0.341782740,0,0,1
0.343166520,0,0,0
0.360242580,0,0,1
0.361626020,0,0,0
0.378701420,0,0,1
0.380084900,0,0,0
0.397160020,0,0,1
0.398543420,0,0,0
0.415619200,0,0,1
0.417002820,0,0,0
0.434080480,0,0,1
0.435464300,0,0,0
0.452541280,0,0,1
0.453925160,0,0,0
0.471000180,0,0,1
0.472383900,0,0,0
0.489460280,0,0,1
0.490844140,0,0,0
0.507921360,0,0,1
0.509305180,0,0,0
0.526380260,0,0,1
0.527763980,0,0,0
0.544839740,0,0,1
0.546223300,0,0,0
0.563299140,0,0,1
0.564682920,0,0,0
0.581759740,0,0,1
0.583143580,0,0,0
0.600219980,0,0,1
0.601603440,0,0,0
0.618679200,0,0,1
0.620062980,0,0,0
0.637139200,0,0,1
0.638522840,0,0,0
0.655598060,0,0,1
0.656981640,0,0,0
0.674057540,0,0,1
0.675441280,0,0,0
0.692518040,0,0,1
0.693901500,0,0,0
0.710978280,0,0,1
0.712362120,0,0,0
0.729439780,0,0,1
0.730823640,0,0,0
0.747899940,0,0,1
0.749283820,0,0,0
0.766359260,0,0,1
0.767743080,0,0,0
0.784820620,0,0,1
0.786204120,0,0,0
0.803279400,0,0,1
0.804662920,0,0,0
0.821739500,0,0,1
0.823123260,0,0,0
0.840199620,0,0,1
0.841583460,0,0,0
0.858659320,0,0,1
0.860043180,0,0,0
0.877120100,0,0,1
0.878503660,0,0,0
0.895578920,0,0,1
0.896962760,0,0,0
0.914040460,0,0,1
0.915423960,0,0,0
0.932501200,0,0,1
0.933885060,0,0,0
0.950960220,0,0,1
0.952343920,0,0,0
0.969420100,0,0,1
0.970803900,0,0,0
0.987880020,0,0,1
0.989263880,0,0,0
1.006339880,0,0,1
1.007723360,0,0,0
1.024798200,0,0,1
1.026181960,0,0,0
1.043256660,0,0,1
1.044640480,0,0,0
1.061716400,0,0,1
1.063100180,0,0,0
1.080175120,0,0,1
1.081558720,0,0,0
1.098634900,0,0,1
1.100018760,0,0,0
1.117094440,0,0,1
1.118477880,0,0,0
1.135553120,0,0,1
1.136936880,0,0,0
1.154012600,0,0,1
1.155396300,0,0,0
1.172470880,0,0,1
1.173854360,0,0,0
1.190930820,0,0,1
1.192314640,0,0,0
1.209391660,0,0,1
1.210775500,0,0,0
1.227851300,0,0,1
1.229234960,0,0,0
1.246308220,0,0,1
1.247691660,0,0,0
1.264767640,0,0,1
1.266151160,0,0,0
1.283226960,0,0,1
1.284610420,0,0,0
1.301685040,0,0,1
1.303068440,0,0,0
1.320144560,0,0,1
1.321528480,0,0,0
1.338606020,0,0,1
1.339989520,0,0,0
1.357065380,0,0,1
1.358448860,0,0,0
1.375525040,0,0,1
1.376908780,0,0,0
1.393985420,0,0,1
1.395369300,0,0,0
1.412446800,0,0,1
1.413830620,0,0,0
1.430906840,0,0,1
1.432290500,0,0,0
1.449366260,0,0,1
1.450749900,0,0,0
1.467825760,0,0,1
1.469209600,0,0,0
1.486287160,0,0,1
1.487670920,0,0,0
1.504746880,0,0,1
1.506130240,0,0,0
1.523206040,0,0,1
1.524589860,0,0,0
1.541665520,0,0,1
1.543048920,0,0,0
1.560123800,0,0,1
1.561507620,0,0,0
1.578582660,0,0,1
1.579966500,0,0,0
1.597042740,0,0,1
1.598426280,0,0,0
1.615501120,0,0,1
1.616884680,0,0,0
1.633959920,0,0,1
1.635343660,0,0,0
1.652418680,0,0,1
1.653802360,0,0,0
1.670880340,0,0,1
1.672264200,0,0,0
1.689341460,0,0,1
1.690724920,0,0,0
1.707800400,0,0,1
1.709183820,0,0,0
1.726259340,0,0,1
1.727643180,0,0,0
1.744720060,0,0,1
1.746103660,0,0,0
1.763179520,0,0,1
1.764562940,0,0,0
1.781639800,0,0,1
