# servo_sweep log
# mode=burst duration=1800 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779779639597272,START,307
1779779639798010,MOTION_PHASE_START,0
1779779639798049,TO_MAX,511
1779779640798756,TO_MIN,102
1779779641799481,TO_MAX,511
1779779642800192,TO_MIN,102
1779779643800952,TO_MAX,511
1779779644801698,STILL_PHASE_START,307
1779779649802430,MOTION_PHASE_START,0
1779779649802469,TO_MAX,511
1779779650803179,TO_MIN,102
1779779651803911,TO_MAX,511
1779779652804633,TO_MIN,102
1779779653805351,TO_MAX,511
1779779654806072,STILL_PHASE_START,307
1779779659806783,MOTION_PHASE_START,0
1779779659806815,TO_MAX,511
1779779660807507,TO_MIN,102
1779779661808221,TO_MAX,511
1779779662808936,TO_MIN,102
1779779663809646,TO_MAX,511
1779779664810349,STILL_PHASE_START,307
1779779669811058,MOTION_PHASE_START,0
1779779669811086,TO_MAX,511
1779779670811771,TO_MIN,102
1779779671812476,TO_MAX,511
1779779672813187,TO_MIN,102
1779779673813904,TO_MAX,511
1779779674814608,STILL_PHASE_START,307
1779779679815314,MOTION_PHASE_START,0
1779779679815345,TO_MAX,511
1779779680816034,TO_MIN,102
1779779681816739,TO_MAX,511
1779779682817438,TO_MIN,102
1779779683818138,TO_MAX,511
1779779684818845,STILL_PHASE_START,307
1779779689819552,MOTION_PHASE_START,0
1779779689819588,TO_MAX,511
1779779690820291,TO_MIN,102
1779779691821009,TO_MAX,511
1779779692821732,TO_MIN,102
1779779693822452,TO_MAX,511
1779779694823175,STILL_PHASE_START,307
1779779699823896,MOTION_PHASE_START,0
1779779699823928,TO_MAX,511
1779779700824629,TO_MIN,102
1779779701825345,TO_MAX,511
1779779702826054,TO_MIN,102
1779779703826767,TO_MAX,511
1779779704827482,STILL_PHASE_START,307
1779779709828195,MOTION_PHASE_START,0
1779779709828230,TO_MAX,511
1779779710828922,TO_MIN,102
1779779711829638,TO_MAX,511
1779779712830347,TO_MIN,102
1779779713831071,TO_MAX,511
1779779714831792,STILL_PHASE_START,307
1779779719832515,MOTION_PHASE_START,0
1779779719832548,TO_MAX,511
1779779720833248,TO_MIN,102
1779779721833951,TO_MAX,511
1779779722834662,TO_MIN,102
1779779723835368,TO_MAX,511
1779779724836084,STILL_PHASE_START,307
1779779729836795,MOTION_PHASE_START,0
1779779729836827,TO_MAX,511
1779779730837525,TO_MIN,102
1779779731838239,TO_MAX,511
1779779732838953,TO_MIN,102
1779779733839665,TO_MAX,511
1779779734840376,STILL_PHASE_START,307
1779779739841095,MOTION_PHASE_START,0
1779779739841126,TO_MAX,511
1779779740841836,TO_MIN,102
1779779741842552,TO_MAX,511
1779779742843271,TO_MIN,102
1779779743843983,TO_MAX,511
1779779744844699,STILL_PHASE_START,307
1779779749845417,MOTION_PHASE_START,0
1779779749845451,TO_MAX,511
1779779750846152,TO_MIN,102
1779779751846867,TO_MAX,511
1779779752847584,TO_MIN,102
1779779753848300,TO_MAX,511
1779779754849014,STILL_PHASE_START,307
1779779759849725,MOTION_PHASE_START,0
1779779759849753,TO_MAX,511
1779779760850453,TO_MIN,102
1779779761851165,TO_MAX,511
1779779762851875,TO_MIN,102
1779779763852580,TO_MAX,511
1779779764853287,STILL_PHASE_START,307
1779779769853996,MOTION_PHASE_START,0
1779779769854031,TO_MAX,511
1779779770854735,TO_MIN,102
1779779771855467,TO_MAX,511
1779779772856193,TO_MIN,102
1779779773856910,TO_MAX,511
1779779774857628,STILL_PHASE_START,307
1779779779858355,MOTION_PHASE_START,0
1779779779858387,TO_MAX,511
1779779780859081,TO_MIN,102
1779779781859797,TO_MAX,511
1779779782860509,TO_MIN,102
1779779783861229,TO_MAX,511
1779779784861947,STILL_PHASE_START,307
1779779789862688,MOTION_PHASE_START,0
1779779789862715,TO_MAX,511
1779779790863410,TO_MIN,102
1779779791864131,TO_MAX,511
1779779792864842,TO_MIN,102
1779779793865550,TO_MAX,511
1779779794866255,STILL_PHASE_START,307
1779779799866976,MOTION_PHASE_START,0
1779779799867009,TO_MAX,511
1779779800867701,TO_MIN,102
1779779801868416,TO_MAX,511
1779779802869134,TO_MIN,102
1779779803869849,TO_MAX,511
1779779804870562,STILL_PHASE_START,307
1779779809871281,MOTION_PHASE_START,0
1779779809871314,TO_MAX,511
1779779810872018,TO_MIN,102
1779779811872752,TO_MAX,511
1779779812873465,TO_MIN,102
1779779813874180,TO_MAX,511
1779779814874895,STILL_PHASE_START,307
1779779819875600,MOTION_PHASE_START,0
1779779819875632,TO_MAX,511
1779779820876327,TO_MIN,102
1779779821877041,TO_MAX,511
1779779822877772,TO_MIN,102
1779779823878482,TO_MAX,511
1779779824879198,STILL_PHASE_START,307
1779779829879920,MOTION_PHASE_START,0
1779779829879954,TO_MAX,511
1779779830880650,TO_MIN,102
1779779831881371,TO_MAX,511
1779779832882085,TO_MIN,102
1779779833882793,TO_MAX,511
1779779834883501,STILL_PHASE_START,307
1779779839884208,MOTION_PHASE_START,0
1779779839884240,TO_MAX,511
1779779840884937,TO_MIN,102
1779779841885643,TO_MAX,511
1779779842886366,TO_MIN,102
1779779843887072,TO_MAX,511
1779779844887781,STILL_PHASE_START,307
1779779849888483,MOTION_PHASE_START,0
1779779849888518,TO_MAX,511
1779779850889215,TO_MIN,102
1779779851889920,TO_MAX,511
1779779852890643,TO_MIN,102
1779779853891361,TO_MAX,511
1779779854892073,STILL_PHASE_START,307
1779779859892791,MOTION_PHASE_START,0
1779779859892829,TO_MAX,511
1779779860893518,TO_MIN,102
1779779861894232,TO_MAX,511
1779779862894952,TO_MIN,102
1779779863895669,TO_MAX,511
1779779864896389,STILL_PHASE_START,307
1779779869897105,MOTION_PHASE_START,0
1779779869897138,TO_MAX,511
1779779870897829,TO_MIN,102
1779779871898543,TO_MAX,511
1779779872899249,TO_MIN,102
1779779873899950,TO_MAX,511
1779779874900658,STILL_PHASE_START,307
1779779879901830,MOTION_PHASE_START,0
1779779879901865,TO_MAX,511
1779779880902567,TO_MIN,102
1779779881903289,TO_MAX,511
1779779882904004,TO_MIN,102
1779779883904721,TO_MAX,511
1779779884905426,STILL_PHASE_START,307
1779779889906135,MOTION_PHASE_START,0
1779779889906166,TO_MAX,511
1779779890906858,TO_MIN,102
1779779891907581,TO_MAX,511
1779779892908299,TO_MIN,102
1779779893909017,TO_MAX,511
1779779894909744,STILL_PHASE_START,307
1779779899910462,MOTION_PHASE_START,0
1779779899910492,TO_MAX,511
1779779900911191,TO_MIN,102
1779779901911902,TO_MAX,511
1779779902912611,TO_MIN,102
1779779903913837,TO_MAX,511
1779779904914562,STILL_PHASE_START,307
1779779909915280,MOTION_PHASE_START,0
1779779909915319,TO_MAX,511
1779779910916018,TO_MIN,102
