Sensor: 208 Hz DRDY streaming.
Tree:   window=75  mlc_odr=104  decim=2  features=2  nodes=3
Class codes: still=0  motion=4

trans#   t_int_us     new_class  host_dt_us  
Warmup complete (75 MLC samples, 721.2 ms wall).
1        33027952568  4          312         
2        33033600779  0          666         
3        33037836644  4          306         
4        33044190987  0          304         
5        33047721304  4          306         
6        33054075527  0          304         
7        33058311939  4          304         
8        33063960440  0          307         
9        33068196739  4          306         
10       33073845252  0          304         
11       33078081973  4          304         
12       33083730057  0          305         
13       33087966308  4          304         
14       33093614746  0          304         
15       33097851225  4          304         
16       33104205648  0          309         
17       33107735952  4          306         
18       33114090056  0          307         
19       33118326395  4          304         
20       33123974448  0          306         
21       33128210800  4          323         
22       33133859149  0          305         
23       33138095488  4          308         
24       33143743707  0          312         
25       33147979870  4          305         
26       33153628294  0          321         
27       33157865598  4          305         
28       33164220722  0          306         
29       33167751272  4          312         
30       33174106350  0          304         
31       33178342876  4          304         
32       33183991625  0          305         
33       33188228155  4          304         
34       33193876564  0          308         
35       33198112864  4          314         
36       33203761282  0          312         
37       33207997637  4          308         
38       33213645827  0          305         
39       33217881927  4          304         
40       33224236540  0          305         
41       33227767187  4          304         
42       33234122128  0          305         
43       33238358961  4          306         
44       33244008190  0          310         
45       33248244750  4          319         
46       33253893271  0          304         
47       33258130263  4          323         
48       33263778916  0          304         
49       33268015221  4          307         
50       33273663451  0          305         
51       33277899896  4          336         
52       33284254532  0          306         
53       33287785004  4          306         
54       33294139300  0          304         
55       33298375632  4          304         
56       33304023815  0          308         
57       33308260537  4          305         
58       33313908530  0          304         
59       33318144802  4          308         
60       33323792903  0          304         
61       33328029536  4          305         
62       33333677758  0          307         
63       33337914030  4          304         
64       33344268506  0          305         
65       33347798837  4          304         
66       33354153224  0          310         
67       33358389580  4          305         
68       33364038011  0          304         
69       33368275024  4          305         
70       33373923296  0          322         
71       33378159965  4          305         
72       33383807928  0          308         
73       33388044058  4          304         
74       33393691973  0          308         
75       33397928177  4          307         
76       33404282904  0          304         
77       33407813285  4          304         
78       33414167908  0          305         
79       33418404758  4          311         
80       33424053256  0          304         
81       33428290007  4          320         
82       33433939240  0          306         
83       33438175527  4          305         
84       33443823594  0          305         
85       33448060015  4          311         
86       33453708492  0          305         
87       33457944876  4          306         
88       33464299076  0          304         
89       33467829096  4          306         
90       33474183450  0          306         
91       33478419733  4          306         
92       33484068244  0          305         
93       33488304983  4          307         
94       33493953764  0          306         
95       33498190248  4          307         
96       33503838754  0          320         
97       33508075132  4          305         
98       33513723130  0          305         
99       33517959086  4          305         
100      33524313352  0          305         
101      33527843282  4          305         
102      33534198123  0          306         
103      33538434544  4          304         
104      33544083347  0          305         
105      33548319576  4          304         
106      33553967714  0          308         
107      33558203559  4          305         
108      33563851538  0          305         
109      33568087888  4          305         
110      33573736056  0          306         
111      33577972815  4          304         
112      33584326645  0          305         
113      33587856926  4          305         
114      33594211217  0          304         
115      33598447601  4          308         
116      33604096356  0          308         
117      33608332815  4          307         
118      33613980997  0          307         
119      33618217240  4          311         
120      33623865740  0          304         
121      33628102309  4          306         
122      33633751266  0          304         
123      33637987310  4          305         
124      33644341906  0          304         
125      33647872183  4          309         
126      33654226114  0          307         
127      33658462514  4          304         
128      33664110733  0          305         
129      33668347095  4          305         
130      33673996667  0          307         
131      33678232924  4          307         
132      33683881366  0          304         
133      33688117656  4          304         
134      33693766231  0          306         
135      33698002900  4          305         
136      33704357217  0          304         
137      33708593662  4          304         
138      33714241956  0          305         
139      33718478354  4          305         
140      33719890505  0          306         
141      33720596566  4          307         
142      33724126810  0          305         
143      33728363897  4          314         
144      33734014193  0          304         
145      33738251297  4          304         
146      33743900286  0          304         
147      33748137258  4          305         
148      33753786272  0          304         
149      33758022626  4          308         
150      33764376963  0          308         
151      33768612980  4          307         
152      33774260863  0          306         
153      33778497149  4          307         
154      33784145159  0          306         
155      33788381570  4          310         
156      33794030531  0          306         
157      33798266646  4          305         
158      33803914459  0          305         
159      33808150571  4          308         
160      33814504374  0          304         
161      33818034293  4          322         
162      33824388070  0          321         
163      33828623792  4          305         
164      33834271997  0          311         
165      33838508268  4          305         
166      33844156820  0          320         
167      33848393049  4          304         
168      33854042532  0          305         
169      33858278853  4          307         
170      33863927290  0          305         
171      33868163743  4          321         
172      33874518654  0          305         
173      33878048718  4          304         
174      33884403042  0          307         
175      33888640072  4          304         
176      33894288497  0          306         
177      33898525183  4          315         
178      33904174188  0          306         
179      33908409536  4          305         
180      33914056331  0          305         
181      33918291482  4          304         
182      33923938685  0          305         
183      33928174072  4          305         
184      33934526825  0          304         
185      33938056739  4          306         
186      33944410338  0          305         
187      33948645906  4          311         
188      33954293410  0          305         
189      33958529029  4          306         
190      33964176067  0          305         
191      33968411104  4          304         
192      33974057876  0          305         
193      33978292995  4          305         
194      33983939926  0          324         
195      33988175069  4          305         
196      33994528302  0          307         
197      33998057728  4          315         
198      34004410722  0          304         
199      34008646214  4          306         
200      34014293392  0          304         
201      34018528250  4          333         
202      34024175087  0          304         
203      34028411102  4          304         
204      34034058327  0          306         
205      34038293430  4          304         
206      34043940205  0          306         
207      34048175336  4          304         
208      34054528405  0          304         
209      34058763372  4          306         
210      34064410227  0          305         
211      34068646578  4          305         
212      34070058538  0          304         
213      34070764416  4          306         
214      34074293891  0          304         
215      34078529664  4          304         
216      34082059009  0          305         
217      34082765068  4          306         
218      34084177278  0          306         
219      34088412803  4          304         
220      34094060062  0          305         
221      34098295121  4          304         
222      34103942478  0          304         
223      34108177656  4          304         
224      34114530670  0          320         
225      34118766034  4          305         
226      34124413482  0          304         
227      34128648818  4          305         
228      34134296252  0          306         
229      34138532574  4          320         
230      34144180807  0          305         
231      34148417154  4          305         
232      34154065980  0          305         
233      34158302348  4          305         
234      34164656523  0          310         
235      34168187604  4          305         
236      34174542225  0          304         
237      34178778548  4          304         
238      34184426969  0          306         
239      34188664110  4          306         
240      34194312765  0          307         
241      34198549184  4          305         
242      34204197561  0          305         
243      34208433968  4          306         
244      34214083057  0          305         
245      34218319690  4          306         
246      34223969052  0          305         
247      34228205445  4          304         
248      34234560317  0          306         
249      34238797014  4          304         
250      34244445716  0          303         
251      34248681381  4          304         
252      34254329590  0          306         
253      34258565440  4          307         
254      34264213537  0          305         
255      34268449559  4          304         
256      34274097820  0          305         
257      34278333897  4          305         
258      34284688080  0          304         
259      34288218213  4          305         
260      34294572033  0          305         
261      34298807792  4          308         
262      34304455566  0          304         
263      34308691678  4          304         
264      34314339984  0          305         
265      34318576453  4          304         
266      34324224625  0          306         
267      34328460658  4          304         
268      34334108655  0          307         
269      34338344918  4          305         
270      34344699147  0          305         
271      34348229636  4          311         
272      34354585170  0          305         
273      34358821356  4          310         
274      34364470371  0          306         
275      34368706845  4          304         
276      34374355566  0          305         
277      34378592204  4          307         
278      34384240705  0          305         
279      34388477347  4          306         
280      34394126141  0          304         
281      34398362789  4          306         
282      34404717977  0          304         
283      34408248646  4          308         
284      34414604246  0          305         
285      34418840475  4          306         
286      34424489192  0          305         
287      34428726425  4          304         
288      34434375089  0          305         
289      34438611646  4          305         
290      34444261104  0          306         
291      34448497291  4          305         
292      34454146144  0          304         
293      34458383087  4          308         
294      34464738297  0          304         
295      34468269444  4          305         
296      34474624037  0          304         
297      34478860528  4          307         
298      34484509843  0          306         
299      34488746378  4          305         
300      34494395155  0          305         
301      34498631816  4          307         
302      34504280542  0          306         
303      34508517689  4          305         
304      34514166611  0          306         
305      34518404299  4          309         
306      34524759912  0          315         
307      34528996394  4          304         
308      34534645474  0          309         
309      34538882045  4          305         
310      34544531248  0          306         
311      34548768255  4          311         
312      34554417377  0          304         
313      34558654059  4          304         
314      34564302987  0          304         
315      34568539874  4          310         
316      34574188707  0          306         
317      34578425403  4          307         
318      34584780504  0          306         
319      34589017182  4          306         
320      34594665916  0          303         
321      34598902532  4          306         
322      34604551415  0          305         
323      34608787942  4          320         
324      34614437049  0          308         
325      34618673734  4          304         
326      34624323099  0          306         
327      34628559737  4          304         
328      34634208912  0          305         
329      34638445702  4          304         
330      34644800727  0          305         
331      34649037721  4          304         
332      34654687410  0          304         
333      34658925224  4          310         
334      34664574769  0          305         
335      34668811726  4          306         
336      34674460840  0          305         
337      34678698316  4          322         
338      34684347724  0          308         
339      34688584371  4          305         
340      34694233800  0          304         
341      34698470869  4          317         
342      34704826284  0          305         
343      34708357188  4          305         
344      34714712441  0          306         
345      34718949334  4          329         
346      34720361491  0          305         
347      34721067519  4          306         
348      34724597774  0          304         
349      34728834797  4          311         
350      34734483442  0          304         
351      34738720529  4          306         
352      34744369068  0          306         
353      34748605802  4          325         
354      34754254655  0          310         
355      34758491132  4          304         
356      34764845323  0          305         
357      34769081670  4          305         
358      34774729863  0          304         
359      34778966308  4          318         
360      34784615239  0          304         
361      34788851573  4          305         
362      34794499673  0          307         
363      34798735705  4          310         
364      34804384424  0          311         
365      34808621056  4          305         
366      34814270208  0          307         
367      34818506705  4          304         
368      34824861138  0          305         
