# servo_sweep log
# mode=burst duration=1800 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779808707819301,START,307
1779808708020055,MOTION_PHASE_START,0
1779808708020078,TO_MAX,511
1779808709020768,TO_MIN,102
1779808710021477,TO_MAX,511
1779808711022182,TO_MIN,102
1779808712022897,TO_MAX,511
1779808713023635,STILL_PHASE_START,307
1779808718024360,MOTION_PHASE_START,0
1779808718024391,TO_MAX,511
1779808719025082,TO_MIN,102
1779808720025805,TO_MAX,511
1779808721026527,TO_MIN,102
1779808722027244,TO_MAX,511
1779808723027962,STILL_PHASE_START,307
1779808728028683,MOTION_PHASE_START,0
1779808728028716,TO_MAX,511
1779808729029401,TO_MIN,102
1779808730030096,TO_MAX,511
1779808731030790,TO_MIN,102
1779808732031498,TO_MAX,511
1779808733032207,STILL_PHASE_START,307
1779808738032923,MOTION_PHASE_START,0
1779808738032951,TO_MAX,511
1779808739033640,TO_MIN,102
1779808740034350,TO_MAX,511
1779808741035069,TO_MIN,102
1779808742035770,TO_MAX,511
1779808743036482,STILL_PHASE_START,307
1779808748037192,MOTION_PHASE_START,0
1779808748037222,TO_MAX,511
1779808749037919,TO_MIN,102
1779808750038632,TO_MAX,511
1779808751039350,TO_MIN,102
1779808752040072,TO_MAX,511
1779808753040779,STILL_PHASE_START,307
1779808758041496,MOTION_PHASE_START,0
1779808758041537,TO_MAX,511
1779808759042227,TO_MIN,102
1779808760042943,TO_MAX,511
1779808761043671,TO_MIN,102
1779808762044383,TO_MAX,511
1779808763045095,STILL_PHASE_START,307
1779808768045807,MOTION_PHASE_START,0
1779808768045861,TO_MAX,511
1779808769046558,TO_MIN,102
1779808770047270,TO_MAX,511
1779808771047974,TO_MIN,102
1779808772048687,TO_MAX,511
1779808773049390,STILL_PHASE_START,307
1779808778050099,MOTION_PHASE_START,0
1779808778050131,TO_MAX,511
1779808779050820,TO_MIN,102
1779808780051523,TO_MAX,511
1779808781052222,TO_MIN,102
1779808782052927,TO_MAX,511
1779808783053640,STILL_PHASE_START,307
1779808788054354,MOTION_PHASE_START,0
1779808788054391,TO_MAX,511
1779808789055086,TO_MIN,102
1779808790055801,TO_MAX,511
1779808791056508,TO_MIN,102
1779808792057227,TO_MAX,511
1779808793057936,STILL_PHASE_START,307
1779808798058646,MOTION_PHASE_START,0
1779808798058681,TO_MAX,511
1779808799059377,TO_MIN,102
1779808800060092,TO_MAX,511
1779808801060814,TO_MIN,102
1779808802061528,TO_MAX,511
1779808803062236,STILL_PHASE_START,307
1779808808062955,MOTION_PHASE_START,0
1779808808062985,TO_MAX,511
1779808809063671,TO_MIN,102
1779808810064376,TO_MAX,511
1779808811065081,TO_MIN,102
1779808812065787,TO_MAX,511
1779808813066504,STILL_PHASE_START,307
1779808818067211,MOTION_PHASE_START,0
1779808818067243,TO_MAX,511
1779808819067929,TO_MIN,102
1779808820068634,TO_MAX,511
1779808821069338,TO_MIN,102
1779808822070041,TO_MAX,511
1779808823070983,STILL_PHASE_START,307
1779808828071691,MOTION_PHASE_START,0
1779808828071723,TO_MAX,511
1779808829072411,TO_MIN,102
1779808830073123,TO_MAX,511
1779808831073835,TO_MIN,102
1779808832074541,TO_MAX,511
1779808833075245,STILL_PHASE_START,307
1779808838075954,MOTION_PHASE_START,0
1779808838075995,TO_MAX,511
1779808839076684,TO_MIN,102
1779808840077397,TO_MAX,511
1779808841078111,TO_MIN,102
1779808842078817,TO_MAX,511
1779808843079525,STILL_PHASE_START,307
1779808848080238,MOTION_PHASE_START,0
1779808848080269,TO_MAX,511
1779808849080957,TO_MIN,102
1779808850081657,TO_MAX,511
1779808851082361,TO_MIN,102
1779808852083074,TO_MAX,511
1779808853083781,STILL_PHASE_START,307
1779808858084488,MOTION_PHASE_START,0
1779808858084521,TO_MAX,511
1779808859085207,TO_MIN,102
1779808860085920,TO_MAX,511
1779808861086642,TO_MIN,102
1779808862087340,TO_MAX,511
1779808863088042,STILL_PHASE_START,307
1779808868088747,MOTION_PHASE_START,0
1779808868088774,TO_MAX,511
1779808869089460,TO_MIN,102
1779808870090161,TO_MAX,511
1779808871090865,TO_MIN,102
1779808872091576,TO_MAX,511
1779808873092282,STILL_PHASE_START,307
1779808878092989,MOTION_PHASE_START,0
1779808878093019,TO_MAX,511
1779808879093699,TO_MIN,102
1779808880094436,TO_MAX,511
1779808881095152,TO_MIN,102
1779808882095858,TO_MAX,511
1779808883096570,STILL_PHASE_START,307
1779808888097286,MOTION_PHASE_START,0
1779808888097322,TO_MAX,511
1779808889098011,TO_MIN,102
1779808890098725,TO_MAX,511
1779808891099443,TO_MIN,102
1779808892100157,TO_MAX,511
1779808893100879,STILL_PHASE_START,307
1779808898101585,MOTION_PHASE_START,0
1779808898101623,TO_MAX,511
1779808899102315,TO_MIN,102
1779808900103027,TO_MAX,511
1779808901103735,TO_MIN,102
1779808902104443,TO_MAX,511
1779808903105154,STILL_PHASE_START,307
1779808908105834,MOTION_PHASE_START,0
1779808908105886,TO_MAX,511
1779808909106584,TO_MIN,102
1779808910107297,TO_MAX,511
1779808911108008,TO_MIN,102
1779808912108717,TO_MAX,511
1779808913109422,STILL_PHASE_START,307
1779808918110133,MOTION_PHASE_START,0
1779808918110171,TO_MAX,511
1779808919110865,TO_MIN,102
1779808920111577,TO_MAX,511
