# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790049689800508,START,307
1790049690001278,MOTION_PHASE_START,0
1790049690001346,TO_MAX,511
1790049691002051,TO_MIN,102
1790049692002789,TO_MAX,511
1790049693003510,TO_MIN,102
1790049694004243,TO_MAX,511
1790049695004984,STILL_PHASE_START,307
1790049700005744,MOTION_PHASE_START,0
1790049700005783,TO_MAX,511
1790049701006505,TO_MIN,102
1790049702007235,TO_MAX,511
1790049703007954,TO_MIN,102
1790049704008683,TO_MAX,511
1790049705009411,STILL_PHASE_START,307
1790049710010137,MOTION_PHASE_START,0
1790049710010175,TO_MAX,511
1790049711010872,TO_MIN,102
1790049712011581,TO_MAX,511
1790049713012299,TO_MIN,102
1790049714013012,TO_MAX,511
1790049715013724,STILL_PHASE_START,307
1790049720014430,MOTION_PHASE_START,0
1790049720014475,TO_MAX,511
1790049721015172,TO_MIN,102
1790049722015901,TO_MAX,511
1790049723016644,TO_MIN,102
1790049724017374,TO_MAX,511
1790049725018092,STILL_PHASE_START,307
1790049730018830,MOTION_PHASE_START,0
1790049730018872,TO_MAX,511
1790049731019566,TO_MIN,102
1790049732020283,TO_MAX,511
1790049733021014,TO_MIN,102
1790049734021737,TO_MAX,511
1790049735022457,STILL_PHASE_START,307
1790049740023177,MOTION_PHASE_START,0
1790049740023211,TO_MAX,511
1790049741023905,TO_MIN,102
1790049742024623,TO_MAX,511
1790049743025328,TO_MIN,102
1790049744026038,TO_MAX,511
1790049745027272,STILL_PHASE_START,307
1790049750027997,MOTION_PHASE_START,0
1790049750028044,TO_MAX,511
1790049751028753,TO_MIN,102
1790049752029484,TO_MAX,511
1790049753030218,TO_MIN,102
1790049754030951,TO_MAX,511
1790049755031690,STILL_PHASE_START,307
1790049760032418,MOTION_PHASE_START,0
1790049760032471,TO_MAX,511
1790049761033168,TO_MIN,102
1790049762033889,TO_MAX,511
1790049763034612,TO_MIN,102
1790049764035338,TO_MAX,511
1790049765036058,STILL_PHASE_START,307
1790049770036778,MOTION_PHASE_START,0
1790049770036827,TO_MAX,511
1790049771037524,TO_MIN,102
1790049772038233,TO_MAX,511
1790049773038959,TO_MIN,102
1790049774039696,TO_MAX,511
1790049775040431,STILL_PHASE_START,307
1790049780041161,MOTION_PHASE_START,0
1790049780041210,TO_MAX,511
1790049781041913,TO_MIN,102
1790049782042635,TO_MAX,511
1790049783043355,TO_MIN,102
1790049784044080,TO_MAX,511
1790049785044801,STILL_PHASE_START,307
1790049790045513,MOTION_PHASE_START,0
1790049790045561,TO_MAX,511
1790049791046268,TO_MIN,102
1790049792047001,TO_MAX,511
1790049793047734,TO_MIN,102
1790049794048453,TO_MAX,511
1790049795049175,STILL_PHASE_START,307
1790049800049900,MOTION_PHASE_START,0
1790049800049947,TO_MAX,511
1790049801050646,TO_MIN,102
1790049802051371,TO_MAX,511
1790049803052095,TO_MIN,102
1790049804052817,TO_MAX,511
1790049805053541,STILL_PHASE_START,307
1790049810054278,MOTION_PHASE_START,0
1790049810054322,TO_MAX,511
1790049811055018,TO_MIN,102
1790049812055743,TO_MAX,511
1790049813056462,TO_MIN,102
1790049814057185,TO_MAX,511
1790049815057908,STILL_PHASE_START,307
1790049820058630,MOTION_PHASE_START,0
1790049820058665,TO_MAX,511
1790049821059366,TO_MIN,102
1790049822060094,TO_MAX,511
1790049823060819,TO_MIN,102
1790049824061543,TO_MAX,511
1790049825062264,STILL_PHASE_START,307
1790049830062990,MOTION_PHASE_START,0
1790049830063037,TO_MAX,511
1790049831063741,TO_MIN,102
1790049832064475,TO_MAX,511
1790049833065201,TO_MIN,102
1790049834065933,TO_MAX,511
1790049835066667,STILL_PHASE_START,307
