# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790050534453244,START,307
1790050534654109,MOTION_PHASE_START,0
1790050534654145,TO_MAX,511
1790050535654832,TO_MIN,102
1790050536655552,TO_MAX,511
1790050537656281,TO_MIN,102
1790050538657009,TO_MAX,511
1790050539657758,STILL_PHASE_START,307
1790050544658495,MOTION_PHASE_START,0
1790050544658526,TO_MAX,511
1790050545659231,TO_MIN,102
1790050546659953,TO_MAX,511
1790050547660663,TO_MIN,102
1790050548661384,TO_MAX,511
1790050549662096,STILL_PHASE_START,307
1790050554662808,MOTION_PHASE_START,0
1790050554662838,TO_MAX,511
1790050555663529,TO_MIN,102
1790050556664239,TO_MAX,511
1790050557664957,TO_MIN,102
1790050558665685,TO_MAX,511
1790050559666406,STILL_PHASE_START,307
1790050564667128,MOTION_PHASE_START,0
1790050564667162,TO_MAX,511
1790050565667861,TO_MIN,102
1790050566668839,TO_MAX,511
1790050567669565,TO_MIN,102
1790050568670288,TO_MAX,511
1790050569671013,STILL_PHASE_START,307
1790050574671744,MOTION_PHASE_START,0
1790050574671778,TO_MAX,511
1790050575672474,TO_MIN,102
1790050576673190,TO_MAX,511
1790050577673909,TO_MIN,102
1790050578674626,TO_MAX,511
1790050579675352,STILL_PHASE_START,307
1790050584676081,MOTION_PHASE_START,0
1790050584676119,TO_MAX,511
1790050585676816,TO_MIN,102
1790050586677537,TO_MAX,511
1790050587678256,TO_MIN,102
1790050588678973,TO_MAX,511
1790050589679688,STILL_PHASE_START,307
1790050594680402,MOTION_PHASE_START,0
1790050594680452,TO_MAX,511
1790050595681154,TO_MIN,102
1790050596681886,TO_MAX,511
1790050597682610,TO_MIN,102
1790050598683340,TO_MAX,511
1790050599684069,STILL_PHASE_START,307
1790050604684811,MOTION_PHASE_START,0
1790050604684850,TO_MAX,511
1790050605685553,TO_MIN,102
1790050606686297,TO_MAX,511
1790050607687057,TO_MIN,102
1790050608687787,TO_MAX,511
1790050609688516,STILL_PHASE_START,307
1790050614689264,MOTION_PHASE_START,0
1790050614689304,TO_MAX,511
1790050615690002,TO_MIN,102
1790050616690715,TO_MAX,511
1790050617691446,TO_MIN,102
1790050618692161,TO_MAX,511
1790050619692876,STILL_PHASE_START,307
1790050624693588,MOTION_PHASE_START,0
1790050624693637,TO_MAX,511
1790050625694346,TO_MIN,102
1790050626695068,TO_MAX,511
1790050627695793,TO_MIN,102
1790050628696516,TO_MAX,511
1790050629697255,STILL_PHASE_START,307
1790050634697980,MOTION_PHASE_START,0
1790050634698020,TO_MAX,511
1790050635698718,TO_MIN,102
1790050636699443,TO_MAX,511
1790050637700172,TO_MIN,102
1790050638700900,TO_MAX,511
1790050639701616,STILL_PHASE_START,307
1790050644702330,MOTION_PHASE_START,0
1790050644702365,TO_MAX,511
1790050645703065,TO_MIN,102
1790050646703787,TO_MAX,511
1790050647704501,TO_MIN,102
1790050648705217,TO_MAX,511
1790050649705919,STILL_PHASE_START,307
1790050654706659,MOTION_PHASE_START,0
1790050654706697,TO_MAX,511
1790050655707392,TO_MIN,102
1790050656708111,TO_MAX,511
1790050657708825,TO_MIN,102
1790050658709540,TO_MAX,511
1790050659710258,STILL_PHASE_START,307
1790050664710978,MOTION_PHASE_START,0
1790050664711018,TO_MAX,511
1790050665711714,TO_MIN,102
1790050666712437,TO_MAX,511
1790050667713159,TO_MIN,102
1790050668713883,TO_MAX,511
1790050669714769,STILL_PHASE_START,307
1790050674715486,MOTION_PHASE_START,0
1790050674715518,TO_MAX,511
1790050675716213,TO_MIN,102
1790050676716923,TO_MAX,511
1790050677717627,TO_MIN,102
1790050678718341,TO_MAX,511
1790050679719073,STILL_PHASE_START,307
1790050684719799,MOTION_PHASE_START,0
1790050684719834,TO_MAX,511
1790050685720525,TO_MIN,102
1790050686721249,TO_MAX,511
1790050687721955,TO_MIN,102
1790050688722668,TO_MAX,511
1790050689723396,STILL_PHASE_START,307
1790050694724121,MOTION_PHASE_START,0
1790050694724187,TO_MAX,511
1790050695724881,TO_MIN,102
1790050696725588,TO_MAX,511
1790050697726384,TO_MIN,102
1790050698727096,TO_MAX,511
1790050699727803,STILL_PHASE_START,307
1790050704728516,MOTION_PHASE_START,0
1790050704728556,TO_MAX,511
1790050705729251,TO_MIN,102
1790050706730000,TO_MAX,511
1790050707730731,TO_MIN,102
1790050708731449,TO_MAX,511
1790050709732160,STILL_PHASE_START,307
1790050714732868,MOTION_PHASE_START,0
1790050714732901,TO_MAX,511
1790050715733596,TO_MIN,102
1790050716734320,TO_MAX,511
1790050717735048,TO_MIN,102
1790050718735777,TO_MAX,511
1790050719736503,STILL_PHASE_START,307
1790050724737240,MOTION_PHASE_START,0
1790050724737284,TO_MAX,511
1790050725737980,TO_MIN,102
1790050726738738,TO_MAX,511
1790050727739473,TO_MIN,102
1790050728740195,TO_MAX,511
1790050729740925,STILL_PHASE_START,307
1790050734741659,MOTION_PHASE_START,0
1790050734741696,TO_MAX,511
1790050735742401,TO_MIN,102
