# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790050039143746,START,307
1790050039344477,MOTION_PHASE_START,0
1790050039344518,TO_MAX,511
1790050040345245,TO_MIN,102
1790050041345950,TO_MAX,511
1790050042346653,TO_MIN,102
1790050043347360,TO_MAX,511
1790050044348089,STILL_PHASE_START,307
1790050049348798,MOTION_PHASE_START,0
1790050049348840,TO_MAX,511
1790050050349541,TO_MIN,102
1790050051350260,TO_MAX,511
1790050052350982,TO_MIN,102
1790050053351698,TO_MAX,511
1790050054352407,STILL_PHASE_START,307
1790050059353118,MOTION_PHASE_START,0
1790050059353160,TO_MAX,511
1790050060353862,TO_MIN,102
1790050061354592,TO_MAX,511
1790050062355322,TO_MIN,102
1790050063356057,TO_MAX,511
1790050064356788,STILL_PHASE_START,307
1790050069357523,MOTION_PHASE_START,0
1790050069357569,TO_MAX,511
1790050070358274,TO_MIN,102
1790050071359002,TO_MAX,511
1790050072359723,TO_MIN,102
1790050073360439,TO_MAX,511
1790050074361163,STILL_PHASE_START,307
1790050079362442,MOTION_PHASE_START,0
1790050079362481,TO_MAX,511
1790050080363183,TO_MIN,102
1790050081363919,TO_MAX,511
1790050082364647,TO_MIN,102
1790050083365420,TO_MAX,511
1790050084366132,STILL_PHASE_START,307
1790050089366846,MOTION_PHASE_START,0
1790050089366891,TO_MAX,511
1790050090367595,TO_MIN,102
1790050091368331,TO_MAX,511
1790050092369063,TO_MIN,102
1790050093369793,TO_MAX,511
1790050094370533,STILL_PHASE_START,307
1790050099371257,MOTION_PHASE_START,0
1790050099371301,TO_MAX,511
1790050100372002,TO_MIN,102
1790050101372729,TO_MAX,511
1790050102373440,TO_MIN,102
1790050103374625,TO_MAX,511
1790050104375354,STILL_PHASE_START,307
1790050109376079,MOTION_PHASE_START,0
1790050109376116,TO_MAX,511
1790050110376812,TO_MIN,102
1790050111377536,TO_MAX,511
1790050112378259,TO_MIN,102
1790050113378972,TO_MAX,511
1790050114379688,STILL_PHASE_START,307
1790050119404241,MOTION_PHASE_START,0
1790050119404301,TO_MAX,511
1790050120404998,TO_MIN,102
1790050121405729,TO_MAX,511
1790050122406450,TO_MIN,102
1790050123407181,TO_MAX,511
1790050124407910,STILL_PHASE_START,307
1790050129408667,MOTION_PHASE_START,0
1790050129408732,TO_MAX,511
1790050130409433,TO_MIN,102
1790050131410153,TO_MAX,511
1790050132410880,TO_MIN,102
1790050133411606,TO_MAX,511
1790050134412331,STILL_PHASE_START,307
1790050139413059,MOTION_PHASE_START,0
1790050139413097,TO_MAX,511
1790050140413800,TO_MIN,102
1790050141414523,TO_MAX,511
1790050142415237,TO_MIN,102
1790050143415954,TO_MAX,511
1790050144416668,STILL_PHASE_START,307
1790050149417393,MOTION_PHASE_START,0
1790050149417431,TO_MAX,511
1790050150418137,TO_MIN,102
1790050151418862,TO_MAX,511
1790050152419589,TO_MIN,102
1790050153420322,TO_MAX,511
1790050154421043,STILL_PHASE_START,307
1790050159421774,MOTION_PHASE_START,0
1790050159421816,TO_MAX,511
1790050160422510,TO_MIN,102
1790050161423229,TO_MAX,511
1790050162423941,TO_MIN,102
1790050163424680,TO_MAX,511
1790050164425409,STILL_PHASE_START,307
1790050169426138,MOTION_PHASE_START,0
1790050169426170,TO_MAX,511
1790050170426859,TO_MIN,102
1790050171427572,TO_MAX,511
1790050172428275,TO_MIN,102
1790050173428997,TO_MAX,511
1790050174429712,STILL_PHASE_START,307
1790050179430430,MOTION_PHASE_START,0
1790050179430475,TO_MAX,511
1790050180431179,TO_MIN,102
1790050181431904,TO_MAX,511
1790050182432643,TO_MIN,102
1790050183433369,TO_MAX,511
1790050184434091,STILL_PHASE_START,307
1790050189434813,MOTION_PHASE_START,0
1790050189434853,TO_MAX,511
1790050190435552,TO_MIN,102
1790050191436272,TO_MAX,511
1790050192436990,TO_MIN,102
1790050193437716,TO_MAX,511
1790050194438436,STILL_PHASE_START,307
1790050199439149,MOTION_PHASE_START,0
1790050199439195,TO_MAX,511
1790050200439882,TO_MIN,102
1790050201440615,TO_MAX,511
1790050202441345,TO_MIN,102
1790050203442071,TO_MAX,511
1790050204442802,STILL_PHASE_START,307
1790050209443532,MOTION_PHASE_START,0
1790050209443572,TO_MAX,511
1790050210444270,TO_MIN,102
1790050211445018,TO_MAX,511
1790050212445753,TO_MIN,102
1790050213446480,TO_MAX,511
1790050214447201,STILL_PHASE_START,307
1790050219447927,MOTION_PHASE_START,0
1790050219447971,TO_MAX,511
1790050220448673,TO_MIN,102
1790050221449396,TO_MAX,511
1790050222450105,TO_MIN,102
1790050223450811,TO_MAX,511
1790050224451515,STILL_PHASE_START,307
1790050229452221,MOTION_PHASE_START,0
1790050229452262,TO_MAX,511
1790050230452960,TO_MIN,102
1790050231453691,TO_MAX,511
1790050232454418,TO_MIN,102
1790050233455145,TO_MAX,511
1790050234455878,STILL_PHASE_START,307
1790050239456612,MOTION_PHASE_START,0
1790050239456651,TO_MAX,511
1790050240457348,TO_MIN,102
1790050241458077,TO_MAX,511
1790050242458805,TO_MIN,102
1790050243459531,TO_MAX,511
1790050244460260,STILL_PHASE_START,307
1790050249461389,MOTION_PHASE_START,0
1790050249461422,TO_MAX,511
1790050250462121,TO_MIN,102
1790050251462833,TO_MAX,511
1790050252463547,TO_MIN,102
1790050253464255,TO_MAX,511
1790050254464964,STILL_PHASE_START,307
1790050259465672,MOTION_PHASE_START,0
1790050259465711,TO_MAX,511
1790050260466410,TO_MIN,102
1790050261467135,TO_MAX,511
1790050262467862,TO_MIN,102
1790050263468585,TO_MAX,511
1790050264469305,STILL_PHASE_START,307
1790050269470022,MOTION_PHASE_START,0
1790050269470060,TO_MAX,511
1790050270470754,TO_MIN,102
1790050271471473,TO_MAX,511
1790050272472193,TO_MIN,102
1790050273472917,TO_MAX,511
1790050274473636,STILL_PHASE_START,307
1790050279474354,MOTION_PHASE_START,0
1790050279474391,TO_MAX,511
1790050280475091,TO_MIN,102
1790050281475820,TO_MAX,511
1790050282476552,TO_MIN,102
1790050283477266,TO_MAX,511
1790050284477973,STILL_PHASE_START,307
1790050289478700,MOTION_PHASE_START,0
1790050289478734,TO_MAX,511
1790050290479431,TO_MIN,102
1790050291480137,TO_MAX,511
1790050292480852,TO_MIN,102
1790050293481565,TO_MAX,511
1790050294482274,STILL_PHASE_START,307
1790050299482980,MOTION_PHASE_START,0
1790050299483020,TO_MAX,511
1790050300483720,TO_MIN,102
1790050301484439,TO_MAX,511
1790050302485159,TO_MIN,102
1790050303485877,TO_MAX,511
1790050304486604,STILL_PHASE_START,307
1790050309487327,MOTION_PHASE_START,0
1790050309487361,TO_MAX,511
1790050310488059,TO_MIN,102
1790050311488771,TO_MAX,511
1790050312489502,TO_MIN,102
1790050313490229,TO_MAX,511
1790050314490956,STILL_PHASE_START,307
1790050319491689,MOTION_PHASE_START,0
1790050319491719,TO_MAX,511
1790050320492390,TO_MIN,102
1790050321493297,TO_MAX,511
1790050322494038,TO_MIN,102
1790050323494757,TO_MAX,511
1790050324495472,STILL_PHASE_START,307
1790050329496186,MOTION_PHASE_START,0
1790050329496225,TO_MAX,511
1790050330496922,TO_MIN,102
1790050331497638,TO_MAX,511
1790050332498359,TO_MIN,102
1790050333499076,TO_MAX,511
1790050334499786,STILL_PHASE_START,307
1790050339500506,END,307
