trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.92546346,3.17480522,3.17527758,472.35999999983846,True,
1,motion_to_still,7.94042878,9.5301343,9.5306065,472.1999999990345,True,
2,still_to_motion,12.93685568,13.06076556,13.06122402,458.4599999990502,True,
3,motion_to_still,17.93318766,19.41595836,19.41644286,484.4999999988886,True,
4,still_to_motion,22.94843628,23.65293984,23.65341906,479.22000000255593,True,
5,motion_to_still,27.9449726,29.30218738,29.30266702,479.64000000177975,True,
6,still_to_motion,32.94147088,33.53886798,33.53934724,479.2599999987601,True,
7,motion_to_still,37.956606,39.18898928,39.1894745,485.22000000161825,True,
8,still_to_motion,42.95300782,43.42610976,43.42659496,485.19999999996344,True,
9,motion_to_still,47.94923794,49.78063784,49.78112326,485.42000000395547,True,
10,still_to_motion,52.94537844,53.31165036,53.3121318,481.44000000149845,True,
11,motion_to_still,57.9602205,59.66719968,59.667685,485.3199999956814,True,
12,still_to_motion,62.95637766,63.19803,63.19849128,461.27999999612257,True,
13,motion_to_still,67.95251618,,69.55400534,,False,multiple_d1_in_window
14,still_to_motion,72.96726162,73.08408988,73.08454592,456.0400000030995,True,
15,motion_to_still,77.98175176,79.43933212,79.4398121,479.97999999438434,True,
16,still_to_motion,82.9962733,83.676496,83.6769895,493.5000000045875,True,
17,motion_to_still,87.99237954,90.0318991,90.03239006,490.9599999933789,True,
18,still_to_motion,92.98858148,93.56273812,93.5632263,488.17999999073436,True,
19,motion_to_still,98.00342738,99.91749582,99.9179764,480.580000001396,True,
20,still_to_motion,102.9997313,103.44830348,103.44879074,487.25999999987835,True,
21,motion_to_still,107.9958742,109.09752396,109.09801636,492.3999999988382,True,
22,still_to_motion,113.01051454,113.33415188,113.33462788,476.0000000061382,True,
23,motion_to_still,118.0061836,119.68915178,119.68964284,491.06000000165295,True,
24,still_to_motion,123.00176234,123.21925834,123.21973192,473.58000000485845,True,
25,motion_to_still,128.01607276,129.5741704,129.57465528,484.8799999876974,True,
26,still_to_motion,133.0119703,133.10450436,133.10499846,494.0999999973883,True,
27,motion_to_still,138.00762932,139.45951308,139.46000284,489.75999999356645,True,
28,still_to_motion,143.0218866,143.69605332,143.69654808,494.7600000093644,True,
29,motion_to_still,148.01737978,149.3447537,149.34523662,482.9199999960565,True,
30,still_to_motion,153.03170798,153.5817245,153.58220576,481.2599999866052,True,
31,motion_to_still,158.02720486,159.2302658,159.23075276,486.9599999892671,True,
32,still_to_motion,163.02264728,163.46643742,163.46693174,494.3200000013803,True,
33,motion_to_still,168.0364331,169.82139376,169.8218816,487.8400000052352,True,
34,still_to_motion,173.03188524,173.3520064,173.35248544,479.0400000160844,True,
35,motion_to_still,178.04612466,179.70677544,179.70725536,479.9200000036308,True,
36,still_to_motion,183.04196796,183.23691758,183.23740398,486.3999999997759,True,
37,motion_to_still,188.03736874,189.59109874,189.59160072,501.9799999956831,True,
38,still_to_motion,193.05128166,193.1213811,193.1218529,471.7999999854783,True,
39,motion_to_still,198.04640468,199.4754941,199.47597482,480.72000001297965,True,
40,still_to_motion,203.04203536,203.71178328,203.71226902,485.74000001622153,True,
41,motion_to_still,208.05582194,209.3602552,209.36073644,481.2399999991612,True,
42,still_to_motion,213.05123474,213.5968758,213.59735596,480.15999999506676,True,
43,motion_to_still,218.06511128,219.95138138,219.95186318,481.8000000170741,True,
44,still_to_motion,223.06052552,223.48163674,223.48212528,488.5399999920992,True,
45,motion_to_still,228.07451158,229.8364951,229.8369775,482.3999999814532,True,
46,still_to_motion,233.0702182,233.36680994,233.36732504,515.1000000012118,True,
47,motion_to_still,238.06576718,239.72120418,239.72168618,482.0000000052005,True,
48,still_to_motion,243.0799951,243.2515498,243.2520417,491.90000001431144,True,
49,motion_to_still,248.07523838,249.60582474,249.60630284,478.1000000093627,True,
50,still_to_motion,253.0710865,253.13626066,253.13675224,491.5799999878345,True,
51,motion_to_still,258.0851241,259.49073438,259.49121188,477.4999999881402,True,
52,still_to_motion,263.08073218,263.7267118,263.7271873,475.5000000500331,True,
53,motion_to_still,268.07654374,269.37499514,269.37547622,481.07999998592277,True,
54,still_to_motion,273.09090394,273.61153362,273.61201254,478.92000003457724,True,
55,motion_to_still,278.08662694,279.2603923,279.26086512,472.8200000272409,True,
56,still_to_motion,283.10076588,283.49735402,283.49783484,480.82000000704284,True,
57,motion_to_still,288.09624268,289.8521544,289.8526357,481.2999999899148,True,
58,still_to_motion,293.09187484,293.38258484,293.38309672,511.88000003321577,True,
59,motion_to_still,298.10601126,299.73671832,299.73719878,480.460000005678,True,
