# servo_sweep log
# mode=burst duration=60 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790022815079483,START,307
1790022815280217,MOTION_PHASE_START,0
1790022815280251,TO_MAX,511
1790022816280975,TO_MIN,102
1790022817281723,TO_MAX,511
1790022818282444,TO_MIN,102
1790022819283169,TO_MAX,511
1790022820283917,STILL_PHASE_START,307
1790022825284637,MOTION_PHASE_START,0
1790022825284673,TO_MAX,511
1790022826285367,TO_MIN,102
1790022827286079,TO_MAX,511
1790022828286791,TO_MIN,102
1790022829287502,TO_MAX,511
1790022830288201,STILL_PHASE_START,307
1790022835289096,MOTION_PHASE_START,0
1790022835289129,TO_MAX,511
1790022836289830,TO_MIN,102
1790022837290551,TO_MAX,511
1790022838291271,TO_MIN,102
1790022839292001,TO_MAX,511
1790022840292715,STILL_PHASE_START,307
1790022845293443,MOTION_PHASE_START,0
1790022845293478,TO_MAX,511
1790022846294170,TO_MIN,102
1790022847294890,TO_MAX,511
1790022848295612,TO_MIN,102
1790022849296329,TO_MAX,511
1790022850297041,STILL_PHASE_START,307
1790022855297767,MOTION_PHASE_START,0
1790022855297858,TO_MAX,511
1790022856298552,TO_MIN,102
1790022857299274,TO_MAX,511
1790022858300005,TO_MIN,102
1790022859300739,TO_MAX,511
1790022860301463,STILL_PHASE_START,307
1790022865302181,MOTION_PHASE_START,0
1790022865302222,TO_MAX,511
1790022866302930,TO_MIN,102
1790022867303652,TO_MAX,511
1790022868304383,TO_MIN,102
1790022869305111,TO_MAX,511
1790022870305837,STILL_PHASE_START,307
1790022875306570,END,307
