# servo_sweep log
# mode=burst duration=60 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790048938376274,START,307
1790048938577021,MOTION_PHASE_START,0
1790048938577045,TO_MAX,511
1790048939577736,TO_MIN,102
1790048940578448,TO_MAX,511
1790048941579188,TO_MIN,102
1790048942579914,TO_MAX,511
1790048943580666,STILL_PHASE_START,307
1790048948581409,MOTION_PHASE_START,0
1790048948581453,TO_MAX,511
1790048949582155,TO_MIN,102
1790048950582895,TO_MAX,511
1790048951583620,TO_MIN,102
1790048952584337,TO_MAX,511
1790048953585063,STILL_PHASE_START,307
1790048958585774,MOTION_PHASE_START,0
1790048958585806,TO_MAX,511
1790048959586497,TO_MIN,102
1790048960587224,TO_MAX,511
1790048961587946,TO_MIN,102
1790048962588655,TO_MAX,511
1790048963589361,STILL_PHASE_START,307
1790048968590073,MOTION_PHASE_START,0
1790048968590106,TO_MAX,511
1790048969590800,TO_MIN,102
1790048970591521,TO_MAX,511
1790048971592250,TO_MIN,102
1790048972592974,TO_MAX,511
1790048973593697,STILL_PHASE_START,307
1790048978594423,MOTION_PHASE_START,0
1790048978594462,TO_MAX,511
1790048979595163,TO_MIN,102
1790048980595887,TO_MAX,511
1790048981596617,TO_MIN,102
1790048982597336,TO_MAX,511
1790048983598056,STILL_PHASE_START,307
1790048988598778,MOTION_PHASE_START,0
1790048988598817,TO_MAX,511
1790048989599512,TO_MIN,102
1790048990600217,TO_MAX,511
1790048991600923,TO_MIN,102
1790048992601632,TO_MAX,511
1790048993602343,STILL_PHASE_START,307
1790048998603045,END,307
