trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,3.20629044,3.37763106,3.3776784,47.34000000006233,True,
1,motion_to_still,8.22065492,9.7331796,9.73322292,43.31999999962477,True,
2,still_to_motion,13.21674804,13.26372072,13.26376848,47.75999999928615,True,
3,motion_to_still,18.2127716,19.61858288,19.61863158,48.69999999712604,True,
4,still_to_motion,23.22727134,23.85554346,23.8555923,48.84000000160427,True,
5,motion_to_still,28.2230673,29.50434226,29.50438624,43.979999997389996,True,
6,still_to_motion,33.21904848,33.74088856,33.74092924,40.679999997905725,True,
7,motion_to_still,38.23353506,,,,False,no_d1_in_window
8,still_to_motion,43.22942232,,,,False,no_d1_in_window
9,motion_to_still,48.22523734,49.98273778,49.98278538,47.6000000020349,True,
10,still_to_motion,53.23968598,53.51328664,53.5133344,47.76000000106251,True,
11,motion_to_still,58.23558518,59.86822696,59.8682726,45.63999999618318,True,
