# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790299121049186,START,307
1790299121249924,MOTION_PHASE_START,0
1790299121249958,TO_MAX,511
1790299122250677,TO_MIN,102
1790299123251403,TO_MAX,511
1790299124252127,TO_MIN,102
1790299125252860,TO_MAX,511
1790299126253621,STILL_PHASE_START,307
1790299131254339,MOTION_PHASE_START,0
1790299131254377,TO_MAX,511
1790299132255082,TO_MIN,102
1790299133255814,TO_MAX,511
1790299134256521,TO_MIN,102
1790299135257230,TO_MAX,511
1790299136257933,STILL_PHASE_START,307
1790299141258641,MOTION_PHASE_START,0
1790299141258667,TO_MAX,511
1790299142259356,TO_MIN,102
1790299143260067,TO_MAX,511
1790299144260776,TO_MIN,102
1790299145261471,TO_MAX,511
1790299146262171,STILL_PHASE_START,307
1790299151262876,MOTION_PHASE_START,0
1790299151262910,TO_MAX,511
1790299152263617,TO_MIN,102
1790299153264327,TO_MAX,511
1790299154265039,TO_MIN,102
1790299155265759,TO_MAX,511
1790299156266475,STILL_PHASE_START,307
1790299161267204,MOTION_PHASE_START,0
1790299161267235,TO_MAX,511
1790299162267934,TO_MIN,102
1790299163268657,TO_MAX,511
1790299164269372,TO_MIN,102
1790299165270093,TO_MAX,511
1790299166270815,STILL_PHASE_START,307
1790299171271533,MOTION_PHASE_START,0
1790299171271564,TO_MAX,511
1790299172272259,TO_MIN,102
1790299173272969,TO_MAX,511
1790299174273680,TO_MIN,102
1790299175274393,TO_MAX,511
1790299176275107,STILL_PHASE_START,307
1790299181275831,MOTION_PHASE_START,0
1790299181275870,TO_MAX,511
1790299182276573,TO_MIN,102
1790299183277293,TO_MAX,511
1790299184278016,TO_MIN,102
1790299185278740,TO_MAX,511
1790299186279456,STILL_PHASE_START,307
1790299191280177,MOTION_PHASE_START,0
1790299191280213,TO_MAX,511
1790299192280916,TO_MIN,102
1790299193281641,TO_MAX,511
1790299194282356,TO_MIN,102
1790299195283073,TO_MAX,511
1790299196283790,STILL_PHASE_START,307
1790299201284505,MOTION_PHASE_START,0
1790299201284535,TO_MAX,511
1790299202285237,TO_MIN,102
1790299203285949,TO_MAX,511
1790299204286668,TO_MIN,102
1790299205287390,TO_MAX,511
1790299206288116,STILL_PHASE_START,307
1790299211288838,MOTION_PHASE_START,0
1790299211288884,TO_MAX,511
1790299212289588,TO_MIN,102
1790299213290310,TO_MAX,511
1790299214291015,TO_MIN,102
1790299215291731,TO_MAX,511
1790299216292442,STILL_PHASE_START,307
1790299221293163,MOTION_PHASE_START,0
1790299221293197,TO_MAX,511
1790299222293899,TO_MIN,102
1790299223294613,TO_MAX,511
1790299224295335,TO_MIN,102
1790299225296066,TO_MAX,511
1790299226296795,STILL_PHASE_START,307
1790299231297521,MOTION_PHASE_START,0
1790299231297558,TO_MAX,511
1790299232298264,TO_MIN,102
1790299233298979,TO_MAX,511
1790299234299710,TO_MIN,102
1790299235300435,TO_MAX,511
1790299236301162,STILL_PHASE_START,307
1790299241301884,MOTION_PHASE_START,0
1790299241301946,TO_MAX,511
1790299242302644,TO_MIN,102
1790299243303370,TO_MAX,511
1790299244304078,TO_MIN,102
1790299245304788,TO_MAX,511
1790299246305496,STILL_PHASE_START,307
1790299251306211,MOTION_PHASE_START,0
1790299251306244,TO_MAX,511
1790299252306941,TO_MIN,102
1790299253307663,TO_MAX,511
1790299254308379,TO_MIN,102
1790299255309097,TO_MAX,511
1790299256309809,STILL_PHASE_START,307
1790299261310538,MOTION_PHASE_START,0
1790299261310567,TO_MAX,511
1790299262311275,TO_MIN,102
1790299263311991,TO_MAX,511
1790299264312715,TO_MIN,102
1790299265313434,TO_MAX,511
1790299266314148,STILL_PHASE_START,307
1790299271314879,MOTION_PHASE_START,0
1790299271314908,TO_MAX,511
1790299272315613,TO_MIN,102
1790299273316327,TO_MAX,511
1790299274317046,TO_MIN,102
1790299275317762,TO_MAX,511
1790299276318478,STILL_PHASE_START,307
1790299281319205,MOTION_PHASE_START,0
1790299281319230,TO_MAX,511
1790299282319923,TO_MIN,102
1790299283320626,TO_MAX,511
1790299284321328,TO_MIN,102
1790299285322029,TO_MAX,511
1790299286322732,STILL_PHASE_START,307
1790299291323446,MOTION_PHASE_START,0
1790299291323484,TO_MAX,511
1790299292324180,TO_MIN,102
1790299293324923,TO_MAX,511
1790299294325647,TO_MIN,102
1790299295326360,TO_MAX,511
1790299296327070,STILL_PHASE_START,307
1790299301327785,MOTION_PHASE_START,0
1790299301327820,TO_MAX,511
1790299302328519,TO_MIN,102
1790299303329232,TO_MAX,511
1790299304329941,TO_MIN,102
1790299305330650,TO_MAX,511
1790299306331357,STILL_PHASE_START,307
1790299311332070,MOTION_PHASE_START,0
1790299311332099,TO_MAX,511
1790299312332793,TO_MIN,102
1790299313333499,TO_MAX,511
1790299314334207,TO_MIN,102
1790299315334924,TO_MAX,511
1790299316335638,STILL_PHASE_START,307
1790299321336364,MOTION_PHASE_START,0
1790299321336398,TO_MAX,511
1790299322337099,TO_MIN,102
1790299323337809,TO_MAX,511
1790299324338533,TO_MIN,102
1790299325339239,TO_MAX,511
1790299326339945,STILL_PHASE_START,307
1790299331340650,MOTION_PHASE_START,0
1790299331340685,TO_MAX,511
1790299332341387,TO_MIN,102
1790299333342103,TO_MAX,511
1790299334342813,TO_MIN,102
1790299335343520,TO_MAX,511
